History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]]]","[0.04859, 0.01004, 0.11163, 0.04938, 0.01529]",34.64619731064886,"[0.04859, 0.01004, 0.11163, 0.04938, 0.01529]",31.796885840129107,"[0.07677, 0.00202, 0.11801, -0.01906, 0.01587]",9.85359786497429,"[0.07143, 0.09864, 0.12302, -0.04762, 0.03401]",2.3883641622960567,"[0.42857, 0.02381, 0.28571, 0.07143, 0.04762]",0.5028351959772408,"[0.42857, 0.02381, 0.28571, 0.07143, 0.04762]",0.5038218130357563,"[0.1369, 0.0119, 0.05357, 0.12202, 0.02976]",1.8592644156888127,"[0.08642, 0.01411, 0.04497, 0.06614, 0.02822]",4.643187765032053,"[0.08929, 0.02418, 0.10863, 0.07106, 0.02195]",10.043749124743044,1.0,0.9164572923589378,0.8489172573554478,0.5304128261174502,0.5304128261174502,0.8556955050942625,0.9109823620005563,0.9454586441312649
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]]]","[0.01004, 0.11163, 0.04938, 0.01529, 0.01446]",30.32752521522343,"[0.01004, 0.11163, 0.04938, 0.01529, 0.01446]",28.264306695200503,"[0.00202, 0.11801, -0.01906, 0.01587, 0.01481]",8.962333812844008,"[0.09864, 0.12302, -0.04762, 0.03401, 0.01667]",2.185163887683302,"[0.02381, 0.28571, 0.07143, 0.04762, 0.0]",0.47055913927033544,"[0.02381, 0.28571, 0.07143, 0.04762, 0.0]",0.4722302737645805,"[0.0119, 0.05357, 0.12202, 0.02976, 0.0]",1.6966998749412596,"[0.01411, 0.04497, 0.06614, 0.02822, 0.01728]",4.419966774992645,"[0.02418, 0.10863, 0.07106, 0.02195, 0.0224]",9.399195619858801,1.0,0.9226249612277965,0.8510704252003652,0.7992701370622697,0.7992701370622697,0.8935254414190883,0.9216087106242026,0.968647942651239
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.11163, 0.04938, 0.01529, 0.01446, 0.0]",22.00233864178881,"[0.11163, 0.04938, 0.01529, 0.01446, 0.0]",20.730089061893523,"[0.11801, -0.01906, 0.01587, 0.01481, -0.0]",6.980114441830665,"[0.12302, -0.04762, 0.03401, 0.01667, 0.0]",1.8427068847231567,"[0.28571, 0.07143, 0.04762, 0.0, 0.0]",0.42696288460865617,"[0.28571, 0.07143, 0.04762, 0.0, 0.0]",0.4256950877606869,"[0.05357, 0.12202, 0.02976, 0.0, 0.0]",1.4979159086942673,"[0.04497, 0.06614, 0.02822, 0.01728, -0.0]",3.614282313734293,"[0.10863, 0.07106, 0.02195, 0.0224, 0.0]",7.693718854337931,1.0,0.9231462679826152,0.888790430942297,0.7998613936542976,0.7998613936542976,0.8935457510242076,0.9217408911052521,0.9729255286293527
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.04938, 0.01529, 0.01446, 0.0, 0.00262]",14.615339870098978,"[0.04938, 0.01529, 0.01446, 0.0, 0.00262]",13.9453687639907,"[-0.01906, 0.01587, 0.01481, -0.0, 0.00278]",4.979393186047673,"[-0.04762, 0.03401, 0.01667, 0.0, 0.00556]",1.4464888237416744,"[0.07143, 0.04762, 0.0, 0.0, 0.03333]",0.37141739623621106,"[0.07143, 0.04762, 0.0, 0.0, 0.03333]",0.3713775319047272,"[0.12202, 0.02976, 0.0, 0.0, 0.00833]",1.1753213959746063,"[0.06614, 0.02822, 0.01728, -0.0, 0.00741]",2.8700042637065053,"[0.07106, 0.02195, 0.0224, 0.0, 0.00521]",5.946444487664849,1.0,0.9234777965228392,0.8894730457082979,0.9420816620145226,0.9420816620145226,0.9153858300873903,0.9755311677843016,0.9729784877366199
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.01529, 0.01446, 0.0, 0.00262, 0.0]",10.087727797217667,"[0.01529, 0.01446, 0.0, 0.00262, 0.0]",9.749811531044543,"[0.01587, 0.01481, -0.0, 0.00278, -0.0]",3.45698104519397,"[0.03401, 0.01667, 0.0, 0.00556, -0.0]",1.0405200091190636,"[0.04762, 0.0, 0.0, 0.03333, -0.0]",0.30843279603868723,"[0.04762, 0.0, 0.0, 0.03333, -0.0]",0.3091788496822119,"[0.02976, 0.0, 0.0, 0.00833, 0.0]",0.9670415548607707,"[0.02822, 0.01728, -0.0, 0.00741, -0.0]",2.138624012004584,"[0.02195, 0.0224, 0.0, 0.00521, 0.0]",4.511053003370762,1.0,0.9992217808791863,0.9786702643007467,0.9475902609241373,0.9475902609241373,0.9762545635963455,0.9842646337824632,0.9880570470569461
"[[[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.01446, 0.0, 0.00262, 0.0, 0.0004]",8.221525754313916,"[0.01446, 0.0, 0.00262, 0.0, 0.0004]",8.03937201295048,"[0.01481, -0.0, 0.00278, -0.0, 0.0]",2.9963473393581808,"[0.01667, 0.0, 0.00556, -0.0, 0.0]",0.9294010912999511,"[0.0, 0.0, 0.03333, -0.0, 0.0]",0.26086316211149096,"[0.0, 0.0, 0.03333, -0.0, 0.0]",0.3188675777055323,"[0.0, 0.0, 0.00833, 0.0, 0.0]",0.7882039053365588,"[0.01728, -0.0, 0.00741, -0.0, -0.0]",1.9121161103248596,"[0.0224, 0.0, 0.00521, 0.0, 0.0]",4.07335535204038,1.0,0.9993794155980046,0.9958636217532726,0.9620468100813647,0.9620468100813647,0.982612659058959,0.9937693800468974,0.9906517581866963
"[[[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, -1]]]","[0.0, 0.00262, 0.0, 0.0004, 0.0]",4.279217472299933,"[0.0, 0.00262, 0.0, 0.0004, 0.0]",4.20620708912611,"[-0.0, 0.00278, -0.0, 0.0, 0.0]",1.8028205838054419,"[0.0, 0.00556, -0.0, 0.0, 0.0]",0.6239456799812615,"[0.0, 0.03333, -0.0, 0.0, 0.0]",0.19858008297160268,"[0.0, 0.03333, -0.0, 0.0, 0.0]",0.19884674390777946,"[0.0, 0.00833, 0.0, 0.0, 0.0]",0.5533507135696709,"[-0.0, 0.00741, -0.0, -0.0, 0.0]",1.2404899871908128,"[0.0, 0.00521, 0.0, 0.0, 0.0]",2.4607330430299044,1.0,0.9995183362168483,0.996682696878487,0.9656622638340848,0.9656622638340848,0.993600380870708,0.9946259768329491,0.9970699616043471
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.14994, 0.1251, 0.07234, 0.10994, 0.10584]",47.839681725017726,"[0.14994, 0.1251, 0.07234, 0.10994, 0.10584]",43.1667961999774,"[0.30466, 0.17055, 0.13678, 0.11909, 0.1082]",12.381305998656899,"[0.38095, 0.29252, 0.21769, 0.30215, 0.11678]",2.7563777011819184,"[0.02381, 0.7619, 0.21429, 0.40476, 0.14286]",0.5229202699847519,"[0.02381, 0.7619, 0.21429, 0.40476, 0.14286]",0.5221250643953681,"[0.09821, 0.38393, 0.30655, 0.20238, 0.09226]",2.019521127920598,"[0.13757, 0.24603, 0.12522, 0.12169, 0.14109]",5.650739050004631,"[0.11384, 0.21057, 0.07961, 0.10528, 0.14025]",12.652794405817986,1.0,0.8055591780258065,0.5822888756867972,0.18616484147586732,0.18616484147586732,0.5918749335375246,0.8460763127390718,0.8889428778735915
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.1251, 0.07234, 0.10994, 0.10584, 0.12466]",46.277672897093,"[0.1251, 0.07234, 0.10994, 0.10584, 0.12466]",41.54340214794502,"[0.17055, 0.13678, 0.11909, 0.1082, 0.20851]",12.037355409935117,"[0.29252, 0.21769, 0.30215, 0.11678, 0.28968]",2.7083242661319673,"[0.7619, 0.21429, 0.40476, 0.14286, 0.2619]",0.514255509711802,"[0.7619, 0.21429, 0.40476, 0.14286, 0.2619]",0.5169409848749638,"[0.38393, 0.30655, 0.20238, 0.09226, 0.30655]",1.9619553270749748,"[0.24603, 0.12522, 0.12169, 0.14109, 0.15168]",5.465356648899615,"[0.21057, 0.07961, 0.10528, 0.14025, 0.12686]",11.938581770285964,1.0,0.8708763639955875,0.6234165978830187,0.1839208272936994,0.1839208272936994,0.5476991666213735,0.843750741201758,0.8965073825096688
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.07234, 0.10994, 0.10584, 0.12466, 0.0026]",45.41794390371069,"[0.07234, 0.10994, 0.10584, 0.12466, 0.0026]",41.22018321696669,"[0.13678, 0.11909, 0.1082, 0.20851, -0.00287]",12.186894172802567,"[0.21769, 0.30215, 0.11678, 0.28968, -0.10147]",2.625515209045261,"[0.21429, 0.40476, 0.14286, 0.2619, -0.11905]",0.4962161728180945,"[0.21429, 0.40476, 0.14286, 0.2619, -0.11905]",0.497697401791811,"[0.30655, 0.20238, 0.09226, 0.30655, -0.10417]",1.9097565510310233,"[0.12522, 0.12169, 0.14109, 0.15168, -0.15608]",5.378246379084885,"[0.07961, 0.10528, 0.14025, 0.12686, -0.06994]",11.828463496174663,1.0,0.8811379523354911,0.6531333910924835,0.5785847425044983,0.5785847425044983,0.6324613981157897,0.8060723646562976,0.9096845237514632
