History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]]]","[0.049, 0.01, 0.112, 0.049, 0.015]",29.316047742962837,"[0.049, 0.01, 0.112, 0.049, 0.015]",27.070094598457217,"[0.077, 0.002, 0.118, -0.019, 0.016]",8.63948318362236,"[0.071, 0.099, 0.123, -0.048, 0.034]",2.097808163613081,"[0.429, 0.024, 0.286, 0.071, 0.048]",0.4424794279038906,0.0,0.07422263805605403,0.13526270735128734,0.42005356801246196
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]]]","[0.01, 0.112, 0.049, 0.015, 0.014]",25.4363719150424,"[0.01, 0.112, 0.049, 0.015, 0.014]",24.27476236782968,"[0.002, 0.118, -0.019, 0.016, 0.015]",7.86848103068769,"[0.099, 0.123, -0.048, 0.034, 0.017]",1.907739121466875,"[0.024, 0.286, 0.071, 0.048, 0.0]",0.41326204501092434,0.0,0.06874590896918885,0.1334953182699678,0.17955779014011058
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.112, 0.049, 0.015, 0.014, 0.0]",18.220243219286203,"[0.112, 0.049, 0.015, 0.014, 0.0]",17.444433508440852,"[0.118, -0.019, 0.016, 0.015, -0.0]",5.982506476342678,"[0.123, -0.048, 0.034, 0.017, 0.0]",1.5873718317598104,"[0.286, 0.071, 0.048, 0.0, 0.0]",0.3689762521535158,0.0,0.06827884006044625,0.099498743710662,0.17901117283566406
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.049, 0.015, 0.014, 0.0, 0.003]",11.910634839907289,"[0.049, 0.015, 0.014, 0.0, 0.003]",11.637467496097088,"[-0.019, 0.016, 0.015, -0.0, 0.003]",4.256020134314895,"[-0.048, 0.034, 0.017, 0.0, 0.006]",1.2699566669762135,"[0.071, 0.048, 0.0, 0.0, 0.033]",0.3197675794363022,0.0,0.0680147042925278,0.0989343216482531,0.051662365412357955
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 5, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.015, 0.014, 0.0, 0.003, 0.0]",8.23198482207954,"[0.015, 0.014, 0.0, 0.003, 0.0]",8.21564474888146,"[0.016, 0.015, -0.0, 0.003, -0.0]",2.973470523953438,"[0.034, 0.017, 0.0, 0.006, -0.0]",0.8924734797328711,"[0.048, 0.0, 0.0, 0.033, -0.0]",0.26499777287244797,0.0,0.001414213562373095,0.019467922333931787,0.04674398357008098
"[[[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]]]","[0.014, 0.0, 0.003, 0.0, 0.0]",6.623352386057377,"[0.014, 0.0, 0.003, 0.0, 0.0]",6.741881787776947,"[0.015, -0.0, 0.003, -0.0, 0.0]",2.579185215756297,"[0.017, 0.0, 0.006, -0.0, 0.0]",0.7985520530492067,"[0.0, 0.0, 0.033, -0.0, 0.0]",0.22391575761139393,0.0,0.0009999999999999992,0.004242640687119286,0.0331058907144937
"[[[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 0, -1, 0], [0, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 0, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, 0, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 2, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 0, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, 0]], 4, [[0, 0, 1, 0, 0, -1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, 1, 1, 1, 1, 0], [0, 0, 1, -1, -1, 1, 0], [0, 0, 1, 1, 1, -1, 0], [-1, -1, -1, 1, -1, -1, -1]]]","[0.0, 0.003, 0.0, 0.0, 0.0]",3.4524242151528597,"[0.0, 0.003, 0.0, 0.0, 0.0]",3.528336415067315,"[-0.0, 0.003, -0.0, 0.0, 0.0]",1.5069441124796867,"[0.0, 0.006, -0.0, 0.0, 0.0]",0.5340236518532038,"[0.0, 0.033, -0.0, 0.0, 0.0]",0.16993753984570503,0.0,0.0,0.003,0.030000000000000002
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.15, 0.125, 0.072, 0.11, 0.106]",39.935483276844025,"[0.15, 0.125, 0.072, 0.11, 0.106]",36.497108129784465,"[0.305, 0.171, 0.137, 0.119, 0.108]",10.694357698783278,"[0.381, 0.293, 0.218, 0.302, 0.117]",2.330237964168191,"[0.024, 0.762, 0.214, 0.405, 0.143]",0.4627133049070835,0.0,0.1745021489839022,0.3740133687450223,0.7281503965528001
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.125, 0.072, 0.11, 0.106, 0.125]",37.25905894488096,"[0.125, 0.072, 0.11, 0.106, 0.125]",34.82616722770035,"[0.171, 0.137, 0.119, 0.108, 0.209]",10.228221230208874,"[0.293, 0.218, 0.302, 0.117, 0.29]",2.26130742020905,"[0.762, 0.214, 0.405, 0.143, 0.262]",0.4405310209840536,0.0,0.11611201488218177,0.337268439080801,0.7301342342336785
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.072, 0.11, 0.106, 0.125, 0.003]",36.73881498910487,"[0.072, 0.11, 0.106, 0.125, 0.003]",34.38544720970094,"[0.137, 0.119, 0.108, 0.209, -0.003]",10.482150979340076,"[0.218, 0.302, 0.117, 0.29, -0.101]",2.2333423383533955,"[0.214, 0.405, 0.143, 0.262, -0.119]",0.424844678491354,0.0,0.1067801479676817,0.31039007716098144,0.3771087376341206
