History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.29577, 0.2765, 0.1394, -0.08136, -0.09069]",37.3920572809875,"[0.31994, 0.3146, 0.14906, -0.08948, -0.09677]",37.80753732705489,"[0.40233, 0.28037, 0.17493, -0.10488, -0.1069]",11.579182907007635,"[0.39796, 0.2619, 0.20068, -0.12245, -0.12245]",2.748725122306496,"[0.30952, 0.21429, 0.28571, -0.14286, -0.14286]",0.5183944348245859,"[0.30952, 0.21429, 0.28571, -0.14286, -0.14286]",0.5170202250592411,"[0.45089, 0.28869, 0.29018, -0.14286, -0.14286]",1.93355071824044,"[0.44121, 0.34303, 0.26749, -0.14198, -0.14051]",5.131134791299701,"[0.41025, 0.37584, 0.26293, -0.14053, -0.13783]",10.971977787092328,0.9471793683774986,0.870344948517229,0.8537626920037161,0.8000946423929564,0.8000946423929564,0.7415203639549142,0.7546866814663338,0.7655937410178645
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.2765, 0.1394, -0.08136, -0.09069, -0.1032]",30.42547809286043,"[0.3146, 0.14906, -0.08948, -0.09677, -0.10832]",30.95429358491674,"[0.28037, 0.17493, -0.10488, -0.1069, -0.11484]",9.871353433001786,"[0.2619, 0.20068, -0.12245, -0.12245, -0.12925]",2.444519892334938,"[0.21429, 0.28571, -0.14286, -0.14286, -0.14286]",0.48350901110097766,"[0.21429, 0.28571, -0.14286, -0.14286, -0.14286]",0.48241085186600685,"[0.28869, 0.29018, -0.14286, -0.14286, -0.14732]",1.735146937891841,"[0.34303, 0.26749, -0.14198, -0.14051, -0.14345]",4.496367115993053,"[0.37584, 0.26293, -0.14053, -0.13783, -0.12705]",9.387729825917631,0.9542555905055056,0.9472174046204622,0.9041871185591416,0.7958138878988094,0.7958138878988094,0.8020930212195638,0.8108896872854365,0.801820196853968
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.1394, -0.08136, -0.09069, -0.1032, -0.12562]",23.94791442109272,"[0.14906, -0.08948, -0.09677, -0.10832, -0.12836]",24.556858447846025,"[0.17493, -0.10488, -0.1069, -0.11484, -0.13161]",7.922361116856337,"[0.20068, -0.12245, -0.12245, -0.12925, -0.13549]",1.9261020929552615,"[0.28571, -0.14286, -0.14286, -0.14286, -0.14286]",0.4029295649379492,"[0.28571, -0.14286, -0.14286, -0.14286, -0.14286]",0.40172244096174836,"[0.29018, -0.14286, -0.14286, -0.14732, -0.14286]",1.417470272630453,"[0.26749, -0.14198, -0.14051, -0.14345, -0.14198]",3.663541840855032,"[0.26293, -0.14053, -0.13783, -0.12705, -0.14025]",7.53215455589816,0.9830464458003638,0.9469704669547242,0.9049451244017436,0.8070598920649208,0.8070598920649208,0.8016242224337861,0.8251730248216826,0.8350538390868099
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.29577, 0.26523, 0.08225, -0.08162, -0.08018]",41.62620048504323,"[0.31994, 0.31376, 0.08206, -0.09178, -0.09102]",41.91181617602706,"[0.40233, 0.38921, 0.09038, -0.10593, -0.10496]",12.168661879841238,"[0.39796, 0.43537, 0.12585, -0.12245, -0.12245]",2.731507203076035,"[0.30952, 0.5, 0.2381, -0.14286, -0.14286]",0.517868478782475,"[0.30952, 0.5, 0.2381, -0.14286, -0.14286]",0.5164062432013452,"[0.45089, 0.51637, 0.27381, -0.14286, -0.14286]",1.967137343250215,"[0.44121, 0.47413, 0.23633, -0.14286, -0.14286]",5.401812001131475,"[0.41025, 0.41629, 0.2221, -0.14304, -0.14286]",11.732676764018834,0.9371498100639306,0.8129265004069256,0.7635015393813314,0.66970778487073,0.66970778487073,0.5945560032507573,0.6532079693822247,0.7189661601781736
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.26523, 0.08225, -0.08162, -0.08018, -0.08414]",39.3178635770455,"[0.31376, 0.08206, -0.09178, -0.09102, -0.09182]",39.75229681888595,"[0.38921, 0.09038, -0.10593, -0.10496, -0.10536]",11.766426629852504,"[0.43537, 0.12585, -0.12245, -0.12245, -0.12245]",2.591725603211671,"[0.5, 0.2381, -0.14286, -0.14286, -0.14286]",0.5054410509765148,"[0.5, 0.2381, -0.14286, -0.14286, -0.14286]",0.5053148441947997,"[0.51637, 0.27381, -0.14286, -0.14286, -0.14286]",1.8895607749000192,"[0.47413, 0.23633, -0.14286, -0.14286, -0.14286]",5.157912342343479,"[0.41629, 0.2221, -0.14304, -0.14286, -0.14276]",11.154223877936602,0.9426097721733047,0.8538303631050552,0.7885464663927321,0.663597462479844,0.663597462479844,0.6276868059012681,0.686736902109425,0.7413625865714706
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.08225, -0.08162, -0.08018, -0.08414, -0.08478]",36.07890080707148,"[0.08206, -0.09178, -0.09102, -0.09182, -0.09146]",36.79827445419505,"[0.09038, -0.10593, -0.10496, -0.10536, -0.10416]",11.164770934265107,"[0.12585, -0.12245, -0.12245, -0.12245, -0.12188]",2.4750658166594803,"[0.2381, -0.14286, -0.14286, -0.14286, -0.14286]",0.4835877688601613,"[0.2381, -0.14286, -0.14286, -0.14286, -0.14286]",0.48180620186030865,"[0.27381, -0.14286, -0.14286, -0.14286, -0.14137]",1.7945591160096228,"[0.23633, -0.14286, -0.14286, -0.14286, -0.14168]",4.7056573941372335,"[0.2221, -0.14304, -0.14286, -0.14276, -0.13728]",10.27726829284802,0.9798638353949914,0.9488019263057681,0.8987647053888813,0.7798021704807243,0.7798021704807243,0.7474509451116476,0.7817529645103971,0.7955135221463288
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]], 3, [[0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]]]","[0.29577, -0.11749, -0.12003, -0.06836, 0.0887]",32.219241729937494,"[0.31994, -0.10301, -0.14919, -0.07622, 0.07924]",32.594340704381466,"[0.40233, -0.13946, -0.17784, -0.09475, 0.02056]",9.925908389966935,"[0.39796, 0.2483, -0.42517, -0.11565, -0.03496]",2.34989821491763,"[0.30952, -0.19048, -0.07143, -0.47619, -0.21429]",0.5078824758529663,"[0.30952, -0.19048, -0.07143, -0.47619, -0.21429]",0.5070457099936903,"[0.45089, -0.03274, -0.06548, -0.24851, -0.23562]",1.7808692809194326,"[0.44121, -0.10376, -0.1017, -0.17225, -0.12341]",4.6343713901005685,"[0.41025, -0.09049, -0.09366, -0.12007, -0.03978]",9.805903105065227,0.9526260079262894,0.8398469392268758,0.4355492941141804,0.42336448730588916,0.42336448730588916,0.5365105660589444,0.6888306739088828,0.7947224994062915
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.29577, 0.26523, 0.08225, -0.08162, -0.08018]",41.53105813404545,"[0.31994, 0.31376, 0.08206, -0.09178, -0.09102]",41.867534421849996,"[0.40233, 0.38921, 0.09038, -0.10593, -0.10496]",12.231681209988892,"[0.39796, 0.43537, 0.12585, -0.12245, -0.12245]",2.6657758988440037,"[0.30952, 0.5, 0.2381, -0.14286, -0.14286]",0.5221717520616949,"[0.30952, 0.5, 0.2381, -0.14286, -0.14286]",0.5157675538212061,"[0.45089, 0.51637, 0.27381, -0.14286, -0.14286]",2.015668238978833,"[0.44121, 0.47413, 0.23633, -0.14286, -0.14286]",5.3204794358462095,"[0.41025, 0.41629, 0.2221, -0.14304, -0.14286]",11.73357836715877,0.9371498100639306,0.8129265004069256,0.7635015393813314,0.66970778487073,0.66970778487073,0.5945560032507573,0.6532079693822247,0.7189661601781736
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.26523, 0.08225, -0.08162, -0.08018, -0.08414]",39.37635094067082,"[0.31376, 0.08206, -0.09178, -0.09102, -0.09182]",39.57009368715808,"[0.38921, 0.09038, -0.10593, -0.10496, -0.10536]",11.755451944191009,"[0.43537, 0.12585, -0.12245, -0.12245, -0.12245]",2.593273094855249,"[0.5, 0.2381, -0.14286, -0.14286, -0.14286]",0.5059915441088378,"[0.5, 0.2381, -0.14286, -0.14286, -0.14286]",0.5047676991671324,"[0.51637, 0.27381, -0.14286, -0.14286, -0.14286]",1.937016406096518,"[0.47413, 0.23633, -0.14286, -0.14286, -0.14286]",5.135690837167203,"[0.41629, 0.2221, -0.14304, -0.14286, -0.14276]",11.05439606262371,0.9426097721733047,0.8538303631050552,0.7885464663927321,0.663597462479844,0.663597462479844,0.6276868059012681,0.686736902109425,0.7413625865714706
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.08225, -0.08162, -0.08018, -0.08414, -0.08015]",38.923481109086424,"[0.08206, -0.09178, -0.09102, -0.09182, -0.0891]",39.36760400887579,"[0.09038, -0.10593, -0.10496, -0.10536, -0.10479]",11.850341647863388,"[0.12585, -0.12245, -0.12245, -0.12245, -0.12245]",2.5818325178697705,"[0.2381, -0.14286, -0.14286, -0.14286, -0.14286]",0.4883320410735905,"[0.2381, -0.14286, -0.14286, -0.14286, -0.14286]",0.48578747594729066,"[0.27381, -0.14286, -0.14286, -0.14286, -0.14286]",1.8864232557825744,"[0.23633, -0.14286, -0.14286, -0.14286, -0.14227]",5.011059092357755,"[0.2221, -0.14304, -0.14286, -0.14276, -0.13672]",11.0248282100074,0.9787911516107074,0.9460493350365354,0.8962470006457645,0.7782204782898114,0.7782204782898114,0.7456504961180384,0.7799809690049517,0.7941611959566419
