History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.296, 0.276, 0.139, -0.081, -0.091]",33.33332375437021,"[0.32, 0.315, 0.149, -0.089, -0.097]",33.2424630522728,"[0.402, 0.28, 0.175, -0.105, -0.107]",10.346094712615013,"[0.398, 0.262, 0.201, -0.122, -0.122]",2.4449013024568558,"[0.31, 0.214, 0.286, -0.143, -0.143]",0.46338271349668503,0.04792702786528703,0.11567194992737007,0.13071342700732777,0.17943522508136464
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.276, 0.139, -0.081, -0.091, -0.103]",27.137427523732185,"[0.315, 0.149, -0.089, -0.097, -0.108]",27.75274334102869,"[0.28, 0.175, -0.105, -0.107, -0.115]",8.794061973690987,"[0.262, 0.201, -0.122, -0.122, -0.129]",2.1210401095449924,"[0.214, 0.286, -0.143, -0.143, -0.143]",0.42677150666713715,0.041785164831552334,0.04783304297240557,0.08577878525602936,0.18330575550156625
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]], 5, [[0, 0, 0, 0, 0, 1, 0], [0, 0, 0, 0, 0, 1, 0], [0, 0, -1, 1, 0, 1, 0], [0, 0, -1, -1, 0, 1, 0], [0, 0, -1, 1, 0, -1, 0], [0, 0, -1, 1, 0, -1, 0]]]","[0.139, -0.081, -0.091, -0.103, -0.126]",20.867184940725565,"[0.149, -0.089, -0.097, -0.108, -0.128]",21.41700715944171,"[0.175, -0.105, -0.107, -0.115, -0.132]",6.981501143425703,"[0.201, -0.122, -0.122, -0.129, -0.135]",1.7398098334670067,"[0.286, -0.143, -0.143, -0.143, -0.143]",0.36892395839095116,0.015132745950421543,0.048041648597857235,0.08510581648747634,0.1733378204547409
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.296, 0.265, 0.082, -0.082, -0.08]",37.2521662786603,"[0.32, 0.314, 0.082, -0.092, -0.091]",36.566638331860304,"[0.402, 0.389, 0.09, -0.106, -0.105]",10.742132343351841,"[0.398, 0.435, 0.126, -0.122, -0.122]",2.4185716062784195,"[0.31, 0.5, 0.238, -0.143, -0.143]",0.4695137329399586,0.05655086206239476,0.16696406799069077,0.2111965908815765,0.2957143892339363
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.265, 0.082, -0.082, -0.08, -0.084]",35.18941228091717,"[0.314, 0.082, -0.092, -0.091, -0.092]",34.615465834736824,"[0.389, 0.09, -0.106, -0.105, -0.105]",10.31480573117733,"[0.435, 0.126, -0.122, -0.122, -0.122]",2.3118534721434116,"[0.5, 0.238, -0.143, -0.143, -0.143]",0.4462863355875015,0.05182663407939974,0.1306981254647518,0.18879618640216225,0.30121752937038704
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.082, -0.082, -0.08, -0.084, -0.085]",32.134951796382666,"[0.082, -0.092, -0.091, -0.092, -0.091]",31.85500254482031,"[0.09, -0.106, -0.105, -0.105, -0.104]",9.660475481301546,"[0.126, -0.122, -0.122, -0.122, -0.122]",2.172709882259369,"[0.238, -0.143, -0.143, -0.143, -0.143]",0.42125968635082245,0.017916472867168905,0.0454642716866772,0.09007219326740078,0.19715729760777304
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, -1, 0, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, -1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]], 3, [[0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, -1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 0, 1, 0, 0], [0, 0, 0, 1, 1, 0, 0], [0, -1, 0, 1, -1, 0, -1]]]","[0.296, -0.117, -0.12, -0.068, 0.089]",28.79050500318408,"[0.32, -0.103, -0.149, -0.076, 0.079]",28.568469375371933,"[0.402, -0.139, -0.178, -0.095, 0.021]",8.649244841188192,"[0.398, 0.248, -0.425, -0.116, -0.035]",2.0812553614377975,"[0.31, -0.19, -0.071, -0.476, -0.214]",0.4438910149037838,0.042154477816715996,0.14295803580072022,0.5043153775168867,0.5159447644855019
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.296, 0.265, 0.082, -0.082, -0.08]",36.81846734136343,"[0.32, 0.314, 0.082, -0.092, -0.091]",36.62511258944869,"[0.402, 0.389, 0.09, -0.106, -0.105]",10.708616942167282,"[0.398, 0.435, 0.126, -0.122, -0.122]",2.345709141343832,"[0.31, 0.5, 0.238, -0.143, -0.143]",0.4516925998032093,0.05655086206239476,0.16696406799069077,0.2111965908815765,0.2957143892339363
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.265, 0.082, -0.082, -0.08, -0.084]",34.663415379822254,"[0.314, 0.082, -0.092, -0.091, -0.092]",35.12180661782622,"[0.389, 0.09, -0.106, -0.105, -0.105]",10.217582534998655,"[0.435, 0.126, -0.122, -0.122, -0.122]",2.2813357785344124,"[0.5, 0.238, -0.143, -0.143, -0.143]",0.44354335963726044,0.05182663407939974,0.1306981254647518,0.18879618640216225,0.30121752937038704
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 1, 0], [0, -1, 1, 1, 0, -1, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.082, -0.082, -0.08, -0.084, -0.08]",34.17512035369873,"[0.082, -0.092, -0.091, -0.092, -0.089]",34.61348531022668,"[0.09, -0.106, -0.105, -0.105, -0.105]",10.423387583345175,"[0.126, -0.122, -0.122, -0.122, -0.122]",2.2553168311715126,"[0.238, -0.143, -0.143, -0.143, -0.143]",0.4274369105696678,0.019131126469708982,0.04828043081829323,0.09223882046080163,0.19868568141665363
