History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, 0, 1, 1, -1, -1]]]","[0.04068, 0.0498, 0.18093, 0.07042, 0.18124]",45.04474152205512,"[0.02728, 0.07459, 0.17741, 0.08405, 0.22683]",44.36554704606533,"[0.06074, 0.09378, 0.19339, 0.04929, 0.28018]",13.444518606178463,"[0.0, 0.15306, 0.27551, 0.05612, -0.05329]",2.994076456874609,"[-0.11905, -0.07143, 0.2619, 0.2619, 0.16667]",0.6127182487398386,"[-0.11905, -0.07143, 0.2619, 0.2619, 0.16667]",0.6123898900114,"[-0.03125, 0.00298, 0.22619, 0.08929, 0.06994]",2.159251756966114,"[0.06966, 0.04292, 0.2284, 0.05614, 0.13492]",5.820209756027907,"[0.06622, 0.09077, 0.26535, 0.06343, 0.14221]",12.683583934325725,0.938045182794233,0.8738676483807584,0.6908243272425852,0.6766514999261632,0.6766514999261632,0.833573320197752,0.9171595169919924,0.8825810391163336
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, 0, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, -1, 0, 1, 1, -1, -1]]]","[0.0498, 0.18093, 0.07042, 0.18124, 0.08549]",37.28750770492479,"[0.07459, 0.17741, 0.08405, 0.22683, 0.08413]",36.984683530870825,"[0.09378, 0.19339, 0.04929, 0.28018, 0.07758]",11.600120230112225,"[0.15306, 0.27551, 0.05612, -0.05329, 0.14456]",2.703838547691703,"[-0.07143, 0.2619, 0.2619, 0.16667, 0.07143]",0.5751938363537192,"[-0.07143, 0.2619, 0.2619, 0.16667, 0.07143]",0.5755173438228667,"[0.00298, 0.22619, 0.08929, 0.06994, 0.13542]",1.9060699371621013,"[0.04292, 0.2284, 0.05614, 0.13492, 0.12963]",5.033633972052485,"[0.09077, 0.26535, 0.06343, 0.14221, 0.16248]",10.706804356072098,0.9398646412249831,0.8755629647170908,0.6871380500124695,0.7299828415174323,0.7299828415174323,0.843965741742398,0.9091805658187633,0.8572373543254399
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, 0, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, 0, 1, 1, -1, -1]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, -1, 0, 1, 1, -1, -1]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 1, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, -1, -1, 1, 1, -1, -1]]]","[0.18093, 0.07042, 0.18124, 0.08549, 0.06217]",31.48482880508527,"[0.17741, 0.08405, 0.22683, 0.08413, 0.06469]",31.296690426766872,"[0.19339, 0.04929, 0.28018, 0.07758, 0.06245]",10.206837756093591,"[0.27551, 0.05612, -0.05329, 0.14456, 0.02608]",2.4205892789177597,"[0.2619, 0.2619, 0.16667, 0.07143, 0.16667]",0.5326227368786931,"[0.2619, 0.2619, 0.16667, 0.07143, 0.16667]",0.5305168931372464,"[0.22619, 0.08929, 0.06994, 0.13542, 0.01786]",1.6575417597778141,"[0.2284, 0.05614, 0.13492, 0.12963, 0.09289]",4.212052287999541,"[0.26535, 0.06343, 0.14221, 0.16248, 0.08491]",9.01153418282047,0.9465582630334679,0.8856895750598398,0.7064315661127716,0.7388703631335577,0.7388703631335577,0.8448846578348872,0.9032082150954948,0.8624159116212925
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.04068, 0.14697, -0.00961, 0.07151, 0.11322]",54.18255147570744,"[0.02728, 0.14341, -0.00639, 0.0866, 0.13562]",53.20580222271383,"[0.06074, 0.16132, 0.03345, 0.12323, 0.15568]",15.420393317006528,"[0.0, 0.34014, 0.12585, 0.19388, 0.23469]",3.3670139219611883,"[-0.11905, 0.38095, 0.0, 0.11905, 0.2619]",0.6524593289941549,"[-0.11905, 0.38095, 0.0, 0.11905, 0.2619]",0.6523305368609726,"[-0.03125, 0.15625, 0.0, 0.05804, 0.16369]",2.5930988579057157,"[0.06966, 0.22193, -0.0291, 0.03292, 0.10847]",6.88282739976421,"[0.06622, 0.20685, -0.05115, 0.05441, 0.10128]",14.988664574921131,0.9658666200765292,0.9068583088783546,0.6701358220797535,0.638201611045599,0.638201611045599,0.8994946692956041,0.8978331468870652,0.9105681041238641
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 1, 0]]]","[0.14697, -0.00961, 0.07151, 0.11322, 0.04329]",51.55425471113995,"[0.14341, -0.00639, 0.0866, 0.13562, 0.02609]",50.37876938376576,"[0.16132, 0.03345, 0.12323, 0.15568, 0.04125]",14.968484828714281,"[0.34014, 0.12585, 0.19388, 0.23469, -0.00567]",3.274412391707301,"[0.38095, 0.0, 0.11905, 0.2619, -0.07143]",0.638026830740273,"[0.38095, 0.0, 0.11905, 0.2619, -0.07143]",0.6377264158800244,"[0.15625, 0.0, 0.05804, 0.16369, -0.01042]",2.489029671996832,"[0.22193, -0.0291, 0.03292, 0.10847, 0.00206]",6.604290058836341,"[0.20685, -0.05115, 0.05441, 0.10128, 0.01237]",14.303501274902374,0.9638000328038823,0.9095700706347727,0.6687325100843731,0.6602106076920586,0.6602106076920586,0.9149125714338481,0.8927006220894081,0.9084699093193938
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 1, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, 0]]]","[0.04068, 0.14697, 0.21751, -0.009, 0.22802]",47.32525193784386,"[0.02728, 0.14341, 0.22307, 0.01625, 0.2611]",46.435629840008914,"[0.06074, 0.16132, 0.2517, 0.01199, 0.25466]",13.984773038886487,"[0.0, 0.34014, 0.32313, 0.00227, 0.03855]",3.103477266151458,"[-0.11905, 0.38095, 0.61905, 0.28571, 0.21429]",0.6252000769600272,"[-0.11905, 0.38095, 0.61905, 0.28571, 0.21429]",0.6243277951143682,"[-0.03125, 0.15625, 0.40774, 0.02976, 0.12798]",2.2727856752462685,"[0.06966, 0.22193, 0.34685, -0.0338, 0.16637]",6.197669773828238,"[0.06622, 0.20685, 0.31771, 0.01088, 0.20675]",14.156867755111307,0.950565749474681,0.9395066956184406,0.6718403789693193,0.35916345502538627,0.35916345502538627,0.7427116515463632,0.8142466686032254,0.8624973941156023
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 1, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, -1]]]","[0.14697, 0.21751, -0.009, 0.22802, 0.25732]",40.39766718400642,"[0.14341, 0.22307, 0.01625, 0.2611, 0.25093]",39.82574868714437,"[0.16132, 0.2517, 0.01199, 0.25466, 0.28535]",12.419705864973366,"[0.34014, 0.32313, 0.00227, 0.03855, 0.20238]",2.832701529376209,"[0.38095, 0.61905, 0.28571, 0.21429, -0.07143]",0.591191187966615,"[0.38095, 0.61905, 0.28571, 0.21429, -0.07143]",0.5885782390832901,"[0.15625, 0.40774, 0.02976, 0.12798, 0.25149]",2.0394692230038345,"[0.22193, 0.34685, -0.0338, 0.16637, 0.25867]",5.442993375938386,"[0.20685, 0.31771, 0.01088, 0.20675, 0.246]",11.475664170924574,0.9523519648883608,0.9356685419098868,0.6692536268150473,0.2831491861098294,0.2831491861098294,0.7555161063587215,0.8170880601218171,0.864900850761376
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 1, 0, -1, 0], [0, 0, -1, 1, 1, -1, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, 0]], 4, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 0, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, -1]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, -1, 0], [0, 0, 0, 1, 1, 1, 0], [0, 0, 1, 1, -1, -1, 0], [0, 0, -1, 1, 1, -1, -1]]]","[0.21751, -0.009, 0.22802, 0.25732, 0.05071]",33.05918448464945,"[0.22307, 0.01625, 0.2611, 0.25093, 0.052]",32.82524917693809,"[0.2517, 0.01199, 0.25466, 0.28535, 0.05334]",10.559258107095957,"[0.32313, 0.00227, 0.03855, 0.20238, 0.05329]",2.4837346649728715,"[0.61905, 0.28571, 0.21429, -0.07143, -0.04762]",0.5339591461233795,"[0.61905, 0.28571, 0.21429, -0.07143, -0.04762]",0.5323613681830466,"[0.40774, 0.02976, 0.12798, 0.25149, -0.02381]",1.8070032228715718,"[0.34685, -0.0338, 0.16637, 0.25867, -0.02116]",4.4562367256730795,"[0.31771, 0.01088, 0.20675, 0.246, 0.04632]",9.397907610982656,0.9524965961745897,0.9376319031876073,0.7494841866268718,0.3235920055173801,0.3235920055173801,0.7419181055362465,0.8186449700862973,0.8825527682318566
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]]]","[0.04068, 0.14697, -0.00961, 0.07151, 0.11322]",54.13452955940738,"[0.02728, 0.14341, -0.00639, 0.0866, 0.13562]",53.05555664701387,"[0.06074, 0.16132, 0.03345, 0.12323, 0.15568]",15.379468364175409,"[0.0, 0.34014, 0.12585, 0.19388, 0.23469]",3.352915127761662,"[-0.11905, 0.38095, 0.0, 0.11905, 0.2619]",0.654949989169836,"[-0.11905, 0.38095, 0.0, 0.11905, 0.2619]",0.6586250867694616,"[-0.03125, 0.15625, 0.0, 0.05804, 0.16369]",2.5795804020017385,"[0.06966, 0.22193, -0.0291, 0.03292, 0.10847]",6.940930946730077,"[0.06622, 0.20685, -0.05115, 0.05441, 0.10128]",14.989027959294617,0.9658666200765292,0.9068583088783546,0.6701358220797535,0.638201611045599,0.638201611045599,0.8994946692956041,0.8978331468870652,0.9105681041238641
"[[[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, -1, 1, 0, 0, 0]], 3, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 2, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 0, 0, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 1, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, 0, 0, 0]], 5, [[0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 1, 0, 0, 0], [0, 1, -1, -1, 0, 0, 0], [0, -1, 1, 1, 0, 0, 0], [0, -1, -1, 1, -1, 1, 0]]]","[0.14697, -0.00961, 0.07151, 0.11322, 0.04329]",51.31304310075939,"[0.14341, -0.00639, 0.0866, 0.13562, 0.02609]",50.52936184685677,"[0.16132, 0.03345, 0.12323, 0.15568, 0.04125]",14.963282624259591,"[0.34014, 0.12585, 0.19388, 0.23469, -0.00567]",3.3217024402692914,"[0.38095, 0.0, 0.11905, 0.2619, -0.07143]",0.6479572020471096,"[0.38095, 0.0, 0.11905, 0.2619, -0.07143]",0.6507565821520984,"[0.15625, 0.0, 0.05804, 0.16369, -0.01042]",2.488070883322507,"[0.22193, -0.0291, 0.03292, 0.10847, 0.00206]",6.6262836419045925,"[0.20685, -0.05115, 0.05441, 0.10128, 0.01237]",14.252050703391433,0.9638000328038823,0.9095700706347727,0.6687325100843731,0.6602106076920586,0.6602106076920586,0.9149125714338481,0.8927006220894081,0.9084699093193938
