History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[8, 0], [8, 3], [8, 3], [6, 0]], [0, 3, 3, 0], [[8, 0], [7, 3], [7, 2], [6, 0]], [0, 0, 2, 0], [[8, 0], [7, 2], [8, 3], [6, 0]], [0, 2, 3, 0], [[8, 0], [7, 4], [7, 2], [6, 0]], [0, 3, 2, 0], [[9, 0], [6, 5], [8, 3], [6, 0]], [3, 3, 3, 1], [[8, 0], [5, 6], [7, 3], [8, 0]]]","[-0.05775, 0.0, -0.05775, 0.0, 0.0]",21.777580686844885,"[-0.05505, 0.0, -0.05505, 0.0, 0.0]",13.349233789835125,"[-0.06, 0.0, -0.06, 0.0, 0.0]",5.290084315929562,"[-0.04, 0.0, -0.04, 0.0, 0.0]",1.7772529101930559,"[-0.025, 0.0, -0.025, 0.0, 0.0]",0.5615946319885552,"[-0.025, 0.0, -0.025, 0.0, 0.0]",0.554806157015264,"[-0.05594, 0.0, -0.05594, 0.0, 0.0]",2.5968272131867707,"[-0.04306, 0.0, -0.04306, 0.0, 0.0]",8.704782823100686,"[-0.05775, 0.0, -0.05775, 0.0, 0.0]",21.711960533168167,0.9957309251587727,0.9964424376323106,0.9719347857660057,0.9482177033147428,0.9482177033147428,0.9971381387175476,0.9767730705860632,1.0
"[[[2, 3], [4, 1], [1, 2], [1, 0]], [2, 3, 3, 1], [[2, 4], [3, 2], [0, 3], [2, 0]], [4, 0, 1, 1], [[2, 4], [3, 0], [1, 2], [3, 0]], [4, 2, 1, 2], [[2, 4], [3, 2], [2, 1], [4, 1]], [0, 4, 1, 0], [[2, 2], [3, 2], [3, 2], [4, 0]], [1, 4, 4, 3], [[3, 1], [3, 2], [3, 2], [3, 1]]]","[0.0, -0.05, -0.1, 0.09, 0.25]",17.02229577070102,"[0.0, -0.05, -0.1, 0.09, 0.25]",10.538476535119116,"[0.0, -0.05, -0.1, 0.09, 0.25]",4.2657131543383,"[0.0, -0.05, -0.1, 0.09, 0.25]",1.4714922858402133,"[0.0, -0.05, -0.1, 0.0, 0.25]",0.46780076902359724,"[0.0, -0.05, -0.1, 0.0, 0.25]",0.5213928730227053,"[0.0, -0.05, -0.1, 0.135, 0.25]",1.9928968320600688,"[0.0, -0.05, -0.1, 0.1, 0.25]",6.845948392990977,"[0.0, -0.05, -0.1, 0.09, 0.25]",17.208506650291383,1.0,1.0,1.0,0.8993769410125094,0.8993769410125094,0.9496884705062547,0.988819660112501,1.0
"[[[1, 4], [1, 6], [1, 6], [1, 6]], [1, 4, 4, 4], [[2, 5], [1, 6], [1, 6], [1, 6]], [3, 4, 4, 4], [[1, 5], [1, 6], [1, 6], [1, 6]], [2, 4, 4, 4], [[1, 7], [1, 6], [1, 6], [1, 6]], [0, 4, 4, 4], [[1, 5], [1, 6], [1, 6], [1, 6]], [2, 4, 4, 4], [[1, 6], [1, 6], [1, 6], [1, 6]]]","[-0.08668, 0.33547, 0.20827, 0.25159, 0.20827]",16.621145285200328,"[-0.10685, 0.35423, 0.19165, 0.26167, 0.19165]",10.37177890399471,"[-0.104, 0.34775, 0.19875, 0.2555, 0.19875]",4.101213179063052,"[-0.065, 0.3175, 0.195, 0.27, 0.195]",1.399856620002538,"[-0.25, 0.575, 0.175, 0.25, 0.175]",0.3823448889888823,"[-0.25, 0.575, 0.175, 0.25, 0.175]",0.38079163059592247,"[-0.11624, 0.42368, 0.23592, 0.24132, 0.23592]",1.7820298252627254,"[-0.07405, 0.35345, 0.20628, 0.24872, 0.20628]",6.345846022944897,"[-0.08668, 0.33547, 0.20827, 0.25159, 0.20827]",16.760117390193045,0.957975874488575,0.97155422483039,0.956929459023597,0.6716245342599421,0.6716245342599421,0.886590809455318,0.9750261536802999,1.0
"[[[5, 1], [8, 2], [6, 7], [4, 4]], [1, 4, 0, 1], [[6, 2], [8, 2], [5, 6], [5, 5]], [2, 0, 4, 0], [[7, 3], [8, 0], [5, 6], [5, 3]], [0, 3, 0, 2], [[7, 1], [7, 0], [5, 5], [5, 5]], [2, 1, 0, 0], [[7, 3], [8, 0], [6, 4], [5, 4]], [0, 3, 3, 4], [[7, 1], [7, 1], [5, 5], [5, 4]]]","[0.0, 0.0, 0.3, -0.025, 0.0]",22.001164615619928,"[0.0, 0.0, 0.3, -0.025, 0.0]",13.629083595704287,"[0.0, 0.0, 0.3, -0.025, 0.0]",5.376234157010913,"[0.0, 0.0, 0.3, -0.025, 0.0]",1.7894174777902663,"[0.0, 0.0, 0.3, -0.025, 0.0]",0.5519443158991635,"[0.0, 0.0, 0.3, -0.025, 0.0]",0.5481993271969259,"[0.0, 0.0, 0.3, -0.025, 0.0]",2.573113997001201,"[0.0, 0.0, 0.3, -0.025, 0.0]",8.62656070664525,"[0.0, 0.0, 0.3, -0.025, 0.0]",22.184786760713905,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[[[0, 2], [7, 0], [9, 0], [2, 1]], [3, 3, 0, 1], [[0, 3], [6, 1], [8, 0], [3, 2]], [1, 0, 3, 4], [[1, 2], [7, 0], [7, 0], [3, 2]], [2, 3, 3, 4], [[1, 3], [6, 1], [5, 0], [3, 2]], [1, 0, 3, 0], [[2, 2], [6, 0], [4, 1], [4, 1]], [1, 0, 3, 3], [[3, 2], [5, 0], [3, 2], [3, 0]]]","[0.0, 0.0, -0.0575, 0.0, 0.0]",19.039025821257383,"[0.0, 0.0, -0.0575, 0.0, 0.0]",11.703320673201233,"[0.0, 0.0, -0.0575, 0.0, 0.0]",4.716160263866186,"[0.0, 0.0, -0.0575, 0.0, 0.0]",1.5770868477411568,"[0.0, 0.0, -0.05, 0.0, 0.0]",0.5037782588042319,"[0.0, 0.0, -0.05, 0.0, 0.0]",0.5034691668115556,"[0.0, 0.0, -0.06125, 0.0, 0.0]",2.3201997303403914,"[0.0, 0.0, -0.05833, 0.0, 0.0]",7.48530092369765,"[0.0, 0.0, -0.0575, 0.0, 0.0]",19.184703323058784,1.0,1.0,1.0,0.9916147450843757,0.9916147450843757,0.9958073725421879,0.9990720317893376,1.0
"[[[2, 5], [1, 6], [0, 7], [1, 6]], [0, 4, 1, 4], [[1, 4], [1, 6], [1, 6], [1, 6]], [1, 4, 4, 4], [[2, 5], [1, 6], [1, 6], [1, 6]], [3, 4, 4, 4], [[0, 5], [1, 6], [1, 6], [1, 6]], [1, 2, 2, 2], [[1, 5], [1, 7], [1, 7], [1, 8]], [2, 1, 1, 0], [[1, 7], [2, 6], [3, 7], [1, 7]]]","[-0.03567, -0.08668, 0.33547, -0.17144, 0.4]",17.93042270373553,"[-0.0336, -0.10685, 0.35423, -0.17, 0.4]",11.039811636786908,"[-0.054, -0.104, 0.34775, -0.185, 0.4]",4.4394176485948265,"[-0.1025, -0.065, 0.3175, -0.2275, 0.4]",1.451607121154666,"[-0.05, -0.25, 0.575, -0.175, 0.4]",0.4178492589853704,"[-0.05, -0.25, 0.575, -0.175, 0.4]",0.41891366615891457,"[-0.06493, -0.11624, 0.42368, -0.17449, 0.4]",2.0129332398064435,"[-0.04197, -0.07405, 0.35345, -0.17309, 0.4]",6.891410622745752,"[-0.03567, -0.08668, 0.33547, -0.17144, 0.4]",17.96603657398373,0.9690741814983015,0.9651674846587273,0.8975188078230937,0.675450185256562,0.675450185256562,0.8909114591260842,0.9743775050004884,1.0
"[[[0, 2], [0, 5], [1, 5], [1, 3]], [3, 2, 2, 1], [[0, 2], [0, 6], [0, 6], [2, 2]], [3, 1, 1, 1], [[0, 1], [2, 6], [2, 6], [3, 3]], [2, 3, 3, 4], [[1, 2], [0, 6], [1, 5], [3, 3]], [4, 1, 2, 1], [[1, 2], [2, 6], [0, 6], [4, 2]], [1, 3, 1, 3], [[3, 2], [1, 7], [1, 7], [3, 2]]]","[0.0, 0.0, 0.0, 0.0, 0.0]",20.633792382199317,"[0.0, 0.0, 0.0, 0.0, 0.0]",12.721833939664066,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.03615162614733,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.6493285661563277,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4713455359451473,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.4720640401355922,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.368158149998635,"[0.0, 0.0, 0.0, 0.0, 0.0]",7.943010446149856,"[0.0, 0.0, 0.0, 0.0, 0.0]",20.70361853390932,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[[[1, 3], [3, 1], [2, 0], [4, 1]], [1, 2, 0, 0], [[2, 4], [2, 2], [3, 0], [3, 0]], [3, 1, 0, 0], [[1, 3], [3, 3], [3, 0], [3, 0]], [4, 0, 2, 2], [[1, 3], [3, 1], [3, 1], [3, 2]], [1, 4, 4, 4], [[2, 2], [3, 1], [3, 1], [3, 2]], [1, 4, 4, 4], [[3, 1], [3, 1], [3, 1], [3, 2]]]","[0.0, -0.1214, -0.22347, 0.1073, 0.01189]",17.207656107842922,"[0.0, -0.12425, -0.23525, 0.10343, 0.0166]",10.646730577107519,"[0.0, -0.125, -0.25125, 0.0855, 0.03025]",4.32522655883804,"[0.0, -0.125, -0.2625, 0.075, 0.025]",1.4766010330058634,"[0.0, -0.125, -0.2, 0.0, 0.1]",0.46990795619785786,"[0.0, -0.125, -0.2, 0.0, 0.1]",0.46764705516397953,"[0.0, -0.125, -0.25413, 0.12821, -0.00817]",2.024819931946695,"[0.0, -0.12455, -0.25394, 0.11676, -0.00523]",6.715990243945271,"[0.0, -0.1214, -0.22347, 0.1073, 0.01189]",17.279555236920714,0.9848321103972899,0.9553203346028644,0.9413542094434733,0.8425180049973966,0.8425180049973966,0.9526630786277772,0.959365510339122,1.0
"[[[0, 1], [0, 2], [2, 9], [2, 6]], [0, 3, 0, 2], [[0, 0], [0, 1], [2, 8], [2, 8]], [0, 2, 1, 1], [[1, 0], [0, 2], [3, 8], [3, 7]], [1, 3, 1, 3], [[2, 0], [0, 1], [4, 7], [2, 7]], [1, 2, 3, 4], [[3, 0], [1, 2], [3, 8], [2, 7]], [2, 1, 1, 4], [[3, 2], [3, 2], [4, 7], [2, 7]]]","[-0.1, 0.0, 0.0, 0.0, 0.0]",21.590528413653374,"[-0.1, 0.0, 0.0, 0.0, 0.0]",13.331719263922423,"[-0.1, 0.0, 0.0, 0.0, 0.0]",5.285387605894357,"[-0.1, 0.0, 0.0, 0.0, 0.0]",1.767414185218513,"[-0.1, 0.0, 0.0, 0.0, 0.0]",0.5416795550845563,"[-0.1, 0.0, 0.0, 0.0, 0.0]",0.5463029090315104,"[-0.1, 0.0, 0.0, 0.0, 0.0]",2.5581106171011925,"[-0.1, 0.0, 0.0, 0.0, 0.0]",8.52370948297903,"[-0.1, 0.0, 0.0, 0.0, 0.0]",21.761203789152205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[[[6, 1], [8, 5], [8, 2], [9, 0]], [0, 0, 2, 3], [[7, 0], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 0], [[7, 1], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 0], [[8, 2], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 3], [[7, 3], [8, 4], [8, 4], [7, 0]], [0, 4, 4, 2], [[7, 2], [8, 4], [8, 4], [7, 2]]]","[-0.05, -0.12895, -0.06066, -0.10575, 0.4]",16.69880406325683,"[-0.05, -0.13252, -0.06123, -0.10912, 0.4]",10.420986925251782,"[-0.05, -0.1055, -0.056, -0.10425, 0.4]",4.26214645197615,"[-0.05, -0.15, -0.01, -0.1075, 0.4]",1.4343751748092473,"[-0.05, -0.15, -0.125, -0.1, 0.4]",0.4561335872858763,"[-0.05, -0.15, -0.125, -0.1, 0.4]",0.4545678161084652,"[-0.05, -0.12308, -0.02637, -0.1, 0.4]",1.9866996761411428,"[-0.05, -0.12881, -0.04788, -0.1, 0.4]",6.190059801097959,"[-0.05, -0.12896, -0.06065, -0.10575, 0.4]",16.846789232920855,0.9944742986870443,0.9732168873168184,0.9386342868533251,0.9240411246133804,0.9240411246133804,0.9605772353201859,0.9843311415540251,0.9999841886116991
