History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[8, 0], [8, 3], [8, 3], [6, 0]], [0, 3, 3, 0], [[8, 0], [7, 3], [7, 2], [6, 0]], [0, 0, 2, 0], [[8, 0], [7, 2], [8, 3], [6, 0]], [0, 2, 3, 0], [[8, 0], [7, 4], [7, 2], [6, 0]], [0, 3, 2, 0], [[9, 0], [6, 5], [8, 3], [6, 0]], [3, 3, 3, 1], [[8, 0], [5, 6], [7, 3], [8, 0]]]","[-0.058, 0.0, -0.058, 0.0, 0.0]",28.255033910274506,"[-0.055, 0.0, -0.055, 0.0, 0.0]",19.04054021835327,"[-0.06, 0.0, -0.06, 0.0, 0.0]",7.621046178042889,"[-0.04, 0.0, -0.04, 0.0, 0.0]",2.6263462007045746,"[-0.025, 0.0, -0.025, 0.0, 0.0]",0.8187963850796223,0.004242640687119289,0.0028284271247461827,0.025455844122715714,0.04666904755831214
"[[[2, 3], [4, 1], [1, 2], [1, 0]], [2, 3, 3, 1], [[2, 4], [3, 2], [0, 3], [2, 0]], [4, 0, 1, 1], [[2, 4], [3, 0], [1, 2], [3, 0]], [4, 2, 1, 2], [[2, 4], [3, 2], [2, 1], [4, 1]], [0, 4, 1, 0], [[2, 2], [3, 2], [3, 2], [4, 0]], [1, 4, 4, 3], [[3, 1], [3, 2], [3, 2], [3, 1]]]","[0.0, -0.05, -0.1, 0.09, 0.25]",21.869099467992783,"[0.0, -0.05, -0.1, 0.09, 0.25]",15.175688464194536,"[0.0, -0.05, -0.1, 0.09, 0.25]",6.395373392850161,"[0.0, -0.05, -0.1, 0.09, 0.25]",2.198219768702984,"[0.0, -0.05, -0.1, 0.0, 0.25]",0.716161023825407,0.0,0.0,0.0,0.09
"[[[1, 4], [1, 6], [1, 6], [1, 6]], [1, 4, 4, 4], [[2, 5], [1, 6], [1, 6], [1, 6]], [3, 4, 4, 4], [[1, 5], [1, 6], [1, 6], [1, 6]], [2, 4, 4, 4], [[1, 7], [1, 6], [1, 6], [1, 6]], [0, 4, 4, 4], [[1, 5], [1, 6], [1, 6], [1, 6]], [2, 4, 4, 4], [[1, 6], [1, 6], [1, 6], [1, 6]]]","[-0.087, 0.335, 0.208, 0.252, 0.208]",21.77242376282811,"[-0.107, 0.354, 0.192, 0.262, 0.192]",14.806641109287739,"[-0.104, 0.348, 0.199, 0.256, 0.199]",6.080821238458157,"[-0.065, 0.318, 0.195, 0.27, 0.195]",1.9802947156131268,"[-0.25, 0.575, 0.175, 0.25, 0.175]",0.5563177727162838,0.03705401462729778,0.025219040425836947,0.03788139384975162,0.29385540662033083
"[[[5, 1], [8, 2], [6, 7], [4, 4]], [1, 4, 0, 1], [[6, 2], [8, 2], [5, 6], [5, 5]], [2, 0, 4, 0], [[7, 3], [8, 0], [5, 6], [5, 3]], [0, 3, 0, 2], [[7, 1], [7, 0], [5, 5], [5, 5]], [2, 1, 0, 0], [[7, 3], [8, 0], [6, 4], [5, 4]], [0, 3, 3, 4], [[7, 1], [7, 1], [5, 5], [5, 4]]]","[0.0, 0.0, 0.3, -0.025, 0.0]",28.16246586665511,"[0.0, 0.0, 0.3, -0.025, 0.0]",18.763852030038834,"[0.0, 0.0, 0.3, -0.025, 0.0]",7.807307161390781,"[0.0, 0.0, 0.3, -0.025, 0.0]",2.6407601311802864,"[0.0, 0.0, 0.3, -0.025, 0.0]",0.8071650825440884,0.0,0.0,0.0,0.0
"[[[0, 2], [7, 0], [9, 0], [2, 1]], [3, 3, 0, 1], [[0, 3], [6, 1], [8, 0], [3, 2]], [1, 0, 3, 4], [[1, 2], [7, 0], [7, 0], [3, 2]], [2, 3, 3, 4], [[1, 3], [6, 1], [5, 0], [3, 2]], [1, 0, 3, 0], [[2, 2], [6, 0], [4, 1], [4, 1]], [1, 0, 3, 3], [[3, 2], [5, 0], [3, 2], [3, 0]]]","[0.0, 0.0, -0.058, 0.0, 0.0]",23.880503576248884,"[0.0, 0.0, -0.058, 0.0, 0.0]",16.251704141497612,"[0.0, 0.0, -0.058, 0.0, 0.0]",6.603195648640394,"[0.0, 0.0, -0.058, 0.0, 0.0]",2.2740278616547585,"[0.0, 0.0, -0.05, 0.0, 0.0]",0.7197270467877388,0.0,0.0,0.0,0.008
"[[[2, 5], [1, 6], [0, 7], [1, 6]], [0, 4, 1, 4], [[1, 4], [1, 6], [1, 6], [1, 6]], [1, 4, 4, 4], [[2, 5], [1, 6], [1, 6], [1, 6]], [3, 4, 4, 4], [[0, 5], [1, 6], [1, 6], [1, 6]], [1, 2, 2, 2], [[1, 5], [1, 7], [1, 7], [1, 8]], [2, 1, 1, 0], [[1, 7], [2, 6], [3, 7], [1, 7]]]","[-0.036, -0.087, 0.335, -0.171, 0.4]",22.51041055843234,"[-0.034, -0.107, 0.354, -0.17, 0.4]",15.526891387999058,"[-0.054, -0.104, 0.348, -0.185, 0.4]",6.265834737569094,"[-0.103, -0.065, 0.318, -0.228, 0.4]",2.0772775262594223,"[-0.05, -0.25, 0.575, -0.175, 0.4]",0.5909604951739311,0.02767670500619607,0.03127299154222376,0.09225508116087698,0.2904840787375445
"[[[0, 2], [0, 5], [1, 5], [1, 3]], [3, 2, 2, 1], [[0, 2], [0, 6], [0, 6], [2, 2]], [3, 1, 1, 1], [[0, 1], [2, 6], [2, 6], [3, 3]], [2, 3, 3, 4], [[1, 2], [0, 6], [1, 5], [3, 3]], [4, 1, 2, 1], [[1, 2], [2, 6], [0, 6], [4, 2]], [1, 3, 1, 3], [[3, 2], [1, 7], [1, 7], [3, 2]]]","[0.0, 0.0, 0.0, 0.0, 0.0]",26.029639471322298,"[0.0, 0.0, 0.0, 0.0, 0.0]",17.52164237201214,"[0.0, 0.0, 0.0, 0.0, 0.0]",7.096382290124893,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.4513090141117573,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.6734432615339756,0.0,0.0,0.0,0.0
"[[[1, 3], [3, 1], [2, 0], [4, 1]], [1, 2, 0, 0], [[2, 4], [2, 2], [3, 0], [3, 0]], [3, 1, 0, 0], [[1, 3], [3, 3], [3, 0], [3, 0]], [4, 0, 2, 2], [[1, 3], [3, 1], [3, 1], [3, 2]], [1, 4, 4, 4], [[2, 2], [3, 1], [3, 1], [3, 2]], [1, 4, 4, 4], [[3, 1], [3, 1], [3, 1], [3, 2]]]","[0.0, -0.121, -0.223, 0.107, 0.012]",21.6528677418828,"[0.0, -0.124, -0.235, 0.103, 0.017]",14.796520419418812,"[0.0, -0.125, -0.251, 0.086, 0.03]",6.202097803354263,"[0.0, -0.125, -0.263, 0.075, 0.025]",2.109815388917923,"[0.0, -0.125, -0.2, 0.0, 0.1]",0.6840403787791729,0.013928388277184107,0.03956008088970497,0.053000000000000005,0.14049199265438583
"[[[0, 1], [0, 2], [2, 9], [2, 6]], [0, 3, 0, 2], [[0, 0], [0, 1], [2, 8], [2, 8]], [0, 2, 1, 1], [[1, 0], [0, 2], [3, 8], [3, 7]], [1, 3, 1, 3], [[2, 0], [0, 1], [4, 7], [2, 7]], [1, 2, 3, 4], [[3, 0], [1, 2], [3, 8], [2, 7]], [2, 1, 1, 4], [[3, 2], [3, 2], [4, 7], [2, 7]]]","[-0.1, 0.0, 0.0, 0.0, 0.0]",27.233347721397877,"[-0.1, 0.0, 0.0, 0.0, 0.0]",18.493323374539614,"[-0.1, 0.0, 0.0, 0.0, 0.0]",7.54099153727293,"[-0.1, 0.0, 0.0, 0.0, 0.0]",2.620847750455141,"[-0.1, 0.0, 0.0, 0.0, 0.0]",0.7908146418631077,0.0,0.0,0.0,0.0
"[[[6, 1], [8, 5], [8, 2], [9, 0]], [0, 0, 2, 3], [[7, 0], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 0], [[7, 1], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 0], [[8, 2], [8, 4], [8, 4], [8, 0]], [2, 4, 4, 3], [[7, 3], [8, 4], [8, 4], [7, 0]], [0, 4, 4, 2], [[7, 2], [8, 4], [8, 4], [7, 2]]]","[-0.05, -0.129, -0.061, -0.106, 0.4]",21.312243964523077,"[-0.05, -0.133, -0.061, -0.109, 0.4]",14.518330056220293,"[-0.05, -0.106, -0.056, -0.104, 0.4]",5.91681457683444,"[-0.05, -0.15, -0.01, -0.107, 0.4]",2.069870203733444,"[-0.05, -0.15, -0.125, -0.1, 0.4]",0.6491463929414749,0.0050000000000000044,0.02362202362203544,0.0551633936592012,0.06762396025078685
