History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[4, 7], [8, 3], [1, 6], [7, 1]], [4, 2, 4, 4], [[4, 7], [9, 4], [1, 6], [7, 1]], [4, 3, 4, 4], [[4, 7], [8, 5], [1, 6], [7, 1]], [4, 0, 4, 4], [[4, 7], [8, 3], [1, 6], [7, 1]], [4, 2, 4, 4], [[4, 7], [8, 5], [1, 6], [7, 1]], [4, 0, 4, 4], [[4, 7], [8, 4], [1, 6], [7, 1]]]","[0.03949, 0.03949, 0.03949, 0.03949, 0.03949]",22.697921405080706,"[0.0308, 0.0308, 0.0308, 0.0308, 0.0308]",13.873834336176515,"[0.004, 0.004, 0.004, 0.004, 0.004]",5.497481063008308,"[0.01, 0.01, 0.01, 0.01, 0.01]",1.8844691677950323,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5632983720861375,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5618147258646786,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.6545096789486706,"[0.01994, 0.01994, 0.01994, 0.01994, 0.01994]",8.869680372998118,"[0.03949, 0.03949, 0.03949, 0.03949, 0.03949]",22.765614378731698,0.978275,0.9112750000000001,0.926275,0.901275,0.901275,0.901275,0.951125,1.0
"[[[2, 9], [7, 7], [5, 0], [7, 3]], [0, 2, 3, 0], [[2, 7], [7, 8], [3, 0], [7, 2]], [4, 1, 2, 4], [[2, 7], [8, 7], [3, 2], [7, 2]], [4, 2, 4, 4], [[2, 7], [8, 9], [3, 2], [7, 2]], [4, 0, 4, 4], [[2, 7], [8, 8], [3, 2], [7, 2]], [4, 4, 4, 4], [[2, 7], [8, 8], [3, 2], [7, 2]]]","[0.009, 0.03815, 0.03815, 0.03815, 0.03815]",22.574702837970108,"[0.01155, 0.02415, 0.02415, 0.02415, 0.02415]",13.910159619990736,"[0.005, 0.002, 0.002, 0.002, 0.002]",5.524824765045196,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.8367918729782104,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.563713553827256,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5652199517935514,"[0.0, 0.02262, 0.02262, 0.02262, 0.02262]",2.716832099016756,"[0.00043, 0.02013, 0.02013, 0.02013, 0.02013]",8.80742778396234,"[0.009, 0.03815, 0.03815, 0.03815, 0.03815]",22.8349924730137,0.9685654946754366,0.919042526595749,0.9141026048124857,0.9141026048124857,0.9141026048124857,0.9638454083137425,0.9585825142602789,1.0
"[[[7, 8], [1, 4], [3, 0], [2, 9]], [1, 1, 2, 0], [[8, 8], [2, 4], [3, 2], [2, 8]], [4, 4, 0, 4], [[8, 8], [2, 4], [3, 1], [2, 8]], [4, 0, 4, 4], [[8, 8], [3, 3], [3, 1], [2, 8]], [4, 1, 4, 4], [[8, 8], [5, 3], [3, 1], [2, 8]], [4, 2, 4, 4], [[8, 8], [5, 4], [3, 1], [2, 8]]]","[0.0, 0.0, 0.0, 0.3383, 0.3383]",19.523810223676264,"[0.0, 0.0, 0.0, 0.31785, 0.31785]",12.004517607856542,"[0.0, 0.0, 0.0, 0.11, 0.11]",4.796841618604958,"[0.0, 0.0, 0.0, 0.11, 0.11]",1.6065713949501514,"[0.0, 0.0, 0.0, 0.1, 0.1]",0.507565057836473,"[0.0, 0.0, 0.0, 0.1, 0.1]",0.5068550501018763,"[0.0, 0.0, 0.0, 0.19091, 0.19091]",2.370701720006764,"[0.0, 0.0, 0.0, 0.2854, 0.2854]",7.922052345704287,"[0.0, 0.0, 0.0, 0.3383, 0.3383]",19.679318896960467,0.9676657109247784,0.6390260050917794,0.6390260050917794,0.6232146167909376,0.6232146167909376,0.7669559478338912,0.9163577558885463,1.0
"[[[5, 4], [4, 8], [2, 9], [2, 1]], [4, 4, 3, 1], [[5, 4], [4, 8], [1, 9], [3, 0]], [4, 4, 1, 2], [[5, 4], [4, 8], [2, 8], [3, 2]], [2, 4, 0, 4], [[5, 5], [4, 8], [2, 6], [3, 2]], [4, 4, 3, 4], [[5, 5], [4, 8], [1, 5], [3, 2]], [4, 4, 2, 4], [[5, 5], [4, 8], [1, 6], [3, 2]]]","[0.0, 0.0, 0.10001, 0.09289, 0.09289]",21.49313484877348,"[0.0, 0.0, 0.08835, 0.08563, 0.08563]",13.176015445962548,"[0.0, 0.0, 0.07875, 0.03, 0.03]",5.258079345803708,"[0.0, 0.0, 0.075, 0.025, 0.025]",1.8128112177364528,"[0.0, 0.0, 0.075, 0.025, 0.025]",0.5377245252020657,"[0.0, 0.0, 0.075, 0.025, 0.025]",0.5400003739632666,"[0.0, 0.0, 0.09432, 0.08072, 0.08072]",2.5361855551600456,"[0.0, 0.0, 0.09237, 0.06447, 0.06447]",8.365729900076985,"[0.0, 0.0, 0.10001, 0.09289, 0.09289]",21.59429459972307,0.9826300978701663,0.8977607475086011,0.8890743249964194,0.8890743249964194,0.8890743249964194,0.9797332199153392,0.9542593944071572,1.0
"[[[4, 7], [9, 7], [2, 2], [2, 5]], [4, 2, 1, 3], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]]]","[0.05827, 0.05827, 0.05827, 0.05827, 0.05827]",22.626613159663975,"[0.045, 0.045, 0.045, 0.045, 0.045]",13.863574281334877,"[0.0295, 0.0295, 0.0295, 0.0295, 0.0295]",5.511710878927261,"[0.0725, 0.0725, 0.0725, 0.0725, 0.0725]",1.842266202904284,"[0.05, 0.05, 0.05, 0.05, 0.05]",0.5635996283963323,"[0.05, 0.05, 0.05, 0.05, 0.05]",0.5637075114063919,"[0.02752, 0.02752, 0.02752, 0.02752, 0.02752]",2.7102178181521595,"[0.03338, 0.03338, 0.03338, 0.03338, 0.03338]",8.810333433095366,"[0.05826, 0.05826, 0.05826, 0.05826, 0.05826]",22.787034168839455,0.9668249999999999,0.928075,0.964425,0.979325,0.979325,0.923125,0.937775,0.999975
"[[[1, 6], [5, 6], [1, 4], [7, 4]], [4, 4, 0, 1], [[1, 6], [5, 6], [1, 2], [9, 4]], [4, 0, 1, 3], [[1, 6], [4, 5], [2, 3], [8, 5]], [4, 1, 0, 0], [[1, 6], [5, 5], [2, 2], [9, 4]], [4, 4, 1, 3], [[1, 6], [5, 5], [3, 3], [8, 3]], [4, 4, 0, 4], [[1, 6], [5, 5], [3, 2], [8, 3]]]","[0.12281, 0.10504, 0.09265, 0.08582, 0.09762]",22.63247432326898,"[0.09913, 0.07538, 0.0561, 0.0519, 0.0589]",13.878697697073221,"[0.06275, 0.03275, 0.005, 0.005, 0.005]",5.5035138432867825,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.8887990210205317,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5619879909791052,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5622855820693076,"[0.13039, 0.08525, 0.05126, 0.045, 0.05126]",2.6555949160829186,"[0.09064, 0.07322, 0.05702, 0.05397, 0.06111]",8.883290199562907,"[0.12281, 0.10504, 0.09265, 0.08582, 0.09762]",22.712924730032682,0.9176428107266889,0.8011724773830343,0.7460451393455916,0.7460451393455916,0.7460451393455916,0.9135581510493904,0.9158548813061625,1.0
"[[[6, 5], [7, 3], [2, 3], [4, 8]], [3, 0, 4, 4], [[5, 4], [7, 2], [2, 3], [4, 8]], [2, 4, 4, 4], [[4, 5], [7, 2], [2, 3], [4, 8]], [1, 4, 0, 4], [[5, 4], [7, 2], [2, 1], [4, 8]], [2, 4, 1, 4], [[5, 6], [7, 2], [4, 1], [4, 8]], [0, 4, 3, 4], [[6, 5], [7, 2], [3, 2], [4, 8]]]","[-0.01204, 0.11709, 0.16551, 0.1164, 0.07908]",21.873470610007644,"[-0.03295, 0.1044, 0.1571, 0.1014, 0.07725]",13.419073050841689,"[-0.03875, 0.10075, 0.10925, 0.07875, 0.021]",5.344002527650446,"[0.0, 0.0925, 0.1375, 0.075, 0.0225]",1.841322344262153,"[0.0, 0.075, 0.15, 0.075, 0.0]",0.5515938457101583,"[0.0, 0.075, 0.15, 0.075, 0.0]",0.5456344266422093,"[-0.0245, 0.11429, 0.15871, 0.10808, 0.05295]",2.573816067073494,"[0.02234, 0.10254, 0.15407, 0.10224, 0.06689]",8.607212606817484,"[-0.01204, 0.11708, 0.16551, 0.1164, 0.07908]",21.93218509014696,0.9665085607953317,0.8943093180549959,0.9102124298691628,0.8875016877904384,0.8875016877904384,0.9653349798067273,0.9516049821779142,0.9999888196601125
"[[[7, 4], [6, 1], [5, 9], [7, 6]], [4, 1, 3, 2], [[7, 4], [7, 2], [4, 9], [6, 7]], [4, 0, 0, 0], [[7, 4], [7, 0], [4, 8], [6, 6]], [0, 2, 4, 3], [[7, 2], [8, 1], [4, 8], [5, 7]], [2, 4, 4, 0], [[7, 4], [8, 1], [4, 8], [5, 5]], [1, 4, 4, 4], [[8, 4], [8, 1], [4, 8], [5, 5]]]","[0.13215, -0.08197, -0.1114, 0.13813, 0.13695]",20.98818359617144,"[0.12498, -0.06075, -0.10248, 0.13177, 0.11115]",12.929047584999353,"[0.075, -0.09725, -0.18175, 0.2165, 0.0785]",5.152014044113457,"[0.075, -0.18, -0.145, 0.24, 0.1025]",1.7679987847805023,"[0.075, -0.7, -0.125, 0.3, 0.15]",0.5248695001937449,"[0.075, -0.7, -0.125, 0.3, 0.15]",0.524419501889497,"[0.11885, -0.20583, -0.12497, 0.21568, 0.18028]",2.4699732940644026,"[0.14873, -0.06046, -0.11052, 0.16415, 0.15073]",8.207577068824321,"[0.13215, -0.08197, -0.1114, 0.13813, 0.13695]",21.152264554053545,0.9598852692268788,0.8499709078211829,0.8212219854120759,0.28255282180497776,0.28255282180497776,0.8282668279714137,0.955204915169184,1.0
"[[[0, 5], [0, 6], [2, 2], [7, 4]], [1, 1, 1, 4], [[1, 6], [2, 6], [3, 2], [7, 4]], [4, 2, 4, 4], [[1, 6], [2, 8], [3, 2], [7, 4]], [4, 1, 4, 4], [[1, 6], [3, 8], [3, 2], [7, 4]], [4, 1, 4, 4], [[1, 6], [5, 8], [3, 2], [7, 4]], [4, 3, 4, 4], [[1, 6], [4, 8], [3, 2], [7, 4]]]","[-0.022, 0.81311, 0.40188, 0.24129, 0.24129]",21.646599050145596,"[-0.0176, 0.79545, 0.4095, 0.2144, 0.2144]",13.180693846661597,"[-0.044, 0.77325, 0.45525, 0.04825, 0.04825]",5.252673710230738,"[-0.11, 0.7525, 0.335, 0.015, 0.015]",1.7470014011487365,"[-0.1, 0.625, 0.175, 0.025, 0.025]",0.5328862462192774,"[-0.1, 0.625, 0.175, 0.025, 0.025]",0.5997692090459168,"[-0.02276, 0.74816, 0.2206, 0.08481, 0.08481]",2.5222755731083453,"[-0.02123, 0.80686, 0.36414, 0.1967, 0.1967]",8.348471107892692,"[-0.022, 0.81311, 0.40188, 0.24129, 0.24129]",21.73125557228923,0.9521010934362798,0.6848610233166961,0.6154469563571237,0.517161213887078,0.517161213887078,0.6720261075557995,0.9175341040186915,1.0
"[[[4, 3], [2, 8], [0, 6], [9, 8]], [2, 1, 1, 3], [[4, 4], [4, 8], [2, 6], [8, 9]], [1, 4, 3, 0], [[5, 3], [4, 8], [1, 6], [8, 8]], [2, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]], [4, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]], [4, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]]]","[0.12968, 0.13142, 0.10489, 0.03781, 0.03781]",20.695681491866708,"[0.13275, 0.1321, 0.10155, 0.0298, 0.0298]",12.718087495770305,"[0.1325, 0.133, 0.1015, 0.03, 0.03]",5.063352413009852,"[0.125, 0.125, 0.1, 0.025, 0.025]",1.741717915982008,"[0.125, 0.125, 0.1, 0.025, 0.025]",0.5205606920644641,"[0.125, 0.125, 0.1, 0.025, 0.025]",0.5196909322403371,"[0.125, 0.125, 0.1, 0.025, 0.025]",2.445651304908097,"[0.12595, 0.12729, 0.10194, 0.02876, 0.02876]",8.102025846019387,"[0.12968, 0.13142, 0.10489, 0.03781, 0.03781]",20.93751713866368,0.9863360373609995,0.9865867090167998,0.977217794773113,0.977217794773113,0.977217794773113,0.977217794773113,0.9840517516635838,1.0
