History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[4, 7], [8, 3], [1, 6], [7, 1]], [4, 2, 4, 4], [[4, 7], [9, 4], [1, 6], [7, 1]], [4, 3, 4, 4], [[4, 7], [8, 5], [1, 6], [7, 1]], [4, 0, 4, 4], [[4, 7], [8, 3], [1, 6], [7, 1]], [4, 2, 4, 4], [[4, 7], [8, 5], [1, 6], [7, 1]], [4, 0, 4, 4], [[4, 7], [8, 4], [1, 6], [7, 1]]]","[0.039, 0.039, 0.039, 0.039, 0.039]",30.439585581421852,"[0.031, 0.031, 0.031, 0.031, 0.031]",20.247619558125734,"[0.004, 0.004, 0.004, 0.004, 0.004]",8.371412485837936,"[0.01, 0.01, 0.01, 0.01, 0.01]",2.8439245261251926,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8504901975393295,0.01788854381999832,0.07826237921249264,0.0648459713474939,0.0872066511224918
"[[[2, 9], [7, 7], [5, 0], [7, 3]], [0, 2, 3, 0], [[2, 7], [7, 8], [3, 0], [7, 2]], [4, 1, 2, 4], [[2, 7], [8, 7], [3, 2], [7, 2]], [4, 2, 4, 4], [[2, 7], [8, 9], [3, 2], [7, 2]], [4, 0, 4, 4], [[2, 7], [8, 8], [3, 2], [7, 2]], [4, 4, 4, 4], [[2, 7], [8, 8], [3, 2], [7, 2]]]","[0.009, 0.038, 0.038, 0.038, 0.038]",29.922169100493193,"[0.012, 0.024, 0.024, 0.024, 0.024]",20.09748551249504,"[0.005, 0.002, 0.002, 0.002, 0.002]",8.412282135337591,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.9133716970682144,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8483334481716156,0.028160255680657446,0.07211102550927978,0.07653103945458993,0.07653103945458993
"[[[7, 8], [1, 4], [3, 0], [2, 9]], [1, 1, 2, 0], [[8, 8], [2, 4], [3, 2], [2, 8]], [4, 4, 0, 4], [[8, 8], [2, 4], [3, 1], [2, 8]], [4, 0, 4, 4], [[8, 8], [3, 3], [3, 1], [2, 8]], [4, 1, 4, 4], [[8, 8], [5, 3], [3, 1], [2, 8]], [4, 2, 4, 4], [[8, 8], [5, 4], [3, 1], [2, 8]]]","[0.0, 0.0, 0.0, 0.338, 0.338]",26.002793721854687,"[0.0, 0.0, 0.0, 0.318, 0.318]",17.324684478342533,"[0.0, 0.0, 0.0, 0.11, 0.11]",7.047977678477764,"[0.0, 0.0, 0.0, 0.11, 0.11]",2.4276839531958103,"[0.0, 0.0, 0.0, 0.1, 0.1]",0.7482918240129948,0.028284271247461926,0.3224406922210657,0.3224406922210657,0.33658282784479665
"[[[5, 4], [4, 8], [2, 9], [2, 1]], [4, 4, 3, 1], [[5, 4], [4, 8], [1, 9], [3, 0]], [4, 4, 1, 2], [[5, 4], [4, 8], [2, 8], [3, 2]], [2, 4, 0, 4], [[5, 5], [4, 8], [2, 6], [3, 2]], [4, 4, 3, 4], [[5, 5], [4, 8], [1, 5], [3, 2]], [4, 4, 2, 4], [[5, 5], [4, 8], [1, 6], [3, 2]]]","[0.0, 0.0, 0.1, 0.093, 0.093]",28.019070275127888,"[0.0, 0.0, 0.088, 0.086, 0.086]",18.813857842236757,"[0.0, 0.0, 0.079, 0.03, 0.03]",7.7457533441483974,"[0.0, 0.0, 0.075, 0.025, 0.025]",2.6471591368317604,"[0.0, 0.0, 0.075, 0.025, 0.025]",0.796539880335331,0.01555634918610406,0.09153687781435414,0.09936297097007517,0.09936297097007517
"[[[4, 7], [9, 7], [2, 2], [2, 5]], [4, 2, 1, 3], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]], [4, 4, 4, 4], [[4, 7], [8, 8], [3, 3], [1, 6]]]","[0.058, 0.058, 0.058, 0.058, 0.058]",29.768342811614275,"[0.045, 0.045, 0.045, 0.045, 0.045]",19.758250080049038,"[0.03, 0.03, 0.03, 0.03, 0.03]",8.03886041790247,"[0.072, 0.072, 0.072, 0.072, 0.072]",2.769835941493511,"[0.05, 0.05, 0.05, 0.05, 0.05]",0.8602268360555172,0.029068883707497276,0.06260990336999413,0.031304951684997036,0.01788854381999832
"[[[1, 6], [5, 6], [1, 4], [7, 4]], [4, 4, 0, 1], [[1, 6], [5, 6], [1, 2], [9, 4]], [4, 0, 1, 3], [[1, 6], [4, 5], [2, 3], [8, 5]], [4, 1, 0, 0], [[1, 6], [5, 5], [2, 2], [9, 4]], [4, 4, 1, 3], [[1, 6], [5, 5], [3, 3], [8, 3]], [4, 4, 0, 4], [[1, 6], [5, 5], [3, 2], [8, 3]]]","[0.123, 0.105, 0.093, 0.086, 0.098]",29.84516252577305,"[0.099, 0.075, 0.056, 0.052, 0.059]",19.947485473006964,"[0.063, 0.033, 0.005, 0.005, 0.005]",7.951249603182077,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.7632053829729557,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8602086268365383,0.0743101608126372,0.1781516208177742,0.227602724061027,0.227602724061027
"[[[6, 5], [7, 3], [2, 3], [4, 8]], [3, 0, 4, 4], [[5, 4], [7, 2], [2, 3], [4, 8]], [2, 4, 4, 4], [[4, 5], [7, 2], [2, 3], [4, 8]], [1, 4, 0, 4], [[5, 4], [7, 2], [2, 1], [4, 8]], [2, 4, 1, 4], [[5, 6], [7, 2], [4, 1], [4, 8]], [0, 4, 3, 4], [[6, 5], [7, 2], [3, 2], [4, 8]]]","[-0.012, 0.117, 0.166, 0.116, 0.079]",28.708997905254364,"[-0.033, 0.104, 0.157, 0.101, 0.077]",19.107849545776844,"[-0.039, 0.101, 0.109, 0.079, 0.021]",7.968891486525536,"[0.0, 0.092, 0.137, 0.075, 0.022]",2.7462130934000015,"[0.0, 0.075, 0.15, 0.075, 0.0]",0.8241422474384308,0.03033150177620621,0.09469424480928079,0.08087026647662292,0.10042907945411031
"[[[7, 4], [6, 1], [5, 9], [7, 6]], [4, 1, 3, 2], [[7, 4], [7, 2], [4, 9], [6, 7]], [4, 0, 0, 0], [[7, 4], [7, 0], [4, 8], [6, 6]], [0, 2, 4, 3], [[7, 2], [8, 1], [4, 8], [5, 7]], [2, 4, 4, 0], [[7, 4], [8, 1], [4, 8], [5, 5]], [1, 4, 4, 4], [[8, 4], [8, 1], [4, 8], [5, 5]]]","[0.132, -0.082, -0.111, 0.138, 0.137]",27.632037557661533,"[0.125, -0.061, -0.102, 0.132, 0.111]",18.585996486246586,"[0.075, -0.097, -0.182, 0.217, 0.079]",7.522225260734558,"[0.075, -0.18, -0.145, 0.24, 0.102]",2.597831103950739,"[0.075, -0.7, -0.125, 0.3, 0.15]",0.8185266554355621,0.035818989377144644,0.13461054936371072,0.16011870596529312,0.6417024232461648
"[[[0, 5], [0, 6], [2, 2], [7, 4]], [1, 1, 1, 4], [[1, 6], [2, 6], [3, 2], [7, 4]], [4, 2, 4, 4], [[1, 6], [2, 8], [3, 2], [7, 4]], [4, 1, 4, 4], [[1, 6], [3, 8], [3, 2], [7, 4]], [4, 1, 4, 4], [[1, 6], [5, 8], [3, 2], [7, 4]], [4, 3, 4, 4], [[1, 6], [4, 8], [3, 2], [7, 4]]]","[-0.022, 0.813, 0.402, 0.241, 0.241]",28.75134040787816,"[-0.018, 0.795, 0.41, 0.214, 0.214]",19.167158611118793,"[-0.044, 0.773, 0.455, 0.048, 0.048]",7.704789314419031,"[-0.11, 0.752, 0.335, 0.015, 0.015]",2.689654838293791,"[-0.1, 0.625, 0.175, 0.025, 0.025]",0.7997584529221058,0.043150898020782785,0.2817640857171119,0.3436655350773481,0.43158892478839167
"[[[4, 3], [2, 8], [0, 6], [9, 8]], [2, 1, 1, 3], [[4, 4], [4, 8], [2, 6], [8, 9]], [1, 4, 3, 0], [[5, 3], [4, 8], [1, 6], [8, 8]], [2, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]], [4, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]], [4, 4, 4, 4], [[5, 5], [4, 8], [1, 6], [8, 8]]]","[0.13, 0.131, 0.105, 0.038, 0.038]",27.27025442942977,"[0.133, 0.132, 0.102, 0.03, 0.03]",18.298914089798927,"[0.133, 0.133, 0.102, 0.03, 0.03]",7.373110957443714,"[0.125, 0.125, 0.1, 0.025, 0.025]",2.567213721573353,"[0.125, 0.125, 0.1, 0.025, 0.025]",0.7853632606565952,0.012124355652982142,0.012247448713915893,0.020591260281973996,0.020591260281973996
