History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[6, 3], [7, 5], [5, 8], [5, 0]], [1, 3, 3, 3], [[7, 4], [6, 4], [4, 9], [4, 1]], [1, 3, 0, 3], [[8, 4], [5, 3], [4, 7], [3, 0]], [4, 2, 4, 2], [[8, 4], [5, 4], [4, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 4], [4, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 4], [4, 7], [3, 1]]]","[0.19331, 0.02277, 0.10517, 0.01189, 0.01189]",21.43634504592046,"[0.19195, 0.01975, 0.10243, 0.00723, 0.00723]",13.187534840777516,"[0.21325, 0.02275, 0.101, 0.001, 0.001]",5.261372736189514,"[0.22, 0.0225, 0.1, 0.0, 0.0]",1.787290662061423,"[0.275, 0.025, 0.1, 0.0, 0.0]",0.5316254869103432,"[0.275, 0.025, 0.1, 0.0, 0.0]",0.5310969930142164,"[0.15313, 0.00416, 0.1, 0.0, 0.0]",2.5027820370160043,"[0.17159, 0.00156, 0.1, 0.0, 0.0]",8.32832222757861,"[0.19331, 0.02277, 0.10517, 0.01189, 0.01189]",21.717532600741833,0.9912030687168764,0.9714479182019945,0.9642595799549026,0.9065407702524786,0.9065407702524786,0.9467290229111573,0.9607715728074653,1.0
"[[[4, 4], [8, 4], [6, 0], [3, 8]], [1, 4, 1, 4], [[5, 3], [8, 4], [7, 1], [3, 8]], [2, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]]]","[0.01855, 0.03239, 0.03443, 0.03443, 0.03443]",21.23188061406836,"[0.0269, 0.0252, 0.039, 0.039, 0.039]",13.051523826085031,"[0.016, 0.0215, 0.0125, 0.0125, 0.0125]",5.183098032604903,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.7823052378371358,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5397045961581171,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.537200712133199,"[0.0, 0.00511, 0.0, 0.0, 0.0]",2.5272514382377267,"[0.01637, 0.03613, 0.02685, 0.02685, 0.02685]",8.326386644970626,"[0.01855, 0.03239, 0.03443, 0.03443, 0.03443]",21.470136574935168,0.9848312286258907,0.9557299579286398,0.9213433942697754,0.9213433942697754,0.9213433942697754,0.9238047278369583,0.9845440464545212,1.0
"[[[2, 3], [6, 2], [0, 1], [1, 5]], [1, 1, 2, 2], [[4, 3], [7, 3], [0, 2], [1, 7]], [2, 0, 3, 0], [[5, 4], [7, 2], [0, 3], [1, 6]], [2, 4, 1, 4], [[5, 5], [7, 2], [1, 4], [1, 6]], [4, 4, 0, 4], [[5, 5], [7, 2], [1, 3], [1, 6]], [4, 4, 1, 4], [[5, 5], [7, 2], [2, 3], [1, 6]]]","[0.02027, 0.31822, 0.1025, 0.05298, 0.07861]",21.2059372686781,"[0.0198, 0.3362, 0.07553, 0.01188, 0.03898]",13.004317885264754,"[0.01425, 0.335, 0.075, 0.02375, 0.054]",5.196714854799211,"[0.035, 0.335, 0.075, 0.0, 0.025]",1.756513216998428,"[-0.2, 0.325, 0.075, 0.0, 0.025]",0.5257509592920542,"[-0.2, 0.325, 0.075, 0.0, 0.025]",0.5194541160017252,"[0.00306, 0.31056, 0.10429, 0.02659, 0.05159]",2.5083101629279554,"[0.03493, 0.32113, 0.09356, 0.02244, 0.04744]",8.24054750194773,"[0.02027, 0.31822, 0.1025, 0.05298, 0.07861]",21.281967177055776,0.9265950521081855,0.9437183000434421,0.9068891534245338,0.7377930116301246,0.7377930116301246,0.9527694974089836,0.9474694398468854,1.0
"[[[8, 1], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 2], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 3], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 5], [5, 5], [3, 8], [7, 1]], [0, 4, 4, 4], [[8, 3], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 5], [5, 5], [3, 8], [7, 1]]]","[0.1439, 0.12959, 0.05487, 0.05416, 0.05487]",21.638944128062576,"[0.1627, 0.09155, 0.00075, 0.01033, 0.00075]",13.275551564991474,"[0.148, 0.085, 0.0, 0.01275, 0.0]",5.23196693463251,"[0.07, 0.015, 0.0, 0.0125, 0.0]",1.7738208682276309,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5485776108689606,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5462293596938252,"[0.0958, 0.07319, 0.03708, 0.03443, 0.03708]",2.6161697381176054,"[0.15113, 0.11216, 0.03915, 0.0374, 0.03915]",8.384182123001665,"[0.1439, 0.12959, 0.05487, 0.05416, 0.05487]",21.67606026912108,0.8905725165920371,0.8896522542142342,0.8185162972192819,0.7590240740758529,0.7590240740758529,0.9097447293782795,0.9623966058712781,1.0
"[[[2, 9], [7, 4], [5, 1], [8, 1]], [0, 4, 1, 4], [[2, 7], [7, 4], [6, 0], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [5, 0], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [4, 1], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [3, 2], [8, 1]], [4, 4, 4, 4], [[2, 7], [7, 4], [3, 2], [8, 1]]]","[0.00417, 0.27524, 0.00175, 0.00175, 0.00175]",22.613446808885783,"[0.0, 0.2768, 0.0, 0.0, 0.0]",13.88441075803712,"[0.0, 0.272, 0.0, 0.0, 0.0]",5.454776686150581,"[0.0, 0.265, 0.0, 0.0, 0.0]",1.835401268210262,"[0.0, 0.225, 0.0, 0.0, 0.0]",0.5625480893068016,"[0.0, 0.225, 0.0, 0.0, 0.0]",0.5593373947776854,"[0.00456, 0.225, 0.0, 0.0, 0.0]",2.611286526080221,"[0.00523, 0.29078, 0.00108, 0.00108, 0.00108]",8.839861490763724,"[0.00417, 0.27524, 0.00175, 0.00175, 0.00175]",22.529645750764757,0.993978164731579,0.9931924674073495,0.9871823364063492,0.9435350329850446,0.9435350329850446,0.9437261472795757,0.9825371143564415,1.0
"[[[6, 4], [6, 6], [9, 6], [1, 9]], [1, 4, 0, 1], [[7, 3], [6, 6], [9, 4], [2, 9]], [0, 3, 4, 0], [[7, 2], [5, 5], [9, 4], [2, 8]], [0, 4, 3, 4], [[7, 0], [5, 5], [8, 5], [2, 8]], [2, 4, 0, 4], [[7, 2], [5, 5], [8, 3], [2, 8]], [0, 4, 2, 4], [[6, 1], [5, 5], [8, 5], [2, 8]]]","[0.11766, 0.20459, 0.03775, 0.00861, 0.03775]",21.674271260853857,"[0.09302, 0.22033, 0.07818, 0.02153, 0.07818]",13.295253960881382,"[0.0925, 0.235, 0.02925, 0.0, 0.02925]",5.2753593269735575,"[0.0975, 0.2975, 0.01, 0.0, 0.01]",1.833737054374069,"[0.075, 0.375, 0.0, 0.0, 0.0]",0.5523146060295403,"[0.075, 0.375, 0.0, 0.0, 0.0]",0.5421091839671135,"[0.15604, 0.1384, 0.03035, -0.00613, 0.03035]",2.529135182965547,"[0.14559, 0.18086, 0.02986, 0.0001, 0.02986]",8.496977590955794,"[0.11766, 0.20459, 0.03775, 0.00861, 0.03775]",21.73566687339917,0.9267626000598055,0.952877476192377,0.8846042093488675,0.7945015182537837,0.7945015182537837,0.9121014213709915,0.9561234387742157,1.0
"[[[2, 7], [4, 4], [6, 6], [4, 5]], [4, 0, 4, 1], [[2, 7], [3, 3], [6, 6], [5, 6]], [4, 4, 0, 3], [[2, 7], [3, 3], [7, 5], [4, 5]], [4, 0, 0, 1], [[2, 7], [4, 2], [6, 4], [6, 5]], [4, 3, 1, 3], [[2, 7], [3, 3], [7, 5], [5, 6]], [4, 4, 0, 4], [[2, 7], [3, 3], [7, 3], [5, 6]]]","[-0.01373, 0.17088, 0.00553, 0.00549, 0.00558]",22.186288631055504,"[-0.01375, 0.36425, 0.0, 0.0, 0.0]",13.629673436749727,"[-0.011, 0.3595, 0.0, 0.0, 0.0]",5.4378734468482435,"[-0.005, 0.3025, 0.0, 0.0, 0.0]",1.8606723779812455,"[0.0, 0.35, 0.0, 0.0, 0.0]",0.5550664057955146,"[0.0, 0.35, 0.0, 0.0, 0.0]",0.5477894372306764,"[-0.01013, 0.31946, 0.0, 0.0, 0.0]",2.616133349016309,"[-0.00858, 0.15745, 0.00612, 0.00694, 0.00707]",8.709433177951723,"[-0.01373, 0.17088, 0.00553, 0.00549, 0.00558]",22.47021774109453,0.7835403770330365,0.788822306161375,0.8521322605332725,0.7988646453877389,0.7988646453877389,0.8334886122512938,0.9837381543175444,1.0
"[[[7, 2], [9, 8], [8, 9], [2, 7]], [4, 0, 2, 4], [[7, 2], [9, 7], [9, 9], [2, 7]], [4, 0, 3, 4], [[7, 2], [9, 6], [8, 8], [2, 7]], [4, 0, 4, 4], [[7, 2], [8, 5], [8, 8], [2, 7]], [4, 0, 4, 4], [[7, 2], [8, 4], [8, 8], [2, 7]], [0, 4, 4, 4], [[7, 1], [8, 4], [8, 8], [2, 7]]]","[0.0439, -0.08218, 0.02122, 0.00031, 0.02781]",21.27204938000068,"[0.0446, -0.2448, 0.00755, -0.0275, 0.04125]",13.049671853892505,"[0.07325, 0.06525, 0.03, 0.006, 0.006]",5.2196277203038335,"[0.025, 0.0, 0.0075, 0.0, 0.0]",1.78984500374645,"[0.025, 0.0, 0.0, 0.0, 0.0]",0.5376498298719525,"[0.025, 0.0, 0.0, 0.0, 0.0]",0.5362805719487369,"[0.06677, -0.15874, 0.04387, -0.0422, 0.02671]",2.514833665918559,"[0.04727, -0.06301, 0.03983, 0.00707, 0.03055]",8.362464979756624,"[0.0439, -0.08217, 0.02122, 0.00031, 0.02781]",21.356262545101345,0.8143031603661495,0.8297715946147648,0.8995479405387824,0.8979305199876084,0.8979305199876084,0.8956819580561445,0.9688073906990774,0.9999888196601125
"[[[7, 2], [6, 5], [7, 1], [7, 9]], [2, 4, 4, 1], [[7, 4], [6, 5], [7, 1], [8, 9]], [1, 3, 4, 0], [[8, 5], [5, 6], [7, 1], [8, 7]], [0, 0, 4, 2], [[8, 4], [5, 5], [7, 1], [8, 9]], [4, 4, 4, 0], [[8, 4], [5, 5], [7, 1], [8, 7]], [4, 4, 4, 2], [[8, 4], [5, 5], [7, 1], [8, 9]]]","[0.02479, 0.12058, 0.10917, 0.10128, 0.10128]",21.283426626119763,"[0.0599, 0.0911, 0.06228, 0.0036, 0.0036]",13.06510193971917,"[0.0225, 0.118, 0.0755, 0.0045, 0.0045]",5.184243642259389,"[0.005, 0.1175, 0.0825, 0.0, 0.0]",1.7922294619493186,"[0.0, 0.125, 0.1, 0.0, 0.0]",0.5357815031893551,"[0.0, 0.125, 0.1, 0.0, 0.0]",0.5361340469680727,"[0.03121, 0.23547, 0.09946, 0.04901, 0.04901]",2.503522472921759,"[0.0211, 0.10405, 0.09175, 0.06658, 0.06658]",8.30515263369307,"[0.02479, 0.12058, 0.10917, 0.10128, 0.10128]",21.474363662768155,0.8290350203989133,0.8423678879479184,0.8355779204303753,0.8370834331628609,0.8370834331628609,0.846704866352516,0.938778135033307,1.0
"[[[3, 4], [4, 1], [7, 9], [5, 6]], [0, 3, 1, 4], [[4, 3], [3, 1], [8, 9], [5, 6]], [2, 4, 0, 0], [[4, 5], [3, 1], [8, 8], [5, 4]], [2, 4, 4, 1], [[3, 6], [3, 1], [8, 8], [6, 5]], [3, 4, 4, 4], [[2, 7], [3, 1], [8, 8], [6, 5]], [4, 4, 4, 4], [[2, 7], [3, 1], [8, 8], [6, 5]]]","[-0.02823, 0.06231, 0.32625, 0.05204, 0.02203]",20.694356711115688,"[-0.05905, 0.06127, 0.31843, 0.05732, 0.01845]",12.805604422930628,"[-0.07925, 0.119, 0.3725, 0.0505, 0.0135]",5.011188758071512,"[-0.0075, 0.09, 0.37, 0.1, 0.0]",1.744640488177538,"[-0.15, 0.25, 0.275, 0.075, 0.0]",0.5234939130023122,"[-0.15, 0.25, 0.275, 0.075, 0.0]",0.5278054280206561,"[-0.19928, 0.15172, 0.25302, 0.02068, 0.03239]",2.4454472912475467,"[-0.03018, 0.05393, 0.31433, 0.05586, 0.02243]",8.101209585089236,"[-0.02823, 0.06231, 0.32625, 0.05204, 0.02203]",20.841902246233076,0.9637232650311526,0.8998064903549137,0.9141511939512261,0.7409283062548129,0.7409283062548129,0.7662649397822398,0.9830122948871839,1.0
