History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[6, 3], [7, 5], [5, 8], [5, 0]], [1, 3, 3, 3], [[7, 4], [6, 4], [4, 9], [4, 1]], [1, 3, 0, 3], [[8, 4], [5, 3], [4, 7], [3, 0]], [4, 2, 4, 2], [[8, 4], [5, 4], [4, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 4], [4, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 4], [4, 7], [3, 1]]]","[0.193, 0.023, 0.105, 0.012, 0.012]",28.781908813863993,"[0.192, 0.02, 0.102, 0.007, 0.007]",19.358976885676384,"[0.213, 0.023, 0.101, 0.001, 0.001]",8.006679143756628,"[0.22, 0.022, 0.1, 0.0, 0.0]",2.76002898812294,"[0.275, 0.025, 0.1, 0.0, 0.0]",0.8109015859663486,0.008306623862918076,0.02565151067676131,0.03229551052391028,0.08391066678319273
"[[[4, 4], [8, 4], [6, 0], [3, 8]], [1, 4, 1, 4], [[5, 3], [8, 4], [7, 1], [3, 8]], [2, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]], [4, 4, 4, 4], [[5, 4], [8, 4], [7, 1], [3, 8]]]","[0.019, 0.032, 0.034, 0.034, 0.034]",28.11542383953929,"[0.027, 0.025, 0.039, 0.039, 0.039]",19.103417620062828,"[0.016, 0.022, 0.012, 0.012, 0.012]",7.706951305270195,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.6338425166904926,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.807452853769064,0.013711309200802085,0.03950949253027683,0.06966347680097514,0.06966347680097514
"[[[2, 3], [6, 2], [0, 1], [1, 5]], [1, 1, 2, 2], [[4, 3], [7, 3], [0, 2], [1, 7]], [2, 0, 3, 0], [[5, 4], [7, 2], [0, 3], [1, 6]], [2, 4, 1, 4], [[5, 5], [7, 2], [1, 4], [1, 6]], [4, 4, 0, 4], [[5, 5], [7, 2], [1, 3], [1, 6]], [4, 4, 1, 4], [[5, 5], [7, 2], [2, 3], [1, 6]]]","[0.02, 0.318, 0.102, 0.053, 0.079]",28.073381528258324,"[0.02, 0.336, 0.076, 0.012, 0.039]",18.83445021137595,"[0.014, 0.335, 0.075, 0.024, 0.054]",7.539967510849237,"[0.035, 0.335, 0.075, 0.0, 0.025]",2.5545369312167168,"[-0.2, 0.325, 0.075, 0.0, 0.025]",0.7996855527162552,0.06542935121182236,0.050199601592044535,0.08347454701883683,0.23431389203374178
"[[[8, 1], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 2], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 3], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 5], [5, 5], [3, 8], [7, 1]], [0, 4, 4, 4], [[8, 3], [5, 5], [3, 8], [7, 1]], [2, 4, 4, 4], [[8, 5], [5, 5], [3, 8], [7, 1]]]","[0.144, 0.13, 0.055, 0.054, 0.055]",28.105916641652584,"[0.163, 0.092, 0.001, 0.01, 0.001]",19.028074357658625,"[0.148, 0.085, 0.0, 0.013, 0.0]",7.674512419849634,"[0.07, 0.015, 0.0, 0.012, 0.0]",2.668636988848448,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7977672703564167,0.09784170889758621,0.09885342685005917,0.16283427157696256,0.21587496381007223
"[[[2, 9], [7, 4], [5, 1], [8, 1]], [0, 4, 1, 4], [[2, 7], [7, 4], [6, 0], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [5, 0], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [4, 1], [8, 1]], [4, 4, 3, 4], [[2, 7], [7, 4], [3, 2], [8, 1]], [4, 4, 4, 4], [[2, 7], [7, 4], [3, 2], [8, 1]]]","[0.004, 0.275, 0.002, 0.002, 0.002]",29.29087232798338,"[0.0, 0.277, 0.0, 0.0, 0.0]",19.69894438236952,"[0.0, 0.272, 0.0, 0.0, 0.0]",8.035084076225758,"[0.0, 0.265, 0.0, 0.0, 0.0]",2.7781696133315563,"[0.0, 0.225, 0.0, 0.0, 0.0]",0.8281056173145771,0.005656854249492381,0.006082762530298221,0.011313708498984769,0.05027922035990615
"[[[6, 4], [6, 6], [9, 6], [1, 9]], [1, 4, 0, 1], [[7, 3], [6, 6], [9, 4], [2, 9]], [0, 3, 4, 0], [[7, 2], [5, 5], [9, 4], [2, 8]], [0, 4, 3, 4], [[7, 0], [5, 5], [8, 5], [2, 8]], [2, 4, 0, 4], [[7, 2], [5, 5], [8, 3], [2, 8]], [0, 4, 2, 4], [[6, 1], [5, 5], [8, 5], [2, 8]]]","[0.118, 0.205, 0.038, 0.009, 0.038]",28.424075599759817,"[0.093, 0.22, 0.078, 0.022, 0.078]",19.15624087676406,"[0.093, 0.235, 0.029, 0.0, 0.029]",7.663010086864233,"[0.097, 0.297, 0.01, 0.0, 0.01]",2.6399657651782036,"[0.075, 0.375, 0.0, 0.0, 0.0]",0.8078986331820488,0.06495382975621992,0.04204759208325727,0.10273266277090261,0.18362461708605413
"[[[2, 7], [4, 4], [6, 6], [4, 5]], [4, 0, 4, 1], [[2, 7], [3, 3], [6, 6], [5, 6]], [4, 4, 0, 3], [[2, 7], [3, 3], [7, 5], [4, 5]], [4, 0, 0, 1], [[2, 7], [4, 2], [6, 4], [6, 5]], [4, 3, 1, 3], [[2, 7], [3, 3], [7, 5], [5, 6]], [4, 4, 0, 4], [[2, 7], [3, 3], [7, 3], [5, 6]]]","[-0.014, 0.171, 0.006, 0.005, 0.006]",29.09304327517748,"[-0.014, 0.364, 0.0, 0.0, 0.0]",19.747493594884872,"[-0.011, 0.36, 0.0, 0.0, 0.0]",7.969725623726845,"[-0.005, 0.302, 0.0, 0.0, 0.0]",2.692754775285721,"[0.0, 0.35, 0.0, 0.0, 0.0]",0.8255053833127022,0.193251131950113,0.18928021555355432,0.1316776366738103,0.1798165732072547
"[[[7, 2], [9, 8], [8, 9], [2, 7]], [4, 0, 2, 4], [[7, 2], [9, 7], [9, 9], [2, 7]], [4, 0, 3, 4], [[7, 2], [9, 6], [8, 8], [2, 7]], [4, 0, 4, 4], [[7, 2], [8, 5], [8, 8], [2, 7]], [4, 0, 4, 4], [[7, 2], [8, 4], [8, 8], [2, 7]], [0, 4, 4, 4], [[7, 1], [8, 4], [8, 8], [2, 7]]]","[0.044, -0.082, 0.021, 0.0, 0.028]",27.77507772669196,"[0.045, -0.245, 0.008, -0.028, 0.041]",18.9280843809247,"[0.073, 0.065, 0.03, 0.006, 0.006]",7.578837692737579,"[0.025, 0.0, 0.007, 0.0, 0.0]",2.5913354344666004,"[0.025, 0.0, 0.0, 0.0, 0.0]",0.789520900696516,0.1664091343646736,0.15182555779578089,0.08980534505250787,0.09115920140062658
"[[[7, 2], [6, 5], [7, 1], [7, 9]], [2, 4, 4, 1], [[7, 4], [6, 5], [7, 1], [8, 9]], [1, 3, 4, 0], [[8, 5], [5, 6], [7, 1], [8, 7]], [0, 0, 4, 2], [[8, 4], [5, 5], [7, 1], [8, 9]], [4, 4, 4, 0], [[8, 4], [5, 5], [7, 1], [8, 7]], [4, 4, 4, 2], [[8, 4], [5, 5], [7, 1], [8, 9]]]","[0.025, 0.121, 0.109, 0.101, 0.101]",27.94621942192316,"[0.06, 0.091, 0.062, 0.004, 0.004]",18.664759892970324,"[0.023, 0.118, 0.076, 0.005, 0.005]",7.584476836025715,"[0.005, 0.117, 0.083, 0.0, 0.0]",2.574840374290943,"[0.0, 0.125, 0.1, 0.0, 0.0]",0.7899099066853523,0.15215781281288188,0.13976408694654002,0.14660832172833846,0.14534097839219332
"[[[3, 4], [4, 1], [7, 9], [5, 6]], [0, 3, 1, 4], [[4, 3], [3, 1], [8, 9], [5, 6]], [2, 4, 0, 0], [[4, 5], [3, 1], [8, 8], [5, 4]], [2, 4, 4, 1], [[3, 6], [3, 1], [8, 8], [6, 5]], [3, 4, 4, 4], [[2, 7], [3, 1], [8, 8], [6, 5]], [4, 4, 4, 4], [[2, 7], [3, 1], [8, 8], [6, 5]]]","[-0.028, 0.062, 0.326, 0.052, 0.022]",26.958351142704487,"[-0.059, 0.061, 0.318, 0.057, 0.018]",18.37919619679451,"[-0.079, 0.119, 0.373, 0.05, 0.014]",7.421781986951828,"[-0.007, 0.09, 0.37, 0.1, 0.0]",2.510067615658045,"[-0.15, 0.25, 0.275, 0.075, 0.0]",0.7851856090128422,0.03266496594212215,0.09014987520790031,0.07712976079309464,0.232038789860661
