History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[5, 1], [6, 1], [7, 6], [7, 9]], [3, 1, 0, 1], [[4, 0], [7, 2], [6, 5], [8, 8]], [3, 4, 4, 4], [[3, 0], [7, 2], [6, 5], [8, 8]], [2, 4, 4, 4], [[4, 1], [7, 2], [6, 5], [8, 8]], [3, 4, 4, 4], [[3, 1], [7, 2], [6, 5], [8, 8]], [4, 4, 4, 4], [[3, 1], [7, 2], [6, 5], [8, 8]]]","[0.16849, 0.05469, 0.02115, 0.01989, 0.01449]",21.534015986137092,"[0.12935, 0.0315, 0.0, 0.0, 0.0]",13.375303362030536,"[0.089, 0.0315, 0.0, 0.0, 0.0]",5.297155519016087,"[0.095, 0.035, 0.0, 0.0, 0.0]",1.7663152860477567,"[0.075, 0.05, 0.0, 0.0, 0.0]",0.5442885481752455,"[0.075, 0.05, 0.0, 0.0, 0.0]",0.5458308979868889,"[0.15104, 0.05, 0.0, 0.00557, 0.0]",2.5507003269158304,"[0.1614, 0.04807, 0.00883, 0.01004, 0.00577]",8.503852425608784,"[0.16849, 0.05469, 0.02115, 0.01989, 0.01449]",21.616491684224457,0.9375239005698979,0.9005682966805858,0.9075245241969526,0.8892340818437368,0.8892340818437368,0.9614506225731206,0.9771161683715336,1.0
"[[[4, 8], [9, 8], [8, 0], [2, 1]], [4, 3, 3, 1], [[4, 8], [8, 7], [7, 0], [4, 1]], [4, 2, 2, 3], [[4, 8], [8, 8], [7, 1], [3, 0]], [4, 4, 4, 2], [[4, 8], [8, 8], [7, 1], [2, 1]], [4, 4, 4, 1], [[4, 8], [8, 8], [7, 1], [3, 0]], [4, 4, 4, 2], [[4, 8], [8, 8], [7, 1], [3, 1]]]","[0.06013, 0.06013, 0.01013, 0.01013, 0.01013]",21.313018765766174,"[0.06135, 0.06135, 0.01135, 0.01135, 0.01135]",13.189121323172003,"[0.05, 0.05, 0.0, 0.0, 0.0]",5.198119868990034,"[0.05, 0.05, 0.0, 0.0, 0.0]",1.8016233039088547,"[0.05, 0.05, 0.0, 0.0, 0.0]",0.5392738082446158,"[0.05, 0.05, 0.0, 0.0, 0.0]",0.5401492700912058,"[0.05, 0.05, 0.0, 0.0, 0.0]",2.5263434071093798,"[0.05645, 0.05645, 0.00645, 0.00645, 0.00645]",8.404698294121772,"[0.06013, 0.06013, 0.01013, 0.01013, 0.01013]",21.474412840791047,0.99695,0.974675,0.974675,0.974675,0.974675,0.974675,0.9908,1.0
"[[[7, 1], [6, 5], [1, 7], [6, 3]], [4, 3, 0, 1], [[7, 1], [5, 4], [1, 5], [7, 4]], [4, 2, 2, 1], [[7, 1], [5, 5], [1, 7], [9, 4]], [4, 4, 0, 3], [[7, 1], [5, 5], [1, 5], [8, 4]], [4, 4, 2, 4], [[7, 1], [5, 5], [1, 6], [8, 4]], [4, 4, 4, 4], [[7, 1], [5, 5], [1, 6], [8, 4]]]","[0.06449, 0.06244, 0.06244, 0.04885, 0.04885]",22.465096907224506,"[0.0008, 0.0008, 0.0008, 0.0008, 0.0008]",13.866333678830415,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.534824980888516,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.8359484300017357,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.6247286726720631,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5648963255807757,"[0.03573, 0.02777, 0.02777, 0.03306, 0.03306]",2.653794389218092,"[0.04855, 0.0439, 0.0439, 0.03145, 0.03145]",8.788230027072132,"[0.06449, 0.06244, 0.06244, 0.04885, 0.04885]",22.59618615405634,0.8573772445400103,0.8553922879822795,0.8553922879822795,0.8553922879822795,0.8553922879822795,0.9317192962836498,0.9560246262096613,1.0
"[[[9, 2], [6, 7], [8, 7], [7, 4]], [3, 0, 2, 3], [[7, 2], [5, 6], [8, 8], [6, 4]], [4, 4, 4, 1], [[7, 2], [5, 6], [8, 8], [8, 4]], [0, 0, 4, 4], [[7, 1], [6, 5], [8, 8], [8, 4]], [4, 3, 4, 4], [[7, 1], [5, 6], [8, 8], [8, 4]], [4, 0, 4, 4], [[7, 1], [5, 4], [8, 8], [8, 4]]]","[-0.00504, 0.04481, 0.05109, 0.04885, 0.04885]",21.889100200030953,"[0.0094, 0.0828, 0.0096, 0.0008, 0.0008]",13.57496252283454,"[0.008, 0.082, 0.005, 0.0, 0.0]",5.385282441973686,"[0.0, 0.1, 0.0, 0.0, 0.0]",1.8010785467922688,"[0.0, 0.075, 0.0, 0.0, 0.0]",0.5506279980763793,"[0.0, 0.075, 0.0, 0.0, 0.0]",0.5485013560391963,"[-0.02996, -0.02395, 0.00964, 0.03306, 0.03306]",2.5880280677229166,"[-0.0136, 0.06997, 0.04544, 0.03145, 0.03145]",8.58024965133518,"[-0.00504, 0.04481, 0.05109, 0.04885, 0.04885]",22.04113392904401,0.9000576491171035,0.8972255454891636,0.8856858998198385,0.8980216272928422,0.8980216272928422,0.9027522834458309,0.9590161357971213,1.0
"[[[1, 2], [7, 5], [8, 0], [9, 9]], [1, 0, 3, 3], [[2, 3], [7, 3], [7, 1], [8, 8]], [4, 2, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]]]","[0.20123, 0.05826, 0.03436, 0.03436, 0.03436]",22.22225545393303,"[0.17595, 0.042, 0.0189, 0.0189, 0.0189]",13.795671130996197,"[0.1805, 0.021, 0.0, 0.0, 0.0]",5.393178528174758,"[0.185, 0.03, 0.0, 0.0, 0.0]",1.8902821438387036,"[0.1, 0.0, 0.0, 0.0, 0.0]",0.5577304973267019,"[0.1, 0.0, 0.0, 0.0, 0.0]",0.5601927819661796,"[0.19467, 0.01816, 0.01565, 0.01565, 0.01565]",2.634982801042497,"[0.18761, 0.05484, 0.02475, 0.02475, 0.02475]",8.72370711993426,"[0.20123, 0.05825, 0.03436, 0.03436, 0.03436]",22.38318841299042,0.9549930449819142,0.9181474702590079,0.9241393605023001,0.8534412690250083,0.8534412690250083,0.9418919551610967,0.9756520765772521,0.9999888196601125
"[[[5, 0], [7, 9], [3, 3], [8, 0]], [3, 1, 4, 3], [[4, 0], [8, 8], [3, 3], [7, 1]], [3, 4, 4, 4], [[3, 1], [8, 8], [3, 3], [7, 1]], [4, 4, 1, 4], [[3, 1], [8, 8], [4, 2], [7, 1]], [4, 4, 2, 4], [[3, 1], [8, 8], [4, 4], [7, 1]], [4, 4, 1, 4], [[3, 1], [8, 8], [5, 5], [7, 1]]]","[0.26006, 0.21534, 0.04701, 0.04701, 0.02201]",21.4509818572551,"[0.23853, 0.19895, 0.025, 0.025, 0.0]",13.314416259061545,"[0.24825, 0.1985, 0.025, 0.025, 0.0]",5.322987197898328,"[0.1375, 0.05, 0.025, 0.025, 0.0]",1.8194815958850086,"[0.1, 0.0, 0.025, 0.025, 0.0]",0.5519121699035168,"[0.1, 0.0, 0.025, 0.025, 0.0]",0.5475158370099962,"[0.32592, 0.15495, 0.025, 0.025, 0.0]",2.5529269678518176,"[0.25013, 0.18985, 0.03358, 0.03358, 0.00858]",8.476967184338719,"[0.26006, 0.21534, 0.04701, 0.04701, 0.02201]",21.666692385915667,0.9477327384972198,0.9515698699155164,0.7659818663543357,0.6970069318037126,0.6970069318037126,0.8913847846754425,0.9598527756252067,1.0
"[[[7, 4], [0, 2], [7, 5], [3, 1]], [0, 3, 3, 4], [[7, 2], [0, 3], [6, 6], [3, 1]], [4, 1, 3, 4], [[7, 2], [1, 2], [5, 7], [3, 1]], [4, 2, 0, 4], [[7, 2], [1, 4], [5, 6], [3, 1]], [4, 1, 0, 4], [[7, 2], [2, 5], [6, 5], [3, 1]], [4, 3, 4, 4], [[7, 2], [1, 6], [6, 5], [3, 1]]]","[0.03977, 0.03789, 0.03269, 0.03269, 0.00769]",21.57565592089668,"[0.05273, 0.046, 0.0364, 0.0364, 0.0114]",13.287397928070277,"[0.029, 0.025, 0.025, 0.025, 0.0]",5.319662916939706,"[0.065, 0.025, 0.025, 0.025, 0.0]",1.8237449382431805,"[0.05, 0.025, 0.025, 0.025, 0.0]",0.5447139111347497,"[0.05, 0.025, 0.025, 0.025, 0.0]",0.5462871682830155,"[0.02533, 0.025, 0.025, 0.025, 0.0]",2.5536189530976117,"[0.03201, 0.03539, 0.0307, 0.0307, 0.0057]",8.510749987326562,"[0.03977, 0.03789, 0.03269, 0.03269, 0.00769]",21.691960065159947,0.981458627343155,0.9760324881349773,0.964997976844188,0.9763300480566606,0.9763300480566606,0.973730388278469,0.9901037949192633,1.0
"[[[9, 7], [2, 8], [4, 4], [8, 3]], [2, 4, 1, 4], [[9, 8], [2, 8], [5, 5], [8, 3]], [3, 4, 4, 4], [[8, 7], [2, 8], [5, 5], [8, 3]], [2, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]], [4, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]], [4, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]]]","[0.0227, 0.0764, 0.10258, 0.2283, 0.2283]",20.585639094002545,"[0.10108, 0.07488, 0.13378, 0.20785, 0.20785]",12.717780535109341,"[0.05625, 0.01575, 0.0735, 0.0, 0.0]",4.9969622059725225,"[0.0225, 0.0, 0.0375, 0.0, 0.0]",1.7580048260279,"[0.0, 0.0, 0.075, 0.0, 0.0]",0.5295385518111289,"[0.0, 0.0, 0.075, 0.0, 0.0]",0.5323793310672045,"[0.0998, 0.07833, 0.11936, 0.09091, 0.09091]",2.473739546723664,"[0.07302, 0.076, 0.11529, 0.1854, 0.1854]",8.161173542030156,"[0.0227, 0.0764, 0.10258, 0.2283, 0.2283]",20.650919830892235,0.9002780127053216,0.6293730794316204,0.6219884485891998,0.6269137391969519,0.6269137391969519,0.7655279134417062,0.9107347597045748,1.0
"[[[5, 3], [3, 4], [1, 5], [3, 2]], [1, 1, 2, 0], [[6, 4], [4, 3], [1, 7], [3, 1]], [1, 2, 0, 4], [[8, 4], [4, 4], [2, 6], [3, 1]], [4, 1, 2, 4], [[8, 4], [5, 5], [2, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 1]]]","[0.21878, 0.05348, 0.02767, 0.03232, 0.03232]",21.41957665933296,"[0.2171, 0.0342, 0.03895, 0.04395, 0.04395]",13.366310022305697,"[0.2295, 0.0885, 0.01125, 0.01625, 0.01625]",5.290011669974774,"[0.2675, 0.0725, 0.01, 0.0225, 0.0225]",1.7581539279781282,"[0.275, 0.1, 0.025, 0.025, 0.025]",0.5483649228699505,"[0.275, 0.1, 0.025, 0.025, 0.025]",0.5441599297337234,"[0.27367, 0.09927, 0.01375, 0.01375, 0.01375]",2.5274803549982607,"[0.2088, 0.0557, 0.02142, 0.02142, 0.02142]",8.394770008977503,"[0.21878, 0.05348, 0.02767, 0.03232, 0.03232]",21.5571069563739,0.9689296564228845,0.9484317806202308,0.936355553070201,0.9175447659332653,0.9175447659332653,0.913447325286852,0.9781707965101794,1.0
"[[[7, 2], [2, 7], [5, 5], [1, 9]], [4, 4, 4, 2], [[7, 2], [2, 7], [5, 5], [2, 9]], [4, 4, 4, 1], [[7, 2], [2, 7], [5, 5], [3, 9]], [4, 4, 4, 1], [[7, 2], [2, 7], [5, 5], [5, 9]], [4, 4, 4, 3], [[7, 2], [2, 7], [5, 5], [4, 9]], [4, 4, 4, 0], [[7, 2], [2, 7], [5, 5], [4, 8]]]","[0.0, 0.0, 0.03269, 0.03269, 0.00769]",21.374886534176767,"[0.0, 0.0, 0.0364, 0.0364, 0.0114]",13.296511963941157,"[0.0, 0.0, 0.025, 0.025, 0.0]",5.270529763307422,"[0.0, 0.0, 0.025, 0.025, 0.0]",1.7532655647955835,"[0.0, 0.0, 0.025, 0.025, 0.0]",0.543288204818964,"[0.0, 0.0, 0.025, 0.025, 0.0]",0.5390395689755678,"[0.0, 0.0, 0.025, 0.025, 0.0]",2.545069051440805,"[0.0, 0.0, 0.0307, 0.0307, 0.0057]",8.416279220022261,"[0.0, 0.0, 0.03269, 0.03269, 0.00769]",21.482695324812084,0.9928156158927852,0.9851083790338325,0.9851083790338325,0.9851083790338325,0.9851083790338325,0.9851083790338325,0.9961463815705236,1.0
