History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[5, 1], [6, 1], [7, 6], [7, 9]], [3, 1, 0, 1], [[4, 0], [7, 2], [6, 5], [8, 8]], [3, 4, 4, 4], [[3, 0], [7, 2], [6, 5], [8, 8]], [2, 4, 4, 4], [[4, 1], [7, 2], [6, 5], [8, 8]], [3, 4, 4, 4], [[3, 1], [7, 2], [6, 5], [8, 8]], [4, 4, 4, 4], [[3, 1], [7, 2], [6, 5], [8, 8]]]","[0.168, 0.055, 0.021, 0.02, 0.014]",29.198747906833887,"[0.129, 0.032, 0.0, 0.0, 0.0]",19.64063335210085,"[0.089, 0.032, 0.0, 0.0, 0.0]",7.974676221609116,"[0.095, 0.035, 0.0, 0.0, 0.0]",2.7171253710985184,"[0.075, 0.05, 0.0, 0.0, 0.0]",0.8275434710085392,0.05556077753235641,0.088357229472183,0.08225569889071517,0.09854440623394106
"[[[4, 8], [9, 8], [8, 0], [2, 1]], [4, 3, 3, 1], [[4, 8], [8, 7], [7, 0], [4, 1]], [4, 2, 2, 3], [[4, 8], [8, 8], [7, 1], [3, 0]], [4, 4, 4, 2], [[4, 8], [8, 8], [7, 1], [2, 1]], [4, 4, 4, 1], [[4, 8], [8, 8], [7, 1], [3, 0]], [4, 4, 4, 2], [[4, 8], [8, 8], [7, 1], [3, 1]]]","[0.06, 0.06, 0.01, 0.01, 0.01]",28.635395105928183,"[0.061, 0.061, 0.011, 0.011, 0.011]",19.590511109679937,"[0.05, 0.05, 0.0, 0.0, 0.0]",7.831753445789218,"[0.05, 0.05, 0.0, 0.0, 0.0]",2.6861397586762905,"[0.05, 0.05, 0.0, 0.0, 0.0]",0.8202047441154718,0.0022360679774997894,0.022360679774997894,0.022360679774997894,0.022360679774997894
"[[[7, 1], [6, 5], [1, 7], [6, 3]], [4, 3, 0, 1], [[7, 1], [5, 4], [1, 5], [7, 4]], [4, 2, 2, 1], [[7, 1], [5, 5], [1, 7], [9, 4]], [4, 4, 0, 3], [[7, 1], [5, 5], [1, 5], [8, 4]], [4, 4, 2, 4], [[7, 1], [5, 5], [1, 6], [8, 4]], [4, 4, 4, 4], [[7, 1], [5, 5], [1, 6], [8, 4]]]","[0.064, 0.062, 0.062, 0.049, 0.049]",30.11881448328495,"[0.001, 0.001, 0.001, 0.001, 0.001]",20.471814412623644,"[0.0, 0.0, 0.0, 0.0, 0.0]",8.261693546548486,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.826515031978488,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8735885322093964,0.1265661882178649,0.12878664527038508,0.12878664527038508,0.12878664527038508
"[[[9, 2], [6, 7], [8, 7], [7, 4]], [3, 0, 2, 3], [[7, 2], [5, 6], [8, 8], [6, 4]], [4, 4, 4, 1], [[7, 2], [5, 6], [8, 8], [8, 4]], [0, 0, 4, 4], [[7, 1], [6, 5], [8, 8], [8, 4]], [4, 3, 4, 4], [[7, 1], [5, 6], [8, 8], [8, 4]], [4, 0, 4, 4], [[7, 1], [5, 4], [8, 8], [8, 4]]]","[-0.005, 0.045, 0.051, 0.049, 0.049]",29.2909643240273,"[0.009, 0.083, 0.01, 0.001, 0.001]",19.86640726029873,"[0.008, 0.082, 0.005, 0.0, 0.0]",8.027399629354477,"[0.0, 0.1, 0.0, 0.0, 0.0]",2.7539531402289867,"[0.0, 0.075, 0.0, 0.0, 0.0]",0.8302065525203943,0.08904493247793498,0.09195651146058119,0.1022399139279763,0.09125787637239867
"[[[1, 2], [7, 5], [8, 0], [9, 9]], [1, 0, 3, 3], [[2, 3], [7, 3], [7, 1], [8, 8]], [4, 2, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]], [4, 4, 4, 4], [[2, 3], [8, 4], [7, 1], [8, 8]]]","[0.201, 0.058, 0.034, 0.034, 0.034]",29.772509809583426,"[0.176, 0.042, 0.019, 0.019, 0.019]",20.165694884955883,"[0.181, 0.021, 0.0, 0.0, 0.0]",8.090798972174525,"[0.185, 0.03, 0.0, 0.0, 0.0]",2.7482788618654013,"[0.1, 0.0, 0.0, 0.0, 0.0]",0.832390021532774,0.039446165846632054,0.07236711960552251,0.06714164132637808,0.1305105359731543
"[[[5, 0], [7, 9], [3, 3], [8, 0]], [3, 1, 4, 3], [[4, 0], [8, 8], [3, 3], [7, 1]], [3, 4, 4, 4], [[3, 1], [8, 8], [3, 3], [7, 1]], [4, 4, 1, 4], [[3, 1], [8, 8], [4, 2], [7, 1]], [4, 4, 2, 4], [[3, 1], [8, 8], [4, 4], [7, 1]], [4, 4, 1, 4], [[3, 1], [8, 8], [5, 5], [7, 1]]]","[0.26, 0.215, 0.047, 0.047, 0.022]",28.348749617114663,"[0.239, 0.199, 0.025, 0.025, 0.0]",19.302477123215795,"[0.248, 0.199, 0.025, 0.025, 0.0]",7.725373255088925,"[0.137, 0.05, 0.025, 0.025, 0.0]",2.63364596106112,"[0.1, 0.0, 0.025, 0.025, 0.0]",0.8068540617823601,0.04635730794599704,0.043034869582700024,0.20929882942816472,0.2706972478618872
"[[[7, 4], [0, 2], [7, 5], [3, 1]], [0, 3, 3, 4], [[7, 2], [0, 3], [6, 6], [3, 1]], [4, 1, 3, 4], [[7, 2], [1, 2], [5, 7], [3, 1]], [4, 2, 0, 4], [[7, 2], [1, 4], [5, 6], [3, 1]], [4, 1, 0, 4], [[7, 2], [2, 5], [6, 5], [3, 1]], [4, 3, 4, 4], [[7, 2], [1, 6], [6, 5], [3, 1]]]","[0.04, 0.038, 0.033, 0.033, 0.008]",28.430445739999413,"[0.053, 0.046, 0.036, 0.036, 0.011]",19.143522130325437,"[0.029, 0.025, 0.025, 0.025, 0.0]",7.764336520805955,"[0.065, 0.025, 0.025, 0.025, 0.0]",2.66647407785058,"[0.05, 0.025, 0.025, 0.025, 0.0]",0.8095363155007362,0.016124515496597096,0.021954498400100147,0.031400636936215164,0.02147091055358389
"[[[9, 7], [2, 8], [4, 4], [8, 3]], [2, 4, 1, 4], [[9, 8], [2, 8], [5, 5], [8, 3]], [3, 4, 4, 4], [[8, 7], [2, 8], [5, 5], [8, 3]], [2, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]], [4, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]], [4, 4, 4, 4], [[8, 8], [2, 8], [5, 5], [8, 3]]]","[0.023, 0.076, 0.103, 0.228, 0.228]",27.10504538193345,"[0.101, 0.075, 0.134, 0.208, 0.208]",18.287064775824547,"[0.056, 0.016, 0.074, 0.0, 0.0]",7.369795568287373,"[0.022, 0.0, 0.037, 0.0, 0.0]",2.5468385964632034,"[0.0, 0.0, 0.075, 0.0, 0.0]",0.7890479825437069,0.08857764955111422,0.3309048201522607,0.33778839530096355,0.333252156782218
"[[[5, 3], [3, 4], [1, 5], [3, 2]], [1, 1, 2, 0], [[6, 4], [4, 3], [1, 7], [3, 1]], [1, 2, 0, 4], [[8, 4], [4, 4], [2, 6], [3, 1]], [4, 1, 2, 4], [[8, 4], [5, 5], [2, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 1]], [4, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 1]]]","[0.219, 0.053, 0.028, 0.032, 0.032]",28.232999950647354,"[0.217, 0.034, 0.039, 0.044, 0.044]",19.23952481150627,"[0.23, 0.089, 0.011, 0.016, 0.016]",7.888889713212848,"[0.267, 0.073, 0.01, 0.022, 0.022]",2.6163644418120384,"[0.275, 0.1, 0.025, 0.025, 0.025]",0.8063200879842043,0.027820855486487106,0.04709564735726647,0.056815490845367175,0.07383765976789895
"[[[7, 2], [2, 7], [5, 5], [1, 9]], [4, 4, 4, 2], [[7, 2], [2, 7], [5, 5], [2, 9]], [4, 4, 4, 1], [[7, 2], [2, 7], [5, 5], [3, 9]], [4, 4, 4, 1], [[7, 2], [2, 7], [5, 5], [5, 9]], [4, 4, 4, 3], [[7, 2], [2, 7], [5, 5], [4, 9]], [4, 4, 4, 0], [[7, 2], [2, 7], [5, 5], [4, 8]]]","[0.0, 0.0, 0.033, 0.033, 0.008]",28.16950313001871,"[0.0, 0.0, 0.036, 0.036, 0.011]",19.02563749998808,"[0.0, 0.0, 0.025, 0.025, 0.0]",7.748035203665495,"[0.0, 0.0, 0.025, 0.025, 0.0]",2.6193190440535545,"[0.0, 0.0, 0.025, 0.025, 0.0]",0.7964454926550388,0.0051961524227066265,0.013856406460551019,0.013856406460551019,0.013856406460551019
