History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[0, 2], [9, 5], [5, 9], [5, 6]], [3, 0, 3, 0], [[0, 3], [9, 3], [4, 9], [5, 5]], [1, 3, 0, 4], [[1, 2], [8, 4], [5, 8], [5, 5]], [1, 4, 3, 4], [[2, 2], [8, 4], [4, 7], [5, 5]], [1, 4, 2, 4], [[3, 3], [8, 4], [4, 8], [5, 5]], [0, 4, 4, 4], [[3, 1], [8, 4], [4, 8], [5, 5]]]","[-0.06304, 0.01752, 0.07292, 0.0024, 0.11701]",20.56983177596703,"[-0.0928, 0.0426, 0.0998, 0.0048, 0.12655]",12.504622219130397,"[-0.136, 0.095, 0.142, 0.01, 0.1435]",5.020222429186106,"[-0.28, 0.28, 0.265, 0.025, 0.1875]",1.7295937668532133,"[-0.45, 0.35, 0.4, 0.025, 0.3]",0.5383752817288041,"[-0.45, 0.35, 0.4, 0.025, 0.3]",0.5149079239927232,"[-0.10294, 0.06682, 0.09701, 0.00416, 0.09806]",2.417254226282239,"[-0.07534, 0.01674, 0.0844, 0.00298, 0.12284]",7.990908826701343,"[-0.06304, 0.01752, 0.07292, 0.0024, 0.11701]",20.62396902171895,0.9459864600308404,0.8548369946405077,0.5551099595124656,0.2917817969544979,0.2917817969544979,0.9212200199923863,0.9800621559590812,1.0
"[[[0, 5], [0, 9], [8, 9], [8, 3]], [1, 1, 0, 4], [[1, 4], [1, 9], [8, 8], [8, 3]], [1, 1, 4, 4], [[2, 4], [3, 9], [8, 8], [8, 3]], [0, 0, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]], [4, 4, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]], [4, 4, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]]]","[-0.14299, 0.0603, 0.35443, 0.19615, 0.19615]",20.79736493015662,"[-0.1399, 0.0614, 0.35885, 0.2048, 0.2048]",12.765513928141445,"[-0.1535, 0.0805, 0.363, 0.214, 0.214]",5.0443070898763835,"[-0.115, 0.05, 0.375, 0.235, 0.235]",1.747351166792214,"[-0.2, 0.3, 0.4, 0.3, 0.3]",0.526988725643605,"[-0.2, 0.3, 0.4, 0.3, 0.3]",0.5264660520479083,"[-0.13283, 0.12531, 0.34992, 0.17794, 0.17794]",2.4764444236643612,"[-0.16226, 0.05541, 0.35978, 0.21693, 0.21693]",8.116598875727504,"[-0.14299, 0.0603, 0.35443, 0.19615, 0.19615]",20.997511231340468,0.9850025210451889,0.9608019452013241,0.9264192620314257,0.6752837777381611,0.6752837777381611,0.9208397669280843,0.9598832282579967,1.0
"[[[2, 6], [9, 6], [4, 0], [2, 0]], [2, 0, 1, 0], [[1, 7], [8, 5], [5, 0], [2, 0]], [0, 0, 3, 1], [[1, 5], [8, 3], [4, 0], [4, 0]], [2, 4, 3, 3], [[1, 7], [8, 3], [3, 0], [3, 0]], [0, 4, 2, 2], [[2, 6], [8, 3], [3, 2], [4, 1]], [2, 4, 4, 3], [[2, 7], [8, 3], [3, 2], [3, 2]]]","[-0.125, 0.0, 0.00224, 0.0, 0.00714]",20.128236044198275,"[-0.125, 0.0, 0.0008, 0.0, 0.00495]",12.412719213869423,"[-0.125, 0.0, 0.0, 0.0, 0.0015]",4.929958866909146,"[-0.125, 0.0, 0.0, 0.0, 0.0]",1.7172065419144928,"[-0.125, 0.0, 0.0, 0.0, 0.0]",0.5154000287875533,"[-0.125, 0.0, 0.0, 0.0, 0.0]",0.5129295838996768,"[-0.125, 0.0, 0.0, 0.0, 0.00681]",2.3753812396898866,"[-0.125, 0.0, 0.00351, 0.0, 0.00653]",7.8911824859678745,"[-0.125, 0.0, 0.00224, 0.0, 0.00714]",20.31745845498517,0.9970696203317658,0.993215163966609,0.9916336089022805,0.9916336089022805,0.9916336089022805,0.9974685725370851,0.9984248015997976,1.0
"[[[0, 7], [0, 0], [5, 5], [7, 1]], [1, 3, 4, 4], [[1, 7], [0, 1], [5, 5], [7, 1]], [0, 2, 4, 4], [[1, 5], [1, 2], [5, 5], [7, 1]], [2, 1, 4, 4], [[1, 7], [2, 1], [5, 5], [7, 1]], [0, 1, 4, 4], [[0, 6], [4, 1], [5, 5], [7, 1]], [1, 3, 4, 4], [[1, 5], [3, 0], [5, 5], [7, 1]]]","[-0.08495, 0.2406, 0.09464, 0.0, 0.00204]",19.931857796851546,"[-0.0824, 0.2406, 0.09075, 0.0, 0.0]",12.105068962089717,"[-0.072, 0.243, 0.0975, 0.0, 0.0]",4.862370675895363,"[-0.1, 0.23, 0.075, 0.0, 0.0]",1.7040504631586373,"[-0.1, 0.2, 0.075, 0.0, 0.0]",0.5062256418168545,"[-0.1, 0.2, 0.075, 0.0, 0.0]",0.5082291876897216,"[-0.145, 0.1775, 0.13125, 0.0, 0.0]",2.3577896542847157,"[-0.0692, 0.23564, 0.0968, 0.0, 0.00121]",7.790820941794664,"[-0.08495, 0.2406, 0.09464, 0.0, 0.00204]",19.984230128116906,0.9943215098837808,0.9847600976052995,0.9698181822118017,0.9467934014900408,0.9467934014900408,0.8943350448351015,0.9813580245145532,1.0
"[[[0, 9], [6, 5], [6, 0], [5, 0]], [1, 4, 2, 3], [[1, 8], [6, 5], [6, 2], [4, 1]], [0, 4, 1, 3], [[1, 7], [6, 5], [7, 3], [3, 2]], [0, 3, 0, 4], [[1, 6], [5, 5], [8, 2], [3, 2]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 2], [3, 2]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 2], [3, 2]]]","[0.0, 0.0, 0.0, 0.00315, 0.00315]",21.227384699042886,"[0.0, 0.0, 0.0, 0.0, 0.0]",13.067855638917536,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.172949155326933,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.8183012171648443,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5325525682419538,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5290374346077442,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.5018791910260916,"[0.0, 0.0, 0.0, 0.00194, 0.00194]",8.27555783605203,"[0.0, 0.0, 0.0, 0.00315, 0.00315]",21.313721146900207,0.9950194126852347,0.9950194126852347,0.9950194126852347,0.9950194126852347,0.9950194126852347,0.9950194126852347,0.9980868220155982,1.0
"[[[3, 6], [6, 3], [0, 2], [9, 9]], [3, 1, 3, 3], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 1], [8, 8]]]","[-0.02632, -0.4, -0.4, -0.4, -0.4]",22.500947507098317,"[-0.0262, -0.4, -0.4, -0.4, -0.4]",13.87390201119706,"[-0.0265, -0.3985, -0.3985, -0.3985, -0.3985]",5.473468741867691,"[-0.025, -0.3975, -0.3975, -0.3975, -0.3975]",1.8313250271603465,"[-0.075, -0.3, -0.3, -0.3, -0.3]",0.6171286581084132,"[-0.075, -0.3, -0.3, -0.3, -0.3]",0.5595354000106454,"[-0.06375, -0.39, -0.39, -0.39, -0.39]",2.643491581082344,"[-0.04333, -0.37581, -0.37581, -0.37581, -0.37581]",8.776267441920936,"[-0.02632, -0.4, -0.4, -0.4, -0.4]",22.651649316307157,0.99986583592135,0.9966398660740976,0.9942183047468757,0.7698648701306121,0.7698648701306121,0.9525525962248723,0.9426636622637964,1.0
"[[[0, 2], [4, 4], [1, 4], [5, 4]], [4, 4, 2, 2], [[0, 2], [4, 4], [2, 5], [5, 5]], [3, 0, 3, 4], [[0, 1], [5, 3], [1, 6], [5, 5]], [2, 1, 4, 4], [[0, 3], [6, 2], [1, 6], [5, 5]], [1, 1, 4, 4], [[1, 2], [7, 1], [1, 6], [5, 5]], [1, 4, 4, 4], [[2, 3], [7, 1], [1, 6], [5, 5]]]","[0.0, -0.21747, -0.025, 0.06087, 0.0]",20.177741879131645,"[0.0, -0.21765, -0.025, 0.0636, 0.0]",12.387956670019776,"[0.0, -0.22125, -0.025, 0.06, 0.0]",4.960016895085573,"[0.0, -0.225, -0.025, 0.06, 0.0]",1.737398496363312,"[0.0, -0.225, -0.025, 0.1, 0.0]",0.523560204077512,"[0.0, -0.225, -0.025, 0.1, 0.0]",0.5161902471445501,"[0.0, -0.22778, -0.025, 0.055, 0.0]",2.4186449088156223,"[0.0, -0.22664, -0.025, 0.06035, -0.0]",7.9037867253646255,"[0.0, -0.21747, -0.025, 0.06087, 0.0]",20.40277245081961,0.9969411399182048,0.9956633394184004,0.9915251991173833,0.9554486560247617,0.9554486560247617,0.9867357152473267,0.9897311575628019,1.0
"[[[1, 5], [5, 3], [4, 3], [6, 3]], [2, 2, 3, 1], [[2, 6], [5, 5], [3, 2], [8, 3]], [2, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]]]","[0.07814, 0.07673, 0.0, 0.0, 0.0]",20.82370674284175,"[0.0774, 0.075, 0.0, 0.0, 0.0]",12.781646406278014,"[0.07875, 0.075, 0.0, 0.0, 0.0]",5.073662149719894,"[0.09, 0.075, 0.0, 0.0, 0.0]",1.759835354052484,"[0.075, 0.075, 0.0, 0.0, 0.0]",0.5268422882072628,"[0.075, 0.075, 0.0, 0.0, 0.0]",0.5303543149493635,"[0.05981, 0.075, 0.0, 0.0, 0.0]",2.469960128888488,"[0.07847, 0.0767, 0.0, 0.0, 0.0]",8.081548921763897,"[0.07814, 0.07673, 0.0, 0.0, 0.0]",20.942086978815496,0.9978962830513588,0.9979490855698007,0.986599790113584,0.9959918052692016,0.9959918052692016,0.9794153637389436,0.9996295273289432,1.0
"[[[8, 7], [7, 2], [2, 3], [2, 8]], [2, 4, 4, 4], [[8, 9], [7, 2], [2, 3], [2, 8]], [0, 4, 4, 4], [[7, 8], [7, 2], [2, 3], [2, 8]], [1, 4, 4, 4], [[9, 8], [7, 2], [2, 3], [2, 8]], [3, 4, 4, 4], [[8, 9], [7, 2], [2, 3], [2, 8]], [0, 4, 4, 4], [[8, 8], [7, 2], [2, 3], [2, 8]]]","[0.27241, 0.0, 0.10096, 0.06636, 0.0]",21.301907868124545,"[0.23985, 0.0, 0.0906, 0.0534, 0.0]",13.129161317832768,"[0.2905, 0.0, 0.103, 0.075, 0.0]",5.219697967171669,"[0.295, 0.0, 0.1125, 0.075, 0.0]",1.7360546649433672,"[0.3, 0.0, 0.1, 0.075, 0.0]",0.5370382289402187,"[0.3, 0.0, 0.1, 0.075, 0.0]",0.5402722433209419,"[0.2726, 0.0, 0.09811, 0.0602, 0.0]",2.5624334812164307,"[0.2776, 0.0, 0.11319, 0.06259, 0.0]",8.395673318300396,"[0.27241, 0.0, 0.10096, 0.06636, 0.0]",21.556681763846427,0.9591428586413587,0.977470594215559,0.9700389982644104,0.9676584767674743,0.9676584767674743,0.9924085409834472,0.9845597158381071,1.0
"[[[5, 6], [0, 0], [2, 5], [6, 5]], [4, 3, 3, 0], [[5, 6], [0, 0], [1, 6], [6, 3]], [0, 3, 4, 1], [[5, 4], [0, 0], [1, 6], [7, 2]], [2, 3, 4, 4], [[6, 5], [0, 0], [1, 6], [7, 2]], [4, 3, 4, 4], [[6, 5], [0, 1], [1, 6], [7, 2]], [4, 2, 4, 4], [[6, 5], [0, 3], [1, 6], [7, 2]]]","[0.20248, 0.23619, 0.12775, 0.39191, 0.39191]",22.552547181025147,"[0.55835, 0.21693, 0.09928, 0.35485, 0.35485]",13.762209902983159,"[0.539, 0.20675, 0.095, 0.37075, 0.37075]",5.495431412011385,"[0.665, 0.2075, 0.0875, 0.375, 0.375]",1.8569472590461373,"[0.65, 0.25, 0.05, 0.35, 0.35]",0.6235171910375357,"[0.65, 0.25, 0.05, 0.35, 0.35]",0.5655308687128127,"[0.19403, 0.26856, 0.09068, 0.3724, 0.3724]",2.637215569149703,"[0.25685, 0.23075, 0.11284, 0.40073, 0.40073]",8.769877401646227,"[0.20248, 0.23619, 0.12775, 0.39191, 0.39191]",22.740457178093493,0.5960014965993066,0.6190792771126779,0.479255550677686,0.48762461856564576,0.48762461856564576,0.9362163373190282,0.935158044060963,1.0
