History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[0, 2], [9, 5], [5, 9], [5, 6]], [3, 0, 3, 0], [[0, 3], [9, 3], [4, 9], [5, 5]], [1, 3, 0, 4], [[1, 2], [8, 4], [5, 8], [5, 5]], [1, 4, 3, 4], [[2, 2], [8, 4], [4, 7], [5, 5]], [1, 4, 2, 4], [[3, 3], [8, 4], [4, 8], [5, 5]], [0, 4, 4, 4], [[3, 1], [8, 4], [4, 8], [5, 5]]]","[-0.063, 0.018, 0.073, 0.002, 0.117]",27.775107480585575,"[-0.093, 0.043, 0.1, 0.005, 0.127]",18.38477692566812,"[-0.136, 0.095, 0.142, 0.01, 0.144]",7.485275167971849,"[-0.28, 0.28, 0.265, 0.025, 0.188]",2.596101626753807,"[-0.45, 0.35, 0.4, 0.025, 0.3]",0.7768491599708796,0.048610698410946535,0.12966109670984585,0.3977021498558941,0.6331982312040993
"[[[0, 5], [0, 9], [8, 9], [8, 3]], [1, 1, 0, 4], [[1, 4], [1, 9], [8, 8], [8, 3]], [1, 1, 4, 4], [[2, 4], [3, 9], [8, 8], [8, 3]], [0, 0, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]], [4, 4, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]], [4, 4, 4, 4], [[2, 3], [4, 8], [8, 8], [8, 3]]]","[-0.143, 0.06, 0.354, 0.196, 0.196]",27.393909566104412,"[-0.14, 0.061, 0.359, 0.205, 0.205]",18.613487102091312,"[-0.154, 0.081, 0.363, 0.214, 0.214]",7.531950626522303,"[-0.115, 0.05, 0.375, 0.235, 0.235]",2.6274547148495913,"[-0.2, 0.3, 0.4, 0.3, 0.3]",0.8074574321508408,0.014035668847618171,0.03593048844644336,0.06608328079022709,0.2908556342930286
"[[[2, 6], [9, 6], [4, 0], [2, 0]], [2, 0, 1, 0], [[1, 7], [8, 5], [5, 0], [2, 0]], [0, 0, 3, 1], [[1, 5], [8, 3], [4, 0], [4, 0]], [2, 4, 3, 3], [[1, 7], [8, 3], [3, 0], [3, 0]], [0, 4, 2, 2], [[2, 6], [8, 3], [3, 2], [4, 1]], [2, 4, 4, 3], [[2, 7], [8, 3], [3, 2], [3, 2]]]","[-0.125, 0.0, 0.002, 0.0, 0.007]",26.680320538580418,"[-0.125, 0.0, 0.001, 0.0, 0.005]",17.89834425970912,"[-0.125, 0.0, 0.0, 0.0, 0.002]",7.102128751575947,"[-0.125, 0.0, 0.0, 0.0, 0.0]",2.45012429356575,"[-0.125, 0.0, 0.0, 0.0, 0.0]",0.7811975684016943,0.00223606797749979,0.005385164807134504,0.007280109889280518,0.007280109889280518
"[[[0, 7], [0, 0], [5, 5], [7, 1]], [1, 3, 4, 4], [[1, 7], [0, 1], [5, 5], [7, 1]], [0, 2, 4, 4], [[1, 5], [1, 2], [5, 5], [7, 1]], [2, 1, 4, 4], [[1, 7], [2, 1], [5, 5], [7, 1]], [0, 1, 4, 4], [[0, 6], [4, 1], [5, 5], [7, 1]], [1, 3, 4, 4], [[1, 5], [3, 0], [5, 5], [7, 1]]]","[-0.085, 0.241, 0.095, 0.0, 0.002]",25.749959535896778,"[-0.082, 0.241, 0.091, 0.0, 0.0]",17.449867971241474,"[-0.072, 0.243, 0.098, 0.0, 0.0]",7.099105508998036,"[-0.1, 0.23, 0.075, 0.0, 0.0]",2.431839533150196,"[-0.1, 0.2, 0.075, 0.0, 0.0]",0.7529586609452963,0.005385164807134508,0.013638181696985868,0.0273861278752583,0.048062459362791646
"[[[0, 9], [6, 5], [6, 0], [5, 0]], [1, 4, 2, 3], [[1, 8], [6, 5], [6, 2], [4, 1]], [0, 4, 1, 3], [[1, 7], [6, 5], [7, 3], [3, 2]], [0, 3, 0, 4], [[1, 6], [5, 5], [8, 2], [3, 2]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 2], [3, 2]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 2], [3, 2]]]","[0.0, 0.0, 0.0, 0.003, 0.003]",27.582281176000834,"[0.0, 0.0, 0.0, 0.0, 0.0]",18.44732530415058,"[0.0, 0.0, 0.0, 0.0, 0.0]",7.584159683436155,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.626743361353874,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7820434104651213,0.004242640687119285,0.004242640687119285,0.004242640687119285,0.004242640687119285
"[[[3, 6], [6, 3], [0, 2], [9, 9]], [3, 1, 3, 3], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 2], [8, 8]], [4, 4, 3, 4], [[2, 7], [8, 3], [0, 1], [8, 8]]]","[-0.026, -0.4, -0.4, -0.4, -0.4]",29.09879501722753,"[-0.026, -0.4, -0.4, -0.4, -0.4]",19.701928047463298,"[-0.026, -0.399, -0.399, -0.399, -0.399]",8.043054262176156,"[-0.025, -0.398, -0.398, -0.398, -0.398]",2.7034770976752043,"[-0.075, -0.3, -0.3, -0.3, -0.3]",0.825165007263422,0.0,0.0020000000000000018,0.004123105625617664,0.20591503102007883
"[[[0, 2], [4, 4], [1, 4], [5, 4]], [4, 4, 2, 2], [[0, 2], [4, 4], [2, 5], [5, 5]], [3, 0, 3, 4], [[0, 1], [5, 3], [1, 6], [5, 5]], [2, 1, 4, 4], [[0, 3], [6, 2], [1, 6], [5, 5]], [1, 1, 4, 4], [[1, 2], [7, 1], [1, 6], [5, 5]], [1, 4, 4, 4], [[2, 3], [7, 1], [1, 6], [5, 5]]]","[0.0, -0.217, -0.025, 0.061, 0.0]",26.073455411940813,"[0.0, -0.218, -0.025, 0.064, 0.0]",17.78781185671687,"[0.0, -0.221, -0.025, 0.06, 0.0]",7.253551984205842,"[0.0, -0.225, -0.025, 0.06, 0.0]",2.481158772483468,"[0.0, -0.225, -0.025, 0.1, 0.0]",0.7763311080634594,0.003162277660168382,0.004123105625617665,0.008062257748298557,0.039812058474788775
"[[[1, 5], [5, 3], [4, 3], [6, 3]], [2, 2, 3, 1], [[2, 6], [5, 5], [3, 2], [8, 3]], [2, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 4], [[2, 8], [5, 5], [3, 2], [8, 3]]]","[0.078, 0.077, 0.0, 0.0, 0.0]",26.855247493833303,"[0.077, 0.075, 0.0, 0.0, 0.0]",18.034562408924103,"[0.079, 0.075, 0.0, 0.0, 0.0]",7.2810691986233,"[0.09, 0.075, 0.0, 0.0, 0.0]",2.5173524040728807,"[0.075, 0.075, 0.0, 0.0, 0.0]",0.8064934052526951,0.0022360679774997916,0.0022360679774997916,0.012165525060596436,0.0036055512754639926
"[[[8, 7], [7, 2], [2, 3], [2, 8]], [2, 4, 4, 4], [[8, 9], [7, 2], [2, 3], [2, 8]], [0, 4, 4, 4], [[7, 8], [7, 2], [2, 3], [2, 8]], [1, 4, 4, 4], [[9, 8], [7, 2], [2, 3], [2, 8]], [3, 4, 4, 4], [[8, 9], [7, 2], [2, 3], [2, 8]], [0, 4, 4, 4], [[8, 8], [7, 2], [2, 3], [2, 8]]]","[0.272, 0.0, 0.101, 0.066, 0.0]",27.620766015723348,"[0.24, 0.0, 0.091, 0.053, 0.0]",18.649638630449772,"[0.291, 0.0, 0.103, 0.075, 0.0]",7.482130078598857,"[0.295, 0.0, 0.112, 0.075, 0.0]",2.559027139097452,"[0.3, 0.0, 0.1, 0.075, 0.0]",0.7866555117070675,0.03595830919273044,0.02111871208194284,0.027037011669191514,0.02942787793912429
"[[[5, 6], [0, 0], [2, 5], [6, 5]], [4, 3, 3, 0], [[5, 6], [0, 0], [1, 6], [6, 3]], [0, 3, 4, 1], [[5, 4], [0, 0], [1, 6], [7, 2]], [2, 3, 4, 4], [[6, 5], [0, 0], [1, 6], [7, 2]], [4, 3, 4, 4], [[6, 5], [0, 1], [1, 6], [7, 2]], [4, 2, 4, 4], [[6, 5], [0, 3], [1, 6], [7, 2]]]","[0.202, 0.236, 0.128, 0.392, 0.392]",29.15898741222918,"[0.558, 0.217, 0.099, 0.355, 0.355]",19.583487568423152,"[0.539, 0.207, 0.095, 0.371, 0.371]",7.916149137541652,"[0.665, 0.208, 0.087, 0.375, 0.375]",2.717641234397888,"[0.65, 0.25, 0.05, 0.35, 0.35]",0.8305903803557158,0.3614913553599865,0.34114659605512704,0.4662745972064101,0.45881586720600676
"[[[0, 5], [7, 4], [2, 1], [9, 7]], [1, 4, 1, 2], [[1, 6], [7, 4], [4, 1], [9, 9]], [4, 4, 3, 3], [[1, 6], [7, 4], [3, 2], [8, 9]], [4, 4, 4, 0], [[1, 6], [7, 4], [3, 2], [8, 8]], [4, 4, 4, 4], [[1, 6], [7, 4], [3, 2], [8, 8]], [4, 4, 4, 4], [[1, 6], [7, 4], [3, 2], [8, 8]]]","[0.036, 0.003, 0.003, 0.003, 0.003]",28.761435898020864,"[0.035, 0.0, 0.0, 0.0, 0.0]",19.276353172957897,"[0.034, 0.0, 0.0, 0.0, 0.0]",7.754116160795093,"[0.022, 0.0, 0.0, 0.0, 0.0]",2.636397425085306,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.8066721223294735,0.006082762530298219,0.006324555320336757,0.015231546211727816,0.036496575181789316
"[[[0, 1], [5, 4], [9, 7], [5, 5]], [2, 1, 2, 2], [[0, 3], [6, 4], [9, 9], [6, 6]], [1, 1, 3, 4], [[1, 4], [7, 5], [8, 9], [6, 6]], [1, 0, 0, 3], [[2, 3], [7, 4], [8, 7], [5, 6]], [4, 1, 2, 4], [[2, 3], [8, 5], [9, 8], [5, 6]], [4, 0, 3, 0], [[2, 3], [9, 4], [8, 8], [4, 5]]]","[0.0, 0.0, 0.001, -0.0, 0.0]",27.57172281295061,"[0.0, 0.0, 0.004, -0.0, 0.0]",18.744430219754577,"[0.0, 0.0, 0.0, 0.0, 0.0]",7.599937399849296,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.5771987307816744,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.7871308531612158,0.003,0.001,0.001,0.001
