History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[2, 2], [1, 2], [5, 5], [4, 7]], [1, 4, 4, 2], [[3, 3], [1, 2], [5, 5], [4, 9]], [0, 4, 4, 0], [[3, 2], [1, 2], [5, 5], [5, 8]], [4, 2, 4, 3], [[3, 2], [1, 3], [5, 5], [4, 7]], [0, 1, 4, 2], [[3, 0], [3, 3], [5, 5], [4, 9]], [2, 0, 4, 0], [[3, 2], [3, 2], [5, 5], [4, 7]]]","[-0.18064, -0.12964, -0.05, -0.06064, 0.4]",20.562496248167008,"[-0.1828, -0.1372, -0.05, -0.0664, 0.4]",12.593337173108011,"[-0.164, -0.115, -0.05, -0.062, 0.4]",5.072486605029553,"[-0.1625, -0.105, -0.05, -0.05, 0.4]",1.6878953236155212,"[-0.15, -0.1, -0.05, -0.05, 0.4]",0.5244945189915597,"[-0.15, -0.1, -0.05, -0.05, 0.4]",0.5256090890616179,"[-0.15562, -0.13165, -0.05, -0.08097, 0.4]",2.4712604647502303,"[-0.15203, -0.1132, -0.05, -0.06354, 0.4]",8.168722597882152,"[-0.18064, -0.12964, -0.05, -0.06064, 0.4]",20.319183710962534,0.989102936175281,0.9751738847179025,0.9637819313049412,0.9508758104392551,0.9508758104392551,0.9638864741405662,0.9629659666657816,1.0
"[[[7, 2], [9, 2], [7, 1], [5, 5]], [2, 2, 4, 4], [[8, 3], [9, 3], [7, 1], [5, 5]], [2, 2, 4, 4], [[8, 4], [9, 5], [7, 1], [5, 5]], [3, 0, 4, 4], [[6, 4], [9, 4], [7, 1], [5, 5]], [1, 3, 4, 2], [[7, 5], [8, 4], [7, 1], [6, 6]], [0, 4, 4, 3], [[8, 4], [8, 4], [7, 1], [5, 5]]]","[-0.12926, -0.07966, -0.19029, -0.05118, 0.02613]",19.439896310213953,"[-0.1323, -0.08172, -0.18928, -0.08303, 0.05575]",12.034372183959931,"[-0.14775, -0.078, -0.19775, -0.096, 0.04375]",4.762472877744585,"[-0.1625, -0.07, -0.175, -0.015, 0.0025]",1.6730352346785367,"[-0.125, -0.125, -0.175, 0.0, -0.025]",0.5063265049830079,"[-0.125, -0.125, -0.175, 0.0, -0.025]",0.5062390607781708,"[-0.15594, -0.044, -0.175, -0.1522, 0.07784]",2.3566711428575218,"[-0.12916, -0.10259, -0.19445, -0.05458, 0.03735]",7.551028429996222,"[-0.12926, -0.07966, -0.19029, -0.05118, 0.02613]",19.390888488385826,0.9511856552845375,0.9416949391133154,0.9357800011678605,0.9029090851315119,0.9029090851315119,0.8626309414387651,0.9708334759527296,1.0
"[[[5, 6], [7, 1], [8, 4], [5, 4]], [4, 4, 4, 1], [[5, 6], [7, 1], [8, 4], [6, 5]], [4, 4, 4, 0], [[5, 6], [7, 1], [8, 4], [6, 4]], [4, 4, 4, 3], [[5, 6], [7, 1], [8, 4], [5, 4]], [4, 4, 4, 1], [[5, 6], [7, 1], [8, 4], [6, 3]], [0, 4, 4, 2], [[6, 5], [7, 1], [8, 4], [6, 5]]]","[-0.12949, -0.06514, -0.11062, -0.12949, 0.12051]",20.34165858803317,"[-0.1294, -0.06502, -0.1126, -0.1294, 0.1206]",12.567094867117703,"[-0.128, -0.0625, -0.1065, -0.128, 0.122]",5.022710424847901,"[-0.125, -0.055, -0.1, -0.125, 0.125]",1.6864452618174255,"[-0.125, 0.0, -0.1, -0.125, 0.125]",0.5267303613945842,"[-0.125, 0.0, -0.1, -0.125, 0.125]",0.5259527270682156,"[-0.125, -0.045, -0.10376, -0.125, 0.125]",2.432190888095647,"[-0.125, -0.07028, -0.10179, -0.125, 0.125]",8.049051751382649,"[-0.12949, -0.06515, -0.11062, -0.12949, 0.12051]",20.323727739043534,0.9977753932931864,0.9938149070338433,0.9814229879959128,0.9256992235908668,0.9256992235908668,0.9746731491298266,0.9856443042662503,0.9999888196601125
"[[[7, 1], [8, 4], [9, 0], [8, 8]], [4, 4, 3, 4], [[7, 1], [8, 4], [7, 0], [8, 8]], [2, 4, 1, 4], [[7, 3], [8, 4], [8, 0], [8, 8]], [0, 4, 3, 4], [[8, 2], [8, 4], [6, 0], [8, 8]], [0, 4, 0, 4], [[9, 1], [8, 4], [6, 0], [8, 8]], [3, 4, 1, 4], [[7, 1], [8, 4], [7, 1], [8, 8]]]","[-0.0325, -0.0325, 0.15009, -0.1307, 0.09629]",20.387917927931994,"[-0.0385, -0.0385, 0.15022, -0.13017, 0.08518]",12.61016313219443,"[-0.027, -0.027, 0.15, -0.12375, 0.09275]",5.055007011629641,"[-0.025, -0.025, 0.15, -0.125, 0.1275]",1.746411575935781,"[-0.025, -0.025, 0.15, -0.1, 0.1]",0.5269035859964788,"[-0.025, -0.025, 0.15, -0.1, 0.1]",0.527358123101294,"[-0.025, -0.025, 0.15, -0.15534, 0.1]",2.4328028527088463,"[-0.03068, -0.03068, 0.15, -0.14066, 0.1]",8.056490258313715,"[-0.0325, -0.0325, 0.15009, -0.1307, 0.09629]",20.47989885089919,0.9843583129106864,0.9876842478914197,0.9625990942623043,0.9634493125919634,0.9634493125919634,0.9697220831297793,0.9877730523023937,1.0
"[[[0, 1], [3, 2], [3, 2], [2, 8]], [2, 4, 4, 4], [[0, 3], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[1, 3], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[2, 2], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[4, 2], [3, 2], [3, 2], [2, 8]], [3, 4, 4, 4], [[3, 2], [3, 2], [3, 2], [2, 8]]]","[-0.06097, -0.15513, -0.22167, -0.11871, 0.04858]",17.279441051650792,"[-0.0669, -0.15977, -0.227, -0.1273, 0.04127]",10.763652966823429,"[-0.0705, -0.13325, -0.22125, -0.12925, 0.03725]",4.3500330611132085,"[-0.095, -0.075, -0.225, -0.13, 0.0175]",1.4904066948220134,"[-0.2, -0.2, -0.2, -0.1, 0.075]",0.4850152190774679,"[-0.2, -0.2, -0.2, -0.1, 0.075]",0.4845832148566842,"[-0.03467, -0.17961, -0.25413, -0.11779, 0.07669]",2.208306279964745,"[-0.0648, -0.16156, -0.25697, -0.09484, 0.03569]",6.785233431030065,"[-0.06097, -0.15513, -0.22167, -0.11871, 0.04858]",17.286856323946267,0.9837086065666562,0.9681960654949737,0.895816404842221,0.8309573751978514,0.8309573751978514,0.9373937852525805,0.9495268289088153,1.0
"[[[0, 1], [7, 1], [2, 3], [8, 4]], [2, 4, 1, 4], [[0, 2], [7, 1], [3, 4], [8, 4]], [3, 4, 0, 4], [[0, 1], [7, 1], [3, 3], [8, 4]], [2, 4, 4, 4], [[1, 2], [7, 1], [3, 3], [8, 4]], [4, 4, 1, 4], [[1, 2], [7, 1], [4, 2], [8, 4]], [1, 4, 3, 4], [[2, 2], [7, 1], [2, 2], [8, 4]]]","[-0.025, -0.225, -0.025, -0.1, -0.1]",20.807223786134273,"[-0.025, -0.225, -0.025, -0.1, -0.1]",12.867596864700317,"[-0.025, -0.225, -0.025, -0.1, -0.1]",5.1128722531721,"[-0.025, -0.225, -0.025, -0.1, -0.1]",1.7600369998253882,"[-0.025, -0.225, -0.025, -0.1, -0.1]",0.5304485252127051,"[-0.025, -0.225, -0.025, -0.1, -0.1]",0.5306403068825603,"[-0.025, -0.225, -0.025, -0.1, -0.1]",2.4534673201851547,"[-0.025, -0.225, -0.025, -0.1, -0.1]",8.10770259378478,"[-0.025, -0.225, -0.025, -0.1, -0.1]",20.81811057915911,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"[[[7, 2], [3, 2], [6, 0], [4, 8]], [4, 4, 0, 4], [[7, 2], [3, 2], [5, 0], [4, 8]], [4, 4, 1, 4], [[7, 2], [3, 2], [6, 1], [4, 8]], [2, 4, 0, 4], [[6, 3], [3, 2], [6, 0], [4, 8]], [1, 4, 1, 4], [[7, 3], [3, 2], [7, 0], [4, 8]], [0, 4, 2, 4], [[7, 1], [3, 2], [7, 1], [4, 8]]]","[-0.07085, -0.07333, 0.04165, -0.1, 0.4]",19.966532342135906,"[-0.07085, -0.07045, 0.04165, -0.1, 0.4]",12.24308476317674,"[-0.07025, -0.06925, 0.04225, -0.1, 0.4]",4.92523296829313,"[-0.0575, -0.13, 0.055, -0.1, 0.4]",1.7218730100430548,"[-0.025, -0.125, -0.025, -0.1, 0.4]",0.5212713037617505,"[-0.025, -0.125, -0.025, -0.1, 0.4]",0.5187366679310799,"[-0.0835, 0.03303, 0.08525, -0.1, 0.4]",2.3589419117197394,"[-0.06444, -0.04254, 0.06056, -0.1, 0.4]",7.87106870720163,"[-0.07085, -0.07333, 0.04165, -0.1, 0.4]",20.030325923115015,0.9967800621124003,0.9953408155220039,0.9332173871804943,0.892679021738525,0.892679021738525,0.8707065735429678,0.9589710422384384,1.0
"[[[5, 4], [8, 4], [7, 9], [7, 5]], [3, 4, 1, 3], [[4, 3], [8, 4], [8, 9], [6, 6]], [2, 4, 0, 3], [[4, 5], [8, 4], [8, 7], [5, 5]], [2, 4, 2, 4], [[5, 6], [8, 4], [9, 8], [5, 5]], [4, 4, 3, 0], [[5, 6], [8, 4], [8, 8], [5, 3]], [0, 4, 4, 2], [[5, 5], [8, 4], [8, 8], [5, 5]]]","[-0.07395, -0.08447, -0.08098, -0.10379, 0.41131]",20.34508027136326,"[-0.07013, -0.09072, -0.08475, -0.1035, 0.4213]",12.56903693312779,"[-0.07425, -0.06725, -0.07925, -0.0895, 0.40825]",4.959137997124344,"[-0.075, -0.035, -0.075, -0.075, 0.4]",1.7406338742002845,"[-0.075, -0.125, -0.075, -0.075, 0.4]",0.5208639949560165,"[-0.075, -0.125, -0.075, -0.075, 0.4]",0.5216833092272282,"[-0.05064, -0.08757, -0.08126, -0.08126, 0.41504]",2.4192566317506135,"[-0.06565, -0.0788, -0.07799, -0.10092, 0.40609]",8.000634589232504,"[-0.07395, -0.08447, -0.08098, -0.10379, 0.41131]",20.421661727130413,0.9855193232202358,0.9746726679257368,0.9344168085558502,0.9425943818080494,0.9425943818080494,0.963350335949698,0.9865155506230324,1.0
"[[[1, 0], [2, 4], [4, 1], [8, 8]], [1, 0, 3, 4], [[2, 1], [2, 3], [3, 2], [8, 8]], [0, 2, 0, 4], [[2, 0], [3, 4], [4, 1], [8, 8]], [0, 0, 0, 4], [[2, 0], [4, 3], [4, 0], [8, 8]], [0, 2, 1, 4], [[2, 0], [5, 4], [5, 0], [8, 8]], [1, 4, 3, 4], [[3, 0], [5, 4], [3, 0], [8, 8]]]","[0.065, -0.075, -0.14528, -0.125, -0.14819]",19.8102137921378,"[0.065, -0.075, -0.1484, -0.125, -0.15305]",12.21224471507594,"[0.065, -0.075, -0.1495, -0.125, -0.14975]",4.815960147883743,"[0.065, -0.075, -0.085, -0.125, -0.135]",1.6594821359030902,"[0.275, -0.075, -0.175, -0.125, -0.125]",0.4944282229989767,"[0.275, -0.075, -0.175, -0.125, -0.125]",0.4956426010467112,"[0.1175, -0.075, -0.175, -0.125, -0.14767]",2.35275981714949,"[0.07667, -0.075, -0.1379, -0.125, -0.14211]",7.656763938721269,"[0.065, -0.075, -0.14528, -0.125, -0.14819]",19.743878301233053,0.9935430270249908,0.9949698409567888,0.9310103766860552,0.7614600282447405,0.7614600282447405,0.9325481764516332,0.9831321422522005,1.0
"[[[4, 7], [5, 5], [2, 8], [7, 2]], [1, 4, 4, 4], [[6, 7], [5, 5], [2, 8], [7, 2]], [1, 0, 4, 4], [[7, 6], [5, 4], [2, 8], [7, 2]], [0, 3, 4, 4], [[7, 5], [4, 3], [2, 8], [7, 2]], [0, 2, 4, 4], [[7, 3], [4, 4], [2, 8], [7, 2]], [2, 1, 4, 0], [[6, 4], [6, 4], [2, 8], [8, 1]]]","[0.00338, -0.21959, -0.03375, -0.16, -0.075]",20.274677196051925,"[0.0042, -0.2198, -0.03375, -0.16, -0.075]",12.477340125013143,"[0.008, -0.222, -0.03375, -0.16, -0.075]",5.01663653831929,"[0.0, -0.2175, -0.0325, -0.16, -0.075]",1.7204006710089743,"[0.0, -0.225, -0.025, -0.15, -0.075]",0.5223580696620047,"[0.0, -0.225, -0.025, -0.15, -0.075]",0.520570270717144,"[0.0, -0.21932, -0.025, -0.15, -0.075]",2.4379177428781986,"[0.0043, -0.20741, -0.025, -0.15, -0.075]",8.053880034945905,"[0.00338, -0.21959, -0.03375, -0.16, -0.075]",20.324905837420374,0.9990536253384626,0.9941741416941364,0.9953423450106303,0.9835206568698871,0.9835206568698871,0.9846678524009191,0.9798207625267951,1.0
