History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[2, 2], [1, 2], [5, 5], [4, 7]], [1, 4, 4, 2], [[3, 3], [1, 2], [5, 5], [4, 9]], [0, 4, 4, 0], [[3, 2], [1, 2], [5, 5], [5, 8]], [4, 2, 4, 3], [[3, 2], [1, 3], [5, 5], [4, 7]], [0, 1, 4, 2], [[3, 0], [3, 3], [5, 5], [4, 9]], [2, 0, 4, 0], [[3, 2], [3, 2], [5, 5], [4, 7]]]","[-0.181, -0.13, -0.05, -0.061, 0.4]",27.640578117221594,"[-0.183, -0.137, -0.05, -0.066, 0.4]",18.949847601354122,"[-0.164, -0.115, -0.05, -0.062, 0.4]",7.752005502581596,"[-0.163, -0.105, -0.05, -0.05, 0.4]",2.6595342606306076,"[-0.15, -0.1, -0.05, -0.05, 0.4]",0.8017947785556316,0.008831760866327854,0.022693611435820424,0.03271085446759225,0.04451965857910413
"[[[7, 2], [9, 2], [7, 1], [5, 5]], [2, 2, 4, 4], [[8, 3], [9, 3], [7, 1], [5, 5]], [2, 2, 4, 4], [[8, 4], [9, 5], [7, 1], [5, 5]], [3, 0, 4, 4], [[6, 4], [9, 4], [7, 1], [5, 5]], [1, 3, 4, 2], [[7, 5], [8, 4], [7, 1], [6, 6]], [0, 4, 4, 3], [[8, 4], [8, 4], [7, 1], [5, 5]]]","[-0.129, -0.08, -0.19, -0.051, 0.026]",26.352049987763166,"[-0.132, -0.082, -0.189, -0.083, 0.056]",18.120173200964928,"[-0.148, -0.078, -0.198, -0.096, 0.044]",7.3191564455628395,"[-0.163, -0.07, -0.175, -0.015, 0.003]",2.543344147503376,"[-0.125, -0.125, -0.175, 0.0, -0.025]",0.7976849637925625,0.044022721406110285,0.052706735812417756,0.057497826045860206,0.08641759080187321
"[[[5, 6], [7, 1], [8, 4], [5, 4]], [4, 4, 4, 1], [[5, 6], [7, 1], [8, 4], [6, 5]], [4, 4, 4, 0], [[5, 6], [7, 1], [8, 4], [6, 4]], [4, 4, 4, 3], [[5, 6], [7, 1], [8, 4], [5, 4]], [4, 4, 4, 1], [[5, 6], [7, 1], [8, 4], [6, 3]], [0, 4, 4, 2], [[6, 5], [7, 1], [8, 4], [6, 5]]]","[-0.129, -0.065, -0.111, -0.129, 0.121]",27.494335256516933,"[-0.129, -0.065, -0.113, -0.129, 0.121]",18.851880230009556,"[-0.128, -0.062, -0.107, -0.128, 0.122]",7.658549167215824,"[-0.125, -0.055, -0.1, -0.125, 0.125]",2.5974483117461205,"[-0.125, 0.0, -0.1, -0.125, 0.125]",0.7982556074857712,0.0020000000000000018,0.005291502622129186,0.016401219466856725,0.06628725367670621
"[[[7, 1], [8, 4], [9, 0], [8, 8]], [4, 4, 3, 4], [[7, 1], [8, 4], [7, 0], [8, 8]], [2, 4, 1, 4], [[7, 3], [8, 4], [8, 0], [8, 8]], [0, 4, 3, 4], [[8, 2], [8, 4], [6, 0], [8, 8]], [0, 4, 0, 4], [[9, 1], [8, 4], [6, 0], [8, 8]], [3, 4, 1, 4], [[7, 1], [8, 4], [7, 1], [8, 8]]]","[-0.033, -0.033, 0.15, -0.131, 0.096]",27.02624709531665,"[-0.038, -0.038, 0.15, -0.13, 0.085]",18.332587357610464,"[-0.027, -0.027, 0.15, -0.124, 0.093]",7.407342340797186,"[-0.025, -0.025, 0.15, -0.125, 0.128]",2.531133558601141,"[-0.025, -0.025, 0.15, -0.1, 0.1]",0.7733423598110676,0.013114877048603996,0.011401754250991386,0.03446737587922817,0.03324154027718932
"[[[0, 1], [3, 2], [3, 2], [2, 8]], [2, 4, 4, 4], [[0, 3], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[1, 3], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[2, 2], [3, 2], [3, 2], [2, 8]], [1, 4, 4, 4], [[4, 2], [3, 2], [3, 2], [2, 8]], [3, 4, 4, 4], [[3, 2], [3, 2], [3, 2], [2, 8]]]","[-0.061, -0.155, -0.222, -0.119, 0.049]",22.95637807995081,"[-0.067, -0.16, -0.227, -0.127, 0.041]",15.769558925181627,"[-0.071, -0.133, -0.221, -0.129, 0.037]",6.417625568807125,"[-0.095, -0.075, -0.225, -0.13, 0.018]",2.233088605105877,"[-0.2, -0.2, -0.2, -0.1, 0.075]",0.7221148945391178,0.014628738838327804,0.028792360097775933,0.09298924669014155,0.15121838512561891
"[[[0, 1], [7, 1], [2, 3], [8, 4]], [2, 4, 1, 4], [[0, 2], [7, 1], [3, 4], [8, 4]], [3, 4, 0, 4], [[0, 1], [7, 1], [3, 3], [8, 4]], [2, 4, 4, 4], [[1, 2], [7, 1], [3, 3], [8, 4]], [4, 4, 1, 4], [[1, 2], [7, 1], [4, 2], [8, 4]], [1, 4, 3, 4], [[2, 2], [7, 1], [2, 2], [8, 4]]]","[-0.025, -0.225, -0.025, -0.1, -0.1]",27.51644153147936,"[-0.025, -0.225, -0.025, -0.1, -0.1]",18.839502226561308,"[-0.025, -0.225, -0.025, -0.1, -0.1]",7.675018064677715,"[-0.025, -0.225, -0.025, -0.1, -0.1]",2.5959856659173965,"[-0.025, -0.225, -0.025, -0.1, -0.1]",0.7778749838471413,0.0,0.0,0.0,0.0
"[[[7, 2], [3, 2], [6, 0], [4, 8]], [4, 4, 0, 4], [[7, 2], [3, 2], [5, 0], [4, 8]], [4, 4, 1, 4], [[7, 2], [3, 2], [6, 1], [4, 8]], [2, 4, 0, 4], [[6, 3], [3, 2], [6, 0], [4, 8]], [1, 4, 1, 4], [[7, 3], [3, 2], [7, 0], [4, 8]], [0, 4, 2, 4], [[7, 1], [3, 2], [7, 1], [4, 8]]]","[-0.071, -0.073, 0.042, -0.1, 0.4]",26.4915286116302,"[-0.071, -0.07, 0.042, -0.1, 0.4]",18.175497323274612,"[-0.07, -0.069, 0.042, -0.1, 0.4]",7.37761415168643,"[-0.058, -0.13, 0.055, -0.1, 0.4]",2.549763273447752,"[-0.025, -0.125, -0.025, -0.1, 0.4]",0.7689794860780239,0.002999999999999989,0.004123105625617647,0.05989156868875619,0.09648315915225827
"[[[5, 4], [8, 4], [7, 9], [7, 5]], [3, 4, 1, 3], [[4, 3], [8, 4], [8, 9], [6, 6]], [2, 4, 0, 3], [[4, 5], [8, 4], [8, 7], [5, 5]], [2, 4, 2, 4], [[5, 6], [8, 4], [9, 8], [5, 5]], [4, 4, 3, 0], [[5, 6], [8, 4], [8, 8], [5, 3]], [0, 4, 4, 2], [[5, 5], [8, 4], [8, 8], [5, 5]]]","[-0.074, -0.084, -0.081, -0.104, 0.411]",27.22390941902995,"[-0.07, -0.091, -0.085, -0.104, 0.421]",18.693999763578176,"[-0.074, -0.067, -0.079, -0.09, 0.408]",7.544835414737463,"[-0.075, -0.035, -0.075, -0.075, 0.4]",2.6282471790909767,"[-0.075, -0.125, -0.075, -0.075, 0.4]",0.8048223219811916,0.01345362404707371,0.022315913604421398,0.058309518948452994,0.051768716422179124
"[[[1, 0], [2, 4], [4, 1], [8, 8]], [1, 0, 3, 4], [[2, 1], [2, 3], [3, 2], [8, 8]], [0, 2, 0, 4], [[2, 0], [3, 4], [4, 1], [8, 8]], [0, 0, 0, 4], [[2, 0], [4, 3], [4, 0], [8, 8]], [0, 2, 1, 4], [[2, 0], [5, 4], [5, 0], [8, 8]], [1, 4, 3, 4], [[3, 0], [5, 4], [3, 0], [8, 8]]]","[0.065, -0.075, -0.145, -0.125, -0.148]",26.277804616838694,"[0.065, -0.075, -0.148, -0.125, -0.153]",17.9563916772604,"[0.065, -0.075, -0.15, -0.125, -0.15]",7.317799348384142,"[0.065, -0.075, -0.085, -0.125, -0.135]",2.4401141963899136,"[0.275, -0.075, -0.175, -0.125, -0.125]",0.7514516115188599,0.0058309518948453055,0.005385164807134509,0.061392181912683294,0.21337525629744422
"[[[4, 7], [5, 5], [2, 8], [7, 2]], [1, 4, 4, 4], [[6, 7], [5, 5], [2, 8], [7, 2]], [1, 0, 4, 4], [[7, 6], [5, 4], [2, 8], [7, 2]], [0, 3, 4, 4], [[7, 5], [4, 3], [2, 8], [7, 2]], [0, 2, 4, 4], [[7, 3], [4, 4], [2, 8], [7, 2]], [2, 1, 4, 0], [[6, 4], [6, 4], [2, 8], [8, 1]]]","[0.003, -0.22, -0.034, -0.16, -0.075]",27.118005346506834,"[0.004, -0.22, -0.034, -0.16, -0.075]",18.53519792482257,"[0.008, -0.222, -0.034, -0.16, -0.075]",7.581199899315834,"[0.0, -0.217, -0.033, -0.16, -0.075]",2.570082612335682,"[0.0, -0.225, -0.025, -0.15, -0.075]",0.808229360729456,0.001,0.005385164807134505,0.004358898943540675,0.014662878298615189
"[[[7, 5], [8, 2], [5, 5], [9, 4]], [0, 0, 4, 4], [[7, 3], [8, 1], [5, 5], [9, 4]], [1, 4, 4, 4], [[9, 3], [8, 1], [5, 5], [9, 4]], [3, 4, 4, 4], [[8, 2], [8, 1], [5, 5], [9, 4]], [3, 4, 4, 3], [[7, 2], [8, 1], [5, 5], [8, 5]], [2, 4, 4, 0], [[7, 4], [8, 1], [5, 5], [7, 4]]]","[-0.175, 0.02, -0.186, -0.168, -0.156]",25.47135380655527,"[-0.169, 0.018, -0.187, -0.166, -0.159]",17.289208717644215,"[-0.193, 0.024, -0.158, -0.17, -0.153]",6.953672613948584,"[-0.195, 0.0, -0.233, -0.088, -0.15]",2.4417448565363884,"[-0.175, 0.0, -0.225, -0.35, -0.15]",0.7541666515171528,0.007348469228349518,0.03371943060017474,0.09718538984847468,0.18729922583929703
"[[[8, 2], [5, 5], [9, 0], [8, 4]], [3, 4, 3, 4], [[7, 3], [5, 5], [8, 0], [8, 4]], [0, 4, 3, 4], [[7, 1], [5, 5], [7, 0], [8, 4]], [2, 4, 1, 4], [[8, 2], [5, 5], [9, 0], [8, 4]], [3, 4, 3, 4], [[7, 3], [5, 5], [8, 0], [8, 4]], [0, 4, 3, 4], [[7, 1], [5, 5], [7, 1], [8, 4]]]","[-0.229, 0.129, -0.033, -0.229, 0.129]",25.50428804755211,"[-0.229, 0.116, -0.038, -0.229, 0.116]",17.542452841997147,"[-0.225, 0.134, -0.027, -0.225, 0.134]",7.1284076906740665,"[-0.215, 0.14, -0.025, -0.215, 0.14]",2.4113741889595985,"[-0.2, 0.15, -0.025, -0.2, 0.15]",0.7448059730231762,0.019052558883257645,0.010862780491200224,0.026419689627245835,0.051264022471905174
"[[[7, 8], [8, 9], [5, 5], [4, 1]], [0, 1, 4, 3], [[8, 7], [9, 9], [5, 5], [3, 2]], [3, 3, 4, 4], [[6, 7], [8, 9], [5, 5], [3, 2]], [1, 1, 0, 4], [[7, 8], [9, 9], [5, 4], [3, 2]], [0, 3, 2, 4], [[7, 7], [8, 9], [5, 6], [3, 2]], [0, 2, 4, 4], [[8, 6], [8, 9], [5, 6], [3, 2]]]","[-0.123, -0.135, -0.157, -0.334, -0.115]",22.366485852748156,"[-0.116, -0.144, -0.164, -0.323, -0.107]",15.335484113544226,"[-0.105, -0.146, -0.168, -0.31, -0.094]",6.433638505637646,"[-0.095, -0.188, -0.2, -0.298, -0.085]",2.2677716463804245,"[-0.175, -0.2, -0.225, -0.325, 0.0]",0.7255756668746471,0.019078784028338912,0.03978693252815554,0.08739565206576355,0.15766737138672668
