History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[6, 6], [5, 4], [3, 6], [3, 1]], [4, 1, 2, 4], [[6, 6], [6, 3], [3, 8], [3, 1]], [3, 1, 4, 4], [[5, 5], [7, 4], [3, 8], [3, 1]], [4, 1, 4, 4], [[5, 5], [8, 5], [3, 8], [3, 1]], [4, 0, 4, 4], [[5, 5], [8, 3], [3, 8], [3, 1]], [4, 4, 4, 4], [[5, 5], [8, 3], [3, 8], [3, 1]]]","[-0.09576, 0.23222, 0.08753, 0.08306, 0.07622]",20.549931877758354,"[-0.01943, 0.23525, 0.08845, 0.08845, 0.08625]",12.571011090185493,"[-0.65175, 0.18725, 0.0695, 0.0695, 0.0695]",4.961210506036878,"[-0.6725, 0.1675, 0.025, 0.025, 0.025]",1.72225549723953,"[-0.725, 0.15, 0.025, 0.025, 0.025]",0.5220691259019077,"[-0.725, 0.15, 0.025, 0.025, 0.025]",0.5192042510025203,"[-0.17314, 0.21907, 0.025, 0.025, 0.025]",2.435165787115693,"[-0.06194, 0.21678, 0.05951, 0.05702, 0.05224]",8.057157149072737,"[-0.09576, 0.23222, 0.08753, 0.08306, 0.07622]",20.41265240125358,0.9136435497487304,0.37579921709837616,0.34166672678270316,0.28183605727870187,0.28183605727870187,0.8582914972558104,0.9346124209042727,1.0
"[[[4, 6], [4, 7], [8, 9], [6, 2]], [1, 3, 0, 1], [[5, 5], [3, 6], [9, 8], [7, 3]], [4, 2, 3, 0], [[5, 5], [2, 7], [8, 9], [8, 2]], [4, 4, 0, 4], [[5, 5], [2, 7], [8, 8], [8, 2]], [4, 4, 4, 4], [[5, 5], [2, 7], [8, 8], [8, 2]], [4, 4, 4, 4], [[5, 5], [2, 7], [8, 8], [8, 2]]]","[0.19463, 0.11827, 0.0486, 0.0486, 0.0486]",20.961244830396026,"[0.20535, 0.12313, 0.041, 0.041, 0.041]",12.916245880071074,"[0.20825, 0.0675, 0.025, 0.025, 0.025]",5.149648885708302,"[0.1975, 0.025, 0.025, 0.025, 0.025]",1.7724942439235747,"[0.275, 0.025, 0.025, 0.025, 0.025]",0.531078324187547,"[0.275, 0.025, 0.025, 0.025, 0.025]",0.5292882169596851,"[0.20502, 0.08749, 0.03057, 0.03057, 0.03057]",2.478038975968957,"[0.20014, 0.07902, 0.03438, 0.03438, 0.03438]",8.218802176881582,"[0.19463, 0.11827, 0.0486, 0.0486, 0.0486]",21.177883374970406,0.9802573431372573,0.9255522221621089,0.8861008680893485,0.854959015274992,0.854959015274992,0.9496189122785147,0.9478278354867272,1.0
"[[[2, 1], [9, 2], [9, 9], [0, 7]], [1, 3, 3, 1], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]]]","[0.07397, 0.06054, 0.06054, 0.06054, 0.06054]",21.052131516393274,"[0.0594, 0.0504, 0.0504, 0.0504, 0.0504]",13.05729760415852,"[0.064, 0.05, 0.05, 0.05, 0.05]",5.179932862985879,"[0.07, 0.05, 0.05, 0.05, 0.05]",1.7715782951563597,"[0.075, 0.05, 0.05, 0.05, 0.05]",0.5312444576993585,"[0.075, 0.05, 0.05, 0.05, 0.05]",0.529073400888592,"[0.06666, 0.05, 0.05, 0.05, 0.05]",2.490063313394785,"[0.0677, 0.05469, 0.05469, 0.05469, 0.05469]",8.235057226382196,"[0.07397, 0.06054, 0.06054, 0.06054, 0.06054]",21.248443140648305,0.9720812943530686,0.9739287682492752,0.976017524627345,0.9764037264594597,0.9764037264594597,0.9750549979955904,0.9851590557914937,1.0
"[[[4, 4], [6, 1], [0, 7], [6, 6]], [1, 1, 1, 4], [[5, 4], [7, 2], [1, 8], [6, 6]], [3, 4, 0, 4], [[4, 3], [7, 2], [1, 6], [6, 6]], [2, 4, 4, 3], [[4, 5], [7, 2], [1, 6], [5, 7]], [1, 4, 4, 3], [[5, 4], [7, 2], [1, 6], [4, 8]], [2, 4, 4, 4], [[5, 5], [7, 2], [1, 6], [4, 8]]]","[-0.10371, 0.01024, 0.03751, 0.14425, 0.11007]",20.28214753512293,"[-0.1639, 0.00608, 0.03952, 0.1336, 0.09445]",12.659571127966046,"[-0.1615, -0.0575, 0.031, 0.09, 0.07875]",4.926837423816323,"[-0.16, -0.1925, 0.015, 0.11, 0.075]",1.7182903168722987,"[-0.2, 0.0, 0.05, 0.175, 0.075]",0.5134492833167315,"[-0.2, 0.0, 0.05, 0.175, 0.075]",0.514833343680948,"[-0.193, 0.02762, 0.001, 0.15773, 0.10181]",2.3666871869936585,"[-0.0879, 0.01074, 0.071, 0.12541, 0.09807]",7.945765965152532,"[-0.10371, 0.01024, 0.03751, 0.14425, 0.11007]",20.453145299106836,0.9292752810185859,0.8780636605642108,0.7571478350930344,0.8790243350917218,0.8790243350917218,0.8889950079951356,0.9516428417915197,1.0
"[[[4, 0], [8, 2], [0, 0], [4, 8]], [3, 4, 3, 4], [[3, 1], [8, 2], [0, 1], [4, 8]], [4, 4, 2, 4], [[3, 1], [8, 2], [1, 2], [4, 8]], [4, 4, 2, 4], [[3, 1], [8, 2], [1, 4], [4, 8]], [4, 4, 1, 4], [[3, 1], [8, 2], [2, 5], [4, 8]], [4, 4, 3, 4], [[3, 1], [8, 2], [1, 4], [4, 8]]]","[0.04851, 0.04765, 0.04643, 0.04607, 0.04599]",21.32997020939365,"[0.0248, 0.031, 0.031, 0.031, 0.031]",13.232179346960038,"[0.0, 0.025, 0.025, 0.025, 0.025]",5.239302677102387,"[0.0, 0.025, 0.025, 0.025, 0.025]",1.7430959781631827,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.5332971708849072,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.5364939421415329,"[0.02979, 0.03307, 0.03307, 0.03307, 0.03307]",2.5228617540560663,"[0.02741, 0.03536, 0.03536, 0.03536, 0.03536]",8.349973841104656,"[0.04851, 0.04765, 0.04643, 0.04607, 0.04599]",21.450259351171553,0.956278201946855,0.9274568016627334,0.9274568016627334,0.9274568016627334,0.9274568016627334,0.9633013828598406,0.9656034158672696,1.0
"[[[7, 2], [5, 6], [2, 8], [3, 2]], [4, 0, 4, 4], [[7, 2], [5, 4], [2, 8], [3, 2]], [4, 2, 4, 4], [[7, 2], [4, 5], [2, 8], [3, 2]], [4, 1, 4, 4], [[7, 2], [5, 6], [2, 8], [3, 2]], [4, 0, 4, 4], [[7, 2], [5, 4], [2, 8], [3, 2]], [4, 2, 4, 4], [[7, 2], [5, 5], [2, 8], [3, 2]]]","[0.03445, 0.03445, 0.03445, 0.03445, 0.03445]",21.173520263284445,"[0.0367, 0.0367, 0.0367, 0.0367, 0.0367]",12.992133107967675,"[0.025, 0.025, 0.025, 0.025, 0.025]",5.175028921104968,"[0.025, 0.025, 0.025, 0.025, 0.025]",1.7194425398483872,"[0.025, 0.025, 0.025, 0.025, 0.025]",0.5278423489071429,"[0.025, 0.025, 0.025, 0.025, 0.025]",0.5304312729276717,"[0.025, 0.025, 0.025, 0.025, 0.025]",2.5492750289849937,"[0.0307, 0.0307, 0.0307, 0.0307, 0.0307]",8.220834861975163,"[0.03445, 0.03445, 0.03445, 0.03445, 0.03445]",21.181698421947658,0.994375,0.976375,0.976375,0.976375,0.976375,0.976375,0.990625,1.0
"[[[8, 9], [1, 7], [6, 1], [2, 6]], [0, 0, 1, 2], [[7, 8], [1, 5], [7, 0], [2, 8]], [1, 2, 2, 4], [[9, 8], [2, 6], [7, 1], [2, 8]], [3, 3, 4, 4], [[8, 9], [1, 5], [7, 1], [2, 8]], [0, 2, 4, 4], [[8, 8], [1, 6], [7, 1], [2, 8]], [4, 4, 4, 1], [[8, 8], [1, 6], [7, 1], [3, 8]]]","[0.0937, 0.16, 0.07088, 0.0937, 0.3383]",20.530593612231314,"[0.09297, 0.16138, 0.05778, 0.09297, 0.31785]",12.611877101939172,"[0.025, 0.20025, 0.0, 0.025, 0.11]",5.047426039818674,"[0.025, 0.2025, 0.0, 0.025, 0.11]",1.7300909608602524,"[0.025, 0.2, 0.0, 0.025, 0.1]",0.520967778749764,"[0.025, 0.2, 0.0, 0.025, 0.1]",0.5203218893148005,"[0.03878, 0.19927, 0.0729, 0.03878, 0.19091]",2.4420519680716097,"[0.07694, 0.18224, 0.07504, 0.07694, 0.2854]",8.045768211130053,"[0.0937, 0.16, 0.07088, 0.0937, 0.3383]",20.638695082161576,0.9727790820323782,0.7080147544395436,0.707616488152974,0.6982338562727755,0.6982338562727755,0.8086154453724126,0.9304287379732119,1.0
"[[[0, 1], [9, 1], [7, 2], [8, 3]], [2, 0, 4, 2], [[0, 2], [9, 0], [7, 2], [8, 5]], [3, 3, 4, 0], [[0, 3], [8, 0], [7, 2], [9, 4]], [1, 3, 4, 3], [[1, 2], [7, 1], [7, 2], [8, 3]], [1, 4, 2, 2], [[2, 3], [7, 1], [7, 3], [9, 4]], [4, 4, 3, 4], [[2, 3], [7, 1], [6, 2], [9, 4]]]","[0.19102, 0.22609, 0.27468, 0.22616, 0.07344]",20.491972036194056,"[0.1768, 0.23805, 0.28725, 0.20485, 0.05928]",12.622642531991005,"[0.246, 0.259, 0.279, 0.1945, 0.004]",5.025203985162079,"[0.25, 0.3075, 0.205, 0.185, 0.0]",1.7208815910853446,"[0.3, 0.35, 0.2, 0.1, 0.0]",0.5180162349715829,"[0.3, 0.35, 0.2, 0.1, 0.0]",0.5176638588309288,"[0.24019, 0.24955, 0.29509, 0.19467, 0.01565]",2.4149554166942835,"[0.16866, 0.27474, 0.24302, 0.20275, 0.05536]",7.995793214067817,"[0.19102, 0.22609, 0.27468, 0.22616, 0.07344]",20.62718798778951,0.9619560024445379,0.8884831845639412,0.8339837730069738,0.7399105680251503,0.7399105680251503,0.901791466765866,0.922993001941382,1.0
"[[[9, 9], [0, 5], [5, 3], [3, 4]], [3, 1, 1, 0], [[8, 9], [1, 4], [7, 3], [3, 3]], [0, 2, 0, 0], [[7, 8], [2, 5], [7, 1], [3, 1]], [1, 3, 4, 4], [[8, 8], [1, 5], [7, 1], [3, 1]], [4, 2, 4, 4], [[8, 8], [2, 6], [7, 1], [3, 1]], [4, 2, 4, 4], [[8, 8], [1, 7], [7, 1], [3, 1]]]","[0.07681, 0.0937, 0.14125, 0.3383, 0.3383]",20.176952886395156,"[0.03655, 0.09297, 0.1449, 0.31785, 0.31785]",12.508732434827834,"[0.0, 0.025, 0.185, 0.11, 0.11]",4.898325071670115,"[0.0, 0.025, 0.185, 0.11, 0.11]",1.7072988767176867,"[0.0, 0.025, 0.175, 0.1, 0.1]",0.5145178739912808,"[0.0, 0.025, 0.175, 0.1, 0.1]",0.5177202657796443,"[0.04, 0.03878, 0.17831, 0.19091, 0.19091]",2.42479156376794,"[0.06272, 0.07694, 0.16641, 0.2854, 0.2854]",7.994144133292139,"[0.07681, 0.0937, 0.14125, 0.3383, 0.3383]",20.376986279617995,0.9444220367411688,0.6179409263608571,0.6179409263608571,0.6041902151916909,0.6041902151916909,0.7520275965455027,0.9084216776469453,1.0
"[[[9, 4], [4, 5], [7, 2], [5, 5]], [3, 2, 0, 4], [[8, 4], [4, 7], [8, 1], [5, 5]], [4, 2, 4, 4], [[8, 4], [4, 9], [8, 1], [5, 5]], [4, 0, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]], [4, 4, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]], [4, 4, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]]]","[0.07859, 0.32471, 0.32471, 0.32471, 0.32471]",21.396696855779737,"[0.0522, 0.2947, 0.2947, 0.2947, 0.2947]",13.224323745351285,"[0.0, 0.11775, 0.11775, 0.11775, 0.11775]",5.176153189036995,"[0.0, 0.12, 0.12, 0.12, 0.12]",1.802001227159053,"[0.0, 0.1, 0.1, 0.1, 0.1]",0.5376335131004453,"[0.0, 0.1, 0.1, 0.1, 0.1]",0.5354512669146061,"[0.08602, 0.21021, 0.21021, 0.21021, 0.21021]",2.5201568049378693,"[0.07875, 0.28382, 0.28382, 0.28382, 0.28382]",8.40006394078955,"[0.07859, 0.32471, 0.32471, 0.32471, 0.32471]",21.453607550356537,0.9266955620374865,0.5289557418617652,0.5338976446905679,0.48990843407776286,0.48990843407776286,0.7438354901142628,0.908567005408332,1.0
