History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[6, 6], [5, 4], [3, 6], [3, 1]], [4, 1, 2, 4], [[6, 6], [6, 3], [3, 8], [3, 1]], [3, 1, 4, 4], [[5, 5], [7, 4], [3, 8], [3, 1]], [4, 1, 4, 4], [[5, 5], [8, 5], [3, 8], [3, 1]], [4, 0, 4, 4], [[5, 5], [8, 3], [3, 8], [3, 1]], [4, 4, 4, 4], [[5, 5], [8, 3], [3, 8], [3, 1]]]","[-0.096, 0.232, 0.088, 0.083, 0.076]",28.60902570746839,"[-0.019, 0.235, 0.088, 0.088, 0.086]",19.38470273464918,"[-0.652, 0.187, 0.07, 0.07, 0.07]",7.9273482542485,"[-0.673, 0.167, 0.025, 0.025, 0.025]",2.728519879281521,"[-0.725, 0.15, 0.025, 0.025, 0.025]",0.8446939568966627,0.07786526825228306,0.558292038273877,0.5891417486479804,0.6421051315789339
"[[[4, 6], [4, 7], [8, 9], [6, 2]], [1, 3, 0, 1], [[5, 5], [3, 6], [9, 8], [7, 3]], [4, 2, 3, 0], [[5, 5], [2, 7], [8, 9], [8, 2]], [4, 4, 0, 4], [[5, 5], [2, 7], [8, 8], [8, 2]], [4, 4, 4, 4], [[5, 5], [2, 7], [8, 8], [8, 2]], [4, 4, 4, 4], [[5, 5], [2, 7], [8, 8], [8, 2]]]","[0.195, 0.118, 0.049, 0.049, 0.049]",29.327366042882204,"[0.205, 0.123, 0.041, 0.041, 0.041]",20.132855147123337,"[0.208, 0.068, 0.025, 0.025, 0.025]",8.15975509956479,"[0.197, 0.025, 0.025, 0.025, 0.025]",2.7723562251776457,"[0.275, 0.025, 0.025, 0.025, 0.025]",0.8498174287378788,0.017804493814764847,0.0663098786004016,0.10188719252192593,0.12952605915413315
"[[[2, 1], [9, 2], [9, 9], [0, 7]], [1, 3, 3, 1], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]], [4, 4, 4, 4], [[3, 2], [8, 1], [8, 8], [2, 7]]]","[0.074, 0.061, 0.061, 0.061, 0.061]",29.26994234509766,"[0.059, 0.05, 0.05, 0.05, 0.05]",19.92823962494731,"[0.064, 0.05, 0.05, 0.05, 0.05]",7.972431764006615,"[0.07, 0.05, 0.05, 0.05, 0.05]",2.746141642332077,"[0.075, 0.05, 0.05, 0.05, 0.05]",0.8351672571152449,0.026627053911388688,0.024166091947189133,0.022360679774997887,0.022022715545545232
"[[[4, 4], [6, 1], [0, 7], [6, 6]], [1, 1, 1, 4], [[5, 4], [7, 2], [1, 8], [6, 6]], [3, 4, 0, 4], [[4, 3], [7, 2], [1, 6], [6, 6]], [2, 4, 4, 3], [[4, 5], [7, 2], [1, 6], [5, 7]], [1, 4, 4, 3], [[5, 4], [7, 2], [1, 6], [4, 8]], [2, 4, 4, 4], [[5, 5], [7, 2], [1, 6], [4, 8]]]","[-0.104, 0.01, 0.038, 0.144, 0.11]",27.88801835849881,"[-0.164, 0.006, 0.04, 0.134, 0.094]",18.985864697024226,"[-0.162, -0.058, 0.031, 0.09, 0.079]",7.682541184127331,"[-0.16, -0.193, 0.015, 0.11, 0.075]",2.651485314592719,"[-0.2, 0.0, 0.05, 0.175, 0.075]",0.8101234566420317,0.0630555310817378,0.1091512711790385,0.2173821519812517,0.1079166344916297
"[[[4, 0], [8, 2], [0, 0], [4, 8]], [3, 4, 3, 4], [[3, 1], [8, 2], [0, 1], [4, 8]], [4, 4, 2, 4], [[3, 1], [8, 2], [1, 2], [4, 8]], [4, 4, 2, 4], [[3, 1], [8, 2], [1, 4], [4, 8]], [4, 4, 1, 4], [[3, 1], [8, 2], [2, 5], [4, 8]], [4, 4, 3, 4], [[3, 1], [8, 2], [1, 4], [4, 8]]]","[0.049, 0.048, 0.046, 0.046, 0.046]",29.507133327424526,"[0.025, 0.031, 0.031, 0.031, 0.031]",19.912403371185064,"[0.0, 0.025, 0.025, 0.025, 0.025]",8.112100455909967,"[0.0, 0.025, 0.025, 0.025, 0.025]",2.7824425511062145,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.8449121918529272,0.03924283374069717,0.06521502894272148,0.06521502894272148,0.06521502894272148
"[[[7, 2], [5, 6], [2, 8], [3, 2]], [4, 0, 4, 4], [[7, 2], [5, 4], [2, 8], [3, 2]], [4, 2, 4, 4], [[7, 2], [4, 5], [2, 8], [3, 2]], [4, 1, 4, 4], [[7, 2], [5, 6], [2, 8], [3, 2]], [4, 0, 4, 4], [[7, 2], [5, 4], [2, 8], [3, 2]], [4, 2, 4, 4], [[7, 2], [5, 5], [2, 8], [3, 2]]]","[0.034, 0.034, 0.034, 0.034, 0.034]",28.870961589738727,"[0.037, 0.037, 0.037, 0.037, 0.037]",20.07503523491323,"[0.025, 0.025, 0.025, 0.025, 0.025]",7.982439927756786,"[0.025, 0.025, 0.025, 0.025, 0.025]",2.725726291537285,"[0.025, 0.025, 0.025, 0.025, 0.025]",0.8377540111541748,0.006708203932499359,0.02012461179749811,0.02012461179749811,0.02012461179749811
"[[[8, 9], [1, 7], [6, 1], [2, 6]], [0, 0, 1, 2], [[7, 8], [1, 5], [7, 0], [2, 8]], [1, 2, 2, 4], [[9, 8], [2, 6], [7, 1], [2, 8]], [3, 3, 4, 4], [[8, 9], [1, 5], [7, 1], [2, 8]], [0, 2, 4, 4], [[8, 8], [1, 6], [7, 1], [2, 8]], [4, 4, 4, 1], [[8, 8], [1, 6], [7, 1], [3, 8]]]","[0.094, 0.16, 0.071, 0.094, 0.338]",28.071879662573338,"[0.093, 0.161, 0.058, 0.093, 0.318]",19.16070180758834,"[0.025, 0.2, 0.0, 0.025, 0.11]",7.755836987867951,"[0.025, 0.202, 0.0, 0.025, 0.11]",2.6542492769658566,"[0.025, 0.2, 0.0, 0.025, 0.1]",0.8846300765872002,0.023916521486202807,0.2610498036773826,0.2613637312252793,0.26982772281587375
"[[[0, 1], [9, 1], [7, 2], [8, 3]], [2, 0, 4, 2], [[0, 2], [9, 0], [7, 2], [8, 5]], [3, 3, 4, 0], [[0, 3], [8, 0], [7, 2], [9, 4]], [1, 3, 4, 3], [[1, 2], [7, 1], [7, 2], [8, 3]], [1, 4, 2, 2], [[2, 3], [7, 1], [7, 3], [9, 4]], [4, 4, 3, 4], [[2, 3], [7, 1], [6, 2], [9, 4]]]","[0.191, 0.226, 0.275, 0.226, 0.073]",28.070351392030716,"[0.177, 0.238, 0.287, 0.205, 0.059]",19.130780588835478,"[0.246, 0.259, 0.279, 0.195, 0.004]",7.797593398019671,"[0.25, 0.308, 0.205, 0.185, 0.0]",2.6815294083207846,"[0.3, 0.35, 0.2, 0.1, 0.0]",0.8105325195938349,0.03348133808556641,0.09925724154942045,0.14871112937504039,0.2325661196305257
"[[[9, 9], [0, 5], [5, 3], [3, 4]], [3, 1, 1, 0], [[8, 9], [1, 4], [7, 3], [3, 3]], [0, 2, 0, 0], [[7, 8], [2, 5], [7, 1], [3, 1]], [1, 3, 4, 4], [[8, 8], [1, 5], [7, 1], [3, 1]], [4, 2, 4, 4], [[8, 8], [2, 6], [7, 1], [3, 1]], [4, 2, 4, 4], [[8, 8], [1, 7], [7, 1], [3, 1]]]","[0.077, 0.094, 0.141, 0.338, 0.338]",27.69366098754108,"[0.037, 0.093, 0.145, 0.318, 0.318]",18.847780134528875,"[0.0, 0.025, 0.185, 0.11, 0.11]",8.010441480204463,"[0.0, 0.025, 0.185, 0.11, 0.11]",2.6314870957285166,"[0.0, 0.025, 0.175, 0.1, 0.1]",0.8103113044053316,0.049162994213127434,0.3414586358550623,0.3414586358550623,0.35374284445059806
"[[[9, 4], [4, 5], [7, 2], [5, 5]], [3, 2, 0, 4], [[8, 4], [4, 7], [8, 1], [5, 5]], [4, 2, 4, 4], [[8, 4], [4, 9], [8, 1], [5, 5]], [4, 0, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]], [4, 4, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]], [4, 4, 4, 4], [[8, 4], [4, 8], [8, 1], [5, 5]]]","[0.079, 0.325, 0.325, 0.325, 0.325]",29.162135465070605,"[0.052, 0.295, 0.295, 0.295, 0.295]",19.917374655604362,"[0.0, 0.118, 0.118, 0.118, 0.118]",8.019363718107343,"[0.0, 0.12, 0.12, 0.12, 0.12]",2.7576934695243835,"[0.0, 0.1, 0.1, 0.1, 0.1]",0.8614564053714275,0.06579513659838397,0.4214700463852681,0.4175416146924759,0.45688182279447276
