History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[7, 7], [0, 3], [8, 7], [9, 8]], [0, 1, 3, 2], [[7, 5], [1, 4], [7, 6], [9, 9]], [0, 1, 2, 3], [[8, 4], [2, 5], [7, 7], [8, 9]], [4, 3, 0, 2], [[8, 4], [1, 4], [7, 6], [8, 9]], [4, 1, 3, 0], [[8, 4], [3, 4], [6, 6], [7, 8]], [4, 0, 3, 1], [[8, 4], [3, 2], [5, 5], [8, 9]]]","[0.139, 0.108, 0.145, 0.116, 0.117]",26.723134217318147,"[0.149, 0.109, 0.156, 0.121, 0.119]",18.073429110925645,"[0.169, 0.119, 0.138, 0.115, 0.119]",7.323270086199045,"[0.062, 0.193, 0.138, 0.115, 0.125]",2.5354490536265075,"[0.225, -0.025, 0.125, 0.125, 0.125]",0.7851499696262181,0.01584297951775485,0.032787192621509996,0.11518680479985545,0.16009372255026116
"[[[7, 4], [1, 6], [3, 8], [4, 3]], [4, 4, 1, 2], [[7, 4], [1, 6], [4, 9], [5, 4]], [1, 4, 0, 2], [[9, 4], [1, 6], [4, 8], [4, 5]], [3, 4, 4, 1], [[8, 3], [1, 6], [4, 8], [5, 6]], [4, 4, 4, 0], [[8, 3], [1, 6], [4, 8], [6, 5]], [4, 4, 4, 3], [[8, 3], [1, 6], [4, 8], [5, 4]]]","[0.109, 0.015, 0.004, 0.003, 0.003]",29.918604638893157,"[0.165, 0.019, 0.001, 0.0, 0.0]",20.404219271149486,"[0.169, 0.021, 0.0, 0.0, 0.0]",8.270216554868966,"[0.182, 0.032, 0.0, 0.0, 0.0]",2.833156457170844,"[0.2, 0.025, 0.0, 0.0, 0.0]",0.8653847188688815,0.05638262143604181,0.06058052492344385,0.07517978451685,0.09173330910852394
"[[[4, 8], [9, 6], [2, 0], [4, 9]], [0, 0, 1, 2], [[3, 7], [9, 4], [4, 0], [4, 9]], [3, 3, 3, 2], [[2, 6], [8, 5], [3, 1], [4, 9]], [2, 0, 4, 0], [[2, 8], [9, 4], [3, 1], [4, 8]], [0, 3, 4, 4], [[2, 7], [8, 5], [3, 1], [4, 8]], [3, 0, 4, 4], [[0, 7], [7, 4], [3, 1], [4, 8]]]","[0.389, 0.11, 0.169, 0.298, 0.094]",27.60184373985976,"[0.383, 0.183, 0.183, 0.31, 0.076]",18.474859105888754,"[0.413, 0.093, 0.193, 0.297, 0.059]",7.465137789957225,"[0.53, 0.175, 0.185, 0.355, 0.06]",2.5473653408698738,"[0.625, 0.225, 0.2, 0.4, 0.1]",0.7855238169431686,0.07764663547121664,0.05164300533470141,0.16960837243485358,0.2834113618047096
"[[[0, 5], [8, 9], [1, 4], [9, 2]], [2, 0, 0, 3], [[0, 6], [9, 8], [1, 3], [8, 3]], [1, 3, 1, 4], [[1, 6], [8, 7], [2, 2], [8, 3]], [4, 2, 1, 4], [[1, 6], [8, 9], [3, 1], [8, 3]], [4, 0, 4, 4], [[1, 6], [8, 8], [3, 1], [8, 3]], [4, 4, 4, 4], [[1, 6], [8, 8], [3, 1], [8, 3]]]","[0.225, 0.178, 0.005, 0.086, 0.086]",27.889445961918682,"[0.232, 0.175, 0.0, 0.07, 0.07]",18.853326649405062,"[0.233, 0.175, 0.0, 0.062, 0.062]",7.694601974915713,"[0.23, 0.175, 0.0, 0.03, 0.03]",2.629666621796787,"[0.2, 0.175, 0.0, 0.0, 0.0]",0.8036117763258517,0.024392621835300922,0.03535533905932737,0.07956758133813041,0.12430205147140572
"[[[7, 4], [3, 6], [4, 4], [6, 1]], [4, 2, 1, 1], [[7, 4], [3, 8], [5, 3], [7, 0]], [1, 4, 3, 2], [[9, 4], [3, 8], [3, 3], [7, 1]], [3, 4, 4, 4], [[8, 5], [3, 8], [3, 3], [7, 1]], [0, 4, 4, 4], [[8, 3], [3, 8], [3, 3], [7, 1]], [2, 4, 4, 4], [[8, 4], [3, 8], [3, 3], [7, 1]]]","[0.114, 0.209, 0.036, 0.093, 0.028]",28.63089159084484,"[0.133, 0.164, 0.003, 0.079, 0.008]",19.309687016997486,"[0.149, 0.192, 0.0, 0.075, 0.0]",7.838224532082677,"[0.155, 0.267, 0.0, 0.075, 0.0]",2.6905955909751356,"[0.2, 0.3, 0.0, 0.075, 0.0]",0.8189004710875452,0.06380438856379707,0.06259392941811528,0.08630758946929291,0.13446560898608984
"[[[9, 9], [4, 9], [1, 4], [8, 0]], [3, 0, 1, 3], [[8, 8], [3, 8], [2, 3], [6, 0]], [4, 4, 4, 1], [[8, 8], [3, 8], [2, 3], [8, 0]], [4, 4, 4, 3], [[8, 8], [3, 8], [2, 3], [7, 0]], [4, 4, 4, 2], [[8, 8], [3, 8], [2, 3], [7, 2]], [4, 4, 4, 4], [[8, 8], [3, 8], [2, 3], [7, 2]]]","[0.0, 0.11, 0.11, 0.11, 0.11]",26.523050638847053,"[0.0, 0.11, 0.11, 0.11, 0.11]",18.036720955744386,"[0.0, 0.11, 0.11, 0.11, 0.11]",7.281481629237533,"[0.0, 0.11, 0.11, 0.11, 0.11]",2.4886380610987544,"[0.0, 0.1, 0.1, 0.1, 0.1]",0.7813277901150286,0.0,0.0,0.0,0.01999999999999999
"[[[3, 8], [0, 1], [7, 4], [7, 3]], [4, 2, 3, 0], [[3, 8], [0, 2], [6, 3], [7, 2]], [4, 3, 2, 0], [[3, 8], [0, 2], [6, 4], [7, 1]], [4, 3, 3, 4], [[3, 8], [0, 2], [5, 5], [7, 1]], [4, 3, 4, 4], [[3, 8], [0, 2], [5, 5], [7, 1]], [4, 3, 4, 4], [[3, 8], [0, 3], [5, 5], [7, 1]]]","[0.148, 0.148, 0.038, 0.038, 0.038]",29.448760277125984,"[0.22, 0.22, 0.189, 0.189, 0.189]",19.921050107106566,"[0.21, 0.21, 0.189, 0.189, 0.189]",8.086596028879285,"[0.187, 0.187, 0.172, 0.172, 0.172]",2.7689265538938344,"[0.175, 0.175, 0.1, 0.1, 0.1]",0.8430091552436352,0.2806617180878076,0.27584597151308915,0.23855816900705787,0.11397368117245316
"[[[2, 8], [2, 1], [5, 4], [0, 7]], [4, 1, 4, 0], [[2, 8], [3, 0], [5, 4], [0, 6]], [1, 2, 4, 1], [[3, 9], [3, 2], [5, 4], [1, 5]], [0, 4, 2, 2], [[3, 7], [3, 2], [4, 5], [1, 7]], [1, 4, 1, 0], [[4, 6], [3, 2], [5, 5], [1, 5]], [2, 4, 4, 2], [[4, 8], [3, 2], [5, 5], [0, 6]]]","[0.147, 0.255, -0.016, 0.161, 0.365]",26.72175072133541,"[0.07, 0.187, -0.02, 0.098, 0.366]",18.078659791033715,"[0.054, 0.211, -0.014, 0.112, 0.377]",7.362857477739453,"[0.057, 0.19, 0.007, 0.1, 0.352]",2.5254561817273498,"[0.025, 0.175, 0.0, 0.075, 0.375]",0.7663662950508296,0.12057777573002414,0.11460366486286554,0.1293986089569745,0.17039953051578519
"[[[8, 9], [9, 9], [3, 2], [4, 5]], [4, 0, 4, 1], [[8, 9], [9, 8], [3, 2], [5, 6]], [2, 0, 4, 0], [[8, 9], [9, 6], [3, 2], [6, 5]], [0, 0, 4, 4], [[8, 8], [9, 5], [3, 2], [6, 5]], [4, 0, 4, 4], [[8, 8], [9, 4], [3, 2], [6, 5]], [4, 3, 4, 4], [[8, 8], [8, 5], [3, 2], [6, 5]]]","[0.329, 0.114, 0.025, 0.11, 0.11]",25.44476213492453,"[0.321, 0.144, 0.025, 0.11, 0.11]",17.33249755576253,"[0.326, 0.161, 0.025, 0.11, 0.11]",7.1021636771038175,"[0.323, 0.172, 0.025, 0.11, 0.11]",2.438697738107294,"[0.4, 0.2, 0.025, 0.1, 0.1]",0.7693113060668111,0.031048349392520033,0.04709564735726647,0.05830951894845299,0.1124144118874444
"[[[2, 6], [8, 0], [9, 8], [9, 1]], [2, 3, 3, 2], [[2, 7], [6, 0], [8, 9], [9, 2]], [4, 1, 0, 3], [[2, 7], [7, 0], [9, 8], [8, 2]], [4, 3, 3, 2], [[2, 7], [6, 0], [8, 7], [7, 3]], [4, 1, 2, 0], [[2, 7], [7, 0], [9, 8], [7, 1]], [4, 1, 3, 2], [[2, 7], [8, 1], [7, 8], [7, 2]]]","[0.127, 0.0, 0.0, 0.0, 0.0]",28.814579667989165,"[0.125, 0.0, 0.0, 0.0, 0.0]",19.516205431893468,"[0.125, 0.0, 0.0, 0.0, 0.0]",7.917174848727882,"[0.125, 0.0, 0.0, 0.0, 0.0]",2.7206149911507964,"[0.125, 0.0, 0.0, 0.0, 0.0]",0.8267539399676025,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018,0.0020000000000000018
