History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[[[6, 0], [7, 3], [4, 6], [7, 6]], [1, 0, 1, 0], [[7, 1], [8, 2], [5, 5], [7, 4]], [4, 2, 4, 1], [[7, 1], [8, 3], [5, 5], [8, 5]], [4, 3, 4, 3], [[7, 1], [7, 3], [5, 5], [7, 6]], [4, 1, 4, 0], [[7, 1], [9, 3], [5, 5], [7, 5]], [4, 3, 4, 0], [[7, 1], [8, 3], [5, 5], [7, 4]]]","[0.14457, 0.04885, 0.12199, 0.04885, 0.12523]",22.156200173310935,"[0.08255, 0.0008, 0.05218, 0.0008, 0.07995]",13.862787536811084,"[0.0, 0.0, 0.0515, 0.0, 0.08325]",5.477896814234555,"[0.0, 0.0, 0.1175, 0.0, 0.1475]",1.8480791081674397,"[0.0, 0.0, 0.0, 0.0, 0.025]",0.563797046430409,"[0.0, 0.0, 0.0, 0.0, 0.025]",0.5643558381125331,"[0.18214, 0.03306, 0.11133, 0.03306, 0.11245]",2.6046386691741645,"[0.13048, 0.03145, 0.10633, 0.03145, 0.0885]",8.687612403649837,"[0.14457, 0.04885, 0.12199, 0.04885, 0.12523]",22.386195773724467,0.8613105992694466,0.7987405579854698,0.8190675440254016,0.7485026270017915,0.7485026270017915,0.9477133250722519,0.9452462718164324,1.0
"[[[8, 7], [9, 3], [2, 3], [0, 6]], [2, 3, 4, 1], [[7, 8], [8, 2], [2, 3], [2, 6]], [1, 4, 4, 2], [[9, 8], [8, 2], [2, 3], [2, 8]], [3, 4, 4, 4], [[7, 8], [8, 2], [2, 3], [2, 8]], [1, 4, 4, 4], [[8, 7], [8, 2], [2, 3], [2, 8]], [2, 4, 4, 4], [[8, 8], [8, 2], [2, 3], [2, 8]]]","[0.05335, 0.14628, 0.06833, 0.14628, 0.03043]",20.371703112032264,"[0.03498, 0.15008, 0.06588, 0.15008, 0.0389]",12.646950726862997,"[0.019, 0.19025, 0.0135, 0.19025, 0.0275]",4.9791842508129776,"[0.04, 0.185, 0.0, 0.185, 0.005]",1.7272494891658425,"[0.075, 0.175, 0.0, 0.175, 0.0]",0.5219012731686234,"[0.075, 0.175, 0.0, 0.175, 0.0]",0.5246862140484154,"[0.04898, 0.18019, 0.07457, 0.18019, 0.05222]",2.4323621070943773,"[0.0503, 0.16989, 0.0731, 0.16989, 0.05525]",8.068949908949435,"[0.05335, 0.14628, 0.06833, 0.14628, 0.03043]",20.572961046826094,0.9764394317768013,0.8996159991582324,0.8969686146118572,0.9018077580712203,0.9018077580712203,0.9404956430166664,0.9530565233498838,1.0
"[[[0, 3], [2, 9], [3, 8], [3, 3]], [1, 2, 1, 4], [[2, 3], [2, 9], [4, 9], [3, 3]], [4, 0, 0, 1], [[2, 3], [2, 7], [4, 7], [4, 2]], [4, 4, 1, 0], [[2, 3], [2, 7], [5, 6], [5, 1]], [4, 4, 0, 1], [[2, 3], [2, 7], [5, 5], [6, 0]], [4, 4, 4, 1], [[2, 3], [2, 7], [5, 5], [8, 0]]]","[0.34504, 0.09218, 0.29092, 0.08565, 0.08835]",21.322320154402405,"[0.3122, 0.06985, 0.2424, 0.07015, 0.07015]",13.262370838783681,"[0.361, 0.0485, 0.10825, 0.0485, 0.0485]",5.27811519196257,"[0.37, 0.0, 0.075, 0.0, 0.0]",1.7437643283046782,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.5458104093559086,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.5482238321565092,"[0.37957, 0.04918, 0.31523, 0.04918, 0.04918]",2.529398199636489,"[0.32197, 0.07511, 0.2676, 0.06989, 0.07187]",8.41186751332134,"[0.34504, 0.09218, 0.29092, 0.08565, 0.08835]",21.590281955897808,0.9249768793970818,0.7806283464642708,0.702335664296174,0.5979585758283109,0.5979585758283109,0.9098844713714667,0.9514278860867679,1.0
"[[[8, 7], [4, 5], [9, 3], [8, 0]], [2, 1, 3, 3], [[8, 9], [5, 6], [8, 2], [7, 0]], [0, 0, 2, 3], [[8, 8], [6, 5], [8, 4], [6, 0]], [4, 3, 4, 1], [[8, 8], [5, 6], [8, 4], [7, 0]], [4, 0, 4, 2], [[8, 8], [5, 4], [8, 4], [8, 1]], [4, 4, 4, 4], [[8, 8], [5, 4], [8, 4], [8, 1]]]","[0.15383, 0.0937, 0.2633, 0.2633, 0.2633]",20.113119987770915,"[0.1297, 0.09297, 0.24285, 0.24285, 0.24285]",12.449049982707947,"[0.0715, 0.025, 0.035, 0.035, 0.035]",4.851633636746556,"[0.05, 0.025, 0.035, 0.035, 0.035]",1.7055301861837506,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.5123069221153855,"[0.0, 0.025, 0.025, 0.025, 0.025]",0.5124669228680432,"[0.13803, 0.03878, 0.11591, 0.11591, 0.11591]",2.4125007819384336,"[0.14702, 0.07694, 0.2104, 0.2104, 0.2104]",7.959558409638703,"[0.15383, 0.0937, 0.2633, 0.2633, 0.2633]",20.286726924590766,0.9520756155490757,0.5419326074418744,0.5365037366655476,0.5015724364313305,0.5015724364313305,0.7075164904221095,0.8955819478011585,1.0
"[[[1, 4], [9, 2], [8, 3], [8, 0]], [1, 2, 2, 3], [[3, 4], [9, 4], [8, 5], [7, 0]], [0, 0, 3, 2], [[3, 2], [9, 2], [7, 5], [7, 1]], [4, 2, 0, 4], [[3, 2], [9, 4], [7, 4], [7, 1]], [4, 0, 3, 4], [[3, 2], [9, 2], [6, 5], [7, 1]], [4, 2, 4, 4], [[3, 2], [9, 3], [6, 5], [7, 1]]]","[0.07804, 0.04481, 0.05068, 0.07838, 0.07838]",20.920957064256072,"[0.06048, 0.03302, 0.03355, 0.0064, 0.0064]",12.886813275050372,"[0.077, -0.00875, 0.0255, 0.0, 0.0]",5.111257549840957,"[0.075, 0.0, 0.0, 0.0, 0.0]",1.7572013619355857,"[0.075, 0.0, 0.0, 0.0, 0.0]",0.5223722192458808,"[0.075, 0.0, 0.0, 0.0, 0.0]",0.5200691940262914,"[0.08861, 0.02875, 0.02422, 0.0, 0.0]",2.456219017971307,"[0.07571, 0.04339, 0.05474, 0.06704, 0.06704]",8.134034032002091,"[0.07804, 0.04481, 0.05067, 0.07838, 0.07838]",21.013797415886074,0.8821917055127272,0.8595069556881907,0.8547739309731204,0.8547739309731204,0.8547739309731204,0.8707878251672854,0.9812543305000861,0.9999888196601125
"[[[0, 5], [6, 4], [6, 1], [9, 1]], [1, 3, 1, 3], [[1, 6], [5, 5], [7, 1], [8, 1]], [4, 4, 4, 2], [[1, 6], [5, 5], [7, 1], [7, 2]], [4, 4, 4, 2], [[1, 6], [5, 5], [7, 1], [7, 3]], [4, 4, 4, 1], [[1, 6], [5, 5], [7, 1], [8, 4]], [4, 4, 4, 4], [[1, 6], [5, 5], [7, 1], [8, 4]]]","[0.21696, 0.09473, 0.09473, 0.09473, 0.09473]",21.600361339282244,"[0.2161, 0.06948, 0.06948, 0.06948, 0.06948]",13.221996121108532,"[0.204, 0.005, 0.005, 0.005, 0.005]",5.260246376041323,"[0.2, 0.0, 0.0, 0.0, 0.0]",1.8136321771889925,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.5365414908155799,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.5350090768188238,"[0.22382, 0.05377, 0.05377, 0.05377, 0.05377]",2.526482780929655,"[0.21227, 0.0613, 0.0613, 0.0613, 0.0613]",8.44538499508053,"[0.21696, 0.09473, 0.09473, 0.09473, 0.09473]",21.553938797675073,0.9435310970533338,0.7988351012229022,0.787330264259345,0.787330264259345,0.787330264259345,0.9080900848656687,0.9250645636230762,1.0
"[[[5, 4], [8, 4], [8, 9], [3, 7]], [4, 4, 0, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]], [4, 4, 4, 4], [[5, 4], [8, 4], [8, 8], [3, 7]]]","[0.01402, 0.01402, 0.01402, 0.01402, 0.01402]",21.02404392324388,"[0.0001, 0.0001, 0.0001, 0.0001, 0.0001]",12.938848306424916,"[0.0, 0.0, 0.0, 0.0, 0.0]",5.140691266395152,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.7672121971845627,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5243820347823203,"[0.0, 0.0, 0.0, 0.0, 0.0]",0.5264719687402248,"[0.0, 0.0, 0.0, 0.0, 0.0]",2.470362368039787,"[0.00575, 0.00575, 0.00575, 0.00575, 0.00575]",8.253247669897974,"[0.01402, 0.01402, 0.01402, 0.01402, 0.01402]",21.15868609584868,0.9652,0.96495,0.96495,0.96495,0.96495,0.96495,0.979325,1.0
"[[[7, 8], [6, 0], [4, 6], [3, 1]], [1, 1, 1, 4], [[8, 9], [7, 1], [5, 7], [3, 1]], [0, 4, 0, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [3, 1]]]","[0.16646, 0.0937, 0.2633, 0.2633, 0.2633]",19.554836183786392,"[0.1695, 0.09297, 0.24285, 0.24285, 0.24285]",12.09973263181746,"[0.186, 0.025, 0.035, 0.035, 0.035]",4.833291261922568,"[0.185, 0.025, 0.035, 0.035, 0.035]",1.6009454941377044,"[0.175, 0.025, 0.025, 0.025, 0.025]",0.5007907869294286,"[0.175, 0.025, 0.025, 0.025, 0.025]",0.501102312002331,"[0.19448, 0.03878, 0.11591, 0.11591, 0.11591]",2.3620400400832295,"[0.18904, 0.07694, 0.2104, 0.2104, 0.2104]",7.8450350048951805,"[0.16646, 0.0937, 0.2633, 0.2633, 0.2633]",19.688862416893244,0.9602447802169326,0.5507448225117488,0.5507978022092946,0.5320880269751586,0.5320880269751586,0.7063744665820086,0.8928436656095404,1.0
"[[[7, 6], [1, 5], [6, 7], [5, 6]], [0, 2, 1, 3], [[7, 5], [1, 6], [7, 6], [3, 6]], [0, 4, 2, 1], [[7, 3], [1, 6], [7, 8], [4, 6]], [0, 4, 1, 1], [[7, 2], [1, 6], [9, 8], [6, 6]], [4, 4, 3, 3], [[7, 2], [1, 6], [8, 9], [5, 5]], [4, 4, 0, 4], [[7, 2], [1, 6], [8, 7], [5, 5]]]","[0.21658, 0.08283, 0.06784, 0.01289, 0.00769]",20.623712133150548,"[0.2148, 0.0836, 0.0819, 0.021, 0.0114]",12.77750815730542,"[0.181, 0.088, 0.072, 0.0, 0.0]",4.998286149930209,"[0.19, 0.1, 0.09, 0.0, 0.0]",1.7476183040998876,"[0.175, 0.1, 0.0, 0.0, 0.0]",0.5247088000178337,"[0.175, 0.1, 0.0, 0.0, 0.0]",0.5245359549298882,"[0.16728, 0.06249, 0.07977, 0.0, 0.0]",2.4309101519174874,"[0.1994, 0.08114, 0.0607, 0.01039, 0.0057]",8.150805342011154,"[0.21658, 0.08283, 0.06784, 0.01289, 0.00769]",20.767601151019335,0.9812589654767939,0.9561927645816356,0.9536634714830728,0.9074577184471876,0.9074577184471876,0.9366377606535249,0.978810432991682,1.0
"[[[0, 2], [8, 8], [5, 5], [8, 4]], [3, 4, 4, 4], [[0, 1], [8, 8], [5, 5], [8, 4]], [2, 4, 4, 4], [[0, 2], [8, 8], [5, 5], [8, 4]], [3, 4, 4, 4], [[0, 3], [8, 8], [5, 5], [8, 4]], [1, 4, 4, 4], [[1, 4], [8, 8], [5, 5], [8, 4]], [1, 4, 4, 4], [[2, 3], [8, 8], [5, 5], [8, 4]]]","[0.03463, 0.15182, 0.03463, 0.32159, 0.07909]",19.43591990415007,"[0.0515, 0.1558, 0.0515, 0.3202, 0.06843]",12.093365326989442,"[0.072, 0.221, 0.072, 0.338, 0.075]",4.7512462991289794,"[0.075, 0.225, 0.075, 0.35, 0.075]",1.654839234892279,"[0.175, 0.275, 0.175, 0.2, 0.075]",0.5008248710073531,"[0.175, 0.275, 0.175, 0.2, 0.075]",0.49176864326000214,"[0.0395, 0.21519, 0.0395, 0.33345, 0.07636]",2.314128377009183,"[0.0454, 0.13514, 0.0454, 0.3092, 0.08511]",7.621882984880358,"[0.03463, 0.15182, 0.03463, 0.32159, 0.07909]",19.577470387797803,0.9704068863584786,0.9008478290706653,0.8913800064444856,0.7055054278938235,0.7055054278938235,0.9274456824165509,0.9704204314602123,1.0
