History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[[[4, 7], [4, 6], [7, 9], [8, 3]], [3, 1, 1, 4], [[3, 6], [5, 7], [8, 8], [8, 3]], [3, 0, 4, 4], [[2, 5], [6, 6], [8, 8], [8, 3]], [3, 3, 4, 4], [[1, 6], [5, 5], [8, 8], [8, 3]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 8], [8, 3]], [4, 4, 4, 4], [[1, 6], [5, 5], [8, 8], [8, 3]]]","[0.261, 0.28, 0.221, 0.096, 0.096]",33.40223601087928,"[0.265, 0.285, 0.222, 0.079, 0.079]",22.133756743744016,"[0.275, 0.288, 0.227, 0.065, 0.065]",8.997755920514464,"[0.275, 0.297, 0.185, 0.03, 0.03]",3.062090927734971,"[0.275, 0.35, 0.375, 0.0, 0.0]",0.908805513754487,0.024899799195977457,0.047095647357266464,0.10243534546239398,0.21735684944349004
"[[[3, 6], [0, 1], [5, 1], [3, 0]], [3, 2, 1, 2], [[2, 7], [0, 3], [6, 2], [2, 1]], [4, 1, 1, 1], [[2, 7], [2, 3], [7, 3], [4, 1]], [4, 4, 0, 3], [[2, 7], [2, 3], [8, 2], [3, 2]], [4, 4, 4, 0], [[2, 7], [2, 3], [8, 2], [2, 1]], [4, 4, 4, 1], [[2, 7], [2, 3], [8, 2], [3, 0]]]","[0.29, -0.044, 0.0, 0.0, 0.0]",33.85576708801091,"[0.369, -0.049, 0.0, 0.0, 0.0]",22.85465093702078,"[0.367, 0.121, 0.0, 0.0, 0.0]",9.152548003941774,"[0.355, 0.08, 0.0, 0.0, 0.0]",3.115903353318572,"[0.375, 0.05, 0.0, 0.0, 0.0]",0.9881155919283628,0.07915806970865322,0.1820823989297153,0.14000357138301867,0.1267320006943787
"[[[5, 8], [7, 3], [3, 0], [2, 0]], [3, 0, 2, 0], [[4, 9], [6, 2], [3, 1], [3, 0]], [0, 1, 2, 1], [[4, 7], [8, 2], [4, 2], [4, 0]], [4, 4, 2, 3], [[4, 7], [8, 2], [4, 3], [3, 0]], [4, 4, 2, 2], [[4, 7], [8, 2], [4, 5], [3, 1]], [3, 4, 1, 4], [[3, 6], [8, 2], [5, 6], [3, 1]]]","[0.524, 0.02, 0.232, 0.252, 0.251]",31.951817946508527,"[0.525, 0.05, 0.274, 0.25, 0.238]",21.138432510197163,"[0.525, 0.05, 0.273, 0.25, 0.228]",8.603264210745692,"[0.525, 0.05, 0.272, 0.25, 0.227]",2.939219441264868,"[0.525, 0.05, 0.275, 0.25, 0.25]",0.899957561865449,0.05327288240746882,0.055812185049503305,0.05550675634551167,0.05248809388804285
"[[[2, 6], [5, 3], [8, 0], [8, 9]], [2, 2, 3, 0], [[3, 7], [5, 5], [7, 0], [7, 8]], [3, 4, 2, 1], [[2, 8], [5, 5], [8, 1], [8, 9]], [4, 4, 4, 0], [[2, 8], [5, 5], [8, 1], [8, 8]], [4, 4, 4, 4], [[2, 8], [5, 5], [8, 1], [8, 8]], [4, 4, 4, 4], [[2, 8], [5, 5], [8, 1], [8, 8]]]","[0.223, 0.079, 0.025, 0.025, 0.025]",31.867092268541455,"[0.217, 0.075, 0.025, 0.025, 0.025]",21.301903653889894,"[0.212, 0.075, 0.025, 0.025, 0.025]",8.689576253294945,"[0.2, 0.075, 0.025, 0.025, 0.025]",2.9694336615502834,"[0.2, 0.075, 0.025, 0.025, 0.025]",0.9138565883040428,0.007211102550927985,0.011704699910719636,0.023345235059857496,0.023345235059857496
"[[[2, 5], [5, 6], [7, 5], [4, 6]], [3, 0, 0, 2], [[1, 4], [5, 4], [8, 4], [3, 7]], [1, 4, 4, 4], [[2, 5], [5, 4], [8, 4], [3, 7]], [3, 4, 4, 4], [[1, 6], [5, 4], [8, 4], [3, 7]], [4, 4, 4, 1], [[1, 6], [5, 4], [8, 4], [4, 7]], [4, 4, 4, 4], [[1, 6], [5, 4], [8, 4], [4, 7]]]","[0.194, -0.087, 0.314, 0.11, 0.11]",32.536514326930046,"[0.194, -0.087, 0.312, 0.099, 0.099]",21.686584379523993,"[0.192, -0.107, 0.313, 0.086, 0.086]",8.785193717107177,"[0.198, -0.09, 0.245, 0.045, 0.045]",3.021266335621476,"[0.25, -0.3, 0.325, 0.0, 0.0]",0.906153367832303,0.015684387141358117,0.03945883931389773,0.11504781614615725,0.26986292816909846
"[[[2, 8], [0, 2], [7, 1], [2, 5]], [4, 3, 4, 3], [[2, 8], [0, 1], [7, 1], [1, 5]], [4, 2, 4, 2], [[2, 8], [0, 2], [7, 1], [1, 7]], [1, 3, 4, 0], [[4, 8], [0, 3], [7, 1], [1, 6]], [4, 1, 4, 4], [[4, 8], [2, 3], [7, 1], [1, 6]], [4, 4, 4, 4], [[4, 8], [2, 3], [7, 1], [1, 6]]]","[0.018, 0.05, 0.019, 0.33, 0.33]",31.538020059466362,"[0.001, 0.036, -0.007, 0.328, 0.328]",21.154525447636843,"[0.001, 0.068, -0.075, 0.323, 0.323]",8.498135264962912,"[0.087, 0.187, -0.1, 0.3, 0.3]",2.8902260530740023,"[0.025, 0.125, 0.025, 0.25, 0.25]",0.8955734707415104,0.03419064199455752,0.09770875088752287,0.19872342589639502,0.13605146085213493
"[[[1, 9], [8, 5], [4, 9], [3, 7]], [2, 0, 2, 1], [[1, 9], [8, 3], [5, 9], [5, 7]], [1, 4, 3, 0], [[2, 8], [8, 3], [4, 9], [5, 6]], [4, 4, 0, 0], [[2, 8], [8, 3], [4, 7], [4, 5]], [4, 4, 2, 1], [[2, 8], [8, 3], [4, 9], [6, 5]], [4, 4, 0, 3], [[2, 8], [8, 3], [4, 8], [4, 5]]]","[0.1, 0.1, 0.075, 0.057, 0.075]",30.888519136235118,"[0.1, 0.1, 0.075, 0.057, 0.075]",20.61874528415501,"[0.1, 0.1, 0.075, 0.06, 0.075]",8.312660232186317,"[0.1, 0.1, 0.075, 0.075, 0.075]",2.8202774431556463,"[0.1, 0.1, 0.075, 0.075, 0.075]",0.8629914037883282,0.0,0.0029999999999999957,0.017999999999999995,0.017999999999999995
"[[[0, 6], [9, 0], [5, 9], [0, 0]], [1, 3, 3, 3], [[1, 7], [8, 1], [4, 9], [0, 1]], [0, 4, 0, 2], [[1, 6], [8, 1], [5, 8], [0, 2]], [4, 4, 3, 3], [[1, 6], [8, 1], [4, 8], [0, 1]], [4, 4, 4, 2], [[1, 6], [8, 1], [4, 8], [0, 2]], [4, 4, 4, 3], [[1, 6], [8, 1], [4, 8], [0, 3]]]","[0.18, 0.143, 0.062, 0.045, 0.045]",32.419721364974976,"[0.18, 0.143, 0.063, 0.046, 0.046]",21.57129590585828,"[0.175, 0.125, 0.025, 0.025, 0.025]",8.69265022315085,"[0.175, 0.125, 0.025, 0.025, 0.025]",2.932292239740491,"[0.175, 0.125, 0.0, 0.0, 0.0]",0.8925376329571009,0.001732050807568879,0.05017967716117751,0.05017967716117751,0.0907909687138539
"[[[0, 5], [2, 2], [8, 1], [4, 3]], [1, 1, 4, 2], [[1, 6], [3, 1], [8, 1], [4, 4]], [4, 4, 4, 1], [[1, 6], [3, 1], [8, 1], [5, 3]], [4, 4, 4, 2], [[1, 6], [3, 1], [8, 1], [5, 5]], [4, 4, 4, 4], [[1, 6], [3, 1], [8, 1], [5, 5]], [4, 4, 4, 4], [[1, 6], [3, 1], [8, 1], [5, 5]]]","[0.236, 0.096, 0.096, 0.096, 0.096]",32.892708690837026,"[0.235, 0.079, 0.079, 0.079, 0.079]",22.003592535853386,"[0.234, 0.065, 0.065, 0.065, 0.065]",8.809391098096967,"[0.222, 0.03, 0.03, 0.03, 0.03]",2.99769664183259,"[0.2, 0.0, 0.0, 0.0, 0.0]",0.9265902880579233,0.0340147027033899,0.06203224967708329,0.13274034804836093,0.19534584715319647
"[[[4, 8], [2, 6], [0, 6], [8, 1]], [4, 3, 3, 4], [[4, 8], [1, 5], [0, 5], [8, 1]], [4, 2, 1, 4], [[4, 8], [1, 7], [2, 5], [8, 1]], [4, 1, 0, 4], [[4, 8], [2, 8], [3, 4], [8, 1]], [4, 0, 0, 4], [[4, 8], [2, 7], [3, 3], [8, 1]], [4, 3, 4, 4], [[4, 8], [1, 7], [3, 3], [8, 1]]]","[0.498, 0.531, 0.538, 0.478, 0.307]",31.84529976733029,"[0.486, 0.525, 0.536, 0.479, 0.304]",21.251056507229805,"[0.41, 0.442, 0.436, 0.402, 0.304]",8.570806821808219,"[0.3, 0.3, 0.385, 0.36, 0.3]",2.960640996694565,"[0.25, 0.25, 0.275, 0.25, 0.25]",0.9017001688480377,0.013928388277184131,0.1784768892602065,0.3604816222777522,0.5146523098170259
