History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]","[0.034, 0.035, 0.078, 0.015, 0.07, 0.015, 0.295, 0.402]",0.1280586029999995,"[0.046, 0.035, 0.091, 0.015, 0.081, 0.015, 0.285, 0.402]",0.10015529800000422,"[0.064, 0.047, 0.112, 0.029, 0.101, 0.029, 0.268, 0.4]",0.06206794500002388,"[0.029, 0.067, 0.076, 0.053, 0.067, 0.053, 0.305, 0.396]",0.032212390000040614,"[0.049, 0.027, 0.104, 0.005, 0.092, 0.005, 0.297, 0.398]",0.018452344000024823,0.023108440016582684,0.06546754921333163,0.06392182725798755,0.04085339643163099
"[14, 2, 24, 3, 23, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]","[0.078, 0.035, 0.034, 0.035, 0.078, 0.015, 0.295, 0.402]",0.10057999000002837,"[0.091, 0.035, 0.046, 0.035, 0.091, 0.015, 0.285, 0.402]",0.09918304100000341,"[0.112, 0.047, 0.064, 0.047, 0.112, 0.029, 0.268, 0.4]",0.06453466900001104,"[0.076, 0.067, 0.029, 0.067, 0.076, 0.053, 0.305, 0.396]",0.03245485899998357,"[0.104, 0.027, 0.049, 0.027, 0.104, 0.005, 0.297, 0.398]",0.0164319260000525,0.024124676163629635,0.06655073252789934,0.06050619802962338,0.04272001872658765
"[25, 3, 15, 1, 14, 2, 24, 3, 14, 2, 15, 1, 16, 2, 17, 3, 7]","[0.07, 0.015, 0.078, 0.035, 0.078, 0.015, 0.295, 0.402]",0.10368534200000568,"[0.081, 0.015, 0.091, 0.035, 0.091, 0.015, 0.285, 0.402]",0.1028192450000347,"[0.101, 0.029, 0.112, 0.047, 0.112, 0.029, 0.268, 0.4]",0.06297699499998544,"[0.067, 0.053, 0.076, 0.067, 0.076, 0.053, 0.305, 0.396]",0.03224128499999779,"[0.092, 0.005, 0.104, 0.027, 0.104, 0.005, 0.297, 0.398]",0.01577132699998174,0.023643180835073777,0.06739436178197697,0.06375735251718033,0.046043457732885346
"[25, 3, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]","[0.07, 0.015, 0.07, 0.015, 0.07, 0.015, 0.295, 0.402]",0.1053485959999989,"[0.081, 0.015, 0.081, 0.015, 0.081, 0.015, 0.285, 0.402]",0.10361056099998223,"[0.101, 0.029, 0.101, 0.029, 0.101, 0.029, 0.268, 0.4]",0.06387579300002244,"[0.067, 0.053, 0.067, 0.053, 0.067, 0.053, 0.305, 0.396]",0.03278642499998341,"[0.092, 0.005, 0.092, 0.005, 0.092, 0.005, 0.297, 0.398]",0.01606640500000367,0.021517434791350012,0.0648382603097893,0.06704476116744693,0.04209513035969836
"[14, 2, 4, 1, 14, 2, 4, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]","[0.078, 0.023, 0.078, 0.023, 0.078, 0.015, 0.295, 0.402]",0.0910473270000125,"[0.091, 0.015, 0.091, 0.015, 0.091, 0.015, 0.285, 0.402]",0.09078522099997599,"[0.112, 0.018, 0.112, 0.018, 0.112, 0.029, 0.268, 0.4]",0.05682656100003669,"[0.076, 0.069, 0.076, 0.069, 0.076, 0.053, 0.305, 0.396]",0.029411697999989883,"[0.104, 0.01, 0.104, 0.01, 0.104, 0.005, 0.297, 0.398]",0.01743808800000579,0.027110883423451918,0.06668583057891683,0.07631513611335566,0.04985980344927163
"[14, 2, 15, 1, 25, 3, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]","[0.078, 0.015, 0.07, 0.015, 0.078, 0.015, 0.295, 0.402]",0.1054223479999905,"[0.091, 0.015, 0.081, 0.015, 0.091, 0.015, 0.285, 0.402]",0.09960566500001278,"[0.112, 0.029, 0.101, 0.029, 0.112, 0.029, 0.268, 0.4]",0.06206062500001508,"[0.076, 0.053, 0.067, 0.053, 0.076, 0.053, 0.305, 0.396]",0.03187198799997759,"[0.104, 0.005, 0.092, 0.005, 0.104, 0.005, 0.297, 0.398]",0.015662501999997858,0.023643180835073777,0.06777905281132217,0.06697014260101287,0.04643274706497559
"[25, 3, 15, 1, 16, 2, 17, 3, 16, 2, 17, 3, 18, 0, 17, 3, 7]","[0.07, 0.015, 0.295, 0.402, 0.295, 0.402, 0.269, 0.402]",0.06561811799997486,"[0.081, 0.015, 0.285, 0.402, 0.285, 0.402, 0.269, 0.402]",0.06451157700001886,"[0.101, 0.029, 0.268, 0.4, 0.268, 0.4, 0.266, 0.4]",0.040620744000023024,"[0.067, 0.053, 0.305, 0.396, 0.305, 0.396, 0.259, 0.396]",0.0215058059999933,"[0.092, 0.005, 0.297, 0.398, 0.297, 0.398, 0.26, 0.398]",0.010825409999995372,0.017916472867168926,0.05134199061197371,0.04313930922024599,0.0268514431641951
"[14, 2, 4, 1, 14, 2, 15, 1, 14, 2, 15, 1, 16, 2, 17, 3, 7]","[0.078, 0.023, 0.078, 0.015, 0.078, 0.015, 0.295, 0.402]",0.0973883839999985,"[0.091, 0.015, 0.091, 0.015, 0.091, 0.015, 0.285, 0.402]",0.09782429800003456,"[0.112, 0.018, 0.112, 0.029, 0.112, 0.029, 0.268, 0.4]",0.05826545200000055,"[0.076, 0.069, 0.076, 0.053, 0.076, 0.053, 0.305, 0.396]",0.030145514999958323,"[0.104, 0.01, 0.104, 0.005, 0.104, 0.005, 0.297, 0.398]",0.014995021000004272,0.02590366769397724,0.06795586803212803,0.07177743377970545,0.04916299421312741
"[23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 16, 2, 17, 3, 7]","[0.034, 0.035, 0.078, 0.015, 0.07, 0.015, 0.295, 0.402]",0.10184853399999838,"[0.046, 0.035, 0.091, 0.015, 0.081, 0.015, 0.285, 0.402]",0.10362112600000728,"[0.064, 0.047, 0.112, 0.029, 0.101, 0.029, 0.268, 0.4]",0.06374083200000769,"[0.029, 0.067, 0.076, 0.053, 0.067, 0.053, 0.305, 0.396]",0.03254071300000305,"[0.049, 0.027, 0.104, 0.005, 0.092, 0.005, 0.297, 0.398]",0.016306338999982017,0.023108440016582684,0.06546754921333163,0.06392182725798755,0.04085339643163099
"[23, 2, 24, 3, 25, 3, 15, 1, 16, 2, 26, 0, 16, 2, 17, 3, 7]","[0.034, 0.035, 0.07, 0.015, 0.295, 0.015, 0.295, 0.402]",0.09661755099995162,"[0.046, 0.035, 0.081, 0.015, 0.285, 0.015, 0.285, 0.402]",0.10697132899997541,"[0.064, 0.047, 0.101, 0.029, 0.268, 0.03, 0.268, 0.4]",0.060919119000004684,"[0.029, 0.067, 0.067, 0.053, 0.305, 0.055, 0.305, 0.396]",0.030929267000033178,"[0.049, 0.027, 0.092, 0.005, 0.297, 0.005, 0.297, 0.398]",0.015366663999998309,0.02156385865284783,0.06235382907247956,0.06586349520030045,0.03157530680769388
