History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[60, 0, 60, 0, 60, 0, 60, 0, 50, 3, 51, 3, 41, 3, 42]","[-0.319, -0.319, -0.319, -0.319, 0.043, -0.195, -0.041]",0.1279175380000197,"[-0.327, -0.327, -0.327, -0.327, 0.034, -0.203, -0.052]",0.09755343200004063,"[-0.333, -0.333, -0.333, -0.333, 0.022, -0.228, -0.047]",0.03883097400000679,"[-0.336, -0.336, -0.336, -0.336, 0.009, -0.242, -0.072]",0.032651763999979266,"[-0.336, -0.336, -0.336, -0.336, -0.005, -0.253, -0.064]",0.01103121000005558,0.022847319317591732,0.0484767985741633,0.07404052944165107,0.08574963556773872
"[50, 3, 40, 1, 50, 3, 40, 1, 50, 3, 51, 3, 41, 3, 42]","[0.043, -0.263, 0.043, -0.263, 0.043, -0.195, -0.041]",0.10991109100007179,"[0.034, -0.281, 0.034, -0.281, 0.034, -0.203, -0.052]",0.06686870900000486,"[0.022, -0.296, 0.022, -0.296, 0.022, -0.228, -0.047]",0.03562297500002387,"[0.009, -0.318, 0.009, -0.318, 0.009, -0.242, -0.072]",0.017864908999968065,"[-0.005, -0.339, -0.005, -0.339, -0.005, -0.253, -0.064]",0.008807923999938794,0.032802438933713464,0.06801470429252778,0.11264102272262977,0.14952257354660534
"[70, 3, 70, 3, 60, 0, 50, 3, 40, 1, 41, 3, 31, 2, 21]","[0.025, 0.025, -0.319, 0.043, -0.263, -0.041, -0.292]",0.13516745399999763,"[0.017, 0.017, -0.327, 0.034, -0.281, -0.052, -0.301]",0.08564872900001319,"[0.009, 0.009, -0.333, 0.022, -0.296, -0.047, -0.337]",0.04142264800009343,"[0.003, 0.003, -0.336, 0.009, -0.318, -0.072, -0.345]",0.01988357800007634,"[0.0, 0.0, -0.336, -0.005, -0.339, -0.064, -0.403]",0.009400194000022566,0.02826658805020515,0.06556675987114204,0.09595832428716124,0.14989663104953363
"[63, 2, 64, 0, 63, 2, 73, 3, 72, 2, 73, 3, 74, 0, 84]","[-0.041, -0.219, -0.041, -0.206, 0.09, -0.206, -0.054]",0.11788664000005156,"[-0.047, -0.208, -0.047, -0.194, 0.078, -0.194, -0.045]",0.07300597099992956,"[-0.037, -0.257, -0.037, -0.244, 0.093, -0.244, -0.025]",0.037526645999946595,"[-0.07, -0.241, -0.07, -0.227, 0.036, -0.227, -0.047]",0.01850600199998098,"[-0.045, -0.301, -0.045, -0.293, 0.059, -0.293, -0.032]",0.00896694400000797,0.026570660511172833,0.0722080327941428,0.07754353615872829,0.15277107055984127
"[72, 2, 73, 3, 63, 2, 64, 0, 63, 2, 73, 3, 74, 0, 84]","[0.09, -0.206, -0.041, -0.219, -0.041, -0.206, -0.054]",0.11774008399993363,"[0.078, -0.194, -0.047, -0.208, -0.047, -0.194, -0.045]",0.07506302199999482,"[0.093, -0.244, -0.037, -0.257, -0.037, -0.244, -0.025]",0.0375440200000412,"[0.036, -0.227, -0.07, -0.241, -0.07, -0.227, -0.047]",0.018510500000047614,"[0.059, -0.293, -0.045, -0.301, -0.045, -0.293, -0.032]",0.00893930300003376,0.026570660511172833,0.0722080327941428,0.07754353615872829,0.15277107055984127
"[41, 3, 31, 2, 32, 3, 22, 2, 12, 1, 11, 2, 12, 1, 13]","[-0.041, -0.292, -0.229, -0.232, -0.285, -0.117, -0.285]",0.056203741999979684,"[-0.052, -0.301, -0.248, -0.237, -0.308, -0.115, -0.308]",0.03626412900007381,"[-0.047, -0.337, -0.254, -0.248, -0.317, -0.116, -0.317]",0.02068264900003669,"[-0.072, -0.345, -0.28, -0.254, -0.348, -0.105, -0.348]",0.011586801000021296,"[-0.064, -0.403, -0.283, -0.259, -0.352, -0.109, -0.352]",0.006354772000008779,0.04062019202317982,0.07064700984472029,0.12221702009131134,0.1598030037264632
"[60, 0, 50, 3, 40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 21]","[-0.319, 0.043, -0.263, 0.043, -0.263, -0.041, -0.292]",0.10942761600006179,"[-0.327, 0.034, -0.281, 0.034, -0.281, -0.052, -0.301]",0.06658142599997063,"[-0.333, 0.022, -0.296, 0.022, -0.296, -0.047, -0.337]",0.035301307000054294,"[-0.336, 0.009, -0.318, 0.009, -0.318, -0.072, -0.345]",0.017464210999946772,"[-0.336, -0.005, -0.339, -0.005, -0.339, -0.064, -0.403]",0.008699499000044852,0.032802438933713464,0.07291776189653656,0.11144954015158608,0.17116950663012384
"[71, 1, 70, 3, 71, 1, 72, 2, 73, 3, 63, 2, 53, 0, 52]","[-0.346, 0.025, -0.346, 0.09, -0.206, -0.041, 0.267]",0.14311530999998467,"[-0.348, 0.017, -0.348, 0.078, -0.194, -0.047, 0.255]",0.08586210199996458,"[-0.341, 0.009, -0.341, 0.093, -0.244, -0.037, 0.315]",0.04559315799997421,"[-0.343, 0.003, -0.343, 0.036, -0.227, -0.07, 0.301]",0.02026543000010861,"[-0.336, 0.0, -0.336, 0.059, -0.293, -0.045, 0.379]",0.00954191300002094,0.023237900077244498,0.06386704940734304,0.07652450587883596,0.1480371574977039
"[41, 3, 31, 2, 32, 3, 33, 0, 32, 3, 22, 2, 23, 2, 13]","[-0.041, -0.292, -0.229, -0.253, -0.229, -0.232, -0.12]",0.07494523899993055,"[-0.052, -0.301, -0.248, -0.261, -0.248, -0.237, -0.118]",0.049878715999966516,"[-0.047, -0.337, -0.254, -0.294, -0.254, -0.248, -0.119]",0.026335122999967098,"[-0.072, -0.345, -0.28, -0.303, -0.28, -0.254, -0.105]",0.014009504999989986,"[-0.064, -0.403, -0.283, -0.355, -0.283, -0.259, -0.109]",0.007213446999912776,0.03189043743820393,0.07244998274671983,0.1103675676999362,0.17302023003105735
"[50, 3, 50, 3, 51, 3, 50, 3, 40, 1, 50, 3, 51, 3, 52]","[0.043, 0.043, -0.195, 0.043, -0.263, 0.043, -0.195]",0.11455028900002162,"[0.034, 0.034, -0.203, 0.034, -0.281, 0.034, -0.203]",0.0698948950000613,"[0.022, 0.022, -0.228, 0.022, -0.296, 0.022, -0.228]",0.04404010999996899,"[0.009, 0.009, -0.242, 0.009, -0.318, 0.009, -0.242]",0.018228455999974358,"[-0.005, -0.005, -0.253, -0.005, -0.339, -0.005, -0.253]",0.00894302900007915,0.027856776554368246,0.07092954250522132,0.10984989758757172,0.1473770674155243
