History,pi,time of pi,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,pi -- last_1,pi -- last_2,pi -- last_3,pi -- last_4
"[40, 1, 50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24]","[-0.0, 0.004, -0.0, 0.074, 0.152, 0.149, 0.159, 0.134]",0.1266846689995873,"[0.002, 0.005, 0.002, 0.086, 0.192, 0.168, 0.173, 0.141]",0.1023883200000455,"[0.007, 0.008, 0.007, 0.108, 0.228, 0.184, 0.209, 0.123]",0.06314425600021423,"[0.012, 0.012, 0.012, 0.121, 0.321, 0.213, 0.216, 0.147]",0.03860463899991373,"[0.03, 0.021, 0.03, 0.202, 0.354, 0.27, 0.254, 0.074]",0.016936596000050486,0.04856953777832357,0.104364745005198,0.19656042327996753,0.29418191650745634
"[50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14]","[0.004, -0.0, 0.074, 0.152, 0.149, 0.159, 0.134, 0.189]",0.10175263300016013,"[0.005, 0.002, 0.086, 0.192, 0.168, 0.173, 0.141, 0.202]",0.10252901600006226,"[0.008, 0.007, 0.108, 0.228, 0.184, 0.209, 0.123, 0.245]",0.06347350700025345,"[0.012, 0.012, 0.121, 0.321, 0.213, 0.216, 0.147, 0.242]",0.033992875999956595,"[0.021, 0.03, 0.202, 0.354, 0.27, 0.254, 0.074, 0.289]",0.017101877000186505,0.05023942674832189,0.11823282116231516,0.20322647465327937,0.30926202482684484
"[40, 1, 41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14, 2, 15]","[-0.0, 0.074, 0.152, 0.149, 0.159, 0.134, 0.189, 0.184]",0.09381785599998693,"[0.002, 0.086, 0.192, 0.168, 0.173, 0.141, 0.202, 0.199]",0.09493068299980223,"[0.007, 0.108, 0.228, 0.184, 0.209, 0.123, 0.245, 0.199]",0.059428421999655257,"[0.012, 0.121, 0.321, 0.213, 0.216, 0.147, 0.242, 0.235]",0.03179585499992754,"[0.03, 0.202, 0.354, 0.27, 0.254, 0.074, 0.289, 0.231]",0.016078127000128006,0.052421369688324636,0.11911339135462477,0.20937526119386693,0.3123507643659609
"[41, 3, 31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 25]","[0.074, 0.152, 0.149, 0.159, 0.134, 0.189, 0.184, 0.213]",0.09343435299979319,"[0.086, 0.192, 0.168, 0.173, 0.141, 0.202, 0.199, 0.228]",0.09375576799993723,"[0.108, 0.228, 0.184, 0.209, 0.123, 0.245, 0.199, 0.275]",0.0610098540000763,"[0.121, 0.321, 0.213, 0.216, 0.147, 0.242, 0.235, 0.276]",0.03166323499999635,"[0.202, 0.354, 0.27, 0.254, 0.074, 0.289, 0.231, 0.327]",0.01611723099995288,0.05448853090330112,0.13410070842467614,0.21831857456478596,0.3311480031647481
"[31, 2, 32, 3, 22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15]","[0.152, 0.149, 0.159, 0.134, 0.189, 0.184, 0.213, 0.182]",0.10111383899993598,"[0.192, 0.168, 0.173, 0.141, 0.202, 0.199, 0.228, 0.197]",0.09957683199991152,"[0.228, 0.184, 0.209, 0.123, 0.245, 0.199, 0.275, 0.198]",0.06183670200016422,"[0.321, 0.213, 0.216, 0.147, 0.242, 0.235, 0.276, 0.234]",0.036039965000327356,"[0.354, 0.27, 0.254, 0.074, 0.289, 0.231, 0.327, 0.231]",0.016571276999911788,0.055226805085936324,0.13070195101833793,0.21944931077586005,0.30931537304181955
"[32, 3, 22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25]","[0.149, 0.159, 0.134, 0.189, 0.184, 0.213, 0.182, 0.213]",0.1043279679997795,"[0.168, 0.173, 0.141, 0.202, 0.199, 0.228, 0.197, 0.228]",0.10549793400014096,"[0.184, 0.209, 0.123, 0.245, 0.199, 0.275, 0.198, 0.275]",0.06597172599958867,"[0.213, 0.216, 0.147, 0.242, 0.235, 0.276, 0.234, 0.276]",0.03488533900008406,"[0.27, 0.254, 0.074, 0.289, 0.231, 0.327, 0.231, 0.327]",0.017222034000042186,0.040926763859362274,0.12308939840619909,0.15351221449773958,0.2605148748152397
"[22, 2, 23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15]","[0.159, 0.134, 0.189, 0.184, 0.213, 0.182, 0.213, 0.182]",0.11005893099991226,"[0.173, 0.141, 0.202, 0.199, 0.228, 0.197, 0.228, 0.197]",0.11004865099994277,"[0.209, 0.123, 0.245, 0.199, 0.275, 0.198, 0.275, 0.198]",0.06845836399998007,"[0.216, 0.147, 0.242, 0.235, 0.276, 0.234, 0.276, 0.234]",0.03973642299979474,"[0.254, 0.074, 0.289, 0.231, 0.327, 0.231, 0.327, 0.231]",0.017510176000087085,0.039230090491866085,0.11908820260630357,0.14890936840910987,0.23585588820294484
"[23, 2, 24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 25]","[0.134, 0.189, 0.184, 0.213, 0.182, 0.213, 0.182, 0.213]",0.11463150999998106,"[0.141, 0.202, 0.199, 0.228, 0.197, 0.228, 0.197, 0.228]",0.11564881799995419,"[0.123, 0.245, 0.199, 0.275, 0.198, 0.275, 0.198, 0.275]",0.0726528509999298,"[0.147, 0.242, 0.235, 0.276, 0.234, 0.276, 0.234, 0.276]",0.036480765999840514,"[0.074, 0.289, 0.231, 0.327, 0.231, 0.327, 0.231, 0.327]",0.018079760000091483,0.039597979746446695,0.12460337074092342,0.15130763364747996,0.24412906422628178
"[24, 3, 14, 2, 15, 1, 25, 3, 15, 1, 25, 3, 15, 1, 25, 3, 26]","[0.189, 0.184, 0.213, 0.182, 0.213, 0.182, 0.213, 0.182]",0.11582697499989081,"[0.202, 0.199, 0.228, 0.197, 0.228, 0.197, 0.228, 0.197]",0.11534088799999154,"[0.245, 0.199, 0.275, 0.198, 0.275, 0.198, 0.275, 0.198]",0.07148101200027668,"[0.242, 0.235, 0.276, 0.234, 0.276, 0.234, 0.276, 0.234]",0.03684382099982031,"[0.289, 0.231, 0.327, 0.231, 0.327, 0.231, 0.327, 0.231]",0.017840460000115854,0.04176122603564224,0.12514391715141415,0.1594647296426392,0.24166091947189147
"[60, 0, 50, 3, 40, 1, 41, 3, 31, 2, 32, 3, 33, 0, 23, 2, 24]","[-0.001, 0.004, -0.0, 0.074, 0.152, 0.149, 0.119, 0.134]",0.10951182000007975,"[-0.002, 0.005, 0.002, 0.086, 0.192, 0.168, 0.155, 0.141]",0.10875560500016945,"[-0.003, 0.008, 0.007, 0.108, 0.228, 0.184, 0.184, 0.123]",0.06764709500021127,"[-0.006, 0.012, 0.012, 0.121, 0.321, 0.213, 0.271, 0.147]",0.03551216999994722,"[-0.01, 0.021, 0.03, 0.202, 0.354, 0.27, 0.299, 0.074]",0.01745061400015402,0.05878775382679628,0.11212493032327825,0.24160298011407064,0.33030137753270117
