History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(39, 47, 46, 11, 10), 1, (47, 39, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.06037, 0.02965, 0.14096, 0.14096, 0.14096]",0.3602218969972455,"[0.04, 0.01227, 0.11413, 0.11413, 0.11413]",0.36121041099977447,"[0.01867, -0.00267, 0.07733, 0.07733, 0.07733]",0.12590404799993848,"[0.0, -0.01333, 0.02667, 0.02667, 0.02667]",0.035527134998119436,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.00967535700328881,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.02536866199807264,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.037176819998421706,"[-0.00116, -0.00285, 0.11868, 0.10456, 0.09699]",0.0820643109982484,"[0.04088, -0.01603, 0.09967, 0.19001, 0.11431]",0.15929266199964331,0.9400359691148101,0.8633901399056423,0.763678107235068,0.59095490758964,0.59095490758964,0.59095490758964,0.8963364203299925,0.9045568781943927
"[(47, 47, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.02965, 0.14096, 0.14096, 0.14096, 0.14096]",0.2564686959958635,"[0.01227, 0.11413, 0.11413, 0.11413, 0.11413]",0.2604711430030875,"[-0.00267, 0.07733, 0.07733, 0.07733, 0.07733]",0.09183813299750909,"[-0.01333, 0.02667, 0.02667, 0.02667, 0.02667]",0.02775818399823038,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.00837959699856583,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.008333641002536751,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.02773500999319367,"[-0.04293, 0.14448, 0.00532, 0.09053, 0.0705]",0.061254981003003195,"[-0.02495, 0.14139, 0.11, 0.10049, 0.0555]",0.1205407679954078,0.936937927404818,0.8532021372771388,0.7399613086481167,0.5345432483839128,0.5345432483839128,0.5345432483839128,0.8025593351788948,0.8731088113776216
"[(39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.06037, 0.02965, 0.14096, 0.14096, 0.14096]",0.362787648999074,"[0.04, 0.01227, 0.11413, 0.11413, 0.11413]",0.366720495003392,"[0.01867, -0.00267, 0.07733, 0.07733, 0.07733]",0.1239259369976935,"[0.0, -0.01333, 0.02667, 0.02667, 0.02667]",0.03469798999867635,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.00962285900459392,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.009913462999975309,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.03195330200105673,"[0.02179, 0.031, 0.1577, 0.07101, 0.02211]",0.07535246200131951,"[0.05071, 0.03995, 0.07241, 0.09698, 0.20635]",0.1588473259980674,0.9400359691148101,0.8633901399056423,0.763678107235068,0.59095490758964,0.59095490758964,0.59095490758964,0.838798295992257,0.8821621845501199
"[(55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.14096, 0.14096, 0.14096, 0.14096, 0.14096]",0.21541765000438318,"[0.11413, 0.11413, 0.11413, 0.11413, 0.11413]",0.21822042699932354,"[0.07733, 0.07733, 0.07733, 0.07733, 0.07733]",0.08093795800232328,"[0.02667, 0.02667, 0.02667, 0.02667, 0.02667]",0.024149585005943663,"[-0.06667, -0.06667, -0.06667, -0.06667, -0.06667]",0.0078087869987939484,"[-0.06667, -0.06667, -0.06667, -0.06667, -0.06667]",0.007715942003414966,"[-0.06667, -0.06667, -0.06667, -0.06667, -0.06667]",0.02515385900187539,"[0.10828, 0.02603, 0.00561, 0.20579, -0.00985]",0.051100605000101496,"[0.18858, 0.08183, 0.14818, 0.11768, 0.15779]",0.1040104740022798,0.932925,0.8409249999999999,0.714275,0.48092500000000005,0.48092500000000005,0.48092500000000005,0.7271834526646157,0.9088863553028417
"[(47, 39, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.02965, 0.06037, 0.02965, 0.02965, 0.14096]",0.4455986000029952,"[0.01227, 0.04, 0.01227, 0.01227, 0.11413]",0.45968332800111966,"[-0.00267, 0.01867, -0.00267, -0.00267, 0.07733]",0.16890032200171845,"[-0.01333, 0.0, -0.01333, -0.01333, 0.02667]",0.0529027149968897,"[0.0, 0.0, 0.0, 0.0, -0.06667]",0.01085255500220228,"[0.0, 0.0, 0.0, 0.0, -0.06667]",0.010786450999148656,"[0.0, 0.0, 0.0, 0.0, -0.06667]",0.04107478100195294,"[-0.0271, 0.04045, -0.03707, -0.02568, -0.04829]",0.0951386930028093,"[-0.01179, 0.02091, -0.00622, -0.02213, 0.09295]",0.20015586499357596,0.9494903598310184,0.8943980699750237,0.8332345127132116,0.7515243439992562,0.7515243439992562,0.7515243439992562,0.7577555503731819,0.8907574338913626
"[(39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.00875, 0.06037, 0.02965, 0.14096, 0.14096]",0.4674703229975421,"[0.0016, 0.04, 0.01227, 0.11413, 0.11413]",0.467305824997311,"[-0.00267, 0.01867, -0.00267, 0.07733, 0.07733]",0.17079428400029428,"[0.0, 0.0, -0.01333, 0.02667, 0.02667]",0.05712788000528235,"[0.0, 0.0, 0.0, -0.06667, -0.06667]",0.012085287999070715,"[0.0, 0.0, 0.0, -0.06667, -0.06667]",0.011593454000831116,"[0.0, 0.0, 0.0, -0.06667, -0.06667]",0.03995822599972598,"[0.00048, 0.0464, -0.01448, 0.09475, 0.00548]",0.09296947500115493,"[0.00065, 0.02089, 0.02792, 0.05222, 0.11838]",0.2007217069985927,0.9474664202628452,0.8826786325940581,0.8009623528073143,0.6630640719290981,0.6630640719290981,0.6630640719290981,0.8315467230950968,0.8881300012291052
"[(47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.19307, 0.14096, 0.14096, 0.14096, 0.14096]",0.2560683460033033,"[0.17653, 0.11413, 0.11413, 0.11413, 0.11413]",0.25800581899966346,"[0.14667, 0.07733, 0.07733, 0.07733, 0.07733]",0.09257632699882379,"[0.09333, 0.02667, 0.02667, 0.02667, 0.02667]",0.027663706001476385,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.008301991001644637,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.008233973996539135,"[0.0, -0.06667, -0.06667, -0.06667, -0.06667]",0.027008908000425436,"[0.11769, 0.04896, 0.09836, 0.04635, 0.00638]",0.05832337200263282,"[0.13599, 0.07323, 0.07395, 0.12883, 0.02277]",0.12245376600185409,0.9372209509469919,0.8485566624113163,0.7211701145859719,0.4879979339641294,0.4879979339641294,0.4879979339641294,0.7680955668276261,0.8181627362172429
"[(55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.14096, 0.14096, 0.14096, 0.02965, 0.14096]",0.2579431010017288,"[0.11413, 0.11413, 0.11413, 0.01227, 0.11413]",0.26199656399694504,"[0.07733, 0.07733, 0.07733, -0.00267, 0.07733]",0.09218245899683097,"[0.02667, 0.02667, 0.02667, -0.01333, 0.02667]",0.029672453994862735,"[-0.06667, -0.06667, -0.06667, 0.0, -0.06667]",0.008226619997003581,"[-0.06667, -0.06667, -0.06667, 0.0, -0.06667]",0.008195341004466172,"[-0.06667, -0.06667, -0.06667, 0.0, -0.06667]",0.026818149999598972,"[0.01004, 0.1457, 0.10056, -0.05179, 0.05348]",0.05957433800358558,"[0.13158, 0.11422, 0.10245, 0.00388, 0.16294]",0.12416998499975307,0.936937927404818,0.8532021372771388,0.7399613086481167,0.5345432483839128,0.5345432483839128,0.5345432483839128,0.7966533194271418,0.9344900255686205
"[(55, 47, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.14096, 0.19307, 0.14096, 0.14096, 0.14096]",0.2667848849960137,"[0.11413, 0.17653, 0.11413, 0.11413, 0.11413]",0.2631906140013598,"[0.07733, 0.14667, 0.07733, 0.07733, 0.07733]",0.09055357400211506,"[0.02667, 0.09333, 0.02667, 0.02667, 0.02667]",0.027157867996720597,"[-0.06667, 0.0, -0.06667, -0.06667, -0.06667]",0.008187907995306887,"[-0.06667, 0.0, -0.06667, -0.06667, -0.06667]",0.008184111000446137,"[-0.06667, 0.0, -0.06667, -0.06667, -0.06667]",0.027111760995467193,"[0.16988, 0.07355, 0.13417, 0.09514, 0.1239]",0.057852197998727206,"[0.11096, 0.21502, 0.1795, 0.11998, 0.08112]",0.12412530099391006,0.9372209509469919,0.8485566624113163,0.7211701145859719,0.4879979339641294,0.4879979339641294,0.4879979339641294,0.8518530421338325,0.9072091053766589
"[(47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.02965, 0.02965, 0.14096, 0.14096, 0.14096]",0.3019304839981487,"[0.01227, 0.01227, 0.11413, 0.11413, 0.11413]",0.30792372599535156,"[-0.00267, -0.00267, 0.07733, 0.07733, 0.07733]",0.10752644799504196,"[-0.01333, -0.01333, 0.02667, 0.02667, 0.02667]",0.031116493002627976,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.008958853002695832,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.009084438999707345,"[0.0, 0.0, -0.06667, -0.06667, -0.06667]",0.03242337399569806,"[-0.0104, -0.0104, 0.09545, 0.0343, 0.01282]",0.064430275997438,"[-0.01226, 0.0377, 0.09646, 0.06759, 0.20828]",0.1368134789954638,0.9412242024724462,0.8666044626870899,0.7684800950781985,0.5952023720116433,0.5952023720116433,0.5952023720116433,0.7966672053627355,0.8690580285966336
