History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[0.00136, -0.33496, 0.00472, -0.01616, -0.09275]",3.862191457001245,"[0.0, -0.33493, 0.00533, -0.01613, -0.088]",1.2310027349994925,"[0.0, -0.333, 0.00533, -0.013, -0.088]",0.3103677199997037,"[0.0, -0.33333, -0.00333, -0.00667, -0.07333]",0.0710477880002145,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.016111688999444596,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.018303329999980633,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.08829059900017455,"[0.00071, -0.32843, 0.01294, -0.01721, -0.08572]",0.33680849200027296,"[0.00267, -0.33238, 0.01419, -0.01759, -0.09249]",0.9240993029998208,0.9944338074054162,0.9930527523435536,0.9741034389348702,0.965213204732255,0.965213204732255,0.965213204732255,0.9858069030863592,0.9888103898638066
"[(47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.33203, -0.33203, -0.33203, -0.32195, -0.05053]",2.1733699109990994,"[-0.33387, -0.33387, -0.33387, -0.3256, -0.05333]",0.7474287780005398,"[-0.33467, -0.33467, -0.33467, -0.33067, -0.05733]",0.1994954769998003,"[-0.33333, -0.33333, -0.33333, -0.34, -0.06667]",0.05039947000113898,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.012780070999724558,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.01280822300032014,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.0694649089982704,"[-0.34642, -0.33632, -0.34037, -0.31995, -0.03531]",0.21907565100082138,"[-0.34209, -0.33546, -0.32899, -0.33619, -0.05381]",0.5682615180012363,0.9937430738377379,0.9866215098011771,0.9728114890992537,0.977777432641569,0.977777432641569,0.977777432641569,0.974244413227418,0.9795138430885635
"[(47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 35, 9, 10), 2, (29, 37, 29, 8, 10)]","[-0.33203, -0.33203, 0.0012, -0.34475, -0.12197]",2.905535531001078,"[-0.33387, -0.33387, 0.0004, -0.34453, -0.09373]",0.9492634609996458,"[-0.33467, -0.33467, -0.00133, -0.34, -0.09067]",0.2538255389990809,"[-0.33333, -0.33333, 0.0, -0.34, -0.07667]",0.059968387000481016,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.014128910001090844,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.016724589000659762,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.07699140600016108,"[-0.33255, -0.33632, -0.00057, -0.34699, -0.13657]",0.27049016499950085,"[-0.32987, -0.33108, 0.00279, -0.34002, -0.10362]",0.7593090399986977,0.96827939943822,0.9642475070799252,0.9490162709778894,0.9368204305174529,0.9368204305174529,0.9368204305174529,0.9826800331986462,0.9785759597647876
"[(30, 31, 46, 9, 10), 2, (38, 30, 29, 10, 10), 3, (37, 38, 29, 9, 10), 1, (45, 37, 52, 10, 10), 0, (44, 45, 42, 9, 10), 2, (52, 44, 52, 10, 10)]","[-0.33609, -0.34475, -0.20059, -0.22081, -0.04507]",2.513381892000325,"[-0.33467, -0.34453, -0.24307, -0.22013, -0.07373]",0.8400729519999004,"[-0.33467, -0.33833, -0.24533, -0.271, -0.05733]",0.2252188729999034,"[-0.33333, -0.34, -0.33333, -0.26667, -0.12333]",0.056518916999266366,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.013246766000520438,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.013098647999868263,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.06891567899947404,"[-0.34404, -0.34913, -0.16323, -0.17152, 0.00792]",0.24284634600007848,"[-0.34005, -0.34486, -0.17828, -0.21168, -0.04634]",0.6973642550001387,0.9426799206211296,0.923235391455437,0.8201463966860825,0.8035144661813496,0.8035144661813496,0.8035144661813496,0.9083784911988457,0.9726504204785521
"[(47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 35, 9, 10), 2, (29, 37, 29, 8, 10)]","[-0.33203, -0.33203, 0.0012, -0.34475, -0.12197]",2.9294983359995967,"[-0.33387, -0.33387, 0.0004, -0.34453, -0.09373]",0.9655232780005463,"[-0.33467, -0.33467, -0.00133, -0.34233, -0.09067]",0.25117953500011936,"[-0.33333, -0.33333, 0.0, -0.34, -0.08]",0.06040640900027938,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.014113450999502675,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.014014987000336987,"[-0.33333, -0.33333, 0.0, -0.33333, -0.06667]",0.07894545099952666,"[-0.32693, -0.33468, -0.0021, -0.35172, -0.15351]",0.2764117620008619,"[-0.32346, -0.33242, -0.00234, -0.34858, -0.13168]",0.7331202900004428,0.96827939943822,0.9645407540266294,0.9527128003578136,0.9368204305174529,0.9368204305174529,0.9368204305174529,0.9631341112951282,0.9843842387313331
"[(39, 47, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.0012, -0.33203, -0.32195, -0.32195, -0.05053]",2.263748746998317,"[0.0004, -0.33387, -0.3256, -0.3256, -0.05333]",0.7574809620000451,"[-0.00133, -0.33467, -0.33067, -0.33067, -0.05733]",0.20451107399821922,"[0.0, -0.33333, -0.34, -0.34, -0.06667]",0.05131105899999966,"[0.0, -0.33333, -0.33333, -0.33333, -0.06667]",0.01284206600030302,"[0.0, -0.33333, -0.33333, -0.33333, -0.06667]",0.012781171999449725,"[0.0, -0.33333, -0.33333, -0.33333, -0.06667]",0.0667846219985222,"[-0.00107, -0.32402, -0.33589, -0.32486, -0.03579]",0.2250727900009224,"[-0.00706, -0.33114, -0.32144, -0.32012, -0.05211]",0.5871576099998492,0.993061826609258,0.983733189464434,0.966176291598939,0.974440305166141,0.974440305166141,0.974440305166141,0.9752671195571563,0.9903094698287451
"[(3, 2, 19, 3, 10), 1, (11, 3, 35, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[0.00136, -0.33496, 0.00472, -0.01616, -0.09275]",3.8631873649992485,"[0.0, -0.33493, 0.00533, -0.01613, -0.088]",1.2427442469997914,"[0.0, -0.33333, 0.00533, -0.00933, -0.088]",0.31505558200115047,"[0.0, -0.33333, -0.01, -0.00667, -0.06667]",0.07220063000022492,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.015556096999716829,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.01821505499901832,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.08480312800020329,"[0.00085, -0.33532, 0.00206, -0.017, -0.09217]",0.33692249600062496,"[-0.0002, -0.3354, 0.00421, -0.01465, -0.09314]",0.9354684069985524,0.9944338074054162,0.990376461149868,0.9647968147747963,0.965213204732255,0.965213204732255,0.965213204732255,0.9967389993866913,0.9974213617935042
"[(47, 39, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.33203, 0.0012, -0.33203, -0.32195, -0.05053]",2.508992790000775,"[-0.33387, 0.0004, -0.33387, -0.3256, -0.05333]",0.8334879310004908,"[-0.33467, -0.00133, -0.33467, -0.33067, -0.05733]",0.22618967500056897,"[-0.33333, 0.0, -0.33333, -0.34, -0.06667]",0.054837874000440934,"[-0.33333, 0.0, -0.33333, -0.33333, -0.06667]",0.013455938000333845,"[-0.33333, 0.0, -0.33333, -0.33333, -0.06667]",0.013290337001308217,"[-0.33333, 0.0, -0.33333, -0.33333, -0.06667]",0.08236099700116029,"[-0.33767, -0.00849, -0.33291, -0.33079, -0.06907]",0.24089851200005796,"[-0.32758, 0.00513, -0.32518, -0.32184, -0.06558]",0.6452708990000247,0.9940236194063631,0.986648104067212,0.9728172366195046,0.9777844648950335,0.9777844648950335,0.9777844648950335,0.9738189644016896,0.9803567918862524
"[(3, 2, 19, 3, 10), 1, (11, 3, 19, 4, 10), 3, (12, 11, 29, 5, 10), 2, (13, 12, 19, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[0.00136, -0.33496, 0.00472, -0.01616, -0.09275]",3.8688910529999703,"[0.0, -0.33493, 0.00533, -0.01613, -0.088]",1.2544285430012678,"[0.0, -0.334, 0.00533, -0.011, -0.088]",0.3158074029997806,"[0.0, -0.33333, 0.01, -0.00667, -0.08667]",0.07222596799874736,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.01606363899918506,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.016097352001452236,"[0.0, -0.33333, 0.0, 0.0, -0.06667]",0.0871715100001893,"[0.00114, -0.33454, 0.01657, -0.01607, -0.0796]",0.3332785120001063,"[0.00074, -0.33311, 0.00623, -0.01258, -0.08539]",0.9320888679994823,0.9944338074054162,0.9919120923595778,0.9858839010346343,0.965213204732255,0.965213204732255,0.965213204732255,0.9802017077756692,0.9904427383628991
"[(47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.33203, -0.32195, -0.32195, -0.32195, -0.05053]",1.681844448999982,"[-0.33387, -0.3256, -0.3256, -0.3256, -0.05333]",0.5883034399994358,"[-0.33467, -0.33067, -0.33067, -0.33067, -0.05733]",0.1596994640003686,"[-0.33333, -0.34, -0.34, -0.34, -0.06667]",0.04199877400060359,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.011477197000203887,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.011521630000061123,"[-0.33333, -0.33333, -0.33333, -0.33333, -0.06667]",0.06304755299970566,"[-0.3344, -0.32307, -0.3261, -0.33676, -0.05975]",0.1783466490014689,"[-0.33207, -0.33068, -0.34022, -0.31776, -0.0538]",0.4611590860004071,0.992000539080663,0.9812475068324236,0.960636357193471,0.971480208626289,0.971480208626289,0.971480208626289,0.979738018976418,0.9765944344225567
