History,exh,time of exh,last_1,time of last_1,last_2,time of last_2,last_3,time of last_3,last_4,time of last_4,transition_1,time of transition_1,transition_2,time of transition_2,transition_3,time of transition_3,transition_4,time of transition_4,exh -- last_1,exh -- last_2,exh -- last_3,exh -- last_4,exh -- transition_1,exh -- transition_2,exh -- transition_3,exh -- transition_4
"[(5, 4, 29, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (15, 7, 29, 8, 10), 1, (14, 15, 19, 7, 10), 1, (22, 14, 29, 8, 10)]","[0.18384, 0.13904, 0.08261, 0.02555, 0.12693]",0.7718400730009307,"[0.23573, 0.13267, 0.064, -0.01507, 0.11347]",0.8114608270043391,"[0.29467, 0.11067, 0.02667, -0.12067, 0.08]",0.2455286070035072,"[0.36667, 0.07333, 0.0, 0.03, 0.02]",0.0611330009996891,"[0.33333, 0.0, 0.0, 0.06667, 0.0]",0.014126305999525357,"[0.33333, 0.0, 0.0, -0.5, 0.0]",0.01392800299800001,"[0.33333, 0.0, 0.0, -0.23333, 0.0]",0.050757802004227415,"[0.29678, 0.1688, 0.03387, -0.12304, 0.06755]",0.14189284600433894,"[0.20306, 0.13068, 0.04597, -0.05937, 0.10588]",0.32228496199968504,0.921652719415413,0.7769525199088768,0.7353708904428691,0.7121070661252694,0.347296180109232,0.5943618097676207,0.7719055532789103,0.8913935056039465
"[(14, 22, 29, 7, 10), 2, (6, 14, 19, 6, 10), 2, (7, 6, 29, 7, 10), 1, (15, 7, 29, 8, 10), 1, (14, 15, 29, 7, 10), 2, (22, 14, 19, 8, 10)]","[0.13227, 0.13904, 0.08261, 0.02555, 0.13227]",0.7634906940002111,"[0.14973, 0.13267, 0.064, -0.01507, 0.14973]",0.7944066700001713,"[0.144, 0.11067, 0.02667, -0.01267, 0.144]",0.2499371749945567,"[0.1, 0.07333, 0.0, -0.13, 0.1]",0.06065798000054201,"[0.0, 0.0, 0.0, -0.23333, 0.0]",0.014267250000557397,"[0.0, 0.0, 0.0, -0.2, 0.0]",0.016647304000798613,"[0.0, 0.0, 0.0, -0.23333, 0.0]",0.048156654003832955,"[0.05995, 0.12123, -0.00064, -0.07088, 0.05089]",0.14542561199777992,"[0.10597, 0.12932, 0.0294, -0.04171, 0.12152]",0.314093597997271,0.9424826482702828,0.9158120057549771,0.783722618785505,0.599740562416075,0.6258007850088405,0.599740562416075,0.8115875856664428,0.8984068001783584
"[(6, 14, 19, 6, 10), 2, (7, 6, 29, 7, 10), 1, (15, 7, 29, 8, 10), 1, (14, 15, 29, 7, 10), 2, (22, 14, 19, 8, 10), 2, (23, 22, 19, 9, 10)]","[0.13904, 0.08261, 0.02555, 0.13227, 0.11968]",0.7768588360049762,"[0.13267, 0.064, -0.01507, 0.14973, 0.07453]",0.8313890839999658,"[0.11067, 0.02667, -0.10867, 0.144, 0.09133]",0.26040559000102803,"[0.07333, 0.0, -0.07, 0.1, 0.00667]",0.06050675800361205,"[0.0, 0.0, -0.56667, 0.0, -0.16667]",0.013783523005258758,"[0.0, 0.0, -0.3, 0.0, 0.2]",0.013691048996406607,"[0.0, 0.0, -0.23333, 0.0, -0.21667]",0.04664028899424011,"[0.16933, 0.01109, -0.06357, 0.09444, -0.02236]",0.14345433499693172,"[0.15256, 0.05117, -0.04177, 0.10064, 0.07908]",0.314201780995063,0.9260044976028948,0.830845986228526,0.7935883006586109,0.22833561577911343,0.5582902657004263,0.47108357997222283,0.7891047671235787,0.897823294606843
"[(7, 6, 29, 7, 10), 1, (15, 7, 29, 8, 10), 1, (14, 15, 29, 7, 10), 2, (22, 14, 19, 8, 10), 2, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10)]","[0.08261, 0.02555, 0.13227, 0.11968, -0.09296]",0.7679840009950567,"[0.064, -0.01507, 0.14973, 0.07453, -0.14007]",0.7965799049998168,"[0.02667, -0.04867, 0.144, 0.00567, -0.18467]",0.2431786990055116,"[0.0, -0.14, 0.1, -0.08333, -0.15]",0.05971138599852566,"[0.0, 0.06667, 0.0, -0.16667, -0.4]",0.013838314996974077,"[0.0, -0.56667, 0.0, 0.0, 0.03333]",0.013647478001075797,"[0.0, -0.23333, 0.0, -0.21667, -0.31667]",0.046974075004982296,"[-0.02315, -0.05989, 0.09109, 0.01856, -0.17588]",0.13775432400143472,"[0.0628, -0.05766, 0.14314, 0.06457, -0.13776]",0.31890944100450724,0.9094527561159369,0.8057563093045234,0.684288127400948,0.4971574507114578,0.28820933563652307,0.43595644450095883,0.7841240390872573,0.8751067996246393
"[(15, 7, 29, 8, 10), 1, (14, 15, 29, 7, 10), 2, (22, 14, 19, 8, 10), 2, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10)]","[0.02555, 0.13227, 0.11968, -0.09296, -0.14048]",0.7646256619991618,"[-0.01507, 0.14973, 0.07453, -0.14007, -0.192]",0.7812511749943951,"[-0.13567, 0.144, -0.01033, -0.18867, -0.187]",0.2454860669968184,"[-0.11, 0.1, 0.03667, -0.31333, -0.30333]",0.0624826440034667,"[-0.23333, 0.0, -0.16667, -0.6, 0.26667]",0.013951337001344655,"[-0.23333, 0.0, -0.23333, 0.1, -0.26667]",0.014029965001100209,"[-0.23333, 0.0, -0.21667, -0.31667, -0.175]",0.04752176300098654,"[-0.10453, 0.07285, -0.00457, -0.18558, -0.18338]",0.14283350999903632,"[-0.01098, 0.10565, 0.08112, -0.13792, -0.15922]",0.31532954599970253,0.8947204851359962,0.7393359540040092,0.6439998685042377,0.14167953690069812,0.4274096740469675,0.44223288428323415,0.759405736508536,0.9141037828248532
"[(14, 15, 29, 7, 10), 2, (22, 14, 19, 8, 10), 2, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10)]","[0.13227, 0.11968, -0.09296, -0.14048, -0.09688]",0.744239955994999,"[0.14973, 0.07453, -0.14007, -0.192, -0.13213]",0.7850898540054914,"[0.144, 0.114, -0.19267, -0.19167, -0.18967]",0.24227855099888984,"[0.1, 0.07667, -0.09, -0.23, -0.21667]",0.05936650800140342,"[0.0, -0.3, -0.53333, -0.0, -0.36667]",0.013752984996244777,"[0.0, -0.6, -0.06667, -0.3, -0.4]",0.013685067999176681,"[0.0, -0.21667, -0.31667, -0.175, -0.32083]",0.04730506599298678,"[0.09323, 0.01003, -0.18988, -0.14911, -0.22008]",0.1398280230059754,"[0.11502, 0.06838, -0.13269, -0.12629, -0.11294]",0.31406766999862157,0.8971676175759795,0.8366662175176244,0.8222943124855031,0.22534389347595019,0.09622030878648302,0.46146254494232253,0.7815010085835634,0.9212043378414776
"[(22, 14, 19, 8, 10), 2, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10)]","[0.11968, -0.09296, -0.14048, -0.09688, -0.18712]",0.7281059349988936,"[0.07453, -0.14007, -0.192, -0.13213, -0.22387]",0.7577072150015738,"[-0.032, -0.17567, -0.22633, -0.16367, -0.21]",0.2555260380031541,"[0.01667, -0.10667, -0.34333, -0.11, -0.17333]",0.07146728500083555,"[0.1, -0.06667, -0.06667, -0.03333, -0.1]",0.015585312001348939,"[-0.13333, -0.16667, -0.46667, -0.43333, -0.13333]",0.01535441899613943,"[-0.21667, -0.31667, -0.175, -0.32083, -0.15417]",0.048656870996637736,"[0.03836, -0.21602, -0.19794, -0.18413, -0.19966]",0.14841413800604641,"[0.0597, -0.13488, -0.15103, -0.08407, -0.21815]",0.31040256500273244,0.8909970757272998,0.7703198215452627,0.7442915595839668,0.8493560509844488,0.39591069896496256,0.48085596651796136,0.7974284950320011,0.9092176620977406
"[(39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10), 2, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10)]","[-0.09688, -0.18712, -0.09688, 0.06912, 0.06912]",0.5925231440050993,"[-0.13213, -0.22387, -0.13213, 0.02173, 0.02173]",0.6156200350014842,"[-0.17167, -0.243, -0.149, 0.015, 0.01667]",0.19840271700377343,"[-0.20667, -0.25333, -0.15667, -0.01333, -0.01333]",0.05206694699882064,"[-0.43333, -0.26667, -0.26667, 0.0, 0.0]",0.01261678500304697,"[-0.43333, -0.2, 0.03333, 0.0, 0.0]",0.012778076001268346,"[-0.32083, -0.15417, -0.32083, 0.0, 0.0]",0.04467483299958985,"[-0.22372, -0.14705, -0.15721, 0.06389, 0.05773]",0.11836788299842738,"[-0.1295, -0.20111, -0.06532, 0.04233, 0.01438]",0.26644325500092236,0.8979748088705539,0.8537442744710485,0.795035194179586,0.5557160284513969,0.5818578444476088,0.627595555376953,0.8360991748037857,0.9136143110810593
"[(47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10)]","[0.06912, 0.06912, -0.18712, 0.06912, 0.06912]",0.47360542999376776,"[0.02173, 0.02173, -0.22387, 0.02173, 0.02173]",0.4975585180000053,"[0.00833, 0.01133, -0.229, 0.00733, 0.00767]",0.16650769399711862,"[-0.00333, -0.02333, -0.17667, 0.00667, -0.01333]",0.04438663199834991,"[0.0, 0.0, -0.23333, 0.0, 0.0]",0.011330542001815047,"[0.0, 0.0, -0.23333, 0.0, 0.0]",0.011448142002336681,"[0.0, 0.0, -0.15417, 0.0, 0.0]",0.04020516000309726,"[0.03836, 0.02785, -0.16774, 0.0573, -0.00892]",0.10237646799942013,"[0.0523, 0.07184, -0.19454, 0.03658, 0.04495]",0.21053480200498598,0.8863458596222733,0.8568953652043373,0.8246317713352843,0.8370365773401895,0.8370365773401895,0.8411132474842538,0.8924422893280077,0.9501451143316926
"[(47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10)]","[0.06912, 0.06912, -0.18712, 0.06912, 0.06912]",0.48146575300052064,"[0.02173, 0.02173, -0.22387, 0.02173, 0.02173]",0.49928535700018983,"[0.01767, 0.01033, -0.208, 0.01467, 0.0]",0.16680818799795816,"[-0.00667, -0.02667, -0.16333, -0.00333, -0.00667]",0.05577115499909269,"[0.0, 0.0, -0.1, 0.0, 0.0]",0.01103043900366174,"[0.0, 0.0, -0.03333, 0.0, 0.0]",0.011165591997269075,"[0.0, 0.0, -0.15417, 0.0, 0.0]",0.04313475399976596,"[0.01354, 0.01661, -0.20082, 0.04004, 0.03479]",0.09884572699957062,"[0.04545, 0.0627, -0.23593, 0.03155, 0.06409]",0.21283872299682116,0.8863458596222733,0.8663880717338456,0.8180695912580858,0.8173110840800679,0.7688029474128184,0.8411132474842538,0.8996361506816324,0.9256637100737466
