History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[3, 0], [0, 2], [2, 1], [8, 9]], [1, 3, 2, 0], [[5, 0], [0, 2], [2, 2], [8, 8]], [3, 3, 1, 4], [[4, 0], [0, 3], [3, 1], [8, 8]], [1, 1, 2, 4], [[5, 1], [1, 4], [4, 2], [8, 8]], [1, 1, 3, 4], [[6, 2], [2, 4], [3, 3], [8, 8]], [1, 4, 0, 4], [[7, 1], [2, 4], [3, 2], [8, 8]], [4, 4, 0, 4], [[7, 1], [2, 4], [3, 1], [8, 8]], [4, 0, 4, 4], [[7, 1], [1, 3], [3, 1], [8, 8]], [4, 1, 4, 4], [[7, 1], [2, 4], [3, 1], [8, 8]], [4, 0, 4, 4], [[7, 1], [1, 3], [3, 1], [8, 8]], [4, 1, 4, 4], [[7, 1], [3, 3], [3, 1], [8, 8]], [4, 1, 4, 4], [[7, 1], [5, 3], [3, 1], [8, 8]], [4, 2, 4, 4], [[7, 1], [5, 5], [3, 1], [8, 8]]]","[0.0, 0.0, 0.0, 0.3335, 0.5615, 0.19925, 0.19725, 0.39225, 0.39225, 0.69475, 0.69475, 0.69475, 0.0, 0.06375, 0.06375]","[[[[None, 1, 1, 1, None], [None, None, 1, 2, None], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, 1, None, 1]], [5, 1]], [[[None, 1, None, None, 1], [None, 1, 1, None, None], [None, 1, 2, 1, None], [None, 1, None, None, None], [None, None, 1, None, None]], [7, None]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, 1, None, None], [None, None, None, None, None]], [7, None]], [[[None, 1, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, None], [None, 1, 1, 1, 1]], [7, 1]], 'max_reward']",167.8934312313795,0.6363636363636364,0.4230769230769231,"[0.0, -0.34121, 0.44544, 0.51735, 0.15566, 0.67355, 0.67355, 0.67355, 0.67355, 0.67355, 0.0, 0.0, 0.0, 0.00282, 0.00282]","[[[[None, None, None, None, 1], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, 1, None, None, None], [None, None, 1, None, None]], [7, None]], [[[None, 1, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, None, 1], [None, 1, 1, 1, 1]], [7, 1]], 'max_reward']",333.2674068454653,0.8181818181818181,0.5192307692307692
"[[[7, 3], [3, 3], [5, 5], [3, 2]], [0, 1, 2, 0], [[7, 2], [4, 4], [5, 6], [3, 1]], [4, 1, 4, 4], [[7, 2], [5, 5], [5, 6], [3, 1]], [4, 0, 4, 4], [[7, 2], [4, 4], [5, 6], [3, 1]], [4, 1, 4, 4], [[7, 2], [6, 4], [5, 6], [3, 1]], [4, 1, 4, 4], [[7, 2], [7, 3], [5, 6], [3, 1]], [0, 2, 0, 4], [[7, 1], [7, 4], [6, 5], [3, 1]], [4, 1, 3, 4], [[7, 1], [8, 5], [5, 4], [3, 1]], [4, 0, 4, 4], [[7, 1], [8, 3], [5, 4], [3, 1]], [4, 2, 4, 4], [[7, 1], [8, 5], [5, 4], [3, 1]], [4, 0, 4, 4], [[7, 1], [8, 3], [5, 4], [3, 1]], [4, 2, 4, 4], [[7, 1], [8, 5], [5, 4], [3, 1]], [4, 0, 4, 4], [[7, 1], [8, 4], [5, 4], [3, 1]]]","[0.0, 0.0, 0.0, 0.30875, 0.38325, 0.30875]","[[[[None, 1, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 2], [None, 1, 1, 1, 1]], [None, 1]], 'max_reward']",4.380878334864974,0.9090909090909091,0.7692307692307692,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.08174, 0.10531, 0.08174, 0.10531, 0.08174]","[[[[None, 1, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 2], [None, 1, 1, 1, 1]], [None, 1]], 'max_reward']",90.0914518982172,0.9090909090909091,0.7692307692307692
"[[[3, 6], [6, 6], [1, 2], [1, 6]], [1, 3, 1, 4], [[5, 6], [5, 5], [2, 1], [1, 6]], [4, 0, 1, 4], [[5, 6], [5, 4], [4, 1], [1, 6]], [4, 1, 3, 4], [[5, 6], [6, 5], [3, 1], [1, 6]], [4, 0, 4, 4], [[5, 6], [6, 3], [3, 1], [1, 6]], [0, 1, 4, 4], [[6, 5], [8, 3], [3, 1], [1, 6]], [3, 4, 4, 4], [[5, 6], [8, 3], [3, 1], [1, 6]], [0, 4, 4, 4], [[4, 5], [8, 3], [3, 1], [1, 6]], [1, 4, 4, 4], [[5, 6], [8, 3], [3, 1], [1, 6]], [0, 4, 4, 4], [[6, 5], [8, 3], [3, 1], [1, 6]], [3, 4, 4, 4], [[5, 6], [8, 3], [3, 1], [1, 6]], [0, 4, 4, 4], [[6, 5], [8, 3], [3, 1], [1, 6]], [3, 4, 4, 4], [[5, 6], [8, 3], [3, 1], [1, 6]]]","[0.0, 0.0, 0.0, 0.0, -0.03825, 0.00225, -0.007, -0.021, -0.007, 0.2095, 0.1345, 0.2095]","[[[[1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, 1]], [6, 5]], [[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, 1]], [6, None]], 'max_reward']",13.854715708643198,0.7272727272727273,0.923076923076923,"[0.0, -0.00237, -0.00879, 0.0, 0.08129, -0.00493, -0.00242, -0.00438, 0.0897, 0.03658, 0.04707, 0.03658, 0.04707]","[[[[1, None, 1, None, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 2, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], [[[1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [4, 5]], 'max_reward']",174.139403488487,0.8181818181818181,0.8846153846153846
"[[[5, 7], [8, 4], [0, 6], [2, 8]], [0, 4, 1, 1], [[5, 5], [8, 4], [1, 7], [3, 7]], [4, 4, 0, 1], [[5, 5], [8, 4], [2, 6], [4, 6]], [4, 4, 3, 2], [[5, 5], [8, 4], [1, 5], [4, 7]], [4, 4, 2, 2], [[5, 5], [8, 4], [1, 7], [5, 8]], [4, 4, 0, 3], [[5, 5], [8, 4], [1, 6], [4, 7]], [4, 4, 4, 2], [[5, 5], [8, 4], [1, 6], [3, 8]], [4, 4, 4, 1], [[5, 5], [8, 4], [1, 6], [4, 9]], [4, 4, 4, 0], [[5, 5], [8, 4], [1, 6], [5, 8]], [4, 4, 4, 3], [[5, 5], [8, 4], [1, 6], [4, 7]], [4, 4, 4, 2], [[5, 5], [8, 4], [1, 6], [3, 8]], [4, 4, 4, 1], [[5, 5], [8, 4], [1, 6], [4, 7]], [4, 4, 4, 2], [[5, 5], [8, 4], [1, 6], [4, 8]]]","[0.0, 0.0, 0.0, 0.3485, 0.3485, 0.3485]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'max_reward']",4.628657337278128,0.9090909090909091,0.9230769230769231,"[0.28837, 0.47717, 0.47717, 0.44946, 0.44946, 0.44946, 0.44946, 0.44946, 0.44946, 0.44946, 0.44946, 0.47717, 0.08523, 0.10051, 0.10051, 0.10051, 0.10051]","[[[[1, None, None, 1, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, 1, 1, 1]], [None, None]], [[[None, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 5]], [[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'max_reward']",555.1728203129023,0.7272727272727273,0.8846153846153847
"[[[9, 0], [7, 1], [7, 2], [4, 7]], [0, 4, 2, 4], [[9, 0], [7, 1], [6, 3], [4, 7]], [3, 4, 2, 4], [[8, 0], [7, 1], [6, 5], [4, 7]], [0, 2, 4, 3], [[8, 0], [7, 3], [6, 5], [3, 6]], [3, 0, 3, 3], [[7, 0], [6, 2], [5, 6], [2, 7]], [1, 2, 0, 4], [[8, 1], [5, 3], [6, 5], [2, 7]], [4, 1, 4, 4], [[8, 1], [6, 2], [6, 5], [2, 7]], [4, 2, 4, 4], [[8, 1], [6, 3], [6, 5], [2, 7]], [4, 1, 3, 4], [[8, 1], [7, 2], [5, 4], [2, 7]], [4, 2, 2, 4], [[8, 1], [7, 4], [5, 6], [2, 7]], [4, 1, 4, 4], [[8, 1], [8, 5], [5, 6], [2, 7]], [4, 0, 0, 4], [[8, 1], [8, 4], [4, 5], [2, 7]], [4, 4, 1, 4], [[8, 1], [8, 4], [5, 4], [2, 7]]]","[0.0, 0.0, 0.0, -0.078, -0.134, 0.331, -0.134, 0.331, 0.7355, 0.7875, 0.7225, 0.7225, 0.40775, 0.30975, 0.30975]","[[[[None, None, 1, None, None], [None, None, None, 1, 2], [None, None, 2, None, None], [None, None, None, None, 1], [None, None, None, None, None]], [7, 0]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, 1, 1, None, None], [None, 1, 1, None, 1], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, 1, 1, 1, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [None, 1]], 'max_reward']",27.292798020876944,0.6363636363636364,0.3942307692307693,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.29142, 0.29142, 0.18541, 0.0858, 0.0858]","[[[[None, 1, 1, None, 2], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, None, None, None, 1], [None, None, None, None, None]], [8, 1]], 'max_reward']",84.88809029385448,0.9090909090909091,0.3846153846153846
"[[[8, 3], [8, 9], [5, 4], [6, 6]], [4, 0, 4, 4], [[8, 3], [8, 7], [5, 4], [6, 6]], [4, 2, 4, 4], [[8, 3], [8, 8], [5, 4], [6, 6]], [4, 4, 4, 3], [[8, 3], [8, 8], [5, 4], [5, 6]], [4, 4, 1, 4], [[8, 3], [8, 8], [6, 3], [5, 6]], [0, 4, 2, 0], [[8, 2], [8, 8], [7, 4], [5, 5]], [0, 4, 1, 4], [[8, 1], [8, 8], [8, 5], [5, 5]], [4, 4, 0, 4], [[8, 1], [8, 8], [9, 4], [5, 5]], [4, 4, 3, 4], [[8, 1], [8, 8], [7, 4], [5, 5]], [4, 4, 1, 4], [[8, 1], [8, 8], [8, 5], [5, 5]], [4, 4, 0, 4], [[8, 1], [8, 8], [8, 3], [5, 5]], [4, 4, 2, 4], [[8, 1], [8, 8], [9, 4], [5, 5]], [4, 4, 3, 4], [[8, 1], [8, 8], [8, 4], [5, 5]]]","[0.0, 0.0, 0.0, 0.30975, 0.40775, 0.40775]","[[[[None, 1, 1, 1, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 2], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], 'max_reward']",3.841596298851073,0.9090909090909091,0.6153846153846154,"[-0.09884, 0.20257, -0.05648, 0.18585, -0.09533, 0.03617, 0.1365, 0.09096, 0.33488, 0.20507, 0.57164, 0.18541, 0.18541, 0.0858, 0.18541, 0.18541]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 3]], [[[None, None, None, None, None], [None, 1, 1, None, 1], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, 1, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], 'max_reward']",337.4469103170559,0.7272727272727273,0.5769230769230769
"[[[6, 7], [9, 3], [4, 5], [9, 5]], [1, 0, 1, 1], [[7, 7], [9, 2], [5, 4], [9, 6]], [2, 3, 4, 0], [[7, 8], [8, 2], [5, 4], [9, 5]], [1, 4, 4, 0], [[9, 8], [8, 2], [5, 4], [9, 3]], [3, 0, 4, 2], [[8, 9], [7, 1], [5, 4], [9, 5]], [0, 4, 4, 0], [[9, 8], [7, 1], [5, 4], [9, 4]], [3, 4, 4, 3], [[8, 7], [7, 1], [5, 4], [8, 5]], [2, 4, 4, 0], [[9, 8], [7, 1], [5, 4], [9, 4]], [3, 4, 4, 3], [[8, 9], [7, 1], [5, 4], [7, 4]], [0, 4, 2, 1], [[8, 8], [7, 1], [5, 5], [8, 5]], [4, 4, 4, 0], [[8, 8], [7, 1], [5, 5], [8, 3]], [4, 4, 4, 2], [[8, 8], [7, 1], [5, 5], [8, 4]], [4, 4, 4, 4], [[8, 8], [7, 1], [5, 5], [8, 4]]]","[0.031, 0.039, 0.003, 0.025, -0.03925, -0.0405, -0.01875, -0.0405, 0.357, 0.163, 0.1645, 0.57, 0.57, 0.57]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, 1, 2, 1, None], [None, 1, 1, None, None], [1, 1, 1, 1, None]], [7, 8]], [[[None, None, None, None, None], [1, 1, 1, None, None], [1, 1, 2, None, None], [None, 1, 1, None, None], [None, None, None, None, None]], [8, 9]], [[[None, None, 1, None, None], [None, 1, 1, 1, 1], [None, None, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 7]], [[[1, 1, None, None, None], [1, 1, 1, 1, None], [None, 1, 2, 1, None], [1, 1, 1, 1, None], [None, None, None, None, None]], [8, 8]], 'max_reward']",30.393074608407915,0.6363636363636364,0.41346153846153844,"[0.0, 0.03007, 0.00476, -0.02556, -0.01823, -0.02556, 0.0937, 0.0805, 0.27176, 0.0805, 0.0937, 0.0805, 0.0937, 0.3383, 0.3383, 0.3383]","[[[[None, None, None, None, 1], [None, None, 1, None, None], [1, None, 2, 1, 1], [None, None, 1, None, 1], [None, 2, 1, 1, 1]], [7, 7]], [[[1, None, None, None, None], [None, 1, 1, 1, 1], [None, None, 2, 1, 1], [1, None, 1, 1, 1], [None, None, None, None, None]], [8, 7]], [[[None, 1, None, None, None], [1, 1, 1, 1, None], [None, 1, 2, 1, None], [1, 1, 1, 1, None], [None, None, None, None, None]], [8, 8]], 'max_reward']",387.03616963140666,0.7272727272727273,0.4615384615384615
"[[[4, 9], [5, 3], [1, 9], [5, 6]], [0, 2, 1, 0], [[4, 8], [5, 4], [3, 9], [5, 5]], [0, 1, 3, 2], [[4, 7], [7, 4], [2, 8], [5, 6]], [2, 1, 4, 0], [[5, 8], [8, 3], [2, 8], [5, 5]], [3, 4, 4, 4], [[4, 9], [8, 3], [2, 8], [5, 5]], [0, 4, 4, 4], [[4, 7], [8, 3], [2, 8], [5, 5]], [1, 4, 4, 4], [[6, 7], [8, 3], [2, 8], [5, 5]], [1, 4, 4, 0], [[7, 8], [8, 3], [2, 8], [5, 4]], [1, 4, 4, 4], [[8, 9], [8, 3], [2, 8], [5, 4]], [0, 4, 4, 4], [[7, 8], [8, 3], [2, 8], [5, 4]], [1, 4, 4, 4], [[8, 9], [8, 3], [2, 8], [5, 4]], [0, 4, 4, 4], [[8, 8], [8, 3], [2, 8], [5, 4]], [4, 4, 4, 4], [[8, 8], [8, 3], [2, 8], [5, 4]]]","[-0.0655, 0.0, 0.046, 0.0135, -0.0165, -0.0065, 0.0315, 0.01525, -0.0145, 0.1645, 0.278, 0.1645, 0.278, 0.1645, 0.57]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, None, None, None], [1, 1, 1, 1, None]], [5, 8]], [[[None, None, 1, None, None], [2, 1, 1, None, None], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [6, 7]], [[[None, None, 1, 1, None], [1, 1, None, None, None], [None, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], [[[1, 1, None, None, None], [1, 1, 1, 1, None], [None, 1, 2, 1, None], [1, 1, 1, 1, None], [None, None, None, None, None]], [8, 8]], 'max_reward']",24.776306585408747,0.6363636363636364,0.49038461538461536,"[-0.02064, 0.00452, 0.00634, 0.0, 0.0019, 0.00525, -0.00267, -0.00455, 0.44451, 0.32825, 0.0937, 0.32825, 0.0937, 0.30912, 0.0937, 0.30912, 0.0937, 0.3383]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, None, None, None], [1, 1, 1, 1, None]], [5, 8]], [[[1, 1, 1, 1, 1], [2, 1, 1, 1, 1], [1, 1, 2, None, None], [1, 1, 1, 1, 1], [1, None, 1, 1, 1]], [6, 7]], [[[1, 1, None, None, None], [1, None, 1, 1, None], [None, 1, 2, 1, None], [1, 1, 1, 1, None], [None, None, None, None, None]], [8, 8]], 'max_reward']",205.28443443775177,0.7272727272727273,0.6666666666666666
"[[[4, 7], [3, 2], [8, 9], [1, 7]], [4, 4, 0, 0], [[4, 7], [3, 2], [8, 8], [1, 5]], [4, 4, 4, 2], [[4, 7], [3, 2], [8, 8], [0, 6]], [4, 4, 4, 1], [[4, 7], [3, 2], [8, 8], [1, 5]], [4, 4, 4, 2], [[4, 7], [3, 2], [8, 8], [1, 7]], [4, 4, 4, 0], [[4, 7], [3, 2], [8, 8], [1, 5]], [4, 4, 4, 2], [[4, 7], [3, 2], [8, 8], [1, 7]], [4, 4, 4, 0], [[4, 7], [3, 2], [8, 8], [0, 6]], [4, 4, 4, 1], [[4, 7], [3, 2], [8, 8], [1, 7]], [4, 4, 4, 0], [[4, 7], [3, 2], [8, 8], [1, 5]], [4, 4, 4, 2], [[4, 7], [3, 2], [8, 8], [2, 6]], [4, 4, 4, 3], [[4, 7], [3, 2], [8, 8], [1, 5]], [4, 4, 4, 2], [[4, 7], [3, 2], [8, 8], [1, 6]]]","[0.77725, 0.79975, 0.79975, 0.79975, 0.77725, 0.77725, 0.79975, 0.77725, 0.77725, 0.79975, 0.77725, 0.237, 0.237, 0.237]","[[[[None, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [4, None]], [[[None, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [None, 7]], [[[1, None, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [None, 7]], [[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [4, 7]], 'max_reward']",23.565763191320002,0.6363636363636364,0.8461538461538461,"[0.74428, 0.74803, 0.74803, 0.74803, 0.74428, 0.74803, 0.74428, 0.05219, 0.04474, 0.05219, 0.05219, 0.05219]","[[[[None, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [None, 7]], [[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [4, 7]], 'max_reward']",188.88229854777455,0.8181818181818181,0.8461538461538461
"[[[8, 3], [2, 2], [3, 8], [2, 8]], [4, 1, 1, 4], [[8, 3], [4, 2], [4, 7], [2, 8]], [4, 3, 1, 4], [[8, 3], [2, 2], [5, 8], [2, 8]], [4, 1, 3, 4], [[8, 3], [3, 1], [4, 9], [2, 8]], [4, 4, 0, 4], [[8, 3], [3, 1], [5, 8], [2, 8]], [4, 4, 3, 4], [[8, 3], [3, 1], [4, 9], [2, 8]], [4, 4, 0, 4], [[8, 3], [3, 1], [3, 8], [2, 8]], [4, 4, 1, 4], [[8, 3], [3, 1], [4, 9], [2, 8]], [4, 4, 0, 4], [[8, 3], [3, 1], [4, 8], [2, 8]], [4, 4, 4, 0], [[8, 3], [3, 1], [4, 8], [1, 7]], [4, 4, 4, 0], [[8, 3], [3, 1], [4, 8], [2, 6]], [4, 4, 4, 3], [[8, 3], [3, 1], [4, 8], [1, 7]], [4, 4, 4, 0], [[8, 3], [3, 1], [4, 8], [1, 6]]]","[0.831, 0.831, 0.831, 0.831, 0.831, 0.831, 0.831, 0.831, 0.831, 0.021, 0.021, 0.021]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 3]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'max_reward']",15.830604461953044,0.7272727272727273,0.7564102564102564,"[0.82308, 0.82308, 0.82308, 0.82308, 0.82308, 0.82308, 0.82308, 0.00164, 0.00164, 0.00164, 0.00164, 0.00164]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 3]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'max_reward']",168.9369726292789,0.8181818181818181,0.7692307692307692
