History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[4, 0], [9, 9], [3, 0], [6, 2]], [1, 3, 2, 1], [[5, 0], [8, 9], [3, 2], [7, 3]], [1, 0, 4, 0], [[6, 1], [8, 8], [3, 2], [7, 2]], [0, 4, 4, 2], [[6, 0], [8, 8], [3, 2], [7, 3]], [1, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [7, 2]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [7, 3]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [7, 5]], [4, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [7, 3]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [6, 4]], [4, 4, 4, 3], [[7, 1], [8, 8], [3, 2], [5, 4]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [5, 5]], [4, 4, 4, 4], [[7, 1], [8, 8], [3, 2], [5, 5]]]","[0.0, 0.0, 0.0, 0.23925, 0.4355, 0.57575, 0.47925, 0.43875, 0.47925, 0.57575, 0.60425, 0.69475, 0.008, 0.008, 0.008]","[[[[None, None, 1, None, 1], [None, 1, 1, 1, 1], [None, None, 2, 2, None], [None, None, None, None, None], [None, None, None, None, None]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, None, 2, None, None], [None, 1, None, 1, None], [None, None, 1, 1, 1]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, None, None, 1], [None, 1, 1, None, 1]], [7, None]], [[[None, 1, 1, None, None], [None, 1, 1, None, 1], [None, 1, 2, 1, None], [None, 1, None, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",39.02956788148731,0.6363636363636364,0.3942307692307692,"[0.50103, 0.19257, 0.29786, 0.40714, 0.36959, 0.29935, 0.41508, 0.46834, 0.47332, 0.46834, 0.01757, 0.00032, 0.00032, 0.00032, 0.00032]","[[[[None, None, None, None, None], [None, 1, 1, None, None], [None, None, 2, None, None], [None, 1, None, None, 1], [None, 1, None, 1, 1]], [7, None]], [[[None, None, None, None, 1], [None, 1, 1, None, 1], [None, None, 2, None, None], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",374.64546196348965,0.8181818181818181,0.4230769230769231
"[[[5, 5], [4, 8], [1, 7], [3, 8]], [4, 4, 0, 4], [[5, 5], [4, 8], [0, 6], [3, 8]], [4, 4, 1, 3], [[5, 5], [4, 8], [1, 6], [1, 8]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [2, 7]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [4, 7]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [5, 6]], [0, 4, 4, 4], [[5, 4], [4, 8], [1, 6], [5, 6]], [1, 4, 4, 4], [[6, 5], [4, 8], [1, 6], [5, 6]], [0, 4, 4, 4], [[6, 3], [4, 8], [1, 6], [5, 6]], [1, 4, 4, 0], [[7, 2], [4, 8], [1, 6], [5, 4]], [4, 4, 4, 2], [[7, 2], [4, 8], [1, 6], [5, 6]], [4, 4, 4, 0], [[7, 2], [4, 8], [1, 6], [5, 4]], [4, 4, 4, 2], [[7, 2], [4, 8], [1, 6], [6, 5]]]","[-0.047, 0.64125, 0.64125, 0.0, 0.0, 0.68825, 0.0, 0.03575, 0.016, -0.034, -0.041, 0.002, 0.106, 0.12675, 0.11375, 0.034, 0.009, 0.034]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[1, 1, None, 1, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[None, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 2], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [6, None]], [[[None, 1, None, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 2]], 'no_drones']",31.212167970836163,0.5454545454545454,0.9076923076923077,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.15725, -0.15725, -0.0182, 0.00034, -0.00184, 0.03569, 0.03113, 0.02676, 0.00176, 0.02676]","[[[[1, 1, None, None, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [5, 5]], [[[1, 1, 1, None, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, None, 1]], [6, 5]], 'no_drones']",295.5453447839245,0.8181818181818181,0.8269230769230769
"[[[5, 3], [3, 4], [6, 4], [9, 1]], [1, 0, 1, 3], [[6, 4], [4, 3], [7, 3], [8, 2]], [2, 3, 2, 0], [[6, 5], [3, 2], [7, 5], [8, 0]], [3, 4, 0, 3], [[5, 6], [3, 2], [7, 3], [7, 0]], [0, 4, 0, 2], [[6, 5], [3, 2], [7, 1], [7, 2]], [4, 4, 4, 2], [[6, 5], [3, 2], [7, 1], [7, 4]], [3, 4, 4, 1], [[5, 6], [3, 2], [7, 1], [8, 3]], [0, 4, 4, 2], [[5, 5], [3, 2], [7, 1], [7, 4]], [4, 4, 4, 1], [[5, 5], [3, 2], [7, 1], [8, 5]], [4, 4, 4, 0], [[5, 5], [3, 2], [7, 1], [9, 4]], [4, 4, 4, 3], [[5, 5], [3, 2], [7, 1], [8, 5]], [4, 4, 4, 0], [[5, 5], [3, 2], [7, 1], [8, 3]], [4, 4, 4, 2], [[5, 5], [3, 2], [7, 1], [8, 5]]]","[0.0, 0.0, 0.0, 0.36375, 0.50025, 0.47275, 0.27275, 0.23275, 0.27275]","[[[[1, None, None, None, None], [1, 1, None, None, None], [1, 1, 2, None, None], [None, 1, 1, 1, None], [None, 2, 1, None, None]], [5, 5]], [[[None, None, None, None, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, None, None]], [5, 5]], 'no_drones']",27.324023759923875,0.8181818181818181,0.5384615384615385,"[-0.01431, 0.0, -0.01431, 0.0, 0.0, 0.11753, 0.10961, 0.11753, 0.10961, 0.11753]","[[[[1, None, None, None, 1], [1, 1, 1, None, None], [1, 1, None, 1, None], [1, 1, 1, 1, None], [None, 2, None, None, 1]], [5, 5]], 'no_drones']",164.72924706991762,0.9090909090909091,0.5384615384615384
"[[[8, 3], [0, 0], [5, 3], [5, 0]], [4, 3, 2, 3], [[8, 3], [0, 1], [6, 4], [4, 1]], [0, 2, 3, 3], [[9, 2], [0, 3], [5, 4], [2, 1]], [3, 1, 4, 1], [[8, 1], [1, 2], [5, 4], [3, 2]], [4, 2, 2, 4], [[8, 1], [1, 3], [5, 6], [3, 2]], [4, 1, 0, 0], [[8, 1], [2, 2], [5, 5], [3, 0]], [4, 1, 4, 0], [[8, 1], [3, 3], [5, 5], [3, 0]], [4, 0, 4, 2], [[8, 1], [3, 2], [5, 5], [2, 1]], [4, 4, 4, 0], [[8, 1], [3, 2], [5, 5], [2, 0]], [4, 3, 4, 1], [[8, 1], [2, 2], [5, 5], [4, 0]], [4, 1, 4, 3], [[8, 1], [3, 3], [5, 5], [3, 0]], [4, 0, 4, 2], [[8, 1], [3, 2], [5, 5], [3, 2]], [4, 4, 4, 4], [[8, 1], [3, 2], [5, 5], [3, 2]]]","[0.0, 0.0, 0.0]",['no_drones'],0.8427016520872712,1.0,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0]",['no_drones'],24.080513529479504,1.0,1.0
"[[[8, 1], [5, 7], [9, 6], [1, 4]], [4, 0, 0, 1], [[8, 1], [5, 5], [9, 5], [2, 5]], [4, 4, 0, 3], [[8, 1], [5, 5], [9, 4], [1, 4]], [4, 4, 3, 1], [[8, 1], [5, 5], [8, 5], [2, 4]], [4, 4, 0, 0], [[8, 1], [5, 5], [8, 3], [2, 2]], [4, 4, 2, 1], [[8, 1], [5, 5], [8, 5], [3, 3]], [4, 4, 0, 0], [[8, 1], [5, 5], [8, 3], [3, 1]], [4, 4, 2, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]], [4, 4, 3, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]], [4, 4, 3, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]]]","[0.6575, 0.6455, 0.6195, 0.6195, 0.6225, 0.6195, 0.6195, 0.6225, 0.6195, 0.6565, 0.6435, 0.6565, 0.129, 0.189, 0.129]","[[[[None, None, None, 1, 1], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, 1, 1, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, 1], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], 'no_drones']",40.1967095406726,0.6363636363636364,0.375,"[0.58106, 0.602, 0.58178, 0.57164, 0.58178, 0.57164, 0.58178, 0.03476, 0.03251, 0.03476, 0.03251, 0.03476]","[[[[None, None, 1, None, None], [None, 1, 1, None, 1], [None, 1, 2, None, None], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, None, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], 'no_drones']",311.42159909568727,0.8181818181818181,0.4230769230769231
"[[[7, 3], [5, 6], [5, 4], [9, 0]], [0, 4, 3, 3], [[7, 1], [5, 6], [4, 5], [8, 1]], [4, 4, 0, 2], [[7, 1], [5, 6], [3, 4], [9, 2]], [4, 4, 0, 2], [[7, 1], [5, 6], [3, 2], [9, 4]], [4, 0, 4, 3], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [8, 5]], [4, 4, 4, 0], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [9, 4]], [4, 4, 4, 3], [[7, 1], [5, 5], [3, 2], [7, 4]], [4, 4, 4, 1], [[7, 1], [5, 5], [3, 2], [9, 4]], [4, 4, 4, 3], [[7, 1], [5, 5], [3, 2], [7, 4]], [4, 4, 4, 1], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [8, 4]]]","[0.18525, 0.58675, 0.59525, 0.47925, 0.47925, 0.46075, 0.60425, 0.60425, 0.60425, 0.164, 0.164, 0.164]","[[[[None, None, 1, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, 1, None, None, None], [None, None, None, None, None]], [7, None]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, 1], [None, None, None, None, None], [None, None, 1, 1, None]], [7, None]], [[[None, None, 1, None, 1], [None, 1, 1, 1, 1], [None, 1, None, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, None]], [7, None]], 'no_drones']",28.500240835361183,0.7272727272727273,0.4358974358974359,"[0.0, 0.0, 0.43305, 0.43184, 0.43184, 0.41676, 0.43184, 0.04339, 0.04339, 0.04339, 0.04339, 0.04339]","[[[[None, None, None, None, None], [None, 1, 1, None, 1], [None, None, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, 2, None]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, 1, None], [None, 1, None, 1, 1], [None, 1, 1, 1, 1]], [7, None]], 'no_drones']",332.62194108590484,0.8181818181818181,0.46153846153846156
"[[[3, 0], [9, 0], [3, 7], [1, 3]], [2, 3, 4, 1], [[3, 2], [8, 1], [3, 7], [2, 4]], [0, 4, 4, 4], [[3, 0], [8, 1], [3, 7], [2, 4]], [2, 4, 4, 0], [[2, 1], [8, 1], [3, 7], [1, 3]], [0, 4, 4, 1], [[1, 0], [8, 1], [3, 7], [3, 3]], [1, 4, 4, 4], [[2, 0], [8, 1], [3, 7], [3, 3]], [1, 4, 4, 4], [[4, 0], [8, 1], [3, 7], [3, 3]], [3, 4, 4, 4], [[3, 0], [8, 1], [3, 7], [3, 3]], [2, 4, 4, 4], [[3, 1], [8, 1], [3, 7], [3, 3]], [4, 4, 4, 1], [[3, 1], [8, 1], [3, 7], [4, 4]], [4, 4, 4, 1], [[3, 1], [8, 1], [3, 7], [6, 4]], [4, 4, 4, 3], [[3, 1], [8, 1], [3, 7], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [2, 8], [5, 5]]]","[0.0, -0.01275, 0.0, -0.0055, 0.014, 0.007, -0.066, -0.117, -0.0875, 0.4305, 0.23225, 0.6195, 0.0875, 0.0875, 0.0625]","[[[[None, 1, 1, 1, 1], [None, 1, None, 1, None], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, None]], [2, 1]], [[[None, None, 1, 1, 1], [None, None, 1, None, 1], [None, None, 2, 1, 1], [None, None, 1, 1, 1], [None, None, 1, 1, 1]], [2, 0]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, None, 2, None, 2], [None, None, None, 1, None], [None, None, None, None, None]], [3, 1]], [[[None, 1, None, 1, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'no_drones']",17.914579377509654,0.6363636363636364,0.548076923076923,"[0.0, 0.0, 0.0, 0.0, -0.02588, -0.00435, -0.00174, -0.00943, -0.02505, 0.22308, 0.02318, 0.04818, 0.04818, 0.02318]","[[[[None, None, None, None, None], [None, None, 1, 1, 1], [None, None, 2, None, 1], [None, None, 1, None, 1], [None, None, 1, 1, 1]], [1, 0]], [[[None, None, 1, None, 1], [None, None, 1, 1, None], [None, None, 2, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [3, 0]], 'no_drones']",154.80918033234775,0.8181818181818181,0.3846153846153846
"[[[9, 4], [5, 4], [8, 3], [2, 4]], [4, 4, 0, 0], [[9, 4], [5, 4], [8, 1], [1, 3]], [3, 4, 4, 1], [[8, 3], [5, 4], [8, 1], [2, 2]], [2, 4, 4, 1], [[8, 5], [5, 4], [8, 1], [4, 2]], [0, 2, 4, 3], [[8, 3], [5, 6], [8, 1], [3, 3]], [2, 0, 4, 4], [[9, 4], [6, 5], [8, 1], [3, 3]], [3, 4, 4, 4], [[7, 4], [6, 5], [8, 1], [3, 3]], [1, 3, 4, 4], [[8, 5], [5, 5], [8, 1], [3, 3]], [0, 4, 4, 0], [[9, 4], [5, 5], [8, 1], [4, 2]], [3, 4, 4, 3], [[8, 3], [5, 5], [8, 1], [3, 2]], [2, 4, 4, 4], [[8, 5], [5, 5], [8, 1], [3, 2]], [0, 4, 4, 4], [[8, 3], [5, 5], [8, 1], [3, 2]], [2, 4, 4, 4], [[9, 4], [5, 5], [8, 1], [3, 2]]]","[0.0, 0.0, -0.0195, 0.00675, -0.00225, -0.02775, 0.15875, 0.10625, 0.15875]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[1, None, None, 1, 1], [1, 1, 1, 1, 1], [2, None, 2, None, None], [1, None, None, None, None], [None, None, None, None, None]], [8, 3]], 'no_drones']",10.096383458934724,0.8181818181818181,0.6538461538461539,"[-0.0102, -0.01588, -0.01634, -0.01924, -0.01559, -0.02664, -0.03517, -0.02508, -0.02148, -0.03569, 0.05034, 0.04821, 0.04953, 0.05034, 0.04953]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, None, None], [None, None, 1, 1, None], [None, None, None, None, None]], [None, 5]], 'no_drones']",138.95777369383723,0.8181818181818181,0.5384615384615384
"[[[2, 9], [2, 3], [6, 1], [2, 5]], [0, 4, 1, 2], [[1, 8], [2, 3], [7, 2], [2, 6]], [1, 4, 4, 3], [[2, 7], [2, 3], [7, 2], [1, 7]], [1, 4, 4, 0], [[3, 8], [2, 3], [7, 2], [1, 5]], [4, 0, 4, 2], [[3, 8], [2, 2], [7, 2], [2, 6]], [4, 1, 4, 3], [[3, 8], [3, 3], [7, 2], [1, 5]], [4, 0, 4, 2], [[3, 8], [3, 1], [7, 2], [0, 6]], [4, 4, 4, 1], [[3, 8], [3, 1], [7, 2], [1, 6]], [1, 4, 4, 4], [[5, 8], [3, 1], [7, 2], [1, 6]], [3, 4, 4, 4], [[3, 8], [3, 1], [7, 2], [1, 6]], [1, 4, 4, 4], [[4, 9], [3, 1], [7, 2], [1, 6]], [0, 4, 4, 4], [[4, 8], [3, 1], [7, 2], [1, 6]], [4, 4, 4, 4], [[4, 8], [3, 1], [7, 2], [1, 6]]]","[0.0, 0.0, 0.0, 0.152, 0.152, -0.022, -0.0545, -0.0375, -0.014, 0.10875, 0.045, 0.05875]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], [[[1, 1, 1, 1, None], [None, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, None, None, None], [None, 1, None, 1, None]], [5, None]], [[[None, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, None, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], 'no_drones']",15.865463370457292,0.7272727272727273,0.6923076923076922,"[0.0, 0.0, 0.0, -0.01468, 0.00708, 0.00708, 0.00708, 0.00708, 0.02108, 0.01114, 0.02108, 0.00784, 0.01622]","[[[[1, 1, None, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], [[[None, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, None, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], 'no_drones']",221.37564897723496,0.8181818181818181,0.6923076923076923
"[[[7, 1], [5, 4], [9, 6], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [9, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [9, 4], [2, 3]], [4, 4, 3, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [7, 4], [2, 3]], [4, 2, 1, 4], [[7, 1], [5, 5], [9, 4], [2, 3]], [4, 4, 3, 4], [[7, 1], [5, 5], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 5], [9, 4], [2, 3]]]","[0.58625, 0.60325, 0.40375, 0.47925, 0.46075, 0.46075, 0.47925, 0.46075, 0.60425, 0.55775, 0.60425, 0.164, 0.164, 0.128]","[[[[None, None, None, None, None], [None, 1, 1, None, None], [None, 1, 2, None, None], [None, 1, None, None, None], [None, None, None, None, None]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [7, None]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, 1, None], [None, None, None, None, None], [None, None, 1, None, None]], [7, None]], [[[None, None, 1, None, None], [None, 1, 1, 1, 1], [None, 1, 2, None, 1], [None, 1, None, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",44.477388609200716,0.6363636363636364,0.32692307692307687,"[0.40477, 0.393, 0.39193, 0.38619, 0.41644, 0.43152, 0.41644, 0.43152, 0.41644, 0.03341, 0.04339, 0.04339, 0.04339, 0.03341]","[[[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [7, None]], [[[None, None, 1, None, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, None, None, None, None], [None, 1, 1, None, 1]], [7, None]], 'no_drones']",318.96073277667165,0.8181818181818181,0.34615384615384615
