History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[2, 3], [7, 6], [8, 3], [1, 3]], [1, 0, 4, 4], [[3, 2], [7, 4], [8, 3], [1, 3]], [0, 3, 0, 1], [[4, 1], [6, 5], [7, 2], [2, 2]], [3, 4, 4, 1], [[3, 0], [6, 5], [7, 2], [3, 1]], [1, 4, 4, 2], [[4, 0], [6, 5], [7, 2], [3, 3]], [3, 4, 4, 4], [[3, 0], [6, 5], [7, 2], [3, 3]], [2, 4, 4, 4], [[3, 1], [6, 5], [7, 2], [3, 3]], [4, 4, 4, 1], [[3, 1], [6, 5], [7, 2], [4, 2]], [4, 4, 4, 2], [[3, 1], [6, 5], [7, 2], [4, 4]], [4, 4, 4, 1], [[3, 1], [6, 5], [7, 2], [5, 5]], [4, 1, 4, 4], [[3, 1], [7, 5], [7, 2], [5, 5]], [4, 0, 4, 4], [[3, 1], [8, 4], [7, 2], [5, 5]], [4, 4, 0, 4], [[3, 1], [8, 4], [8, 1], [5, 5]]]","[0.0, 0.0, 0.0, 0.1075, -0.115, -0.0875, 0.6005, 0.6005, 0.6005, 0.1675, 0.1425, 0.1425]","[[[[None, None, 1, None, 1], [None, None, 1, 1, 1], [None, None, 2, 2, 1], [None, None, 1, 1, 1], [None, None, 1, 1, None]], [None, 0]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [3, 1]], [[[None, 1, None, None, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'perfect_cover']",17.572818137705326,0.7272727272727273,0.4871794871794872,"[0.0, 0.0, 0.0, 0.0, -0.01424, 0.00832, -0.03851, -0.00688, 0.03456, 0.2188, 0.04238, 0.53771, 0.53771, 0.21666, 0.04238, 0.53771, 0.53771, 0.53891, 0.04305, -0.09992, 0.04701, 0.02513, 0.02201]","[[[[None, None, 1, None, None], [None, None, 1, 1, 1], [None, None, 2, 2, None], [None, None, None, 1, 1], [None, None, 1, None, None]], [3, 0]], [[[None, 1, None, 1, 1], [None, 1, 1, 1, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [3, 1]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], [[[None, None, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, None], [None, None, 1, None, None]], [None, 1]], 'perfect_cover']",403.1891255704686,0.6363636363636364,0.46153846153846156
"[[[5, 6], [8, 4], [6, 1], [6, 5]], [4, 4, 1, 0], [[5, 6], [8, 4], [7, 2], [6, 3]], [0, 4, 0, 2], [[5, 4], [8, 4], [6, 1], [7, 4]], [2, 4, 1, 0], [[6, 5], [8, 4], [7, 0], [7, 3]], [3, 4, 2, 0], [[5, 6], [8, 4], [7, 2], [6, 2]], [0, 4, 0, 0], [[4, 5], [8, 4], [8, 1], [5, 1]], [1, 4, 4, 1], [[6, 5], [8, 4], [8, 1], [6, 0]], [3, 4, 4, 3], [[5, 4], [8, 4], [8, 1], [5, 0]], [4, 4, 4, 3], [[5, 4], [8, 4], [8, 1], [4, 1]], [4, 4, 4, 3], [[5, 4], [8, 4], [8, 1], [3, 0]], [4, 4, 4, 2], [[5, 4], [8, 4], [8, 1], [4, 1]], [4, 4, 4, 3], [[5, 4], [8, 4], [8, 1], [3, 0]], [4, 4, 4, 2], [[5, 4], [8, 4], [8, 1], [3, 1]]]","[-0.0765, -0.0175, 0.0, 0.28825, -0.1205, 0.08075, 0.05275, 0.05275, 0.05275]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 2, 1, None, None]], [6, 5]], [[[None, 1, None, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], 'perfect_cover']",20.19594929832965,0.8181818181818181,0.7884615384615384,"[0.0, 0.00204, -0.00096, -0.01959, -0.01028, -0.00228, -0.0876, 0.1282, 0.0, 0.00072, 0.22234, 0.07032, 0.00578, 0.00578, 0.00578, 0.00578]","[[[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, None]], [[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [1, 2, None, None, 1]], [6, None]], [[[None, 1, 1, None, None], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [5, 4]], 'perfect_cover']",356.0898779351264,0.7272727272727273,0.8461538461538461
"[[[5, 8], [3, 3], [3, 9], [1, 0]], [0, 4, 3, 1], [[6, 7], [3, 3], [2, 9], [2, 1]], [0, 1, 0, 1], [[6, 5], [4, 2], [2, 7], [3, 2]], [4, 2, 4, 4], [[6, 5], [4, 3], [2, 7], [3, 2]], [4, 2, 4, 4], [[6, 5], [4, 5], [2, 7], [3, 2]], [4, 0, 4, 4], [[6, 5], [4, 3], [2, 7], [3, 2]], [4, 2, 4, 4], [[6, 5], [4, 5], [2, 7], [3, 2]], [4, 0, 4, 4], [[6, 5], [4, 4], [2, 7], [3, 2]], [4, 1, 4, 4], [[6, 5], [5, 5], [2, 7], [3, 2]], [1, 4, 4, 4], [[7, 6], [5, 5], [2, 7], [3, 2]], [0, 4, 4, 4], [[8, 5], [5, 5], [2, 7], [3, 2]], [0, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 2]], [4, 4, 4, 4], [[8, 4], [5, 5], [2, 7], [3, 2]]]","[0.0, 0.0, 0.0, 0.141, 0.041, 0.0595, 0.2385, 0.255, 0.11325]","[[[[None, 2, 1, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [6, 5]], [[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, None, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 5]], 'perfect_cover']",10.447289180010557,0.8181818181818181,0.5576923076923077,"[0.0, 0.0, 0.0, 0.04, -8e-05, 0.04, -8e-05, 0.0016, 0.2109, 0.32882, 0.18594, 0.05996, 0.03232]","[[[[2, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [6, 5]], [[[1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, 5]], 'perfect_cover']",178.00089780893177,0.8181818181818181,0.9230769230769231
"[[[7, 7], [8, 9], [5, 5], [2, 1]], [2, 2, 4, 1], [[7, 8], [9, 9], [5, 5], [4, 1]], [0, 3, 4, 3], [[8, 7], [8, 9], [5, 5], [3, 2]], [3, 2, 4, 4], [[7, 6], [8, 9], [5, 5], [3, 2]], [0, 0, 4, 4], [[6, 5], [8, 7], [5, 5], [3, 2]], [1, 2, 4, 4], [[7, 6], [8, 9], [5, 5], [3, 2]], [0, 0, 4, 4], [[7, 5], [9, 8], [5, 5], [3, 2]], [0, 3, 4, 4], [[7, 4], [8, 7], [5, 5], [3, 2]], [1, 2, 4, 4], [[8, 5], [9, 8], [5, 5], [3, 2]], [0, 3, 4, 4], [[9, 4], [8, 9], [5, 5], [3, 2]], [3, 0, 4, 4], [[8, 3], [9, 8], [5, 5], [3, 2]], [4, 3, 4, 4], [[8, 3], [8, 7], [5, 5], [3, 2]], [4, 2, 4, 4], [[8, 3], [8, 8], [5, 5], [3, 2]]]","[0.0, 0.0, 0.0, -0.0615, -0.0365, -0.0615, -0.001, -0.0295, -0.0665, 0.10125, 0.062, 0.062]","[[[[1, 1, None, None, None], [None, None, 2, None, None], [None, None, None, None, 1], [None, None, None, None, None], [None, None, None, None, 2]], [6, None]], [[[None, None, 2, None, 1], [1, None, 1, 1, None], [None, None, 2, None, 1], [None, None, None, None, None], [None, None, None, 1, None]], [7, 5]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], 'perfect_cover']",14.497735049575567,0.7272727272727273,0.3461538461538461,"[0.0, 0.0, 0.0, -0.00032, -0.02166, -0.00704, -0.02166, -0.01138, -0.0154, 0.03284, 0.16348, 0.01433, 0.01106, 0.01106]","[[[[1, None, None, None, None], [1, None, 2, None, 1], [None, None, None, 1, None], [None, None, None, None, None], [None, None, None, None, 2]], [6, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, None, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 5]], 'perfect_cover']",137.487009299919,0.8181818181818181,0.4807692307692308
"[[[2, 1], [3, 2], [8, 1], [4, 0]], [0, 2, 4, 1], [[2, 0], [4, 3], [8, 1], [6, 0]], [1, 2, 4, 3], [[3, 1], [4, 5], [8, 1], [5, 0]], [4, 1, 4, 1], [[3, 1], [5, 6], [8, 1], [6, 1]], [4, 0, 4, 0], [[3, 1], [5, 5], [8, 1], [6, 0]], [4, 4, 4, 3], [[3, 1], [5, 5], [8, 1], [5, 0]], [4, 4, 4, 1], [[3, 1], [5, 5], [8, 1], [6, 1]], [4, 4, 4, 0], [[3, 1], [5, 5], [8, 1], [7, 0]], [4, 4, 2, 3], [[3, 1], [5, 5], [8, 3], [5, 0]], [4, 4, 4, 1], [[3, 1], [5, 5], [8, 3], [6, 1]], [4, 4, 2, 0], [[3, 1], [5, 5], [8, 4], [6, 0]], [4, 4, 4, 1], [[3, 1], [5, 5], [8, 4], [7, 0]], [4, 4, 4, 2], [[3, 1], [5, 5], [8, 4], [7, 2]]]","[0.0, 0.0, 0.24325, 0.6095, 0.6005, 0.6005, 0.6195, 0.6005, 0.75425, 0.6005, 0.6005, 0.1675, 0.1425, 0.1425]","[[[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, 1, None, None, 1], [None, 2, None, None, None]], [3, 1]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, 1, None, None, 1]], [3, 1]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, 1], [None, 1, 1, None, None], [None, None, None, None, None]], [3, 1]], [[[None, None, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'perfect_cover']",31.22045228816569,0.6363636363636364,0.5096153846153846,"[0.10212, 0.1859, 0.54071, 0.53375, 0.54071, 0.53375, 0.56619, 0.53897, 0.53375, 0.04701, 0.04701, 0.04701, 0.02201, 0.02201]","[[[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, 1, 1, None, 1], [None, None, 1, None, 1]], [3, 1]], [[[None, 1, None, None, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'perfect_cover']",299.98939890787005,0.8181818181818181,0.5576923076923077
"[[[3, 1], [8, 1], [9, 8], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [7, 8], [5, 5]], [4, 4, 1, 4], [[3, 1], [8, 1], [8, 7], [5, 5]], [4, 4, 2, 4], [[3, 1], [8, 1], [9, 8], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [8, 7], [5, 5]], [4, 4, 2, 4], [[3, 1], [8, 1], [8, 9], [5, 5]], [4, 4, 0, 4], [[3, 1], [8, 1], [7, 8], [5, 5]], [4, 4, 1, 4], [[3, 1], [8, 1], [9, 8], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [7, 8], [5, 5]], [4, 4, 1, 4], [[3, 1], [8, 1], [9, 8], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [8, 7], [5, 5]], [4, 4, 2, 4], [[3, 1], [8, 1], [8, 9], [5, 5]], [4, 4, 0, 4], [[3, 1], [8, 1], [8, 8], [5, 5]]]","[0.6035, 0.6035, 0.6035, 0.6195, 0.6195, 0.6195, 0.6195, 0.6195, 0.6195, 0.1885, 0.1885, 0.1635]","[[[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, 1], [None, 1, 1, 1, None], [None, None, None, None, None]], [None, 1]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, 1, None, None, None]], [None, 1]], [[[None, None, None, 1, None], [None, 1, 1, None, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, None, None, 1]], [3, 1]], 'perfect_cover']",26.617738388478756,0.7272727272727273,0.5384615384615384,"[0.55813, 0.55813, 0.55813, 0.55813, 0.55813, 0.55813, 0.55813, 0.06309, 0.06309, 0.06309, 0.06309, 0.03809]","[[[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, None, None, None, None]], [3, 1]], [[[None, None, None, None, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'perfect_cover']",306.1748118074611,0.8181818181818181,0.5384615384615384
"[[[3, 8], [4, 8], [6, 6], [5, 8]], [3, 4, 0, 0], [[2, 7], [4, 8], [6, 4], [5, 6]], [3, 4, 1, 4], [[1, 7], [4, 8], [7, 5], [5, 6]], [0, 4, 0, 0], [[1, 5], [4, 8], [8, 4], [5, 5]], [2, 4, 4, 4], [[1, 7], [4, 8], [8, 4], [5, 5]], [0, 4, 4, 4], [[1, 5], [4, 8], [8, 4], [5, 5]], [2, 4, 4, 4], [[0, 6], [4, 8], [8, 4], [5, 5]], [1, 4, 4, 4], [[1, 7], [4, 8], [8, 4], [5, 5]], [0, 4, 4, 4], [[2, 6], [4, 8], [8, 4], [5, 5]], [3, 4, 4, 4], [[1, 7], [4, 8], [8, 4], [5, 5]], [0, 4, 4, 4], [[0, 6], [4, 8], [8, 4], [5, 5]], [1, 4, 4, 4], [[2, 6], [4, 8], [8, 4], [5, 5]], [3, 4, 4, 4], [[1, 6], [4, 8], [8, 4], [5, 5]]]","[0.0315, 0.00825, 0.027, 0.01075, 0.00425, 0.01075, 0.033, -0.068, 0.02575, 0.17175, -0.03325, 0.05425]","[[[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[None, None, None, None, None], [None, None, None, None, None], [None, 1, 2, 1, None], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [0, 6]], [[[None, None, None, None, None], [None, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [None, None]], 'perfect_cover']",11.67979527078569,0.7272727272727273,0.6410256410256411,"[0.00536, -0.01677, -0.01244, -0.0312, 0.02052, -0.0312, 0.02052, 0.01259, 0.12277, 0.04367, 0.12277, -0.02071, 0.04367]","[[[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[None, None, None, None, None], [None, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [None, 7]], 'perfect_cover']",160.29880425147712,0.8181818181818181,0.6923076923076923
"[[[3, 6], [6, 3], [0, 0], [1, 7]], [1, 1, 3, 0], [[4, 5], [7, 3], [0, 0], [2, 6]], [1, 0, 3, 3], [[5, 6], [7, 1], [0, 1], [1, 5]], [0, 4, 2, 2], [[5, 4], [7, 1], [0, 2], [2, 6]], [4, 4, 3, 2], [[5, 4], [7, 1], [0, 1], [2, 7]], [4, 4, 2, 4], [[5, 4], [7, 1], [0, 2], [2, 7]], [4, 4, 3, 4], [[5, 4], [7, 1], [0, 3], [2, 7]], [4, 4, 1, 4], [[5, 4], [7, 1], [1, 2], [2, 7]], [4, 4, 1, 4], [[5, 4], [7, 1], [2, 1], [2, 7]], [4, 4, 1, 4], [[5, 4], [7, 1], [3, 2], [2, 7]], [2, 4, 4, 4], [[5, 6], [7, 1], [3, 2], [2, 7]], [0, 4, 4, 4], [[6, 5], [7, 1], [3, 2], [2, 7]], [4, 4, 4, 4], [[6, 5], [7, 1], [3, 2], [2, 7]]]","[0.075, 0.0, 0.20775, 0.0, 0.20775, 0.8025, 0.8025, 0.8025, 0.79575, 0.8025, 0.79575, 0.84625, 0.0, 0.0, 0.0955, -0.024, -0.04, 0.005, 0.062, 0.19175, 0.09075]","[[[[1, 1, 1, None, None], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[2, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[1, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], 'perfect_cover']",29.414703509770334,0.4545454545454546,0.8653846153846154,"[0.0, -0.00032, -0.01434, -0.00542, -0.00767, 0.01333, 0.00425, 0.01104, 0.0926, 0.02348]","[[[[1, None, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, None, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, None]], 'perfect_cover']",141.10428461339325,0.9090909090909091,0.8461538461538461
"[[[9, 1], [8, 1], [0, 5], [7, 5]], [2, 4, 1, 0], [[9, 2], [8, 1], [1, 6], [7, 3]], [2, 3, 4, 2], [[9, 3], [7, 0], [1, 6], [8, 4]], [0, 2, 4, 4], [[9, 2], [7, 2], [1, 6], [8, 4]], [0, 0, 4, 4], [[9, 1], [7, 0], [1, 6], [8, 4]], [2, 2, 4, 4], [[9, 2], [7, 2], [1, 6], [8, 4]], [0, 0, 4, 4], [[9, 1], [7, 0], [1, 6], [8, 4]], [2, 2, 4, 4], [[9, 2], [6, 1], [1, 6], [8, 4]], [3, 1, 4, 4], [[8, 2], [8, 1], [1, 6], [8, 4]], [3, 4, 4, 4], [[7, 3], [8, 1], [1, 6], [8, 4]], [3, 4, 4, 4], [[5, 3], [8, 1], [1, 6], [8, 4]], [2, 4, 4, 4], [[5, 4], [8, 1], [1, 6], [8, 4]], [4, 4, 4, 4], [[5, 4], [8, 1], [1, 6], [8, 4]]]","[0.0, 0.0, -0.00125, 0.25725, 0.16375, 0.09375]","[[[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [None, None, 2, None, None], [None, None, None, 2, None], [None, None, None, None, None]], [None, 3]], 'perfect_cover']",5.094334155321121,0.9090909090909091,0.46153846153846156,"[0.0, 0.0, 0.0, -9e-05, 2e-05, 0.0, 2e-05, 0.0, 0.48448, 0.36914, 0.11771, 0.05951, 0.01519]","[[[[None, 1, 2, None, None], [None, None, None, None, 2], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [9, None]], [[[None, 1, 1, 1, 1], [1, 1, None, 1, 2], [None, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'perfect_cover']",122.58143603336066,0.8181818181818181,0.34615384615384615
"[[[2, 5], [6, 1], [1, 4], [1, 6]], [0, 1, 0, 4], [[2, 4], [7, 0], [1, 2], [1, 6]], [4, 2, 1, 4], [[2, 4], [7, 1], [3, 2], [1, 6]], [4, 4, 0, 4], [[2, 4], [7, 1], [4, 1], [1, 6]], [0, 4, 3, 4], [[2, 2], [7, 1], [3, 0], [1, 6]], [1, 4, 0, 4], [[3, 1], [7, 1], [3, 0], [1, 6]], [2, 4, 1, 4], [[3, 3], [7, 1], [4, 1], [1, 6]], [4, 4, 3, 4], [[3, 3], [7, 1], [3, 1], [1, 6]], [1, 4, 4, 4], [[4, 2], [7, 1], [3, 1], [1, 6]], [2, 4, 4, 4], [[3, 3], [7, 1], [3, 1], [1, 6]], [1, 4, 4, 4], [[4, 4], [7, 1], [3, 1], [1, 6]], [1, 4, 4, 4], [[5, 5], [7, 1], [3, 1], [1, 6]], [4, 4, 4, 4], [[5, 5], [7, 1], [3, 1], [1, 6]]]","[0.0, 0.0, 0.0, 0.12, -0.01725, -0.0165, -0.03125, -0.028, -0.03125, 0.1315, 0.132, 0.0885]","[[[[None, 1, None, 1, 1], [None, 1, 1, 1, 1], [None, 2, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [3, 1]], [[[1, 1, 1, 1, 1], [1, 2, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, None, 1, 1], [1, 1, 1, 1, 1]], [4, 2]], [[[1, 1, 1, 1, None], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [4, 4]], 'perfect_cover']",13.719904094934464,0.7272727272727273,0.6923076923076924,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.00958, -0.00719, -8e-05, -0.00398, -0.00399, 0.05459, 0.28374, 0.05459, 0.02272, 0.01574]","[[[[None, 1, None, 1, 1], [None, 1, 1, 1, 1], [None, 2, 2, None, None], [None, None, None, None, None], [None, None, 1, None, None]], [3, 1]], [[[1, 1, 1, 1, 1], [1, 2, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, 1]], [4, 2]], 'perfect_cover']",127.69317729584873,0.8181818181818181,0.6538461538461539
