History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[2, 3], [7, 7], [4, 7], [7, 4]], [4, 2, 4, 4], [[2, 3], [7, 8], [4, 7], [7, 4]], [4, 1, 4, 4], [[2, 3], [8, 9], [4, 7], [7, 4]], [4, 0, 4, 4], [[2, 3], [8, 7], [4, 7], [7, 4]], [4, 2, 4, 4], [[2, 3], [8, 9], [4, 7], [7, 4]], [4, 0, 4, 4], [[2, 3], [8, 7], [4, 7], [7, 4]], [4, 2, 4, 4], [[2, 3], [9, 8], [4, 7], [7, 4]], [4, 3, 4, 4], [[2, 3], [8, 9], [4, 7], [7, 4]], [4, 0, 4, 4], [[2, 3], [7, 8], [4, 7], [7, 4]], [4, 1, 4, 4], [[2, 3], [8, 9], [4, 7], [7, 4]], [4, 0, 4, 4], [[2, 3], [8, 7], [4, 7], [7, 4]], [4, 2, 4, 4], [[2, 3], [9, 8], [4, 7], [7, 4]], [4, 3, 4, 4], [[2, 3], [8, 8], [4, 7], [7, 4]]]","[0.8355, 0.8355, 0.8355, 0.8355, 0.8355, 0.8355, 0.8355, 0.8355, 0.8355, 0.181, 0.181, 0.181]","[[[[1, 1, 1, None, 1], [None, 1, 1, 1, 1], [1, None, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, 3]], [[[1, 1, 1, None, 1], [None, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, None, 1, None], [1, 1, 1, 1, 1]], [2, None]], [[[1, 1, 1, None, 1], [None, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, None, 1, None], [1, 1, 1, 1, 1]], [None, 3]], 'region']",16.507379309274256,0.7272727272727273,0.8076923076923078,"[0.82167, 0.82167, 0.82167, 0.82167, 0.82167, 0.82167, 0.82167, 0.19453, 0.19453, 0.19453, 0.19453, 0.19453]","[[[[1, 1, 1, None, 1], [None, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [2, 3]], [[[1, None, 1, None, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [2, 3]], 'region']",195.3744008410722,0.8181818181818181,0.8076923076923077
"[[[8, 7], [2, 2], [2, 1], [2, 8]], [2, 1, 1, 4], [[9, 8], [3, 3], [4, 1], [2, 8]], [3, 4, 3, 4], [[8, 9], [3, 3], [3, 0], [2, 8]], [0, 4, 2, 4], [[8, 7], [3, 3], [2, 1], [2, 8]], [2, 1, 1, 4], [[8, 9], [4, 4], [4, 1], [2, 8]], [0, 1, 3, 4], [[9, 8], [5, 3], [3, 1], [2, 8]], [3, 2, 4, 4], [[7, 8], [5, 4], [3, 1], [2, 8]], [1, 4, 4, 4], [[8, 7], [5, 4], [3, 1], [2, 8]], [2, 4, 4, 4], [[8, 9], [5, 4], [3, 1], [2, 8]], [0, 4, 4, 4], [[7, 8], [5, 4], [3, 1], [2, 8]], [1, 4, 4, 4], [[9, 8], [5, 4], [3, 1], [2, 8]], [3, 4, 4, 4], [[8, 9], [5, 4], [3, 1], [2, 8]], [0, 4, 4, 4], [[8, 7], [5, 4], [3, 1], [2, 8]]]","[-0.01725, -0.0315, -0.01875, 0.00825, -0.0145, -0.00925, 0.01525, 0.00825, -0.0145, 0.1225, 0.066, 0.0]","[[[[None, 1, None, None, None], [1, None, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 7]], [[[None, None, 1, 1, None], [1, 1, None, None, None], [None, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], [[[1, 1, 1, 1, None], [1, 1, None, None, None], [None, 1, None, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], 'region']",24.920765912160277,0.7272727272727273,0.5512820512820512,"[0.00266, -0.01591, -0.01823, -0.00614, -0.00829, 0.00237, -0.00829, -0.00614, -0.01823, 0.00266, -0.01823, -0.01591, 0.01571, 0.22658, 0.0, 0.09145, 0.06792, 0.0]","[[[[None, 1, 1, None, None], [None, 1, 1, 1, 1], [1, None, 2, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [8, 7]], [[[1, None, None, None, None], [1, 1, None, None, None], [None, None, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], [[[1, 1, 1, None, None], [1, None, 1, 1, 1], [1, None, None, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 7]], 'region']",372.71176406461746,0.7272727272727273,0.5256410256410257
"[[[6, 3], [0, 1], [9, 4], [0, 3]], [1, 4, 3, 1], [[7, 4], [0, 1], [8, 4], [1, 2]], [3, 4, 4, 1], [[6, 3], [0, 1], [8, 4], [2, 3]], [2, 2, 4, 1], [[6, 4], [0, 2], [8, 4], [3, 2]], [3, 3, 4, 4], [[4, 4], [0, 3], [8, 4], [3, 2]], [1, 1, 4, 4], [[5, 5], [1, 4], [8, 4], [3, 2]], [4, 2, 4, 4], [[5, 5], [2, 5], [8, 4], [3, 2]], [4, 3, 4, 4], [[5, 5], [0, 5], [8, 4], [3, 2]], [4, 1, 4, 4], [[5, 5], [2, 5], [8, 4], [3, 2]], [4, 3, 4, 4], [[5, 5], [0, 5], [8, 4], [3, 2]], [4, 1, 4, 4], [[5, 5], [1, 4], [8, 4], [3, 2]], [4, 2, 4, 4], [[5, 5], [1, 6], [8, 4], [3, 2]], [4, 4, 4, 4], [[5, 5], [1, 6], [8, 4], [3, 2]]]","[0.009, -0.0015, 0.02, 0.3195, 0.3805, 0.37675, 0.3805, 0.37675, 0.47275, 0.47275, 0.47275, 0.47275, 0.19925, 0.19925, 0.19925]","[[[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, None]], [6, 4]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [None, 5]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, None]], [[[1, 1, None, 1, 1], [1, None, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'region']",39.87491806410253,0.6363636363636364,0.7788461538461539,"[-0.0018, 0.00054, 0.41684, 0.31136, 0.30207, 0.23936, 0.23936, 0.08995, 0.08995, 0.08995, 0.08995, 0.08995]","[[[[1, 1, 1, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 2, 1]], [6, 3]], [[[1, 1, None, None, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 5]], 'region']",177.73334982432425,0.8181818181818181,0.9230769230769231
"[[[2, 7], [4, 3], [0, 0], [8, 3]], [4, 2, 3, 4], [[2, 7], [5, 4], [0, 0], [8, 3]], [4, 4, 3, 4], [[2, 7], [5, 4], [0, 0], [8, 3]], [4, 4, 3, 4], [[2, 7], [5, 4], [0, 1], [8, 3]], [4, 4, 2, 4], [[2, 7], [5, 4], [0, 2], [8, 3]], [4, 4, 3, 4], [[2, 7], [5, 4], [0, 3], [8, 3]], [4, 4, 1, 4], [[2, 7], [5, 4], [1, 3], [8, 3]], [4, 4, 1, 4], [[2, 7], [5, 4], [2, 2], [8, 3]], [4, 4, 1, 4], [[2, 7], [5, 4], [4, 2], [8, 3]], [4, 2, 3, 4], [[2, 7], [6, 5], [3, 3], [8, 3]], [4, 3, 4, 4], [[2, 7], [5, 6], [3, 3], [8, 3]], [4, 0, 4, 4], [[2, 7], [5, 4], [3, 3], [8, 3]], [4, 2, 0, 4], [[2, 7], [5, 6], [3, 2], [8, 3]]]","[-0.01125, -0.01125, -0.0915, -0.01125, -0.0915, 0.84975, 0.83325, 0.8225, 0.8225, 0.005, 0.009, 0.00725]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [None, None]], [[[1, None, 1, None, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 7]], [[[1, 1, 1, None, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 7]], 'region']",16.764841116033494,0.7272727272727273,0.8717948717948718,"[-0.01298, -0.01298, -0.02113, -0.02113, -0.10029, -0.10029, 0.84023, 0.7962, 0.79983, 0.79983, 0.00114, 0.00178, 0.00178, 0.00306, 0.00206]","[[[[1, 1, 1, None, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [2, None]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 7]], 'region']",225.4070950532332,0.8181818181818181,0.8461538461538461
"[[[2, 3], [0, 0], [8, 4], [5, 5]], [4, 3, 4, 4], [[2, 3], [0, 1], [8, 4], [5, 5]], [1, 2, 4, 4], [[4, 3], [0, 3], [8, 4], [5, 5]], [3, 1, 4, 4], [[3, 4], [2, 3], [8, 4], [5, 5]], [1, 4, 4, 4], [[4, 5], [2, 3], [8, 4], [5, 5]], [2, 0, 4, 4], [[5, 6], [2, 2], [8, 4], [5, 5]], [4, 1, 4, 0], [[5, 6], [3, 2], [8, 4], [5, 3]], [0, 4, 4, 2], [[5, 5], [3, 2], [8, 4], [5, 4]], [2, 4, 4, 1], [[5, 7], [3, 2], [8, 4], [6, 5]], [3, 4, 4, 3], [[4, 6], [3, 2], [8, 4], [5, 4]], [2, 4, 4, 1], [[4, 8], [3, 2], [8, 4], [6, 3]], [4, 4, 4, 2], [[4, 8], [3, 2], [8, 4], [7, 4]], [4, 4, 4, 3], [[4, 8], [3, 2], [8, 4], [6, 5]]]","[0.0, -0.0145, 0.0, -0.003, 0.0, 0.0165, 0.2615, 0.0275, 0.0275]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [2, 1, 1, None, None], [1, 1, 1, 1, 1]], [5, 7]], [[[1, 1, 1, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, None]], [4, 6]], 'region']",7.8047071024775505,0.8181818181818181,0.8653846153846154,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.30539, 0.15493, 0.2572, 0.01141, 0.01141]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 2, 2, 1, 1], [1, None, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'region']",98.00451500155032,0.9090909090909091,0.8846153846153846
"[[[4, 8], [8, 4], [6, 5], [1, 2]], [4, 4, 3, 1], [[4, 8], [8, 4], [5, 4], [3, 2]], [4, 4, 2, 4], [[4, 8], [8, 4], [5, 6], [3, 2]], [4, 4, 0, 4], [[4, 8], [8, 4], [6, 5], [3, 2]], [4, 4, 3, 4], [[4, 8], [8, 4], [5, 6], [3, 2]], [4, 4, 0, 4], [[4, 8], [8, 4], [4, 5], [3, 2]], [4, 4, 1, 4], [[4, 8], [8, 4], [6, 5], [3, 2]], [4, 4, 3, 4], [[4, 8], [8, 4], [5, 6], [3, 2]], [4, 4, 0, 4], [[4, 8], [8, 4], [6, 5], [3, 2]], [4, 4, 3, 4], [[4, 8], [8, 4], [5, 4], [3, 2]], [4, 4, 2, 4], [[4, 8], [8, 4], [5, 6], [3, 2]], [4, 4, 0, 4], [[4, 8], [8, 4], [5, 4], [3, 2]], [4, 4, 2, 4], [[4, 8], [8, 4], [5, 5], [3, 2]]]","[-0.05, 0.0, 0.0, 0.064, 0.067, 0.064]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [2, 1, None, 1, None], [1, 1, None, None, None]], [4, 8]], 'region']",4.211043438874185,0.9090909090909091,0.6538461538461539,"[-0.00216, -0.00516, -0.00216, -0.00516, -0.00516, 0.01466, 0.0143, 0.0143, 0.01466, 0.0143]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [None, 1, 2, 1, None], [2, 1, 1, 1, None], [1, 1, None, None, None]], [4, 8]], 'region']",81.67905848007649,0.9090909090909091,0.6538461538461539
"[[[6, 6], [5, 3], [1, 2], [8, 4]], [3, 2, 1, 4], [[5, 6], [6, 4], [2, 3], [8, 4]], [4, 3, 4, 4], [[5, 6], [5, 4], [2, 3], [8, 4]], [4, 1, 4, 4], [[5, 6], [6, 3], [2, 3], [8, 4]], [0, 2, 4, 4], [[5, 5], [6, 4], [2, 3], [8, 4]], [2, 0, 4, 4], [[4, 6], [6, 3], [2, 3], [8, 4]], [1, 2, 4, 4], [[5, 7], [6, 4], [2, 3], [8, 4]], [0, 3, 4, 4], [[5, 6], [5, 4], [2, 3], [8, 4]], [4, 1, 4, 4], [[5, 6], [6, 4], [2, 3], [8, 4]], [4, 3, 4, 4], [[5, 6], [5, 3], [2, 3], [8, 4]], [0, 2, 4, 4], [[5, 5], [5, 4], [2, 3], [8, 4]], [2, 1, 4, 4], [[5, 7], [6, 5], [2, 3], [8, 4]], [3, 3, 4, 4], [[4, 8], [5, 5], [2, 3], [8, 4]]]","[0.0, -0.0075, -0.0075, 0.22625, 0.31, 0.16175]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [None, 2, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [5, 5]], 'region']",3.8011738350614905,0.9090909090909091,0.8461538461538461,"[0.0, 0.0, 0.0, 0.0, -0.00091, -0.00417, -0.00027, -0.00027, -0.00112, 0.00126, 0.0, 0.00285, 0.0, -0.00324, -0.00024, -0.59745, -0.48543, 0.20223, 0.27505, 0.1441]","[[[[None, None, 1, None, 1], [1, None, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, None]], [4, 6]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, None], [1, 1, 1, 1, 1]], [5, 7]], [[[1, 1, None, 1, 1], [1, None, 1, 1, 1], [None, 2, 2, None, 1], [None, None, 1, 1, 1], [1, None, 1, 1, 1]], [None, 5]], 'region']",356.8273946698755,0.7272727272727273,0.7692307692307693
"[[[3, 2], [1, 9], [1, 3], [9, 3]], [0, 1, 1, 3], [[3, 0], [2, 9], [3, 3], [8, 3]], [2, 0, 4, 4], [[4, 1], [2, 8], [3, 3], [8, 3]], [3, 4, 4, 4], [[3, 2], [2, 8], [3, 3], [8, 3]], [0, 4, 1, 4], [[3, 0], [2, 8], [4, 4], [8, 3]], [2, 4, 1, 4], [[3, 2], [2, 8], [5, 3], [8, 3]], [4, 4, 2, 4], [[3, 2], [2, 8], [5, 4], [8, 3]], [4, 4, 2, 4], [[3, 2], [2, 8], [5, 6], [8, 3]], [4, 4, 0, 4], [[3, 2], [2, 8], [6, 5], [8, 3]], [4, 4, 3, 4], [[3, 2], [2, 8], [5, 4], [8, 3]], [4, 4, 2, 4], [[3, 2], [2, 8], [6, 5], [8, 3]], [4, 4, 3, 4], [[3, 2], [2, 8], [5, 6], [8, 3]], [4, 4, 0, 4], [[3, 2], [2, 8], [5, 5], [8, 3]]]","[0.0, 0.0, 0.0, 0.117, 0.117, 0.056]","[[[[1, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1], [None, 1, None, None, 2]], [3, None]], 'region']",6.717560617253184,0.9090909090909091,0.7692307692307692,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.03929, 0.17883, -0.12101, 0.08977, 0.6613, -0.12101, 0.08977, 0.6613, 0.66416, 0.6613, 0.05628, 0.11985, 0.11985, 0.11985, 0.05628]","[[[[1, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [None, None, None, 2, None]], [3, None]], [[[1, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, None, None, None, None]], [3, None]], [[[1, None, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [3, 2]], 'region']",367.5650698756799,0.7272727272727273,0.7692307692307692
"[[[0, 2], [1, 5], [5, 6], [3, 2]], [3, 2, 0, 4], [[0, 2], [2, 6], [6, 5], [3, 2]], [3, 2, 4, 4], [[0, 1], [2, 7], [6, 5], [3, 2]], [2, 4, 4, 4], [[0, 3], [2, 7], [6, 5], [3, 2]], [1, 4, 4, 4], [[1, 2], [2, 7], [6, 5], [3, 2]], [2, 4, 4, 4], [[1, 3], [2, 7], [6, 5], [3, 2]], [1, 4, 4, 0], [[2, 4], [2, 7], [6, 5], [3, 0]], [0, 4, 4, 2], [[3, 3], [2, 7], [6, 5], [3, 1]], [1, 4, 4, 4], [[4, 4], [2, 7], [6, 5], [3, 1]], [1, 4, 4, 4], [[5, 5], [2, 7], [6, 5], [3, 1]], [4, 4, 1, 4], [[5, 5], [2, 7], [7, 6], [3, 1]], [4, 4, 0, 4], [[5, 5], [2, 7], [8, 5], [3, 1]], [4, 4, 0, 4], [[5, 5], [2, 7], [8, 4], [3, 1]]]","[0.0405, 0.0405, -0.0185, 0.029, 0.006, 0.014, 0.019, -0.0, -0.032, 0.4455, -0.3635, 0.3645]","[[[[None, None, None, None, None], [None, None, None, None, None], [1, 1, 2, None, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [0, 3]], [[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [1, 1, 1, 1, 1]], [2, 4]], [[[None, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'region']",13.43332524690777,0.7272727272727273,0.7564102564102564,"[0.00295, 0.00295, -0.021, -0.01354, 0.00652, 0.00608, 0.0011, -0.005, -0.01156, 0.25847, -0.04269, 0.45675, 0.29302, 0.3677]","[[[[None, None, None, None, None], [1, 1, 1, 1, None], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1]], [1, 2]], [[[1, 1, None, None, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'region']",178.60096850711852,0.8181818181818181,0.7692307692307692
"[[[9, 7], [0, 1], [0, 9], [9, 3]], [2, 2, 1, 3], [[9, 8], [0, 2], [1, 8], [8, 3]], [3, 3, 0, 4], [[8, 9], [0, 2], [1, 6], [8, 3]], [0, 3, 4, 4], [[9, 8], [0, 3], [1, 6], [8, 3]], [3, 1, 4, 4], [[8, 9], [1, 2], [1, 6], [8, 3]], [0, 1, 4, 4], [[7, 8], [3, 2], [1, 6], [8, 3]], [1, 4, 4, 4], [[8, 9], [3, 2], [1, 6], [8, 3]], [0, 4, 4, 4], [[8, 7], [3, 2], [1, 6], [8, 3]], [2, 4, 4, 4], [[8, 9], [3, 2], [1, 6], [8, 3]], [0, 4, 4, 4], [[7, 8], [3, 2], [1, 6], [8, 3]], [1, 4, 4, 4], [[9, 8], [3, 2], [1, 6], [8, 3]], [3, 4, 4, 4], [[8, 7], [3, 2], [1, 6], [8, 3]], [2, 4, 4, 4], [[8, 9], [3, 2], [1, 6], [8, 3]]]","[0.04475, -0.0195, -0.025, -0.0145, -0.00925, -0.0145, -0.01875, 0.03375, -0.01875, -0.0145, 0.00825, -0.0145, -0.01875, 0.03375, -0.0315, 0.0785, 0.06975, 0.20025]","[[[[None, 1, 1, 1, None], [None, 1, 1, 1, None], [1, 1, 2, 1, None], [None, None, None, None, None], [None, None, None, None, None]], [9, 8]], [[[1, None, None, 1, None], [None, 1, None, None, None], [1, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], [[[None, 1, 1, None, None], [None, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, None, 1, 1, 1], [None, None, None, None, None]], [8, 7]], [[[None, 1, None, None, None], [1, 1, None, None, None], [1, None, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [7, 8]], [[[1, 1, 1, None, None], [1, 1, None, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 7]], 'region']",39.03728802036494,0.5454545454545454,0.5153846153846153,"[-0.00121, -0.00614, -0.00829, -0.00614, -0.00829, -0.01823, -0.01591, -0.01823, 0.01571, -0.01823, 0.16154, 0.0, 0.05891, 0.06292, 0.16154]","[[[[None, 1, None, 1, None], [1, 1, None, None, None], [1, 1, 2, 1, None], [None, 1, 1, 1, None], [None, 1, 1, 1, None]], [7, 8]], [[[1, 1, 1, None, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 7]], 'region']",228.70399121847004,0.8181818181818181,0.6153846153846154
