History,sample = 10,,time (sample = 10),action sparsity (sample = 10),mean predicate sparsity (sample = 10),sample = 100,,time (sample = 100),action sparsity (sample = 100),mean predicate sparsity (sample = 100),sample = 250,,time (sample = 250),action sparsity (sample = 250),mean predicate sparsity (sample = 250)
"[[[4, 0], [9, 9], [3, 0], [6, 2]], [1, 3, 2, 1], [[5, 0], [8, 9], [3, 2], [7, 3]], [1, 0, 4, 0], [[6, 1], [8, 8], [3, 2], [7, 2]], [0, 4, 4, 2], [[6, 0], [8, 8], [3, 2], [7, 3]], [1, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [7, 2]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [7, 3]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [7, 5]], [4, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [7, 3]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [6, 4]], [4, 4, 4, 3], [[7, 1], [8, 8], [3, 2], [5, 4]], [4, 4, 4, 2], [[7, 1], [8, 8], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 8], [3, 2], [5, 5]], [4, 4, 4, 4], [[7, 1], [8, 8], [3, 2], [5, 5]]]","[0.0, 0.0, 0.0, 0.0, 0.50123, 0.51908, 0.50123, 0.51908, 0.002, 0.002, 0.002, 0.002]","[[[[None, None, None, None, None], [None, 1, 1, None, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, 1, None, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",76.88904302287847,0.8181818181818181,0.3269230769230769,"[0.0, 0.0, 0.0, 0.0, 0.50123, 0.51908, 0.50123, 0.51908, 0.002, 0.002, 0.002, 0.002]","[[[[None, None, None, None, None], [None, 1, 1, None, None], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [7, 1]], [[[None, None, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [None, 1]], 'no_drones']",98.58449283242226,0.8181818181818181,0.4230769230769231,"[0.0, 0.0, 0.0, 0.0, 0.50123, 0.51908, 0.50123, 0.51908, 0.002, 0.002, 0.002, 0.002]","[[[[None, None, None, None, None], [None, 1, 1, None, None], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [7, 1]], [[[None, None, 1, None, None], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, None, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",103.57525515463203,0.8181818181818181,0.38461538461538464
"[[[5, 5], [4, 8], [1, 7], [3, 8]], [4, 4, 0, 4], [[5, 5], [4, 8], [0, 6], [3, 8]], [4, 4, 1, 3], [[5, 5], [4, 8], [1, 6], [1, 8]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [2, 7]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [4, 7]], [4, 4, 4, 1], [[5, 5], [4, 8], [1, 6], [5, 6]], [0, 4, 4, 4], [[5, 4], [4, 8], [1, 6], [5, 6]], [1, 4, 4, 4], [[6, 5], [4, 8], [1, 6], [5, 6]], [0, 4, 4, 4], [[6, 3], [4, 8], [1, 6], [5, 6]], [1, 4, 4, 0], [[7, 2], [4, 8], [1, 6], [5, 4]], [4, 4, 4, 2], [[7, 2], [4, 8], [1, 6], [5, 6]], [4, 4, 4, 0], [[7, 2], [4, 8], [1, 6], [5, 4]], [4, 4, 4, 2], [[7, 2], [4, 8], [1, 6], [6, 5]]]","[0.0, 0.0, 0.0, 0.0, 0.00053, -0.0051, -0.01425, -0.0072, 0.0921, 0.0309, 0.0059, 0.0309]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[None, 1, 1, None, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [6, 3]], 'no_drones']",63.540670859627426,0.8181818181818181,0.8846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.00053, -0.0051, -0.01425, -0.0072, 0.0921, 0.0309, 0.0059, 0.0309]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[1, 1, 1, None, 1], [None, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [6, 3]], 'no_drones']",60.963410280644894,0.8181818181818181,0.8846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.00053, -0.0051, -0.01425, -0.0072, 0.0921, 0.0309, 0.0059, 0.0309]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 5]], [[[1, 1, 1, 1, 1], [1, None, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [6, 3]], 'no_drones']",42.56476047169417,0.8181818181818181,0.9230769230769231
"[[[5, 3], [3, 4], [6, 4], [9, 1]], [1, 0, 1, 3], [[6, 4], [4, 3], [7, 3], [8, 2]], [2, 3, 2, 0], [[6, 5], [3, 2], [7, 5], [8, 0]], [3, 4, 0, 3], [[5, 6], [3, 2], [7, 3], [7, 0]], [0, 4, 0, 2], [[6, 5], [3, 2], [7, 1], [7, 2]], [4, 4, 4, 2], [[6, 5], [3, 2], [7, 1], [7, 4]], [3, 4, 4, 1], [[5, 6], [3, 2], [7, 1], [8, 3]], [0, 4, 4, 2], [[5, 5], [3, 2], [7, 1], [7, 4]], [4, 4, 4, 1], [[5, 5], [3, 2], [7, 1], [8, 5]], [4, 4, 4, 0], [[5, 5], [3, 2], [7, 1], [9, 4]], [4, 4, 4, 3], [[5, 5], [3, 2], [7, 1], [8, 5]], [4, 4, 4, 0], [[5, 5], [3, 2], [7, 1], [8, 3]], [4, 4, 4, 2], [[5, 5], [3, 2], [7, 1], [8, 5]]]","[0.0, -0.0258, 0.0, 0.0, 0.22135, 0.32688, 0.34805, 0.33205, 0.1582, 0.17245, 0.1582, 0.17245]","[[[[None, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 2, 1, 1, 1]], [5, 5]], [[[None, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'no_drones']",75.62994990404695,0.8181818181818181,0.8653846153846154,"[0.0, -0.0258, 0.0, 0.0, 0.22135, 0.32688, 0.34805, 0.33205, 0.1582, 0.17245, 0.1582, 0.17245]","[[[[1, 1, None, None, None], [1, 1, None, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 2, 1, 1, None]], [5, None]], [[[None, None, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], 'no_drones']",116.97211443725973,0.8181818181818181,0.7884615384615385,"[0.0, -0.0258, 0.0, 0.0, 0.22135, 0.32688, 0.34805, 0.33205, 0.1582, 0.17245, 0.1582, 0.17245]","[[[[1, None, None, None, 1], [1, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, 1, 1], [None, 2, None, None, 1]], [5, 5]], [[[None, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [5, 5]], 'no_drones']",78.87345301918685,0.8181818181818181,0.6923076923076923
"[[[8, 3], [0, 0], [5, 3], [5, 0]], [4, 3, 2, 3], [[8, 3], [0, 1], [6, 4], [4, 1]], [0, 2, 3, 3], [[9, 2], [0, 3], [5, 4], [2, 1]], [3, 1, 4, 1], [[8, 1], [1, 2], [5, 4], [3, 2]], [4, 2, 2, 4], [[8, 1], [1, 3], [5, 6], [3, 2]], [4, 1, 0, 0], [[8, 1], [2, 2], [5, 5], [3, 0]], [4, 1, 4, 0], [[8, 1], [3, 3], [5, 5], [3, 0]], [4, 0, 4, 2], [[8, 1], [3, 2], [5, 5], [2, 1]], [4, 4, 4, 0], [[8, 1], [3, 2], [5, 5], [2, 0]], [4, 3, 4, 1], [[8, 1], [2, 2], [5, 5], [4, 0]], [4, 1, 4, 3], [[8, 1], [3, 3], [5, 5], [3, 0]], [4, 0, 4, 2], [[8, 1], [3, 2], [5, 5], [3, 2]], [4, 4, 4, 4], [[8, 1], [3, 2], [5, 5], [3, 2]]]","[0.0, 0.0, 0.0, 0.0]",['no_drones'],4.829493951052427,1.0,1.0,"[0.0, 0.0, 0.0, 0.0]",['no_drones'],4.746695481240749,1.0,1.0,"[0.0, 0.0, 0.0, 0.0]",['no_drones'],4.83457331545651,1.0,1.0
"[[[8, 1], [5, 7], [9, 6], [1, 4]], [4, 0, 0, 1], [[8, 1], [5, 5], [9, 5], [2, 5]], [4, 4, 0, 3], [[8, 1], [5, 5], [9, 4], [1, 4]], [4, 4, 3, 1], [[8, 1], [5, 5], [8, 5], [2, 4]], [4, 4, 0, 0], [[8, 1], [5, 5], [8, 3], [2, 2]], [4, 4, 2, 1], [[8, 1], [5, 5], [8, 5], [3, 3]], [4, 4, 0, 0], [[8, 1], [5, 5], [8, 3], [3, 1]], [4, 4, 2, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]], [4, 4, 3, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]], [4, 4, 3, 4], [[8, 1], [5, 5], [8, 5], [3, 1]], [4, 4, 0, 4], [[8, 1], [5, 5], [9, 4], [3, 1]]]","[0.0, 0.0, 0.0, 0.0, 0.63605, 0.6035, 0.63605, 0.6035, 0.1749, 0.0668, 0.1749, 0.0668]","[[[[None, None, None, None, 1], [None, 1, 1, None, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [8, 1]], [[[None, None, 1, 1, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], 'no_drones']",56.41943132318556,0.8181818181818181,0.3846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.63605, 0.6035, 0.63605, 0.6035, 0.1749, 0.0668, 0.1749, 0.0668]","[[[[None, None, None, None, 1], [None, 1, 1, None, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [8, 1]], [[[None, None, 1, 1, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, None, None, None, None]], [None, 1]], 'no_drones']",83.51349060516804,0.8181818181818181,0.4038461538461538,"[0.0, 0.0, 0.0, 0.0, 0.63605, 0.6035, 0.63605, 0.6035, 0.1749, 0.0668, 0.1749, 0.0668]","[[[[None, None, None, 1, 1], [None, 1, 1, None, None], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [8, 1]], [[[None, 1, 1, None, 1], [None, 1, 1, None, 1], [None, 1, 2, None, 1], [None, 1, 1, 1, None], [None, None, None, None, None]], [8, 1]], 'no_drones']",109.02864505723119,0.8181818181818181,0.34615384615384615
"[[[7, 3], [5, 6], [5, 4], [9, 0]], [0, 4, 3, 3], [[7, 1], [5, 6], [4, 5], [8, 1]], [4, 4, 0, 2], [[7, 1], [5, 6], [3, 4], [9, 2]], [4, 4, 0, 2], [[7, 1], [5, 6], [3, 2], [9, 4]], [4, 0, 4, 3], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [8, 5]], [4, 4, 4, 0], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [9, 4]], [4, 4, 4, 3], [[7, 1], [5, 5], [3, 2], [7, 4]], [4, 4, 4, 1], [[7, 1], [5, 5], [3, 2], [9, 4]], [4, 4, 4, 3], [[7, 1], [5, 5], [3, 2], [7, 4]], [4, 4, 4, 1], [[7, 1], [5, 5], [3, 2], [8, 3]], [4, 4, 4, 2], [[7, 1], [5, 5], [3, 2], [8, 4]]]","[0.2856, 0.39705, 0.43058, 0.44008, 0.49148, 0.46563, 0.49148, 0.49148, 0.0704, 0.0704, 0.0704, 0.0704]","[[[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [7, None]], [[[None, None, 1, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, 1, None, None, None], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",88.72180700302124,0.8181818181818181,0.3269230769230769,"[0.0, -0.0078, 0.0, 0.0, 0.49148, 0.46563, 0.49148, 0.49148, 0.0704, 0.0704, 0.0704, 0.0704]","[[[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, 1], [None, None, None, None, 2], [None, None, None, None, None]], [7, 1]], [[[None, None, 1, None, 1], [None, 1, 1, None, 1], [None, 1, 2, 1, None], [None, 1, None, 1, 1], [None, 1, 1, None, 1]], [7, 1]], 'no_drones']",113.21973351296037,0.8181818181818181,0.40384615384615385,"[0.0, -0.0078, 0.0, 0.0, 0.49148, 0.46563, 0.49148, 0.49148, 0.0704, 0.0704, 0.0704, 0.0704]","[[[[None, 1, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, None], [None, None, None, None, 2], [None, None, None, None, None]], [7, 1]], [[[None, None, None, None, None], [None, 1, 1, None, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], 'no_drones']",153.07390824332833,0.8181818181818181,0.4230769230769231
"[[[3, 0], [9, 0], [3, 7], [1, 3]], [2, 3, 4, 1], [[3, 2], [8, 1], [3, 7], [2, 4]], [0, 4, 4, 4], [[3, 0], [8, 1], [3, 7], [2, 4]], [2, 4, 4, 0], [[2, 1], [8, 1], [3, 7], [1, 3]], [0, 4, 4, 1], [[1, 0], [8, 1], [3, 7], [3, 3]], [1, 4, 4, 4], [[2, 0], [8, 1], [3, 7], [3, 3]], [1, 4, 4, 4], [[4, 0], [8, 1], [3, 7], [3, 3]], [3, 4, 4, 4], [[3, 0], [8, 1], [3, 7], [3, 3]], [2, 4, 4, 4], [[3, 1], [8, 1], [3, 7], [3, 3]], [4, 4, 4, 1], [[3, 1], [8, 1], [3, 7], [4, 4]], [4, 4, 4, 1], [[3, 1], [8, 1], [3, 7], [6, 4]], [4, 4, 4, 3], [[3, 1], [8, 1], [3, 7], [5, 5]], [4, 4, 3, 4], [[3, 1], [8, 1], [2, 8], [5, 5]]]","[0.0, 0.0, 0.0, 0.0, -0.0149, -0.02185, -0.0422, -0.0295, 0.26743, 0.26235, 0.07332, 0.5781, 0.0394, 0.0644, 0.0644, 0.0394]","[[[[None, None, None, None, None], [None, None, 1, 1, 1], [None, None, 2, None, 1], [None, None, 1, 1, 1], [None, None, 1, 1, 1]], [1, 0]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [3, 1]], [[[None, 1, None, 1, 1], [None, 1, 1, 1, 1], [None, 1, None, 1, None], [None, 1, 1, 1, 1], [None, None, 1, None, None]], [None, 1]], 'no_drones']",49.578376417048275,0.7272727272727273,0.4358974358974359,"[0.0, 0.0, 0.0, 0.0, -0.0149, -0.02185, -0.0422, -0.0295, 0.28928, 0.30455, 0.10283, 0.5781, 0.0394, 0.0644, 0.0644, 0.0394]","[[[[None, None, None, None, None], [None, None, 1, 1, 1], [None, None, 2, None, 1], [None, None, 1, 1, 1], [None, None, 1, 1, 1]], [1, 0]], [[[None, 1, None, None, 1], [None, 1, 1, 1, 1], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, 1, None, None]], [3, 1]], [[[None, 1, None, None, 1], [None, 1, None, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [3, 1]], 'no_drones']",75.06860350165516,0.7272727272727273,0.4615384615384615,"[0.0, 0.0, 0.0, 0.0, -0.0149, -0.02185, -0.0422, -0.0295, 0.28928, 0.30455, 0.10283, 0.5781, 0.0394, 0.0644, 0.0644, 0.0394]","[[[[None, None, None, None, None], [None, None, 1, 1, 1], [None, None, 2, None, 1], [None, None, 1, 1, 1], [None, None, 1, 1, 1]], [1, 0]], [[[None, 1, None, 1, 1], [None, 1, 1, 1, None], [None, None, 2, None, 2], [None, None, None, None, None], [None, None, None, None, None]], [3, 1]], [[[None, None, None, 1, 1], [None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, None, 1]], [None, 1]], 'no_drones']",82.75948833208531,0.7272727272727273,0.4743589743589744
"[[[9, 4], [5, 4], [8, 3], [2, 4]], [4, 4, 0, 0], [[9, 4], [5, 4], [8, 1], [1, 3]], [3, 4, 4, 1], [[8, 3], [5, 4], [8, 1], [2, 2]], [2, 4, 4, 1], [[8, 5], [5, 4], [8, 1], [4, 2]], [0, 2, 4, 3], [[8, 3], [5, 6], [8, 1], [3, 3]], [2, 0, 4, 4], [[9, 4], [6, 5], [8, 1], [3, 3]], [3, 4, 4, 4], [[7, 4], [6, 5], [8, 1], [3, 3]], [1, 3, 4, 4], [[8, 5], [5, 5], [8, 1], [3, 3]], [0, 4, 4, 0], [[9, 4], [5, 5], [8, 1], [4, 2]], [3, 4, 4, 3], [[8, 3], [5, 5], [8, 1], [3, 2]], [2, 4, 4, 4], [[8, 5], [5, 5], [8, 1], [3, 2]], [0, 4, 4, 4], [[8, 3], [5, 5], [8, 1], [3, 2]], [2, 4, 4, 4], [[9, 4], [5, 5], [8, 1], [3, 2]]]","[0.0, 0.0, 0.0, -0.00548, -0.0218, -0.029, -0.0355, -0.0407, 0.08815, 0.0795, 0.10138, 0.0795]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, None]], [[[1, None, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, None, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 5]], 'no_drones']",53.72480845544487,0.8181818181818181,0.7884615384615385,"[0.0, 0.0, 0.0, -0.00548, -0.0218, -0.029, -0.0355, -0.0407, 0.08815, 0.0795, 0.10138, 0.0795]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, 4]], [[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, None, 1], [1, 1, 1, None, 1], [None, None, None, None, None]], [8, 5]], 'no_drones']",57.978121931664646,0.8181818181818181,0.7884615384615385,"[0.0, 0.0, 0.0, -0.00548, -0.0218, -0.029, -0.0355, -0.0407, 0.08815, 0.0795, 0.10138, 0.0795]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, None, None], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 5]], 'no_drones']",51.92448847927153,0.8181818181818181,0.7692307692307692
"[[[2, 9], [2, 3], [6, 1], [2, 5]], [0, 4, 1, 2], [[1, 8], [2, 3], [7, 2], [2, 6]], [1, 4, 4, 3], [[2, 7], [2, 3], [7, 2], [1, 7]], [1, 4, 4, 0], [[3, 8], [2, 3], [7, 2], [1, 5]], [4, 0, 4, 2], [[3, 8], [2, 2], [7, 2], [2, 6]], [4, 1, 4, 3], [[3, 8], [3, 3], [7, 2], [1, 5]], [4, 0, 4, 2], [[3, 8], [3, 1], [7, 2], [0, 6]], [4, 4, 4, 1], [[3, 8], [3, 1], [7, 2], [1, 6]], [1, 4, 4, 4], [[5, 8], [3, 1], [7, 2], [1, 6]], [3, 4, 4, 4], [[3, 8], [3, 1], [7, 2], [1, 6]], [1, 4, 4, 4], [[4, 9], [3, 1], [7, 2], [1, 6]], [0, 4, 4, 4], [[4, 8], [3, 1], [7, 2], [1, 6]], [4, 4, 4, 4], [[4, 8], [3, 1], [7, 2], [1, 6]]]","[0.0, 0.0, 0.0, 0.0, 0.04317, 0.04317, -0.02083, 0.00108, 0.0248, 0.05248, 0.0216, 0.02495]","[[[[1, None, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], [[[None, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, None, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], 'no_drones']",47.65007791016251,0.8181818181818181,0.7115384615384616,"[0.0, 0.0, 0.0, 0.0, 0.04317, 0.04317, -0.02083, 0.00108, 0.0248, 0.05248, 0.0216, 0.02495]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, None, 1, None]], [3, 8]], [[[2, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], 'no_drones']",31.860129354521632,0.8181818181818181,0.75,"[0.0, 0.0, 0.0, 0.0, 0.04317, 0.04317, -0.02083, 0.00108, 0.0248, 0.05248, 0.0216, 0.02495]","[[[[1, 1, 1, 1, None], [None, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [None, 1, 1, 1, None]], [None, 8]], [[[None, 1, None, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], 'no_drones']",69.66728981211782,0.8181818181818181,0.7115384615384616
"[[[7, 1], [5, 4], [9, 6], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [9, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [9, 4], [2, 3]], [4, 4, 3, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 4], [8, 3], [2, 3]], [4, 4, 2, 4], [[7, 1], [5, 4], [7, 4], [2, 3]], [4, 2, 1, 4], [[7, 1], [5, 5], [9, 4], [2, 3]], [4, 4, 3, 4], [[7, 1], [5, 5], [8, 5], [2, 3]], [4, 4, 0, 4], [[7, 1], [5, 5], [9, 4], [2, 3]]]","[0.0, 0.0, 0.0, 0.0, 0.0704, 0.0704, 0.0704, 0.0652]","[[[[None, 1, None, None, 1], [None, 1, 1, None, 1], [None, 1, 2, None, 1], [None, None, None, None, 2], [None, None, None, 1, None]], [7, 1]], 'no_drones']",25.538034796714783,0.9090909090909091,0.3846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.0704, 0.0704, 0.0704, 0.0652]","[[[[None, None, 1, None, None], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, None, None, None, 2], [None, None, None, 1, None]], [None, 1]], 'no_drones']",36.83766156528145,0.9090909090909091,0.3846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.0704, 0.0704, 0.0704, 0.0652]","[[[[None, None, None, None, 1], [None, 1, 1, 1, 1], [None, 1, 2, None, None], [None, 1, None, None, 2], [None, None, None, None, None]], [7, 1]], 'no_drones']",33.32244211900979,0.9090909090909091,0.34615384615384615
