History,delta = 0.7,,time (delta = 0.7),action sparsity (delta = 0.7),mean predicate sparsity (delta = 0.7),delta = 0.8,,time (delta = 0.8),action sparsity (delta = 0.8),mean predicate sparsity (delta = 0.8),delta = 1.0,,time (delta = 1.0),action sparsity (delta = 1.0),mean predicate sparsity (delta = 1.0)
"[[[9, 4], [5, 4], [8, 1], [8, 4]], [0, 4, 4, 3], [[9, 3], [5, 4], [8, 1], [7, 5]], [3, 3, 4, 0], [[8, 2], [4, 3], [8, 1], [8, 4]], [3, 2, 4, 4], [[7, 1], [3, 4], [8, 1], [8, 4]], [4, 0, 2, 4], [[7, 1], [3, 2], [8, 3], [8, 4]], [4, 4, 1, 4], [[7, 1], [3, 2], [9, 3], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 2], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 1], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [8, 0], [8, 4]], [2, 4, 0, 4], [[7, 3], [3, 2], [8, 0], [8, 4]], [0, 4, 3, 4], [[7, 2], [3, 2], [7, 0], [8, 4]], [2, 4, 1, 4], [[8, 3], [3, 2], [9, 0], [8, 4]], [0, 4, 3, 4], [[8, 1], [3, 2], [8, 1], [8, 4]]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.15, -0.153, 0.225]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, 2], [None, None, 1, 1, 1]], [7, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, 2, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",6.2224848177284,0.8181818181818181,0.4615384615384615,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.005, 0.15, -0.153, 0.225]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, 2], [None, 1, 1, 1, 1]], [7, None]], [[[1, 1, 1, 1, 1], [1, 1, None, 1, None], [None, 1, 2, 2, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",5.833045561797917,0.8181818181818181,0.44230769230769235,"[0.0, 0.0, 0.0, 0.15, -0.153, 0.225]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",3.6574259446933866,0.9090909090909091,0.7692307692307692
"[[[7, 0], [8, 1], [6, 5], [6, 4]], [3, 2, 3, 1], [[6, 0], [9, 2], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 1], [8, 3], [5, 5], [8, 4]], [4, 1, 4, 4], [[7, 1], [9, 2], [5, 5], [8, 4]], [4, 0, 4, 4], [[7, 1], [9, 0], [5, 5], [8, 4]], [4, 3, 4, 4], [[7, 1], [8, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[6, 2], [8, 0], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 3], [7, 0], [5, 5], [8, 4]], [0, 2, 4, 4], [[7, 1], [6, 1], [5, 5], [8, 4]], [1, 4, 4, 4], [[8, 0], [6, 1], [5, 5], [8, 4]], [3, 0, 4, 4], [[7, 1], [6, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[7, 2], [6, 0], [5, 5], [8, 4]], [0, 0, 4, 4], [[7, 0], [7, 0], [5, 5], [8, 4]]]","[0.0, 0.0, 0.0, -0.02175, 0.05, 0.1265, 0.128, -0.015, 0.0]","[[[[None, 1, 1, None, 1], [None, 1, 2, None, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], [[[None, None, None, None, 1], [None, None, 1, 1, 1], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, 0, None, None, None]], [None, None]], 'crash']",8.396455027163029,0.8181818181818181,0.5769230769230769,"[0.0, 0.0, -0.00525, 0.1875, -0.4235, 0.08575, 0.128, -0.015, 0.0]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, 2]], [6, 2]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, None]], 'crash']",11.813142636790872,0.8181818181818181,0.11538461538461536,"[0.0, 0.0, 0.0, 0.128, -0.015, 0.0]","[[[[None, 0, 1, 2, 1], [None, None, 1, 1, 1], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [None, None]], 'crash']",5.213738987222314,0.9090909090909091,0.5384615384615384
"[[[7, 2], [9, 4], [6, 6], [7, 1]], [4, 3, 3, 4], [[7, 2], [8, 5], [5, 7], [7, 1]], [2, 0, 0, 4], [[6, 3], [7, 4], [6, 6], [7, 1]], [2, 1, 3, 4], [[5, 4], [8, 3], [5, 7], [7, 1]], [4, 2, 0, 4], [[5, 4], [7, 4], [5, 5], [7, 1]], [3, 1, 2, 4], [[4, 4], [9, 4], [6, 6], [7, 1]], [1, 3, 4, 4], [[6, 4], [8, 5], [6, 6], [7, 1]], [0, 0, 3, 4], [[6, 2], [8, 4], [5, 5], [7, 1]], [2, 4, 4, 4], [[7, 3], [8, 4], [5, 5], [7, 1]], [3, 4, 4, 4], [[6, 4], [8, 4], [5, 5], [7, 1]], [0, 4, 2, 4], [[7, 3], [8, 4], [4, 6], [7, 1]], [3, 4, 1, 4], [[6, 4], [8, 4], [6, 6], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.06325, -0.005, -0.003, -0.066, -0.179, -0.076]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[None, None, None, None, None], [None, None, None, 2, None], [1, 1, None, None, None], [1, None, 1, 1, 1], [None, 1, 2, 1, 3]], [6, None]], 'crash']",4.85685496032238,0.8181818181818181,0.44230769230769235,"[0.0, 0.0, 0.0, 0.06325, -0.005, -0.003, -0.066, -0.179, -0.076]","[[[[None, None, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[None, None, None, None, None], [None, None, None, 2, None], [None, None, 2, None, None], [1, 1, None, 1, None], [1, None, 2, 1, None]], [6, 4]], 'crash']",5.0820160284638405,0.8181818181818181,0.5192307692307693,"[0.0, 0.0, 0.0, 0.06325, -0.005, -0.003, -0.066, -0.179, -0.076]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[None, None, None, None, None], [None, None, None, 2, None], [None, None, 2, None, None], [1, 1, 1, 1, None], [None, 1, 2, None, None]], [6, 4]], 'crash']",4.514679070562124,0.8181818181818181,0.3653846153846154
"[[[4, 4], [7, 1], [6, 4], [6, 7]], [4, 4, 1, 0], [[4, 4], [7, 1], [7, 3], [6, 6]], [1, 4, 2, 4], [[6, 4], [7, 1], [8, 4], [6, 6]], [3, 4, 4, 3], [[5, 3], [7, 1], [8, 4], [5, 7]], [2, 4, 4, 0], [[5, 4], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 2], [[7, 4], [7, 1], [8, 4], [5, 6]], [0, 4, 4, 4], [[7, 2], [7, 1], [8, 4], [5, 6]], [2, 4, 4, 0], [[8, 3], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 4], [[9, 4], [7, 1], [8, 4], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[8, 2], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[8, 3], [7, 1], [7, 5], [5, 5]], [2, 4, 0, 4], [[7, 4], [7, 1], [7, 4], [5, 5]]]","[0.06, -0.015, 0.015, 0.036, 0.06, -0.012, 0.01, 0.017, 0.0115, -0.0405, 0.0835, -0.214, 0.012, -0.093, -0.015]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, 1, 1]], [5, 3]], [[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [None, 1, 1, 1, 1], [None, None, None, 0, None]], [None, 3]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [9, None]], 'crash']",17.19572750851512,0.6363636363636364,0.548076923076923,"[0.06, -0.015, 0.015, 0.036, 0.06, -0.012, 0.00225, 0.015, 0.048, 0.0185, -0.009, 0.01, 0.012, -0.093, -0.015]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, 1, 1]], [5, 3]], [[[None, None, None, None, 2], [None, None, None, None, None], [None, None, 2, None, None], [None, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, 2, 2, None, None], [1, 1, 1, 1, 2], [1, 1, 1, 1, 1]], [7, 2]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 3]], 'crash']",11.493346841074526,0.6363636363636364,0.46153846153846156,"[0.06, -0.015, 0.015, 0.036, 0.06, -0.012, 0.00225, 0.015, 0.048, 0.024, -0.06, 0.0, 0.012, -0.093, -0.015]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, 1, 1]], [5, 3]], [[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, 2, None, None, None], [None, None, None, None, 2], [1, 1, 1, 1, 1]], [7, None]], [[[2, None, None, None, 2], [1, 1, 1, 1, None], [1, None, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",11.581792755052447,0.6363636363636364,0.6153846153846153
"[[[5, 5], [8, 4], [7, 2], [7, 0]], [4, 4, 2, 1], [[5, 5], [8, 4], [7, 3], [8, 0]], [4, 4, 0, 3], [[5, 5], [8, 4], [7, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 3], [7, 1]], [4, 4, 1, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [6, 4], [7, 1]], [2, 4, 0, 4], [[5, 7], [8, 4], [6, 2], [7, 1]], [0, 4, 2, 4], [[6, 6], [8, 4], [6, 4], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.0225, -0.1745, 0.095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",4.390327714383602,0.9090909090909091,0.15384615384615385,"[0.0, 0.0, 0.0, 0.0225, -0.1745, 0.095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",4.241980358958244,0.9090909090909091,0.15384615384615385,"[0.0, 0.0, 0.0, 0.0225, -0.1745, 0.095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",4.288188125938177,0.9090909090909091,0.15384615384615385
"[[[3, 3], [3, 0], [5, 8], [2, 8]], [4, 2, 3, 4], [[3, 3], [2, 1], [4, 9], [2, 8]], [1, 1, 0, 4], [[4, 4], [3, 0], [5, 8], [2, 8]], [1, 2, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [5, 8], [2, 8]], [4, 4, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [4, 7], [2, 8]], [4, 4, 1, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[4, 4], [3, 2], [5, 6], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[5, 3], [3, 2], [5, 6], [2, 8]], [2, 4, 0, 4], [[4, 4], [3, 2], [5, 5], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 5], [2, 8]]]","[0.0, 0.0, 0.0, -0.024, -0.0285, -0.024, 0.005, 0.278, 0.101]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",7.678807381540537,0.8181818181818181,0.9038461538461539,"[0.0, 0.0, 0.0, -0.024, -0.0285, -0.024, 0.005, 0.278, 0.101]","[[[[1, 1, 3, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 5]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",7.730809367261827,0.8181818181818181,0.9423076923076923,"[0.0, 0.0, 0.0, -0.024, -0.0285, -0.024, 0.005, 0.278, 0.101]","[[[[1, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, None, 2, 2, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 5]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",6.994471471756697,0.8181818181818181,0.8846153846153846
"[[[8, 1], [5, 6], [8, 5], [7, 4]], [4, 4, 0, 0], [[8, 1], [5, 6], [7, 4], [7, 3]], [4, 4, 1, 1], [[8, 1], [5, 6], [8, 5], [8, 2]], [4, 0, 0, 2], [[8, 1], [5, 4], [8, 4], [8, 3]], [4, 4, 4, 3], [[8, 1], [5, 4], [8, 4], [7, 3]], [4, 2, 4, 0], [[8, 1], [5, 6], [8, 4], [7, 1]], [2, 0, 4, 4], [[8, 3], [5, 4], [8, 4], [7, 1]], [1, 4, 4, 4], [[9, 2], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 1], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 0], [5, 4], [8, 4], [7, 1]], [3, 4, 4, 4], [[8, 0], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 2], [[8, 0], [5, 4], [8, 4], [7, 3]], [3, 2, 4, 0], [[7, 1], [6, 5], [8, 4], [7, 1]]]","[0.0, -0.032, -0.021, 0.088, -0.46875, -0.216, 0.019, -0.01, -0.017]","[[[[None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [None, 1, 1, 1, 1], [None, None, None, None, None]], [None, 3]], [[[None, None, None, None, 1], [None, None, None, None, None], [None, None, None, 1, 1], [None, None, 0, None, None], [None, None, None, None, None]], [None, None]], 'crash']",8.06866547651589,0.8181818181818181,0.25,"[0.0, -0.032, -0.021, 0.21225, -0.4245, -0.209, 0.019, -0.01, -0.017]","[[[[None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [1, 1, 1, 1, 1], [None, None, None, None, 0]], [None, 3]], [[[None, None, None, None, 1], [None, None, None, 1, 1], [None, None, None, 1, 1], [None, None, 0, None, None], [None, None, None, None, None]], [None, None]], 'crash']",7.049287551082671,0.8181818181818181,0.3269230769230769,"[0.0, -0.032, -0.021, 0.201, -0.306, -0.2145, 0.019, -0.01, -0.017]","[[[[None, None, None, None, None], [2, None, None, None, None], [1, None, None, 2, None], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], [[[None, 0, None, 2, 1], [None, None, None, 1, 1], [None, None, None, 1, 1], [None, None, 0, None, None], [None, None, None, None, None]], [None, None]], 'crash']",7.1389029789716005,0.8181818181818181,0.34615384615384615
"[[[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 2], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 2], [7, 1], [7, 4], [5, 5]], [2, 4, 1, 4], [[9, 4], [7, 1], [8, 5], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[7, 3], [7, 1], [7, 3], [5, 5]]]","[0.126, -0.004, 0.0, 0.18, 0.0, 0.0, 0.2025, 0.0, 0.0, -0.04575, 0.014, 0.0, -0.02, 0.01125, 0.012]","[[[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[1, 2, 1, 1, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 5]], [[[None, 2, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 2]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, None], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",9.932674153707922,0.6363636363636364,0.49038461538461536,"[0.0, 0.0, 0.0, 0.476, -0.081, 0.0, 0.24675, -0.02575, -0.01475, -0.02, 0.01125, 0.012]","[[[[2, 2, None, None, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], [[[1, 1, 1, 2, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0], [0, None, 0, 0, None]], [None, 3]], 'crash']",7.4080189894884825,0.7272727272727273,0.4102564102564103,"[0.126, -0.004, 0.0, 0.18, 0.0, 0.0, 0.2025, 0.0, 0.0, -0.04575, 0.014, 0.0, -0.02, 0.01125, 0.012]","[[[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[1, 2, 1, 1, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 5]], [[[None, 2, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, None, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 2]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",9.405434486456215,0.6363636363636364,0.4807692307692308
"[[[9, 2], [5, 6], [6, 0], [8, 4]], [3, 0, 1, 4], [[8, 3], [5, 5], [7, 0], [8, 4]], [0, 4, 2, 4], [[9, 2], [5, 5], [8, 1], [8, 4]], [0, 4, 3, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 0], [5, 5], [7, 1], [8, 4]], [3, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 0], [5, 5], [7, 1], [8, 4]], [0, 4, 2, 4], [[8, 0], [5, 5], [7, 3], [8, 4]], [3, 4, 0, 4], [[7, 1], [5, 5], [7, 1], [8, 4]]]","[-0.06125, -0.15475, -0.0855, 0.0835, -0.02, 0.0835, -0.06975, 0.33375, 0.13675, -0.024, -0.01, -0.017]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, 2, None, None, None], [None, None, None, None, 2], [1, 1, None, None, None], [None, 0, None, None, None], [0, None, None, None, None]], [None, 2]], [[[None, None, None, None, None], [None, None, None, None, 1], [None, None, None, 1, 1], [None, None, None, None, 1], [None, None, None, None, None]], [None, 0]], 'crash']",11.402770448476076,0.7272727272727273,0.35897435897435903,"[-0.06125, -0.15475, -0.0855, 0.0835, -0.02, 0.0835, -0.1935, 0.44175, -0.04175, -0.024, -0.01, -0.017]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, None, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, None, None, None, None], [None, None, None, None, 1], [None, None, None, 1, 1], [None, None, 1, None, 1], [None, None, None, None, None]], [None, None]], 'crash']",10.39327641762793,0.7272727272727273,0.3461538461538462,"[-0.06125, -0.15475, -0.0855, 0.0835, -0.02, 0.0835, -0.186, 0.4505, -0.04025, -0.024, -0.01, -0.017]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, None, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, None, None, None, None], [None, None, None, None, 1], [None, None, None, 1, 1], [None, None, 1, None, 1], [0, None, None, None, None]], [None, None]], 'crash']",10.460719120688736,0.7272727272727273,0.35897435897435903
"[[[5, 8], [3, 8], [5, 3], [6, 2]], [0, 4, 2, 1], [[5, 7], [3, 8], [6, 4], [7, 3]], [0, 4, 3, 1], [[5, 5], [3, 8], [5, 4], [8, 4]], [2, 4, 1, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 4], [8, 4]], [3, 4, 3, 4], [[5, 6], [3, 8], [5, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 4], [8, 4]], [4, 4, 3, 4], [[5, 6], [3, 8], [4, 4], [8, 4]], [1, 4, 1, 4], [[6, 7], [3, 8], [5, 4], [8, 4]], [0, 4, 4, 4], [[5, 6], [3, 8], [5, 4], [8, 4]], [4, 4, 1, 4], [[5, 6], [3, 8], [6, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 5], [8, 4]]]","[0.0, 0.0, 0.0, -0.2625, -0.0865, 0.00875]","[[[[1, None, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, None]], 'crash']",4.453213914297521,0.9090909090909091,0.9230769230769231,"[0.0, 0.0, 0.0, -0.2625, -0.0865, 0.00875]","[[[[1, None, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], 'crash']",4.235326391644776,0.9090909090909091,0.8846153846153846,"[0.0, 0.0, 0.0, -0.2625, -0.0865, 0.00875]","[[[[1, 3, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, 6]], 'crash']",4.3297622026875615,0.9090909090909091,0.9615384615384616
