History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[9, 4], [5, 4], [8, 1], [8, 4]], [0, 4, 4, 3], [[9, 3], [5, 4], [8, 1], [7, 5]], [3, 3, 4, 0], [[8, 2], [4, 3], [8, 1], [8, 4]], [3, 2, 4, 4], [[7, 1], [3, 4], [8, 1], [8, 4]], [4, 0, 2, 4], [[7, 1], [3, 2], [8, 3], [8, 4]], [4, 4, 1, 4], [[7, 1], [3, 2], [9, 3], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 2], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 1], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [8, 0], [8, 4]], [2, 4, 0, 4], [[7, 3], [3, 2], [8, 0], [8, 4]], [0, 4, 3, 4], [[7, 2], [3, 2], [7, 0], [8, 4]], [2, 4, 1, 4], [[8, 3], [3, 2], [9, 0], [8, 4]], [0, 4, 3, 4], [[8, 1], [3, 2], [8, 1], [8, 4]]]","[0.0, 0.0, 0.0, 0.15, -0.153, 0.225]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, None, 2, 2, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",3.1653181947767735,0.9090909090909091,0.7307692307692308,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.0571, -0.04949, 0.15009, -0.15516, 0.22665]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [0, 0, None, 0, None]], [None, 3]], 'crash']",77.1870292397216,0.9090909090909091,0.9230769230769231
"[[[7, 0], [8, 1], [6, 5], [6, 4]], [3, 2, 3, 1], [[6, 0], [9, 2], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 1], [8, 3], [5, 5], [8, 4]], [4, 1, 4, 4], [[7, 1], [9, 2], [5, 5], [8, 4]], [4, 0, 4, 4], [[7, 1], [9, 0], [5, 5], [8, 4]], [4, 3, 4, 4], [[7, 1], [8, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[6, 2], [8, 0], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 3], [7, 0], [5, 5], [8, 4]], [0, 2, 4, 4], [[7, 1], [6, 1], [5, 5], [8, 4]], [1, 4, 4, 4], [[8, 0], [6, 1], [5, 5], [8, 4]], [3, 0, 4, 4], [[7, 1], [6, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[7, 2], [6, 0], [5, 5], [8, 4]], [0, 0, 4, 4], [[7, 0], [7, 0], [5, 5], [8, 4]]]","[0.0, 0.0, 0.0, 0.128, -0.015, 0.0]","[[[[None, None, None, 2, None], [0, 0, 1, 1, None], [None, None, 2, 1, None], [None, 0, 1, 1, None], [None, None, None, 0, None]], [None, None]], 'crash']",5.056323456577957,0.9090909090909091,0.5,"[-0.00016, 0.0, 0.0, -0.00168, 0.0, 0.14477, -0.067, 0.12792, -0.0053, -0.00422]","[[[[1, None, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 2, 1], [1, 1, 1, 1, 1]], [7, 3]], 'crash']",76.00860633794218,0.9090909090909091,0.9230769230769231
"[[[7, 2], [9, 4], [6, 6], [7, 1]], [4, 3, 3, 4], [[7, 2], [8, 5], [5, 7], [7, 1]], [2, 0, 0, 4], [[6, 3], [7, 4], [6, 6], [7, 1]], [2, 1, 3, 4], [[5, 4], [8, 3], [5, 7], [7, 1]], [4, 2, 0, 4], [[5, 4], [7, 4], [5, 5], [7, 1]], [3, 1, 2, 4], [[4, 4], [9, 4], [6, 6], [7, 1]], [1, 3, 4, 4], [[6, 4], [8, 5], [6, 6], [7, 1]], [0, 0, 3, 4], [[6, 2], [8, 4], [5, 5], [7, 1]], [2, 4, 4, 4], [[7, 3], [8, 4], [5, 5], [7, 1]], [3, 4, 4, 4], [[6, 4], [8, 4], [5, 5], [7, 1]], [0, 4, 2, 4], [[7, 3], [8, 4], [4, 6], [7, 1]], [3, 4, 1, 4], [[6, 4], [8, 4], [6, 6], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.06325, -0.005, -0.003, -0.066, -0.179, -0.076]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[1, 1, 1, 1, 1], [None, None, 1, 2, 1], [1, 1, None, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, None]], [6, 4]], 'crash']",5.902702501975,0.8181818181818181,0.5961538461538461,"[0.00041, 0.00048, 0.21138, 0.04343, -0.02525, 0.01842, 0.04091, 0.04292, -0.01745, 0.02264, 0.03197, 0.03891, 0.04023, -0.15532, -0.21036, -0.02768, -0.12332, -0.07478]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [None, None, 1, None, None]], [None, None]], [[[None, None, None, None, None], [None, None, None, 2, None], [None, None, 2, None, None], [1, 1, 1, None, None], [None, 1, 2, 1, None]], [6, 4]], 'crash']",147.35964864771813,0.7272727272727273,0.4615384615384615
"[[[4, 4], [7, 1], [6, 4], [6, 7]], [4, 4, 1, 0], [[4, 4], [7, 1], [7, 3], [6, 6]], [1, 4, 2, 4], [[6, 4], [7, 1], [8, 4], [6, 6]], [3, 4, 4, 3], [[5, 3], [7, 1], [8, 4], [5, 7]], [2, 4, 4, 0], [[5, 4], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 2], [[7, 4], [7, 1], [8, 4], [5, 6]], [0, 4, 4, 4], [[7, 2], [7, 1], [8, 4], [5, 6]], [2, 4, 4, 0], [[8, 3], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 4], [[9, 4], [7, 1], [8, 4], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[8, 2], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[8, 3], [7, 1], [7, 5], [5, 5]], [2, 4, 0, 4], [[7, 4], [7, 1], [7, 4], [5, 5]]]","[0.06, -0.015, 0.015, 0.036, 0.06, -0.012, 0.00225, 0.015, 0.048, 0.024, -0.06, 0.0, 0.012, -0.093, -0.015]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, 1, 1]], [5, 3]], [[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, 2, None, None, None], [None, None, None, None, 2], [None, None, 1, 1, 1]], [7, None]], [[[2, None, None, None, 2], [1, 1, None, 1, None], [1, 1, 2, 1, None], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",12.233182494528592,0.6363636363636364,0.5865384615384616,"[0.00222, 0.00192, -0.00376, 0.00999, 0.0047, 0.00242, 0.00915, 0.00026, 0.01285, 0.00913, 0.0024, 0.00213, 0.00276, 0.00813, -0.013, -0.07176, -0.0017, 0.01133, -0.09839, -0.01876]","[[[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [2, None, None, None, None], [None, None, 2, 2, None], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], [[[2, None, None, None, 2], [1, 1, 1, 1, None], [1, 1, None, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",164.392796757631,0.7272727272727273,0.5256410256410257
"[[[5, 5], [8, 4], [7, 2], [7, 0]], [4, 4, 2, 1], [[5, 5], [8, 4], [7, 3], [8, 0]], [4, 4, 0, 3], [[5, 5], [8, 4], [7, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 3], [7, 1]], [4, 4, 1, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [6, 4], [7, 1]], [2, 4, 0, 4], [[5, 7], [8, 4], [6, 2], [7, 1]], [0, 4, 2, 4], [[6, 6], [8, 4], [6, 4], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.0225, -0.1745, 0.095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, 1, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",3.9101715898141265,0.9090909090909091,0.1923076923076923,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.17619, -0.17619, 0.01298, -0.17485, 0.08595]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",63.383209481835365,0.9090909090909091,0.15384615384615385
"[[[3, 3], [3, 0], [5, 8], [2, 8]], [4, 2, 3, 4], [[3, 3], [2, 1], [4, 9], [2, 8]], [1, 1, 0, 4], [[4, 4], [3, 0], [5, 8], [2, 8]], [1, 2, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [5, 8], [2, 8]], [4, 4, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [4, 7], [2, 8]], [4, 4, 1, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[4, 4], [3, 2], [5, 6], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[5, 3], [3, 2], [5, 6], [2, 8]], [2, 4, 0, 4], [[4, 4], [3, 2], [5, 5], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 5], [2, 8]]]","[0.0, 0.0, 0.0, -0.024, -0.0285, -0.024, 0.005, 0.278, 0.101]","[[[[1, 1, 3, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, None]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",7.818084969185293,0.8181818181818181,0.9423076923076923,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.00612, -0.00545, 0.00379, 0.00282, 0.00379, -0.00767, -0.0456, -0.00767, 0.28004, 0.09761]","[[[[1, None, 3, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, 2, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 5]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",132.18834524601698,0.8181818181818181,0.9038461538461539
"[[[8, 1], [5, 6], [8, 5], [7, 4]], [4, 4, 0, 0], [[8, 1], [5, 6], [7, 4], [7, 3]], [4, 4, 1, 1], [[8, 1], [5, 6], [8, 5], [8, 2]], [4, 0, 0, 2], [[8, 1], [5, 4], [8, 4], [8, 3]], [4, 4, 4, 3], [[8, 1], [5, 4], [8, 4], [7, 3]], [4, 2, 4, 0], [[8, 1], [5, 6], [8, 4], [7, 1]], [2, 0, 4, 4], [[8, 3], [5, 4], [8, 4], [7, 1]], [1, 4, 4, 4], [[9, 2], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 1], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 0], [5, 4], [8, 4], [7, 1]], [3, 4, 4, 4], [[8, 0], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 2], [[8, 0], [5, 4], [8, 4], [7, 3]], [3, 2, 4, 0], [[7, 1], [6, 5], [8, 4], [7, 1]]]","[0.0, -0.032, -0.021, 0.18975, -0.3945, -0.209, 0.019, -0.01, -0.017]","[[[[None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [1, 1, 1, 1, 1], [None, None, None, None, None]], [None, 3]], [[[None, None, None, None, None], [0, None, 1, 1, 1], [None, None, None, None, 1], [None, None, 0, None, None], [None, None, None, None, None]], [None, None]], 'crash']",7.214611379429698,0.8181818181818181,0.3076923076923077,"[-0.00616, 0.0, 0.0, -0.00144, -0.02127, 0.0, 0.0, -0.02762, 0.01283, 0.01034, 0.01299, -0.01689, 0.00131, 0.01068, 0.00328]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, 2, None, None, None], [None, None, None, None, 2], [1, None, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 2]], 'crash']",106.68649764172733,0.8181818181818181,0.4230769230769231
"[[[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 2], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 2], [7, 1], [7, 4], [5, 5]], [2, 4, 1, 4], [[9, 4], [7, 1], [8, 5], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[7, 3], [7, 1], [7, 3], [5, 5]]]","[0.126, -0.004, 0.0, 0.18, 0.0, 0.0, 0.2025, 0.0, 0.0, -0.04575, 0.014, 0.0, -0.02, 0.01125, 0.012]","[[[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[1, 2, 1, 1, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 5]], [[[None, 2, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 2]], [[[2, None, None, None, 2], [1, None, None, None, 1], [1, None, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",9.863457615487278,0.6363636363636364,0.4615384615384615,"[-0.09492, 0.0, 0.10374, 0.0, 0.02276, 0.00088, 0.10374, 0.17993, 0.07414, 0.21672, -0.10148, 0.02763, -0.02836, -0.02226, -0.01332, 0.0122, 0.01133]","[[[[1, 2, 1, 1, 1], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 5]], [[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0], [None, None, None, None, 0]], [None, 4]], 'crash']",129.43831658083946,0.7272727272727273,0.4102564102564103
"[[[9, 2], [5, 6], [6, 0], [8, 4]], [3, 0, 1, 4], [[8, 3], [5, 5], [7, 0], [8, 4]], [0, 4, 2, 4], [[9, 2], [5, 5], [8, 1], [8, 4]], [0, 4, 3, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 0], [5, 5], [7, 1], [8, 4]], [3, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 0], [5, 5], [7, 1], [8, 4]], [0, 4, 2, 4], [[8, 0], [5, 5], [7, 3], [8, 4]], [3, 4, 0, 4], [[7, 1], [5, 5], [7, 1], [8, 4]]]","[-0.06125, -0.15475, -0.0855, 0.0835, -0.02, 0.0835, -0.1935, 0.44175, -0.04175, -0.024, -0.01, -0.017]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, None, None, None, None], [None, None, None, None, 1], [None, None, None, 1, 1], [None, None, 1, None, 1], [None, None, None, None, None]], [None, None]], 'crash']",10.442083734087646,0.7272727272727273,0.35897435897435903,"[0.06774, -0.07115, -0.0233, -0.02694, 0.03002, -0.01003, -0.06354, 0.03702, -0.02534, 0.03702, -0.05875, 0.01225, -0.01689, 0.01068, 0.00328]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 2]], 'crash']",103.00366828870028,0.8181818181818181,0.3653846153846154
"[[[5, 8], [3, 8], [5, 3], [6, 2]], [0, 4, 2, 1], [[5, 7], [3, 8], [6, 4], [7, 3]], [0, 4, 3, 1], [[5, 5], [3, 8], [5, 4], [8, 4]], [2, 4, 1, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 4], [8, 4]], [3, 4, 3, 4], [[5, 6], [3, 8], [5, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 4], [8, 4]], [4, 4, 3, 4], [[5, 6], [3, 8], [4, 4], [8, 4]], [1, 4, 1, 4], [[6, 7], [3, 8], [5, 4], [8, 4]], [0, 4, 4, 4], [[5, 6], [3, 8], [5, 4], [8, 4]], [4, 4, 1, 4], [[5, 6], [3, 8], [6, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 5], [8, 4]]]","[0.0, 0.0, 0.0, -0.2625, -0.0865, 0.00875]","[[[[1, 3, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 3], [1, 1, 1, 1, 1]], [None, 6]], 'crash']",4.32417375035584,0.9090909090909091,1.0,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.00022, 0.00023, -0.00029, -0.00168, 0.0, -0.09195, -0.13513, -0.27509, -0.10385, 0.00419]","[[[[1, 3, None, None, 2], [2, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 3], [1, 1, 1, 1, 1]], [None, 6]], [[[1, None, 1, 1, 2], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], 'crash']",140.34006944205612,0.8181818181818181,0.8846153846153846
