History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[7, 6], [9, 3], [3, 7], [3, 8]], [0, 3, 1, 4], [[6, 5], [8, 3], [4, 8], [3, 8]], [3, 4, 4, 3], [[5, 6], [8, 3], [4, 8], [2, 8]], [0, 4, 4, 0], [[5, 4], [8, 3], [4, 8], [3, 7]], [4, 4, 4, 3], [[5, 4], [8, 3], [4, 8], [2, 8]], [4, 4, 4, 0], [[5, 4], [8, 3], [4, 8], [2, 7]], [4, 4, 4, 3], [[5, 4], [8, 3], [4, 8], [1, 8]], [4, 4, 4, 0], [[5, 4], [8, 3], [4, 8], [1, 7]], [4, 4, 4, 0], [[5, 4], [8, 3], [4, 8], [1, 5]], [4, 4, 4, 2], [[5, 4], [8, 3], [4, 8], [2, 6]], [4, 4, 4, 3], [[5, 4], [8, 3], [4, 8], [1, 7]], [4, 4, 4, 0], [[5, 4], [8, 3], [4, 8], [2, 6]], [4, 4, 4, 3], [[5, 4], [8, 3], [4, 8], [1, 7]]]","[0.09, 0.2545, 0.21075, 0.21075, 0.7125, 0.7125, 0.7125, 0.7105, 0.70175, 0.70175, 0.7105, 0.7105, 0.248, 0.25725, 0.248]","[[[[1, 1, 1, 3, 1], [1, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 4]], [[[1, 1, 1, 3, 1], [1, 1, 1, 1, None], [3, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 3, 1], [1, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], 'max_reward']",19.973617235198617,0.6363636363636364,0.951923076923077,"[0.16539, 0.19826, 0.0997, 0.0997, 0.64728, 0.64724, 0.64706, 0.64254, 0.10649, 0.10484, 0.10484, 0.10649, 0.10484]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, None], [3, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 4]], 'max_reward']",151.25107410363853,0.8181818181818181,0.9230769230769231
"[[[6, 3], [2, 6], [8, 2], [4, 7]], [2, 3, 0, 4], [[6, 5], [1, 7], [8, 0], [4, 7]], [4, 0, 3, 3], [[6, 5], [1, 5], [7, 1], [2, 7]], [4, 2, 4, 1], [[6, 5], [1, 6], [7, 1], [3, 6]], [4, 4, 4, 1], [[6, 5], [1, 6], [7, 1], [4, 5]], [4, 4, 4, 2], [[6, 5], [1, 6], [7, 1], [4, 7]], [4, 4, 4, 3], [[6, 5], [1, 6], [7, 1], [3, 8]], [4, 4, 4, 1], [[6, 5], [1, 6], [7, 1], [5, 8]], [4, 4, 4, 3], [[6, 5], [1, 6], [7, 1], [4, 9]], [4, 4, 4, 0], [[6, 5], [1, 6], [7, 1], [4, 7]], [4, 4, 4, 3], [[6, 5], [1, 6], [7, 1], [3, 8]], [4, 4, 4, 1], [[6, 5], [1, 6], [7, 1], [4, 9]], [4, 4, 4, 0], [[6, 5], [1, 6], [7, 1], [4, 8]]]","[0.281, 0.8835, 0.8835, 0.8405, 0.8405, 0.8425, 0.8425, 0.8835, 0.8675, 0.8675, 0.8405, 0.12475, 0.12275, 0.1085]","[[[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, None]], [[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, 5]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 3, None]], [None, None]], [[[1, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, 5]], 'max_reward']",22.194286455400288,0.6363636363636364,0.9519230769230769,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.02491, 0.02335, 0.02689, 0.02491, 0.02335]","[[[[1, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [None, None]], 'max_reward']",110.39135183207691,0.9090909090909091,1.0
"[[[7, 1], [9, 2], [3, 2], [5, 7]], [4, 2, 4, 0], [[7, 1], [9, 3], [3, 2], [5, 6]], [4, 3, 4, 0], [[7, 1], [8, 4], [3, 2], [4, 5]], [4, 4, 4, 1], [[7, 1], [8, 4], [3, 2], [5, 4]], [4, 4, 4, 2], [[7, 1], [8, 4], [3, 2], [6, 5]], [4, 4, 4, 3], [[7, 1], [8, 4], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 4], [3, 2], [6, 5]], [4, 4, 4, 3], [[7, 1], [8, 4], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 4], [3, 2], [4, 5]], [4, 4, 4, 1], [[7, 1], [8, 4], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 4], [3, 2], [6, 5]], [4, 4, 4, 3], [[7, 1], [8, 4], [3, 2], [5, 6]], [4, 4, 4, 0], [[7, 1], [8, 4], [3, 2], [5, 5]]]","[0.60325, 0.55775, 0.55775, 0.55775, 0.55775, 0.55775, 0.55775, 0.55775, 0.55775, 0.30875, 0.30875, 0.30875]","[[[[None, 1, None, 3, None], [0, None, 1, None, None], [0, None, 2, None, None], [None, None, None, 1, None], [None, None, 1, 1, None]], [None, None]], [[[None, None, 1, None, None], [None, 1, 1, 1, 1], [0, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, 1, 1, None]], [None, None]], [[[None, None, None, 3, None], [None, 1, 1, None, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [0, None, 1, 1, None]], [None, None]], 'max_reward']",35.80921660270542,0.7272727272727273,0.5897435897435898,"[0.43305, 0.41676, 0.41676, 0.41676, 0.41676, 0.41676, 0.41676, 0.08174, 0.08174, 0.08174, 0.08174, 0.08174]","[[[[None, 1, None, 3, None], [None, None, None, None, None], [0, None, 2, None, None], [None, None, None, 1, None], [None, None, 1, 1, None]], [None, None]], [[[0, None, None, 3, None], [None, None, None, None, None], [None, 1, 2, 1, None], [None, 1, 1, 1, 1], [None, 1, 1, None, None]], [None, None]], 'max_reward']",418.022538183257,0.8181818181818181,0.4230769230769231
"[[[9, 9], [9, 2], [9, 1], [9, 0]], [3, 2, 3, 3], [[7, 9], [9, 3], [8, 1], [8, 0]], [1, 3, 3, 3], [[8, 8], [8, 4], [7, 2], [7, 1]], [4, 4, 2, 4], [[8, 8], [8, 4], [8, 3], [7, 1]], [4, 4, 1, 4], [[8, 8], [8, 4], [9, 3], [7, 1]], [4, 4, 0, 4], [[8, 8], [8, 4], [9, 2], [7, 1]], [4, 4, 0, 4], [[8, 8], [8, 4], [9, 1], [7, 1]], [4, 4, 0, 4], [[8, 8], [8, 4], [9, 0], [7, 1]], [4, 4, 3, 4], [[8, 8], [8, 4], [8, 0], [7, 1]], [4, 4, 0, 2], [[8, 8], [8, 4], [8, 0], [7, 3]], [4, 4, 3, 0], [[8, 8], [8, 4], [6, 0], [7, 1]], [4, 4, 0, 2], [[8, 8], [8, 4], [6, 0], [7, 3]], [4, 4, 1, 0], [[8, 8], [8, 4], [7, 1], [6, 2]]]","[0.1435, 0.30375, 0.30375, 0.57, 0.0, 0.0, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57, 0.57]","[[[[None, None, None, None, None], [None, None, None, 1, None], [3, 1, 2, 1, None], [None, None, None, 1, None], [None, None, None, None, None]], [None, 8]], [[[1, None, 3, 3, None], [1, 1, None, 1, None], [None, 1, 2, 1, None], [1, 1, None, 1, None], [None, None, None, None, None]], [None, None]], [[[1, 1, 3, 3, 0], [1, 1, 1, 1, 0], [3, 1, 2, 1, 0], [1, 1, 1, None, None], [None, None, None, None, None]], [None, None]], [[[1, None, None, 3, 0], [1, None, 1, 1, None], [None, 1, 2, 1, None], [1, 1, None, 1, None], [None, None, None, None, None]], [None, None]], 'max_reward']",28.301814422942698,0.6363636363636364,0.5288461538461539,"[0.07681, 0.30535, 0.3383, 0.3383, 0.3383, 0.3383, 0.3383, 0.3383, 0.0, 0.3383, 0.3383, 0.3383, 0.3383]","[[[[None, None, 3, None, None], [None, None, None, None, None], [3, None, 2, None, None], [None, 1, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, 3, 3, None], [None, None, None, 1, None], [None, 1, 2, 1, None], [1, None, 1, None, None], [None, None, None, None, None]], [None, None]], 'max_reward']",325.4508970575407,0.8181818181818181,0.30769230769230765
"[[[5, 4], [3, 7], [2, 7], [5, 5]], [1, 1, 4, 4], [[7, 4], [5, 7], [2, 7], [5, 5]], [1, 3, 4, 4], [[8, 4], [4, 6], [2, 7], [5, 5]], [4, 2, 4, 4], [[8, 4], [5, 7], [2, 7], [5, 5]], [4, 3, 4, 0], [[8, 4], [4, 7], [2, 7], [4, 4]], [4, 1, 4, 1], [[8, 4], [5, 7], [2, 7], [6, 4]], [4, 0, 4, 3], [[8, 4], [5, 6], [2, 7], [5, 5]], [4, 4, 4, 0], [[8, 4], [5, 6], [2, 7], [6, 4]], [4, 4, 4, 3], [[8, 4], [5, 6], [2, 7], [5, 4]], [4, 4, 4, 1], [[8, 4], [5, 6], [2, 7], [7, 4]], [4, 4, 4, 0], [[8, 4], [5, 6], [2, 7], [8, 3]], [4, 0, 4, 0], [[8, 4], [6, 5], [2, 7], [8, 2]], [4, 3, 4, 0], [[8, 4], [5, 6], [2, 7], [8, 1]]]","[0.0, 0.0, 0.0, 0.8895, 0.709, 0.5975]","[[[[None, 1, 1, None, None], [None, None, 2, 1, None], [None, None, 2, 1, 3], [None, 1, 1, 1, 1], [0, None, None, None, None]], [None, None]], 'max_reward']",5.507837723940611,0.9090909090909091,0.5384615384615384,"[0.0, 0.0, -0.00264, 0.0, 0.0, 0.18244, -0.43066, 0.51509, 0.44346, 0.34879]","[[[[None, None, 1, None, None], [None, None, 2, None, None], [None, None, 2, None, 3], [1, None, 1, 1, None], [None, 0, None, 0, None]], [None, None]], 'max_reward']",111.6710476661101,0.9090909090909091,0.42307692307692313
"[[[8, 7], [3, 1], [2, 3], [5, 5]], [2, 4, 4, 4], [[8, 9], [3, 1], [2, 3], [5, 5]], [0, 4, 4, 4], [[7, 8], [3, 1], [2, 3], [5, 5]], [1, 4, 4, 4], [[8, 9], [3, 1], [2, 3], [5, 5]], [0, 4, 4, 4], [[7, 8], [3, 1], [2, 3], [5, 5]], [1, 4, 4, 4], [[8, 9], [3, 1], [2, 3], [5, 5]], [0, 4, 4, 4], [[7, 8], [3, 1], [2, 3], [5, 5]], [1, 4, 4, 4], [[8, 7], [3, 1], [2, 3], [5, 5]], [2, 4, 4, 4], [[8, 9], [3, 1], [2, 3], [5, 5]], [0, 4, 4, 4], [[8, 7], [3, 1], [2, 3], [5, 5]], [2, 4, 4, 4], [[7, 8], [3, 1], [2, 3], [5, 5]], [1, 4, 4, 4], [[8, 9], [3, 1], [2, 3], [5, 5]], [0, 4, 4, 4], [[8, 8], [3, 1], [2, 3], [5, 5]]]","[0.007, -0.0145, -0.0145, 0.01025, -0.0145, -0.0145, 0.01025, -0.0145, 0.02175, -0.02025, -0.01875, 0.258, 0.225, 0.1645]","[[[[1, 1, 1, 1, 0], [None, 1, 3, None, None], [1, 1, 2, 1, 0], [None, 1, 1, 1, None], [None, 1, 1, 1, None]], [None, None]], [[[1, 1, None, 1, 0], [1, None, 3, None, None], [None, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, None]], [None, None]], [[[None, 1, None, None, None], [1, None, 3, None, None], [1, 1, 2, 1, 0], [None, 1, 1, 1, 0], [1, 1, 1, 1, 0]], [None, None]], [[[None, 1, 1, 3, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, None, 1, 1, 1], [None, None, None, None, None]], [None, None]], 'max_reward']",23.942423761822283,0.6363636363636364,0.7211538461538463,"[0.00152, -0.00829, -0.00829, 0.00334, -0.00829, 0.00334, -0.00829, -0.00829, 0.00334, 0.00152, -0.00829, 0.00152, 0.1226, 0.0937, 0.1226, 0.18361, 0.0937]","[[[[1, 1, None, 1, 0], [1, 1, 3, 3, 0], [None, 1, 2, 1, None], [None, 1, 1, 1, None], [1, 1, 1, 1, 0]], [None, None]], [[[1, 1, 1, 1, 0], [1, None, 3, None, None], [1, 1, 2, 1, 0], [None, 1, 1, 1, None], [None, 1, 1, 1, None]], [None, None]], [[[1, 1, None, 1, 0], [1, 1, 3, None, 0], [1, 1, 2, 1, 0], [None, 1, 1, 1, 0], [1, 1, 1, None, None]], [7, None]], 'max_reward']",281.8706314181909,0.7272727272727273,0.8076923076923078
"[[[8, 3], [6, 1], [9, 9], [2, 9]], [2, 0, 3, 0], [[8, 5], [6, 0], [8, 9], [2, 8]], [0, 1, 0, 4], [[8, 4], [7, 0], [8, 7], [2, 8]], [4, 2, 2, 4], [[8, 4], [6, 1], [9, 8], [2, 8]], [4, 1, 3, 4], [[8, 4], [7, 1], [7, 8], [2, 8]], [4, 4, 1, 4], [[8, 4], [7, 1], [9, 8], [2, 8]], [4, 4, 3, 4], [[8, 4], [7, 1], [7, 8], [2, 8]], [4, 4, 1, 4], [[8, 4], [7, 1], [9, 8], [2, 8]], [4, 4, 3, 4], [[8, 4], [7, 1], [8, 7], [2, 8]], [4, 4, 2, 4], [[8, 4], [7, 1], [9, 8], [2, 8]], [4, 4, 3, 4], [[8, 4], [7, 1], [8, 7], [2, 8]], [4, 4, 2, 4], [[8, 4], [7, 1], [9, 8], [2, 8]], [4, 4, 3, 4], [[8, 4], [7, 1], [8, 9], [2, 8]]]","[0.358, 0.39125, 0.70875, 0.71975, 0.64575, 0.64575, 0.64575, 0.64575, 0.64575, 0.382, 0.382, 0.382]","[[[[None, None, None, None, None], [None, None, 1, 1, 1], [1, 1, 2, None, 3], [1, 1, 1, 1, None], [None, None, 0, None, None]], [None, None]], [[[1, 1, None, 1, None], [1, None, None, None, None], [None, 1, 2, 1, None], [1, None, 1, 1, None], [None, None, None, None, None]], [None, 4]], [[[1, 1, 1, None, 1], [None, None, 1, 1, 1], [None, 1, 2, 1, 3], [1, 1, 1, 1, None], [None, None, None, None, None]], [8, None]], 'max_reward']",29.066833983175457,0.7272727272727273,0.5256410256410257,"[0.27969, 0.3167, 0.56037, 0.56037, 0.51695, 0.51695, 0.51695, 0.18568, 0.18568, 0.18568, 0.18568, 0.18568]","[[[[None, None, 1, None, None], [None, None, None, None, 1], [1, 1, 2, 1, 3], [1, None, 1, 1, None], [0, None, None, None, None]], [None, None]], [[[None, None, None, None, 1], [1, None, None, 1, 1], [None, None, 2, None, 3], [None, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], 'max_reward']",353.1396141210571,0.8181818181818181,0.4807692307692308
"[[[7, 3], [0, 0], [5, 4], [5, 7]], [0, 3, 2, 0], [[7, 1], [0, 0], [5, 5], [5, 6]], [4, 3, 0, 4], [[7, 1], [0, 0], [4, 4], [5, 6]], [4, 3, 1, 4], [[7, 1], [0, 1], [5, 4], [5, 6]], [4, 2, 1, 4], [[7, 1], [0, 3], [6, 5], [5, 6]], [4, 1, 0, 4], [[7, 1], [1, 4], [6, 3], [5, 6]], [4, 1, 2, 0], [[7, 1], [2, 4], [6, 4], [5, 5]], [4, 0, 1, 2], [[7, 1], [2, 3], [7, 3], [5, 7]], [4, 4, 2, 0], [[7, 1], [2, 3], [7, 5], [6, 6]], [4, 4, 0, 3], [[7, 1], [2, 3], [7, 3], [5, 5]], [4, 4, 1, 4], [[7, 1], [2, 3], [8, 2], [5, 5]], [4, 4, 2, 4], [[7, 1], [2, 3], [7, 3], [5, 5]], [4, 4, 1, 4], [[7, 1], [2, 3], [8, 4], [5, 5]]]","[0.216, 0.69475, 0.69475, 0.69475, 0.69475, 0.70975, 0.70975, 0.72775, 0.69475, 0.60425, 0.60425, 0.57575, 0.30875, 0.30875, 0.30875]","[[[[0, None, None, 3, None], [None, None, None, None, None], [None, 1, 2, None, None], [None, 1, 1, None, 1], [None, None, None, None, None]], [None, None]], [[[0, None, None, 3, None], [None, 1, 1, 1, None], [None, None, 2, None, None], [None, 1, None, 1, None], [None, None, 1, None, None]], [None, None]], [[[None, 1, 1, None, None], [0, None, None, None, None], [0, None, 2, None, None], [None, None, None, None, None], [0, None, 1, 1, None]], [7, None]], [[[None, 1, None, 3, None], [0, None, 1, None, None], [None, 1, 2, None, None], [None, 1, 1, 1, 1], [0, 1, 1, 1, None]], [None, None]], 'max_reward']",53.032230160199106,0.6363636363636364,0.4326923076923077,"[0.21144, 0.67487, 0.67355, 0.55173, 0.54318, 0.52563, 0.47332, 0.46834, 0.10529, 0.16818, 0.08174, 0.08174, 0.08174]","[[[[None, None, None, 3, 1], [None, 1, 1, None, None], [None, None, 2, None, None], [None, None, None, None, None], [0, None, None, None, None]], [None, None]], [[[0, None, None, 3, None], [None, None, None, None, None], [None, None, 2, None, None], [None, 1, 1, 1, 1], [None, 1, 1, None, None]], [None, None]], 'max_reward']",438.8163965055719,0.8181818181818181,0.3653846153846154
"[[[4, 8], [8, 5], [0, 9], [0, 5]], [4, 0, 1, 1], [[4, 8], [9, 4], [1, 9], [1, 4]], [4, 3, 1, 1], [[4, 8], [8, 4], [2, 9], [2, 5]], [4, 4, 3, 3], [[4, 8], [8, 4], [1, 9], [1, 4]], [4, 4, 1, 1], [[4, 8], [8, 4], [3, 9], [2, 5]], [0, 4, 3, 3], [[4, 7], [8, 4], [2, 9], [1, 6]], [1, 4, 0, 4], [[5, 6], [8, 4], [2, 8], [1, 6]], [0, 4, 1, 4], [[5, 5], [8, 4], [3, 9], [1, 6]], [4, 4, 0, 4], [[5, 5], [8, 4], [3, 7], [1, 6]], [4, 4, 1, 4], [[5, 5], [8, 4], [4, 6], [1, 6]], [4, 4, 2, 4], [[5, 5], [8, 4], [3, 7], [1, 6]], [4, 4, 1, 4], [[5, 5], [8, 4], [4, 7], [1, 6]], [4, 4, 2, 4], [[5, 5], [8, 4], [4, 8], [1, 6]]]","[0.0, 0.0, 0.0, 0.299, 0.299, 0.2815]","[[[[None, None, None, 1, 1], [1, 1, 1, 2, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, 1, 1, 1]], [5, None]], 'max_reward']",10.9961640490219,0.9090909090909091,0.7692307692307692,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.07383, 0.08523, 0.08523, 0.08523, 0.08569]","[[[[1, 1, None, None, 1], [1, 1, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], 'max_reward']",149.60235894471407,0.9090909090909091,0.9615384615384616
"[[[4, 3], [3, 4], [3, 3], [2, 0]], [2, 3, 0, 1], [[5, 4], [2, 5], [4, 2], [4, 0]], [2, 3, 3, 3], [[5, 6], [0, 5], [3, 3], [3, 0]], [0, 1, 4, 2], [[5, 5], [1, 6], [3, 3], [4, 1]], [4, 4, 4, 3], [[5, 5], [1, 6], [3, 3], [3, 0]], [4, 4, 0, 2], [[5, 5], [1, 6], [4, 2], [3, 1]], [4, 4, 2, 4], [[5, 5], [1, 6], [4, 4], [3, 1]], [4, 4, 0, 4], [[5, 5], [1, 6], [4, 2], [3, 1]], [4, 4, 2, 4], [[5, 5], [1, 6], [5, 3], [3, 1]], [4, 4, 1, 4], [[5, 5], [1, 6], [6, 4], [3, 1]], [2, 4, 1, 4], [[5, 6], [1, 6], [7, 5], [3, 1]], [4, 4, 0, 4], [[5, 6], [1, 6], [7, 4], [3, 1]], [4, 4, 1, 4], [[5, 6], [1, 6], [8, 3], [3, 1]]]","[0.0, 0.0, 0.0, 0.2215, 0.266, -0.18075, 0.06675, -0.0555, 0.1455]","[[[[None, 1, None, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 2, 1, 1, 1], [1, 1, 1, 1, None]], [5, 5]], [[[1, 3, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 3], [None, 1, 1, 1, 1]], [None, None]], 'max_reward']",12.583336820825934,0.8181818181818181,0.9230769230769231,"[0.10738, 0.21552, 0.34329, 0.65059, 0.48933, -0.02446, -0.15341, 0.48933, 0.94573, 0.7138, 0.61099, 0.1506, 0.06144, 0.03353, 0.03422]","[[[[None, 1, 3, None, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 3, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], 'max_reward']",294.9102310119197,0.8181818181818181,0.9615384615384616
