History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[0, 2], [7, 8], [2, 0], [5, 8]], [3, 1, 1, 3], [[0, 1], [9, 8], [3, 1], [3, 8]], [2, 3, 4, 4], [[0, 2], [8, 8], [3, 1], [3, 8]], [3, 4, 4, 4], [[0, 3], [8, 8], [3, 1], [3, 8]], [1, 4, 4, 4], [[1, 4], [8, 8], [3, 1], [3, 8]], [1, 4, 4, 4], [[2, 5], [8, 8], [3, 1], [3, 8]], [3, 4, 4, 4], [[1, 4], [8, 8], [3, 1], [3, 8]], [1, 4, 4, 4], [[2, 5], [8, 8], [3, 1], [3, 8]], [3, 4, 4, 4], [[1, 5], [8, 8], [3, 1], [3, 8]], [2, 4, 4, 4], [[2, 6], [8, 8], [3, 1], [3, 8]], [3, 4, 4, 4], [[1, 7], [8, 8], [3, 1], [3, 8]], [0, 4, 4, 4], [[1, 6], [8, 8], [3, 1], [3, 8]], [4, 4, 4, 1], [[1, 6], [8, 8], [3, 1], [4, 7]]]","[0.0195, -0.02, 0.044, -0.024, 0.006, 0.04825, -0.03725, 0.04825, 0.004, 0.0, 0.0205, -0.021, 0.077, 0.08225, 0.278, 0.34175, 0.13525]","[[[[0, 0, None, 0, None], [0, None, None, 0, None], [1, 1, 2, 1, 3], [1, None, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 3, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 3, None, 1], [1, 1, 1, 1, 1]], [None, 5]], [[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[3, None, None, 1, None], [1, None, None, None, None], [None, None, 2, None, 1], [1, 3, None, 1, 2], [1, 1, None, None, 1]], [None, None]], [[[0, None, None, None, 0], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [3, 1, 1, None, None]], [None, 7]], 'no_drones']",26.324024974368513,0.5454545454545454,0.7538461538461538,"[0.01636, 0.00672, 0.01636, -0.01932, -0.0015, 0.001, -0.00954, 0.00939, -0.00954, 0.00939, 0.08297, 0.32274, 0.20101, 0.17165, 0.13186]","[[[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, 1]], [2, 5]], [[[0, None, None, None, None], [1, 3, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, None, 1]], [None, None]], 'no_drones']",171.48870863113552,0.8181818181818181,0.8461538461538461
"[[[9, 3], [9, 1], [8, 1], [6, 0]], [2, 0, 4, 3], [[9, 4], [9, 0], [8, 1], [5, 0]], [3, 0, 3, 3], [[8, 3], [9, 0], [7, 0], [4, 1]], [4, 0, 3, 3], [[8, 3], [9, 0], [6, 1], [3, 2]], [2, 3, 0, 4], [[8, 4], [8, 0], [6, 0], [3, 2]], [4, 0, 0, 4], [[8, 4], [7, 0], [6, 0], [3, 2]], [4, 2, 3, 4], [[8, 4], [7, 1], [5, 0], [3, 2]], [4, 4, 3, 4], [[8, 4], [7, 1], [4, 0], [3, 2]], [4, 4, 3, 4], [[8, 4], [7, 1], [3, 0], [3, 2]], [4, 4, 0, 4], [[8, 4], [7, 1], [3, 0], [3, 2]], [4, 4, 0, 4], [[8, 4], [7, 1], [2, 0], [3, 2]], [4, 4, 1, 3], [[8, 4], [7, 1], [3, 1], [2, 1]], [4, 4, 4, 2], [[8, 4], [7, 1], [3, 1], [3, 2]]]","[0.0, 0.0, 0.0, 0.25175, 0.1495, 0.26325, 0.26325, 0.755, 0.70875, 0.64575, 0.64575, 0.64575, 0.24675, 0.2395, 0.2395]","[[[[2, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, 1, 3], [1, None, 1, 1, 1], [0, None, None, None, None]], [None, None]], [[[None, None, None, 1, 1], [None, None, None, None, None], [None, None, 2, 1, 3], [1, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], [[[None, None, None, None, 1], [1, None, None, None, 1], [1, 1, 2, 1, 3], [None, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], 'no_drones']",35.543229976668954,0.6363636363636364,0.5384615384615384,"[0.04002, -0.26205, 0.18595, 0.22435, -0.38892, 0.32455, 0.7076, 0.51738, 0.51606, 0.43527, 0.13857, 0.13857, 0.13361, 0.13361]","[[[[None, None, None, None, None], [None, None, None, None, None], [1, 1, 2, 1, 3], [1, None, 1, 1, None], [None, None, None, None, None]], [8, None]], [[[None, None, 1, None, 1], [None, None, None, None, None], [1, None, 2, 1, 3], [1, None, 1, 1, 1], [0, None, None, None, None]], [None, None]], 'no_drones']",334.7439609542489,0.8181818181818181,0.4230769230769231
"[[[0, 3], [5, 4], [2, 2], [3, 6]], [1, 4, 1, 2], [[1, 4], [5, 4], [3, 3], [4, 7]], [2, 2, 0, 4], [[1, 6], [6, 5], [3, 2], [4, 7]], [4, 4, 4, 3], [[1, 6], [6, 5], [3, 2], [3, 6]], [4, 4, 4, 1], [[1, 6], [6, 5], [3, 2], [4, 5]], [4, 4, 4, 2], [[1, 6], [6, 5], [3, 2], [4, 7]], [4, 4, 4, 3], [[1, 6], [6, 5], [3, 2], [3, 8]], [4, 4, 4, 1], [[1, 6], [6, 5], [3, 2], [4, 9]], [4, 4, 4, 0], [[1, 6], [6, 5], [3, 2], [3, 8]], [4, 4, 4, 1], [[1, 6], [6, 5], [3, 2], [4, 9]], [4, 4, 4, 0], [[1, 6], [6, 5], [3, 2], [4, 7]], [4, 4, 4, 3], [[1, 6], [6, 5], [3, 2], [3, 7]], [4, 4, 4, 1], [[1, 6], [6, 5], [3, 2], [4, 8]]]","[0.0, 0.0, 0.0, 0.5505, 0.5505, 0.488, 0.488, 0.50575, 0.463, 0.463, 0.50575, 0.463, 0.1065, 0.375, 0.1065]","[[[[0, None, None, None, None], [3, None, None, None, None], [None, None, 2, None, None], [None, None, None, 1, None], [None, None, 2, None, None]], [None, None]], [[[None, None, None, None, None], [None, 1, 1, 1, 3], [None, None, 2, 1, None], [1, None, 1, 1, None], [None, 3, None, None, None]], [None, None]], [[[None, 0, 0, 0, None], [None, None, 1, 1, None], [None, 1, 2, None, None], [None, None, 1, 1, 1], [None, 3, 1, 1, None]], [None, None]], [[[0, None, None, None, 0], [3, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 3, None, 1, 1]], [None, None]], 'no_drones']",41.29917895235121,0.6363636363636364,0.5288461538461539,"[0.25821, 0.12609, 0.26333, 0.26708, 0.26708, 0.26333, 0.24129, 0.22213, 0.24129, 0.22213, 0.0498, 0.05389, 0.0498, 0.18789, 0.0498]","[[[[None, None, None, None, None], [3, 1, 1, 1, None], [None, None, 2, None, None], [None, None, 1, None, None], [None, None, None, None, None]], [None, None]], [[[0, None, None, None, None], [3, 1, 1, 1, None], [None, None, 2, None, None], [None, None, None, None, None], [None, None, 1, 1, None]], [None, None]], 'no_drones']",444.6733327228576,0.8181818181818181,0.34615384615384615
"[[[0, 5], [9, 6], [3, 9], [4, 9]], [1, 0, 3, 0], [[1, 4], [9, 5], [2, 8], [4, 7]], [1, 0, 4, 1], [[2, 5], [9, 4], [2, 8], [5, 8]], [3, 3, 4, 3], [[1, 5], [8, 4], [2, 8], [4, 7]], [2, 4, 4, 1], [[1, 7], [8, 4], [2, 8], [5, 7]], [0, 4, 1, 0], [[2, 6], [8, 4], [3, 9], [4, 6]], [3, 4, 0, 1], [[1, 5], [8, 4], [3, 7], [5, 6]], [2, 4, 2, 0], [[1, 6], [8, 4], [3, 8], [5, 5]], [4, 4, 1, 4], [[1, 6], [8, 4], [5, 8], [5, 5]], [4, 4, 3, 4], [[1, 6], [8, 4], [4, 7], [5, 5]], [4, 4, 2, 4], [[1, 6], [8, 4], [5, 8], [5, 5]], [4, 4, 3, 4], [[1, 6], [8, 4], [4, 9], [5, 5]], [4, 4, 0, 4], [[1, 6], [8, 4], [4, 7], [5, 5]]]","[0.0075, 0.014, 0.0, -0.019, 0.37025, 0.3435, 0.31875, 0.31875, 0.584, 0.584, 0.1265, 0.1265, 0.096]","[[[[None, None, None, None, None], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, 1]], [1, 4]], [[[None, None, None, None, 0], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 2, 1], [3, None, 1, 1, 1]], [None, None]], [[[0, 0, None, None, None], [3, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, None, 1], [None, 3, 1, None, None]], [None, None]], [[[None, None, None, None, None], [None, 1, 1, 1, 3], [None, None, 2, 1, None], [1, None, 1, 1, 1], [1, 3, 1, None, None]], [None, None]], 'no_drones']",34.7524135960266,0.6363636363636364,0.6923076923076923,"[-0.01392, -0.00598, 0.00642, 0.36383, 0.38774, 0.28699, 0.36463, 0.33818, 0.06725, 0.06725, 0.06725, 0.06725, 0.04818]","[[[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[None, None, None, 0, None], [3, 1, 1, 1, None], [None, None, 2, 1, None], [None, 1, None, 1, None], [None, None, 1, None, None]], [None, None]], 'no_drones']",262.0843346528709,0.8181818181818181,0.5769230769230769
"[[[4, 8], [1, 6], [3, 0], [1, 9]], [4, 4, 2, 1], [[4, 8], [1, 6], [4, 1], [2, 8]], [4, 4, 3, 2], [[4, 8], [1, 6], [3, 2], [2, 9]], [4, 4, 4, 3], [[4, 8], [1, 6], [3, 2], [0, 9]], [4, 4, 4, 1], [[4, 8], [1, 6], [3, 2], [1, 9]], [4, 4, 4, 1], [[4, 8], [1, 6], [3, 2], [2, 9]], [4, 4, 4, 3], [[4, 8], [1, 6], [3, 2], [1, 9]], [4, 4, 4, 1], [[4, 8], [1, 6], [3, 2], [3, 9]], [0, 4, 4, 3], [[4, 6], [1, 6], [3, 2], [2, 9]], [1, 4, 4, 0], [[5, 5], [1, 6], [3, 2], [2, 8]], [4, 4, 4, 1], [[5, 5], [1, 6], [3, 2], [3, 7]], [4, 4, 4, 1], [[5, 5], [1, 6], [3, 2], [4, 6]], [4, 4, 4, 2], [[5, 5], [1, 6], [3, 2], [4, 8]]]","[0.0, 0.0, 0.0, 0.18, 0.212, 0.212]","[[[[None, None, None, None, 2], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [None, 1, 1, 1, 1], [1, None, 1, 1, None]], [5, None]], 'no_drones']",9.617386535741389,0.9090909090909091,0.6923076923076923,"[-0.00688, -0.00688, -0.00596, -0.00688, -0.00596, 0.54097, 0.05412, 0.06368, 0.05865, 0.05865]","[[[[None, 1, 1, 1, None], [1, 1, 1, 2, None], [1, 1, 2, None, None], [1, 1, 1, 1, None], [1, 1, None, None, None]], [4, 8]], 'no_drones']",81.6096458202228,0.9090909090909091,0.6153846153846154
"[[[4, 3], [2, 3], [6, 5], [0, 2]], [2, 4, 4, 3], [[5, 4], [2, 3], [6, 5], [0, 1]], [3, 1, 4, 2], [[4, 4], [3, 4], [6, 5], [0, 2]], [1, 3, 4, 3], [[6, 4], [2, 4], [6, 5], [0, 2]], [1, 0, 3, 3], [[7, 5], [1, 3], [5, 6], [0, 2]], [0, 1, 4, 3], [[7, 4], [2, 4], [5, 6], [0, 2]], [1, 0, 4, 3], [[9, 4], [2, 3], [5, 6], [0, 3]], [3, 1, 0, 1], [[8, 5], [3, 3], [5, 4], [1, 2]], [0, 0, 2, 4], [[8, 4], [4, 2], [5, 6], [1, 2]], [4, 3, 0, 1], [[8, 4], [3, 2], [5, 4], [2, 3]], [4, 0, 2, 4], [[8, 4], [3, 0], [5, 6], [2, 3]], [4, 2, 0, 4], [[8, 4], [4, 1], [5, 5], [2, 3]], [4, 3, 4, 4], [[8, 4], [3, 1], [5, 5], [2, 3]]]","[0.0, 0.0, 0.047, -0.0615, -0.0175, -0.035, -0.024, -0.026, 0.186, 0.096, 0.2525, 0.096, 0.2525, 0.783, 0.13625, 0.1325, 0.1325]","[[[[None, None, None, None, None], [None, None, 2, None, None], [None, None, None, None, None], [3, None, None, 1, 1], [None, None, 1, 2, 1]], [None, None]], [[[3, None, None, None, 2], [1, 1, 1, 1, 1], [None, None, 2, 1, 1], [None, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 3, 1], [1, 1, 1, None, 1], [None, None, None, None, 0]], [8, None]], [[[None, 1, None, None, None], [None, None, None, None, 1], [1, None, 2, None, 3], [None, 1, 1, 1, None], [None, None, 0, None, None]], [None, None]], [[[None, 1, None, 1, None], [1, None, None, 1, None], [1, None, 2, 1, 3], [None, 1, 1, 1, 1], [None, None, None, 0, None]], [None, None]], 'no_drones']",33.89023731928319,0.5454545454545454,0.5846153846153846,"[-0.00098, -0.00632, -0.00064, 0.20055, 0.10891, 0.14482, 0.05165, 0.16329, 0.10891, 0.14482, 0.05165, 0.16329, 0.73527, 0.08589, 0.10425, 0.10477, 0.10425, 0.10425]","[[[[None, None, None, 1, None], [None, 1, 1, None, None], [1, None, 2, 2, None], [1, 1, 1, 1, 1], [None, 1, 1, 1, None]], [6, None]], [[[None, 1, None, 1, None], [None, None, None, None, None], [None, None, 2, 1, 3], [1, None, 1, 1, None], [0, None, None, None, None]], [None, None]], [[[None, None, None, 1, None], [1, None, 1, None, None], [1, 1, 2, None, 3], [None, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], 'no_drones']",425.5066575538367,0.7272727272727273,0.5
"[[[8, 3], [7, 0], [3, 0], [7, 2]], [2, 1, 2, 2], [[8, 4], [9, 0], [3, 1], [7, 3]], [4, 3, 4, 0], [[8, 4], [8, 1], [3, 1], [8, 2]], [4, 4, 4, 3], [[8, 4], [8, 1], [3, 1], [7, 1]], [4, 2, 4, 4], [[8, 4], [8, 3], [3, 1], [7, 1]], [4, 1, 4, 4], [[8, 4], [9, 2], [3, 1], [7, 1]], [4, 0, 4, 4], [[8, 4], [9, 0], [3, 1], [7, 1]], [4, 3, 4, 4], [[8, 4], [8, 0], [3, 1], [7, 1]], [4, 0, 4, 2], [[8, 4], [8, 0], [3, 1], [7, 2]], [4, 3, 4, 4], [[8, 4], [7, 0], [3, 1], [7, 2]], [4, 1, 4, 2], [[8, 4], [9, 0], [3, 1], [7, 4]], [4, 3, 4, 3], [[8, 4], [8, 0], [3, 1], [6, 5]], [4, 3, 4, 3], [[8, 4], [7, 0], [3, 1], [5, 6]]]","[0.0, -0.033, 0.0, 0.526, 0.3725, 0.3965]","[[[[None, 1, None, 1, 1], [2, None, 1, None, None], [1, 1, 2, 1, 3], [1, None, 1, 1, None], [None, 0, None, None, None]], [None, None]], 'no_drones']",9.052056109532714,0.9090909090909091,0.6153846153846154,"[0.24661, 0.55247, 0.65841, -0.22464, -0.08604, -0.09128, -0.05274, 0.48208, 0.38809, 0.15933, 0.11268, 0.21839]","[[[[None, None, None, None, None], [None, None, None, 1, 1], [None, None, 2, None, 3], [1, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [1, 1, 1, None, 1], [None, None, 2, 1, 3], [1, None, 1, 1, None], [0, None, None, None, None]], [None, None]], 'no_drones']",337.974616991356,0.8181818181818181,0.46153846153846156
"[[[6, 7], [0, 0], [8, 5], [5, 4]], [0, 3, 0, 4], [[5, 6], [0, 1], [8, 3], [5, 4]], [4, 2, 4, 1], [[5, 6], [0, 3], [8, 3], [6, 3]], [0, 1, 0, 2], [[6, 5], [1, 4], [8, 1], [5, 4]], [4, 1, 4, 3], [[6, 5], [2, 3], [8, 1], [3, 4]], [4, 4, 4, 1], [[6, 5], [2, 3], [8, 1], [4, 3]], [4, 4, 4, 2], [[6, 5], [2, 3], [8, 1], [5, 4]], [4, 4, 4, 3], [[6, 5], [2, 3], [8, 1], [4, 4]], [4, 4, 4, 1], [[6, 5], [2, 3], [8, 1], [5, 5]], [1, 4, 4, 4], [[7, 4], [2, 3], [8, 1], [5, 5]], [1, 4, 4, 4], [[9, 4], [2, 3], [8, 1], [5, 5]], [3, 4, 4, 4], [[8, 4], [2, 3], [8, 1], [5, 5]], [4, 4, 4, 4], [[8, 4], [2, 3], [8, 1], [5, 5]]]","[0.0, 0.0, 0.0, -0.00775, 0.12425, 0.0505, 0.233, 0.23675, 0.18825, 0.21575, 0.14, 0.3675]","[[[[None, 2, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 3, None]], [None, 5]], [[[None, None, 1, 2, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[None, None, None, None, None], [None, None, None, None, 1], [None, None, 2, 1, 3], [1, 1, 1, 1, None], [0, None, None, None, None]], [None, None]], 'no_drones']",20.823262960650027,0.7272727272727273,0.7307692307692308,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.00054, -0.00054, -0.00054, -0.00054, -0.00044, 0.15698, 0.25201, 0.06971, 0.04821, 0.20112]","[[[[None, 2, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 3, None]], [None, None]], [[[1, 1, 1, None, 1], [None, 1, 2, None, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [None, 5]], 'no_drones']",243.66293517965823,0.8181818181818181,0.8461538461538461
"[[[6, 3], [5, 9], [7, 9], [0, 9]], [1, 3, 1, 1], [[7, 4], [4, 8], [8, 8], [1, 9]], [4, 4, 4, 1], [[7, 4], [4, 8], [8, 8], [3, 9]], [4, 0, 4, 3], [[7, 4], [4, 7], [8, 8], [2, 9]], [4, 1, 4, 0], [[7, 4], [5, 8], [8, 8], [2, 8]], [4, 3, 4, 4], [[7, 4], [4, 9], [8, 8], [2, 8]], [4, 0, 4, 4], [[7, 4], [4, 8], [8, 8], [2, 8]], [4, 4, 4, 0], [[7, 4], [4, 8], [8, 8], [1, 7]], [4, 4, 4, 0], [[7, 4], [4, 8], [8, 8], [1, 5]], [4, 4, 4, 2], [[7, 4], [4, 8], [8, 8], [2, 6]], [4, 4, 4, 3], [[7, 4], [4, 8], [8, 8], [0, 6]], [4, 4, 4, 1], [[7, 4], [4, 8], [8, 8], [1, 7]], [4, 4, 4, 0], [[7, 4], [4, 8], [8, 8], [1, 6]]]","[0.25, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.857, 0.0, 0.0, 0.0]","[[[[3, 1, 1, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, None]], [[[3, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, None]], [[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, None]], 'no_drones']",16.239818491972983,0.7272727272727273,0.9358974358974358,"[0.25, 0.85444, 0.85444, 0.85444, 0.85444, 0.85444, 0.85444, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[[None, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [None, 4]], [[[3, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [7, None]], 'no_drones']",183.84291062969714,0.8181818181818181,0.9038461538461539
"[[[9, 1], [3, 6], [4, 5], [6, 7]], [3, 2, 0, 1], [[8, 2], [3, 8], [5, 4], [7, 6]], [4, 4, 4, 0], [[8, 2], [3, 8], [5, 4], [8, 5]], [4, 4, 4, 0], [[8, 2], [3, 8], [5, 4], [8, 4]], [0, 4, 4, 4], [[8, 0], [3, 8], [5, 4], [8, 4]], [3, 4, 4, 4], [[6, 0], [3, 8], [5, 4], [8, 4]], [1, 4, 4, 4], [[7, 0], [3, 8], [5, 4], [8, 4]], [2, 4, 4, 4], [[7, 2], [3, 8], [5, 4], [8, 4]], [0, 4, 2, 4], [[7, 1], [3, 8], [6, 5], [8, 4]], [4, 4, 3, 4], [[7, 1], [3, 8], [5, 6], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 8], [6, 5], [8, 4]], [4, 4, 3, 4], [[7, 1], [3, 8], [4, 5], [8, 4]], [4, 4, 1, 4], [[7, 1], [3, 8], [5, 6], [8, 4]]]","[0.168, -0.0595, 0.02625, -0.00375, -0.0155, -0.058, -0.033, -0.073, 0.247, 0.11025, 0.3175, 0.11025, 0.3175, 0.55775, 0.128, 0.128, 0.128]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, None], [None, None, 2, 1, 1], [None, None, 1, 1, 1], [None, None, 1, 1, 1]], [6, 0]], [[[None, None, None, None, 2], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, 2], [1, 1, 1, 1, 1]], [7, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, None], [0, 1, 1, 1, 1], [None, None, 1, 1, None]], [7, None]], [[[0, None, None, 3, None], [None, None, None, None, None], [0, None, 2, None, None], [None, 1, 1, 1, 1], [None, None, 1, 1, None]], [None, None]], 'no_drones']",34.371274434030056,0.5454545454545454,0.48461538461538456,"[0.16772, 0.00028, -0.00035, -0.0038, -0.01922, -0.01236, -0.00861, 0.10658, 0.03341, 0.03341, 0.03341, 0.03341]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 2]], [[[1, None, 3, 1, None], [None, None, None, None, None], [None, None, 2, None, None], [1, None, 1, 1, 2], [1, 1, 1, 1, 1]], [None, None]], 'no_drones']",138.59556338377297,0.8181818181818181,0.673076923076923
