History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[5, 9], [5, 7], [0, 2], [4, 8]], [2, 0, 3, 3], [[5, 9], [4, 6], [0, 1], [3, 9]], [4, 1, 2, 3], [[5, 9], [5, 5], [0, 2], [2, 9]], [3, 4, 3, 0], [[3, 9], [5, 5], [0, 2], [2, 8]], [1, 4, 3, 0], [[4, 9], [5, 5], [0, 2], [3, 7]], [2, 4, 3, 3], [[5, 9], [5, 5], [0, 3], [2, 7]], [3, 4, 1, 4], [[4, 9], [5, 5], [1, 2], [2, 7]], [0, 4, 1, 4], [[4, 7], [5, 5], [2, 3], [2, 7]], [2, 4, 4, 4], [[4, 9], [5, 5], [2, 3], [2, 7]], [0, 4, 4, 4], [[3, 8], [5, 5], [2, 3], [2, 7]], [1, 4, 4, 3], [[4, 9], [5, 5], [2, 3], [1, 7]], [0, 4, 4, 0], [[5, 8], [5, 5], [2, 3], [1, 5]], [3, 4, 0, 2], [[4, 7], [5, 5], [3, 2], [1, 7]]]","[0.0, 0.0, 0.0, -0.009, -0.039, -0.01575, -0.01425, 0.0055, -0.01425, -0.0215, -0.0055, -0.0165, 0.09875, 0.17875, 0.27175]","[[[[1, 1, 1, None, None], [2, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, None, None, None, None]], [4, 9]], [[[None, None, 2, None, None], [3, None, None, 1, None], [None, 1, None, None, None], [2, None, None, None, None], [None, None, 1, 3, 3]], [None, None]], [[[1, 1, 1, 1, None], [1, 2, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [None, 1, 1, 1, None]], [3, 8]], [[[None, 1, 1, None, None], [1, 1, 1, None, 0], [1, 1, 2, None, 0], [1, 1, None, 3, None], [1, None, 1, None, None]], [None, None]], 'perfect_cover']",22.61743194144219,0.6363636363636364,0.5673076923076923,"[0.0, 0.0, 0.0, 0.0, -0.01218, -0.01367, -0.00239, -0.01367, -0.01039, -0.01438, 0.0686, 0.09774, 0.03552, 0.10167, 0.19541]","[[[[None, None, 2, None, None], [3, None, None, None, 1], [1, None, None, None, None], [2, None, None, 1, None], [None, 1, 1, 3, None]], [None, None]], [[[None, 1, 1, None, None], [None, None, None, None, None], [1, 1, 2, None, None], [1, 1, None, None, None], [1, None, 1, 1, None]], [5, 8]], 'perfect_cover']",203.04830181598663,0.8181818181818181,0.40384615384615385
"[[[0, 3], [4, 9], [9, 5], [2, 3]], [1, 0, 0, 1], [[1, 4], [5, 8], [9, 4], [3, 2]], [2, 3, 3, 4], [[1, 5], [4, 7], [8, 3], [3, 2]], [2, 4, 4, 4], [[1, 7], [4, 7], [8, 3], [3, 2]], [0, 4, 4, 4], [[1, 5], [4, 7], [8, 3], [3, 2]], [2, 4, 4, 4], [[2, 6], [4, 7], [8, 3], [3, 2]], [3, 4, 4, 4], [[1, 7], [4, 7], [8, 3], [3, 2]], [0, 4, 4, 4], [[1, 5], [4, 7], [8, 3], [3, 2]], [2, 4, 4, 4], [[1, 7], [4, 7], [8, 3], [3, 2]], [0, 4, 4, 4], [[1, 5], [4, 7], [8, 3], [3, 2]], [2, 4, 4, 4], [[2, 6], [4, 7], [8, 3], [3, 2]], [3, 4, 4, 4], [[1, 7], [4, 7], [8, 3], [3, 2]], [0, 4, 4, 4], [[1, 6], [4, 7], [8, 3], [3, 2]]]","[-0.004, 0.014, 0.065, 0.0145, 0.026, 0.0145, -0.01325, 0.065, 0.09, 0.051, -0.01875, 0.051, 0.149, -0.13825, 0.075]","[[[[None, None, None, None, None], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [1, 7]], [[[None, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, None, None, 1, 1], [1, 1, 1, 2, 1]], [2, None]], [[[None, None, None, None, None], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [1, 7]], [[[0, None, None, None, 0], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, None, 1, 1, 1], [None, 1, None, 1, None]], [None, 5]], 'perfect_cover']",22.103215660899878,0.6363636363636364,0.7307692307692308,"[-0.02606, 0.01003, 0.00307, 0.01445, -0.0172, 0.01457, -0.00877, -0.0172, 0.01457, 0.13151, 0.22296, 0.13151, 0.13085, 0.22296]","[[[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, None, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[0, None, None, None, 0], [1, 1, 1, 3, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [3, None, 1, 1, None]], [None, None]], 'perfect_cover']",220.6541689829901,0.8181818181818181,0.75
"[[[1, 4], [2, 7], [9, 0], [5, 8]], [1, 4, 3, 3], [[2, 5], [2, 7], [7, 0], [3, 8]], [3, 3, 2, 1], [[0, 5], [1, 6], [7, 1], [4, 9]], [1, 2, 4, 0], [[1, 4], [1, 8], [7, 1], [4, 8]], [1, 0, 4, 4], [[2, 5], [0, 7], [7, 1], [4, 8]], [0, 1, 4, 4], [[3, 4], [1, 8], [7, 1], [4, 8]], [0, 0, 4, 4], [[3, 3], [1, 7], [7, 1], [4, 8]], [4, 0, 4, 4], [[3, 3], [2, 6], [7, 1], [4, 8]], [4, 3, 4, 4], [[3, 3], [1, 7], [7, 1], [4, 8]], [4, 0, 4, 4], [[3, 3], [1, 5], [7, 1], [4, 8]], [0, 2, 4, 4], [[3, 1], [1, 7], [7, 1], [4, 8]], [4, 0, 4, 4], [[3, 1], [1, 6], [7, 1], [4, 8]], [4, 4, 4, 4], [[3, 1], [1, 6], [7, 1], [4, 8]]]","[0.0, 0.0, 0.0, -0.16575, -0.16575, 0.33675, 0.057, 0.1055, 0.1055]","[[[[3, 1, None, None, 2], [None, None, None, None, None], [1, 1, 2, 1, 3], [1, 1, None, None, None], [None, None, None, None, None]], [None, None]], [[[0, None, 3, None, None], [None, None, None, None, None], [None, 1, 2, None, None], [None, None, 1, 1, None], [None, None, None, None, None]], [None, None]], 'perfect_cover']",28.979479806497693,0.8181818181818181,0.38461538461538464,"[-0.00296, -0.00144, 0.0, 0.0, 0.0, -0.15841, -0.72636, -0.69724, -0.72636, 0.37921, 0.00597, 0.00688, 0.00582, 0.01449, 0.01449]","[[[[None, None, None, 1, 2], [1, None, None, 1, 1], [1, 1, 2, None, 3], [1, 1, None, 1, 1], [1, None, None, 1, 1]], [None, None]], [[[None, None, None, None, None], [None, 1, 1, 1, None], [None, 1, 2, None, 1], [None, None, 1, 1, None], [None, None, None, None, None]], [None, None]], 'perfect_cover']",350.92455655150115,0.8181818181818181,0.5384615384615384
"[[[0, 9], [1, 9], [5, 1], [9, 0]], [4, 1, 1, 3], [[0, 9], [2, 9], [6, 2], [8, 0]], [2, 0, 1, 3], [[0, 9], [2, 7], [7, 2], [6, 0]], [1, 4, 4, 0], [[2, 9], [2, 7], [7, 2], [6, 0]], [1, 4, 4, 0], [[3, 9], [2, 7], [7, 2], [6, 0]], [1, 4, 4, 0], [[4, 9], [2, 7], [7, 2], [6, 0]], [0, 4, 4, 0], [[5, 8], [2, 7], [7, 2], [6, 0]], [3, 4, 4, 0], [[3, 8], [2, 7], [7, 2], [6, 0]], [1, 3, 4, 0], [[4, 9], [1, 6], [7, 2], [6, 0]], [0, 4, 4, 0], [[4, 7], [1, 6], [7, 2], [7, 0]], [4, 4, 2, 1], [[4, 7], [1, 6], [8, 3], [8, 1]], [4, 4, 2, 4], [[4, 7], [1, 6], [9, 4], [8, 1]], [4, 4, 3, 4], [[4, 7], [1, 6], [8, 5], [8, 1]]]","[0.047, 0.0495, 0.0095, 0.0505, 0.016, -0.071, -0.00525, -0.01125, -0.002, 0.05175, 0.21975, 0.14175, 0.1375, 0.12075, 0.12075]","[[[[None, 3, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [1, None, None, None, 0]], [None, None]], [[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, None, None, None], [1, 1, 1, 1, None]], [5, 8]], [[[None, None, 1, None, None], [None, 2, 1, None, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [None, 8]], [[[1, 1, 1, 1, 1], [3, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, None, None]], [4, None]], 'perfect_cover']",13.42005044221878,0.6363636363636364,0.5961538461538461,"[0.02425, 0.01322, 0.00365, -0.00736, -0.00278, -0.00495, -0.00019, -0.10189, -0.02783, -0.06275, -0.14049, -0.01041, 0.02656, 0.08096, 0.03831, 0.02445, 0.02445]","[[[[None, None, None, None, None], [0, None, None, None, None], [1, None, None, None, 0], [1, 1, 1, None, None], [2, 1, 1, None, None]], [None, None]], [[[None, 1, None, 1, None], [1, 2, 1, 1, 0], [1, 1, 2, 1, 0], [None, 1, None, None, 0], [None, None, None, 1, None]], [None, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [1, None, None, None, 0]], [None, 9]], 'perfect_cover']",295.7323519401252,0.7272727272727273,0.3974358974358975
"[[[1, 3], [4, 6], [0, 5], [2, 7]], [1, 1, 1, 2], [[2, 2], [5, 7], [1, 4], [2, 8]], [1, 0, 2, 4], [[3, 3], [5, 6], [0, 5], [2, 8]], [4, 0, 1, 4], [[3, 3], [5, 5], [1, 6], [2, 8]], [0, 4, 4, 1], [[2, 2], [5, 5], [1, 6], [3, 9]], [1, 4, 4, 0], [[3, 1], [5, 5], [1, 6], [3, 8]], [4, 4, 4, 1], [[3, 1], [5, 5], [1, 6], [5, 8]], [4, 4, 4, 3], [[3, 1], [5, 5], [1, 6], [4, 7]], [4, 4, 4, 2], [[3, 1], [5, 5], [1, 6], [4, 9]], [4, 4, 4, 0], [[3, 1], [5, 5], [1, 6], [4, 7]], [4, 4, 4, 2], [[3, 1], [5, 5], [1, 6], [4, 9]], [4, 4, 4, 0], [[3, 1], [5, 5], [1, 6], [4, 8]], [4, 4, 4, 4], [[3, 1], [5, 5], [1, 6], [4, 8]]]","[0.0, 0.0055, -0.01025, -0.01775, 0.15225, 0.21225, 0.23675, 0.21225, 0.25175, 0.597, 0.6195, 0.6195, 0.6195, 0.138, 0.138, 0.138]","[[[[1, 1, 1, 1, None], [1, None, 1, 1, 2], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 2]], [[[1, 1, 1, 1, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 2]], [[[0, 1, None, None, None], [None, 1, 1, None, 1], [None, None, 2, None, None], [None, None, 1, None, 1], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [0, 1, 1, 1, None], [0, None, 2, None, None], [None, None, 1, 1, None], [None, None, 1, None, None]], [None, None]], [[[None, None, 3, None, None], [None, None, None, None, None], [None, 1, 2, 1, None], [None, None, 1, 1, None], [0, None, None, None, None]], [None, None]], 'perfect_cover']",48.05734011437744,0.5454545454545454,0.5846153846153845,"[0.17771, 0.20784, 0.15726, 0.16746, 0.21393, 0.13757, 0.14777, 0.2115, 0.52486, 0.52486, 0.02007, 0.02007, 0.02007, 0.02007, 0.02007]","[[[[0, None, 3, None, None], [None, None, 1, None, None], [None, 1, 2, 1, None], [None, None, 1, 1, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [None, 1, 1, None, None], [None, None, 2, None, None], [0, 1, 1, None, None], [None, None, None, None, None]], [None, None]], 'perfect_cover']",452.1759531116113,0.8181818181818181,0.34615384615384615
"[[[4, 4], [8, 4], [8, 1], [6, 4]], [4, 4, 4, 2], [[4, 4], [8, 4], [8, 1], [6, 6]], [1, 4, 4, 4], [[5, 5], [8, 4], [8, 1], [6, 6]], [0, 4, 4, 4], [[5, 4], [8, 4], [8, 1], [6, 6]], [4, 4, 4, 3], [[5, 4], [8, 4], [8, 1], [5, 5]], [1, 4, 4, 2], [[7, 4], [8, 4], [8, 1], [4, 6]], [3, 4, 4, 1], [[6, 5], [8, 4], [8, 1], [5, 6]], [0, 4, 4, 4], [[6, 4], [8, 4], [8, 1], [5, 6]], [3, 4, 4, 4], [[4, 4], [8, 4], [8, 1], [5, 6]], [1, 4, 4, 4], [[5, 3], [8, 4], [8, 1], [5, 6]], [2, 4, 4, 0], [[5, 5], [8, 4], [8, 1], [6, 5]], [4, 4, 4, 1], [[5, 5], [8, 4], [8, 1], [8, 5]], [4, 4, 4, 3], [[5, 5], [8, 4], [8, 1], [7, 5]]]","[0.151, -0.044, -0.00625, 0.369, -0.096, 0.051, 0.0225, -0.02125, 0.0155, -0.018, 0.0, 0.024, -0.064, 0.203, 0.203]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 2], [1, 1, 1, 1, 1]], [5, 4]], [[[None, None, None, None, None], [None, None, None, 2, None], [1, 1, None, None, None], [None, 1, None, None, 1], [None, 2, None, None, None]], [6, None]], [[[1, None, None, None, 3], [None, 1, None, 1, None], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, None, 1, 1, None]], [None, None]], [[[None, None, None, 1, None], [None, None, None, 1, 1], [1, 1, 2, 1, 1], [None, 1, None, 1, 1], [None, 1, 1, 1, None]], [5, None]], 'perfect_cover']",31.81188646145165,0.6363636363636364,0.6057692307692307,"[-0.00791, 0.01444, 0.03176, 0.08378, 0.00013, 0.08385, -0.03637, -0.06325, 0.01002, 0.0492, -0.09904, -0.41906, -0.24072, 0.05439, 0.05439]","[[[[3, None, 1, None, 1], [None, None, None, None, None], [None, None, 2, None, None], [None, None, 2, 1, None], [1, 1, None, 1, None]], [None, None]], [[[None, None, None, None, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, 1, None, 1, 1], [None, 1, 1, 1, None]], [5, None]], 'perfect_cover']",316.04807242471725,0.8181818181818181,0.5384615384615385
"[[[9, 3], [8, 2], [0, 2], [1, 4]], [2, 0, 4, 2], [[9, 5], [8, 1], [0, 2], [2, 5]], [0, 4, 3, 3], [[9, 3], [8, 1], [0, 2], [1, 6]], [3, 4, 3, 4], [[7, 3], [8, 1], [0, 2], [1, 6]], [2, 4, 3, 4], [[7, 5], [8, 1], [0, 1], [1, 6]], [0, 4, 2, 4], [[7, 3], [8, 1], [0, 3], [1, 6]], [2, 4, 1, 4], [[7, 5], [8, 1], [1, 3], [1, 6]], [0, 4, 1, 4], [[7, 3], [8, 1], [2, 2], [1, 6]], [2, 4, 1, 4], [[7, 5], [8, 1], [3, 3], [1, 6]], [0, 4, 4, 4], [[6, 4], [8, 1], [3, 3], [1, 6]], [3, 4, 4, 4], [[5, 3], [8, 1], [3, 3], [1, 6]], [2, 4, 0, 4], [[5, 4], [8, 1], [3, 2], [1, 6]], [2, 4, 4, 4], [[6, 5], [8, 1], [3, 2], [1, 6]]]","[-0.0065, -0.00075, 0.001, 0.009, -0.002, 0.021, 0.001, -0.034, 0.0255, 0.021, -0.03, 0.021, -0.012, 0.0015, -0.02625, 0.03225, 0.16325, 0.062]","[[[[1, 3, 1, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [1, 1, 1, 1, 1]], [7, 5]], [[[1, 3, 1, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [1, 1, 1, 1, 1]], [7, 5]], [[[1, 1, 2, 1, 3], [1, 1, 1, 1, 1], [1, 3, 2, 1, 1], [1, 1, 1, 1, 1], [1, None, 1, 1, 1]], [None, None]], 'perfect_cover']",22.744010536931455,0.5454545454545454,0.9692307692307693,"[-0.00099, -0.00135, -0.00054, 0.0021, -0.00378, 0.0021, -0.00378, 0.0021, 0.01965, 0.05235, 0.00926, 0.0486, 0.01078]","[[[[1, 3, 1, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, 3]], [[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, None], [1, 1, 1, 1, 1]], [None, 5]], 'perfect_cover']",191.50560013763607,0.8181818181818181,0.9423076923076923
"[[[9, 2], [7, 0], [8, 4], [3, 3]], [3, 3, 4, 4], [[8, 3], [6, 0], [8, 4], [3, 3]], [0, 1, 4, 4], [[8, 2], [7, 1], [8, 4], [3, 3]], [1, 4, 4, 4], [[9, 2], [7, 1], [8, 4], [3, 3]], [0, 4, 4, 4], [[9, 1], [7, 1], [8, 4], [3, 3]], [0, 4, 4, 4], [[9, 0], [7, 1], [8, 4], [3, 3]], [3, 4, 4, 4], [[8, 0], [7, 1], [8, 4], [3, 3]], [0, 2, 4, 4], [[8, 0], [7, 3], [8, 4], [3, 3]], [3, 0, 4, 4], [[7, 0], [7, 1], [8, 4], [3, 3]], [1, 2, 4, 4], [[8, 0], [7, 2], [8, 4], [3, 3]], [3, 4, 4, 4], [[7, 0], [7, 2], [8, 4], [3, 3]], [1, 2, 4, 4], [[9, 0], [7, 4], [8, 4], [3, 3]], [3, 3, 4, 4], [[8, 1], [5, 4], [8, 4], [3, 3]]]","[-0.031, 0.11575, -0.081, 0.15975, -0.20025, -0.12225, 0.064, -0.139, 0.044, 0.299, 0.05125, 0.23]","[[[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, 0, None, None]], [None, 2]], [[[None, None, None, None, None], [None, None, None, 2, None], [0, 0, 2, None, None], [None, None, 1, 1, None], [None, None, 0, None, None]], [None, None]], [[[None, None, 1, 1, 1], [None, None, 1, 1, None], [None, None, 2, 1, 1], [None, None, 1, 1, None], [None, None, None, None, None]], [8, 0]], 'perfect_cover']",12.776331750676036,0.7272727272727273,0.3205128205128205,"[0.00057, 0.02508, 0.08485, -0.09533, -0.02465, -0.02693, -0.00641, 0.26451, 0.22257, 0.26451, 0.01484, 0.04474]","[[[[None, None, None, None, None], [None, 2, None, None, None], [None, 1, None, None, 2], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 2]], [[[None, 0, None, None, None], [0, None, 1, 1, 1], [None, None, 2, 1, None], [None, None, 1, 1, 1], [0, 0, 0, None, None]], [None, None]], 'perfect_cover']",117.78614184912294,0.8181818181818181,0.4423076923076923
"[[[3, 3], [3, 2], [2, 7], [4, 9]], [1, 0, 4, 0], [[4, 2], [2, 1], [2, 7], [4, 8]], [2, 0, 3, 4], [[4, 3], [3, 0], [1, 8], [4, 8]], [2, 2, 0, 4], [[4, 5], [3, 1], [1, 7], [4, 8]], [1, 4, 0, 4], [[5, 4], [3, 1], [0, 6], [4, 8]], [4, 4, 1, 4], [[5, 4], [3, 1], [1, 7], [4, 8]], [4, 4, 0, 4], [[5, 4], [3, 1], [1, 5], [4, 8]], [4, 4, 2, 4], [[5, 4], [3, 1], [2, 6], [4, 8]], [4, 4, 3, 4], [[5, 4], [3, 1], [1, 5], [4, 8]], [4, 4, 2, 4], [[5, 4], [3, 1], [0, 6], [4, 8]], [4, 4, 1, 4], [[5, 4], [3, 1], [2, 6], [4, 8]], [4, 4, 3, 4], [[5, 4], [3, 1], [1, 5], [4, 8]], [4, 4, 2, 4], [[5, 4], [3, 1], [2, 6], [4, 8]]]","[0.0, 0.192, -0.011, 0.13375, 0.13375, 0.8225, 0.81375, 0.8225, 0.8225, 0.8225, 0.05975, 0.05975, 0.05975]","[[[[None, 2, None, 1, 1], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, None, 1, 1], [None, 1, 1, 1, 1]], [4, 2]], [[[1, 1, 1, 3, 1], [1, 1, 1, 1, 1], [3, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, None]], [None, None]], [[[1, 1, 1, 3, 1], [1, 1, 1, 1, 1], [3, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 3, 1], [1, 1, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, None]], 'perfect_cover']",21.499767950735986,0.6363636363636364,0.9230769230769231,"[0.17567, 0.19144, -0.03197, 0.06691, -0.03197, 0.06691, 0.79222, 0.78551, 0.79222, 0.0096, 0.0096, 0.0096, 0.0096, 0.0096]","[[[[1, 1, 1, 3, 1], [1, 1, 1, 1, 1], [3, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], [[[1, 1, 1, 3, 1], [1, None, 1, 1, None], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [None, None]], 'perfect_cover']",182.59791057556868,0.8181818181818181,0.9615384615384616
"[[[1, 9], [7, 4], [9, 4], [1, 5]], [1, 3, 0, 2], [[2, 9], [6, 5], [9, 2], [0, 6]], [0, 4, 3, 1], [[2, 7], [6, 5], [8, 1], [1, 7]], [1, 4, 4, 0], [[4, 7], [6, 5], [8, 1], [1, 6]], [3, 4, 4, 4], [[3, 6], [6, 5], [8, 1], [1, 6]], [1, 4, 4, 4], [[4, 7], [6, 5], [8, 1], [1, 6]], [3, 4, 4, 4], [[3, 6], [6, 5], [8, 1], [1, 6]], [1, 4, 4, 4], [[4, 7], [6, 5], [8, 1], [1, 6]], [3, 4, 4, 4], [[3, 8], [6, 5], [8, 1], [1, 6]], [1, 4, 4, 4], [[4, 7], [6, 5], [8, 1], [1, 6]], [3, 4, 4, 4], [[3, 7], [6, 5], [8, 1], [1, 6]], [1, 4, 4, 4], [[4, 8], [6, 5], [8, 1], [1, 6]], [4, 4, 4, 4], [[4, 8], [6, 5], [8, 1], [1, 6]]]","[0.0, 0.0, 0.0615, 0.0395, 0.022, 0.022, 0.0395, 0.022, 0.03075, -0.02875, 0.03075, 0.115, -0.029, 0.31425, 0.00225, 0.1085, 0.295]","[[[[1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, 1], [None, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [2, 7]], [[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, None]], [4, 7]], [[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, None]], [4, 7]], [[[1, 2, 1, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [3, 7]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, 1, 0], [None, 1, 1, 1, 0], [None, None, 3, None, None]], [None, None]], 'perfect_cover']",27.062083550728858,0.5454545454545454,0.7769230769230769,"[0.0, 0.0, 0.01213, 0.02981, 0.00184, 0.00806, 0.00062, 0.00806, -0.00483, 0.00806, 0.03579, 0.01081, 0.06712, 0.01081, 0.24136, -0.03492, 0.03077, -0.03492, 0.08162, 0.21437]","[[[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, None]], [4, 7]], [[[1, 2, 1, 1, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [3, 7]], [[[None, 1, None, None, None], [None, None, None, 1, None], [None, None, 2, 1, None], [None, None, None, 1, None], [None, None, 3, None, None]], [None, None]], 'perfect_cover']",370.591179843992,0.7272727272727273,0.6794871794871794
