History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[[[1, 8], [3, 7], [3, 2], [4, 5]], [0, 1, 4, 1], [[1, 7], [5, 7], [3, 2], [5, 6]], [0, 3, 4, 0], [[1, 5], [4, 6], [3, 2], [5, 4]], [2, 2, 4, 1], [[1, 7], [4, 7], [3, 2], [6, 5]], [0, 3, 4, 4], [[2, 6], [3, 6], [3, 2], [6, 5]], [3, 1, 4, 4], [[1, 7], [4, 7], [3, 2], [6, 5]], [0, 3, 4, 4], [[1, 5], [3, 8], [3, 2], [6, 5]], [2, 4, 4, 4], [[2, 6], [3, 8], [3, 2], [6, 5]], [3, 4, 4, 4], [[1, 5], [3, 8], [3, 2], [6, 5]], [2, 4, 4, 4], [[1, 7], [3, 8], [3, 2], [6, 5]], [0, 4, 4, 4], [[0, 6], [3, 8], [3, 2], [6, 5]], [1, 4, 4, 4], [[1, 7], [3, 8], [3, 2], [6, 5]], [0, 4, 4, 4], [[0, 6], [3, 8], [3, 2], [6, 5]]]","[0.0, 0.0, 0.0, 0.0675, 0.032, 0.0145, 0.02325, 0.00775, 0.01225, 0.029, 0.087, 0.029]","[[[[3, 1, 1, 1, None], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 3, 2, 1, 1], [1, 1, None, 1, 1]], [2, None]], [[[3, None, None, 1, None], [None, 1, None, None, None], [None, None, 2, None, None], [1, 3, None, 1, 2], [1, None, 1, 1, None]], [2, None]], [[[0, None, None, None, 0], [None, None, None, None, 0], [3, 1, 2, 1, 3], [1, 1, 1, 1, 1], [1, None, 1, None, 1]], [None, None]], 'region']",18.062919973395765,0.7272727272727273,0.6923076923076922,"[-0.01408, -0.01412, 0.00541, -0.02158, -0.0107, 0.01558, -0.0107, -0.0063, 0.00446, 0.23253, 0.30169, 0.02879, 0.07704, 0.02879]","[[[[3, 1, 1, 1, 3], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 3, None, 1, 1], [1, 1, 1, None, None]], [None, None]], [[[None, None, None, None, None], [None, 3, None, None, None], [None, None, None, 1, 1], [None, None, None, 1, None], [None, 1, None, 1, None]], [None, None]], 'region']",303.95563112199306,0.8181818181818181,0.6153846153846154
"[[[2, 7], [8, 5], [9, 1], [7, 2]], [4, 0, 3, 4], [[2, 7], [8, 4], [8, 2], [7, 2]], [4, 4, 0, 4], [[2, 7], [8, 4], [8, 0], [7, 2]], [4, 4, 3, 4], [[2, 7], [8, 4], [6, 0], [7, 2]], [4, 4, 0, 0], [[2, 7], [8, 4], [6, 0], [6, 1]], [4, 4, 1, 1], [[2, 7], [8, 4], [7, 0], [8, 1]], [4, 4, 3, 2], [[2, 7], [8, 4], [6, 0], [9, 2]], [4, 4, 1, 3], [[2, 7], [8, 4], [7, 0], [8, 3]], [4, 4, 2, 0], [[2, 7], [8, 4], [7, 1], [7, 2]], [4, 4, 4, 2], [[2, 7], [8, 4], [7, 1], [7, 3]], [4, 4, 4, 3], [[2, 7], [8, 4], [7, 1], [6, 3]], [4, 4, 4, 2], [[2, 7], [8, 4], [7, 1], [7, 4]], [4, 4, 4, 3], [[2, 7], [8, 4], [7, 1], [6, 4]]]","[0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.838, 0.037, 0.027, 0.027]","[[[[None, None, None, 3, None], [1, 1, 1, 1, 1], [1, 1, None, 1, 1], [3, 1, 1, 1, 1], [1, None, 1, 1, 1]], [2, None]], [[[None, None, None, 3, None], [None, None, None, None, None], [None, None, None, 1, 1], [None, 1, 1, 1, 1], [1, None, None, 1, 1]], [None, None]], [[[None, None, None, 3, None], [1, None, None, None, None], [None, None, None, 1, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",19.826887356117368,0.7272727272727273,0.4743589743589744,"[0.82662, 0.81194, 0.81194, 0.83162, 0.81194, 0.81194, 0.83144, 0.82644, 0.82662, 0.80546, 0.02633, 0.02549, 0.02641, 0.02405, 0.02405]","[[[[1, 1, 1, 3, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [3, 1, 1, 1, 1], [None, None, 1, 1, 1]], [None, None]], [[[None, None, None, 3, None], [None, None, None, None, None], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, 1, 1, None, None]], [None, None]], 'region']",296.01959125418216,0.8181818181818181,0.6730769230769231
"[[[0, 9], [2, 0], [5, 9], [1, 6]], [1, 1, 3, 4], [[1, 9], [3, 0], [4, 9], [1, 6]], [1, 2, 0, 4], [[3, 9], [4, 1], [4, 7], [1, 6]], [3, 3, 0, 4], [[2, 9], [3, 0], [4, 5], [1, 6]], [0, 2, 1, 4], [[2, 7], [3, 2], [5, 6], [1, 6]], [1, 4, 0, 4], [[3, 7], [3, 2], [5, 4], [1, 6]], [1, 4, 2, 4], [[4, 7], [3, 2], [6, 5], [1, 6]], [3, 4, 4, 4], [[3, 6], [3, 2], [6, 5], [1, 6]], [1, 4, 4, 4], [[4, 7], [3, 2], [6, 5], [1, 6]], [3, 4, 4, 4], [[3, 8], [3, 2], [6, 5], [1, 6]], [1, 4, 4, 4], [[4, 9], [3, 2], [6, 5], [1, 6]], [0, 4, 4, 4], [[4, 8], [3, 2], [6, 5], [1, 6]], [4, 4, 4, 4], [[4, 8], [3, 2], [6, 5], [1, 6]]]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.039, 0.028, -0.012, 0.012, -0.029, 0.115, 0.1315, 0.0255, 0.0365, 0.133]","[[[[1, 1, 1, 1, 1], [None, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, None, None]], [4, 7]], [[[1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [3, 6]], [[[1, 1, 1, None, None], [1, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, None, None, None, None]], [4, 9]], [[[None, 1, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, 1, None], [None, None, 3, None, None]], [None, None]], 'region']",15.816524100489914,0.6363636363636364,0.625,"[0.01747, -0.00208, 0.00055, 0.0, 0.0, 0.00176, 0.00055, -0.00139, -0.0295, 0.01236, 0.0047, 0.01236, -0.00837, 0.01081, 0.03579, 0.01081, 0.06712, 0.09128, -0.08005, 0.10732, 0.01806, 0.03735, 0.11689]","[[[[1, None, 1, None, None], [1, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, 1, 1, None, None]], [2, 9]], [[[1, 1, 1, 1, 1], [3, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [2, 1, 1, 3, 3]], [4, None]], [[[None, 1, 1, None, None], [1, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, None, None, None, None]], [4, 9]], [[[None, 1, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, 1, None], [None, None, 3, None, None]], [None, None]], 'region']",259.7016093963757,0.6363636363636364,0.5576923076923077
"[[[2, 6], [5, 8], [4, 4], [7, 0]], [2, 3, 1, 2], [[2, 8], [4, 9], [6, 4], [8, 1]], [4, 0, 3, 4], [[2, 8], [4, 7], [5, 5], [8, 1]], [4, 1, 4, 4], [[2, 8], [5, 7], [5, 5], [8, 1]], [4, 3, 0, 4], [[2, 8], [4, 6], [5, 3], [8, 1]], [4, 1, 2, 4], [[2, 8], [5, 7], [5, 5], [8, 1]], [4, 3, 0, 4], [[2, 8], [4, 6], [5, 3], [8, 1]], [4, 1, 2, 4], [[2, 8], [5, 6], [6, 4], [8, 1]], [4, 4, 1, 4], [[2, 8], [5, 6], [8, 4], [8, 1]], [4, 0, 4, 4], [[2, 8], [6, 5], [8, 4], [8, 1]], [4, 3, 4, 4], [[2, 8], [5, 6], [8, 4], [8, 1]], [4, 0, 4, 4], [[2, 8], [5, 4], [8, 4], [8, 1]], [4, 4, 4, 4], [[2, 8], [5, 4], [8, 4], [8, 1]]]","[-0.0725, -0.093, -0.0725, -0.145, 0.4955, 0.4955, 0.0, 0.0, 0.0]","[[[[1, 1, None, 1, None], [1, 1, 1, 1, 0], [1, 1, 2, 1, 0], [1, 1, 1, 1, None], [1, None, 1, 1, None]], [2, None]], [[[1, None, None, None, 0], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",13.064042595215142,0.8181818181818181,0.5,"[0.0, -0.01448, 0.04551, -0.21919, -0.19257, -0.21919, -0.19257, 0.0, 0.0, 0.0, 0.0, 0.0]","[[[[None, None, None, None, None], [None, None, 1, 1, 0], [None, 1, None, 1, None], [1, 1, 1, 1, None], [1, None, 1, 1, 0]], [2, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, None, 0], [None, None, None, None, None]], [None, None]], 'region']",199.97851376701146,0.8181818181818181,0.34615384615384615
"[[[0, 9], [3, 2], [3, 8], [3, 1]], [1, 2, 4, 4], [[1, 9], [3, 3], [3, 8], [3, 1]], [2, 1, 1, 4], [[2, 9], [5, 3], [4, 9], [3, 1]], [0, 2, 0, 4], [[2, 8], [4, 4], [5, 8], [3, 1]], [4, 1, 3, 4], [[2, 8], [5, 5], [4, 7], [3, 1]], [4, 4, 1, 4], [[2, 8], [5, 5], [5, 8], [3, 1]], [4, 4, 3, 4], [[2, 8], [5, 5], [4, 9], [3, 1]], [4, 4, 0, 4], [[2, 8], [5, 5], [4, 8], [3, 1]], [0, 4, 4, 4], [[3, 7], [5, 5], [4, 8], [3, 1]], [3, 4, 4, 4], [[2, 6], [5, 5], [4, 8], [3, 1]], [3, 4, 4, 4], [[1, 5], [5, 5], [4, 8], [3, 1]], [2, 4, 4, 4], [[2, 6], [5, 5], [4, 8], [3, 1]], [3, 4, 4, 4], [[1, 7], [5, 5], [4, 8], [3, 1]]]","[0.2005, 0.027, -0.0105, -0.0075, 0.6715, -0.0865, 0.0485, 0.05025, -0.0225, -0.10925, 0.12225, 0.38725, 0.12225]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [1, None, None, None, 0], [1, 2, 1, 0, None]], [None, None]], [[[None, None, 3, None, 0], [1, None, None, None, None], [None, None, 2, 1, None], [1, 1, 1, 1, None], [None, 2, 1, 1, None]], [None, None]], [[[1, None, 3, 1, 0], [None, None, 1, None, None], [None, None, 2, None, 0], [1, 1, 1, 1, None], [None, None, 2, 1, None]], [None, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, 1, None, 1, None], [None, None, None, 1, None]], [None, 5]], 'region']",15.890472845174372,0.6363636363636364,0.4038461538461538,"[0.0, 0.04835, -0.02063, -0.01359, 0.0, -0.01359, 0.03386, 0.0477, 0.01552, 0.03425, -0.00548, 0.0, 0.14222, 0.12209, 0.38403, 0.12209]","[[[[None, None, None, None, None], [1, None, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, 2, 1, None, None]], [1, 9]], [[[1, 1, 3, None, 0], [None, None, 1, None, 0], [1, None, 2, 1, 0], [1, 1, 1, 1, 0], [1, 1, None, 2, None]], [None, None]], [[[None, None, None, None, None], [None, 3, None, None, None], [None, None, None, 1, None], [None, None, 1, 1, None], [None, 1, None, 1, None]], [None, None]], 'region']",200.88667131960392,0.7272727272727273,0.5
"[[[0, 9], [3, 2], [2, 4], [2, 2]], [1, 0, 3, 1], [[1, 8], [2, 1], [1, 5], [3, 3]], [0, 1, 2, 1], [[2, 7], [3, 2], [2, 6], [4, 2]], [1, 4, 3, 2], [[3, 8], [3, 2], [1, 5], [4, 3]], [4, 4, 2, 2], [[3, 8], [3, 2], [1, 7], [4, 5]], [4, 4, 0, 1], [[3, 8], [3, 2], [1, 6], [5, 5]], [1, 4, 4, 4], [[4, 7], [3, 2], [1, 6], [5, 5]], [2, 4, 4, 4], [[5, 8], [3, 2], [1, 6], [5, 5]], [3, 4, 4, 4], [[4, 9], [3, 2], [1, 6], [5, 5]], [0, 4, 4, 4], [[3, 8], [3, 2], [1, 6], [5, 5]], [1, 4, 4, 4], [[4, 9], [3, 2], [1, 6], [5, 5]], [0, 4, 4, 4], [[4, 8], [3, 2], [1, 6], [5, 5]], [4, 4, 4, 4], [[4, 8], [3, 2], [1, 6], [5, 5]]]","[0.0, 0.0, 0.0, -0.08025, -0.1315, 0.232, -0.034, 0.006, -0.005, 0.008, 0.026, 0.103, 0.22375, 0.217, 0.22375, 0.02, 0.077, 0.1465]","[[[[1, 2, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], [[[2, None, 1, None, None], [None, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, 0], [None, 1, 1, 1, 0]], [None, None]], [[[1, 1, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, None, None, None], [1, 1, 1, 1, None]], [5, 8]], [[[1, 1, 1, None, None], [1, 1, 1, None, None], [1, 1, 2, None, None], [1, 1, 1, None, None], [1, None, None, None, None]], [4, 9]], [[[None, 1, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, 1, None], [None, None, 3, None, None]], [None, None]], 'region']",19.95574876666069,0.5454545454545454,0.5923076923076923,"[0.0, 0.0, 0.0, 0.0, 0.01427, 0.01559, 0.03613, -0.02572, -0.01462, 0.41558, 0.06732, 0.02212, 0.06732, 0.09788]","[[[[1, 2, 1, 1, None], [1, 1, 1, 1, None], [1, 1, 2, 1, None], [1, 1, 1, 1, None], [1, 1, 1, 1, None]], [3, 8]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, 1, None], [None, None, None, None, 0], [1, None, 1, 1, None]], [None, 8]], 'region']",157.13660287484527,0.8181818181818181,0.49999999999999994
"[[[1, 5], [2, 7], [3, 9], [5, 0]], [2, 1, 1, 3], [[1, 6], [3, 8], [4, 8], [4, 0]], [4, 2, 4, 3], [[1, 6], [3, 9], [4, 8], [3, 0]], [4, 3, 0, 2], [[1, 6], [2, 9], [4, 6], [3, 2]], [4, 0, 1, 4], [[1, 6], [2, 7], [5, 5], [3, 2]], [4, 1, 4, 4], [[1, 6], [3, 6], [5, 5], [3, 2]], [4, 2, 4, 4], [[1, 6], [3, 8], [5, 5], [3, 2]], [4, 1, 4, 4], [[1, 6], [4, 9], [5, 5], [3, 2]], [4, 0, 4, 4], [[1, 6], [3, 8], [5, 5], [3, 2]], [4, 1, 4, 4], [[1, 6], [4, 9], [5, 5], [3, 2]], [4, 0, 4, 4], [[1, 6], [4, 7], [5, 5], [3, 2]], [4, 2, 4, 4], [[1, 6], [5, 8], [5, 5], [3, 2]], [4, 3, 4, 4], [[1, 6], [4, 9], [5, 5], [3, 2]]]","[0.267, 0.4825, 0.49275, 0.55125, 0.469, 0.469, 0.469, 0.52325, 0.463, 0.463, 0.52325, 0.463, 0.021, 0.0265, 0.0265]","[[[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",30.193111745640635,0.6363636363636364,0.11538461538461542,"[0.38286, 0.3395, 0.2867, 0.3612, 0.22743, 0.22743, 0.26188, 0.22213, 0.00312, 0.01244, 0.00312, 0.01244, 0.01244]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, 3, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",245.10601964313537,0.8181818181818181,0.11538461538461542
"[[[5, 5], [8, 0], [7, 0], [9, 4]], [4, 0, 2, 3], [[5, 5], [8, 0], [6, 1], [8, 3]], [4, 3, 0, 2], [[5, 5], [7, 1], [7, 0], [7, 4]], [4, 2, 1, 1], [[5, 5], [6, 2], [8, 1], [8, 5]], [4, 2, 4, 0], [[5, 5], [6, 4], [8, 1], [8, 3]], [2, 1, 4, 2], [[5, 6], [7, 4], [8, 1], [8, 4]], [4, 0, 4, 4], [[5, 6], [7, 3], [8, 1], [8, 4]], [0, 3, 4, 4], [[5, 4], [6, 2], [8, 1], [8, 4]], [4, 0, 4, 4], [[5, 4], [7, 1], [8, 1], [8, 4]], [4, 4, 2, 4], [[5, 4], [7, 1], [8, 3], [8, 4]], [4, 4, 1, 4], [[5, 4], [7, 1], [9, 4], [8, 4]], [4, 4, 0, 3], [[5, 4], [7, 1], [9, 3], [7, 3]], [2, 4, 2, 2], [[4, 5], [7, 1], [8, 4], [6, 4]]]","[0.0, 0.0, 0.0, 0.3, 0.7175, -0.0305, 0.3195, 0.0475, -0.0375]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], 'region']",7.929098859429359,0.8181818181818181,0.8846153846153846,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.03107, 0.00432, 0.01107, 0.63919, -0.06621, -0.00634, 0.07348, 0.10037, -0.01078, 0.00583]","[[[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [2, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], [[[1, 1, 1, None, 1], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 4]], 'region']",144.6742092575878,0.8181818181818181,0.8846153846153846
"[[[1, 8], [7, 6], [3, 4], [8, 4]], [0, 3, 0, 4], [[1, 7], [6, 7], [4, 3], [8, 4]], [0, 0, 2, 4], [[1, 5], [6, 6], [4, 4], [8, 4]], [2, 4, 1, 4], [[1, 6], [6, 6], [5, 5], [8, 4]], [4, 4, 0, 4], [[1, 6], [6, 6], [5, 4], [8, 4]], [4, 3, 4, 4], [[1, 6], [5, 6], [5, 4], [8, 4]], [4, 4, 1, 4], [[1, 6], [5, 6], [6, 3], [8, 4]], [4, 0, 2, 4], [[1, 6], [5, 5], [6, 5], [8, 4]], [4, 4, 1, 4], [[1, 6], [5, 5], [7, 5], [8, 4]], [4, 4, 3, 4], [[1, 6], [5, 5], [6, 6], [8, 4]], [4, 0, 4, 4], [[1, 6], [5, 3], [6, 6], [8, 4]], [4, 2, 3, 4], [[1, 6], [5, 5], [5, 5], [8, 4]], [4, 4, 4, 4], [[1, 6], [5, 5], [5, 5], [8, 4]]]","[0.37325, 0.411, 0.31975, 0.204, 0.609, 0.598, 0.609, 0.606, 0.606, 0.606, 0.609, 0.609, 0.10425, 0.10875, 0.10875]","[[[[None, None, None, 0, None], [3, 1, 1, 1, 3], [None, None, 2, None, 1], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, 1, 1, 1, None], [None, None, 2, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, 1, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",43.29041887167841,0.6363636363636364,0.23076923076923078,"[0.3796, 0.43387, 0.19081, 0.4978, 0.48581, 0.4978, 0.48581, 0.50019, 0.48561, 0.48561, 0.50019, 0.48561, 0.48561, 0.50155, 0.4978, 0.09582, 0.1064, 0.10667, 0.11, 0.10892]","[[[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",366.8256626855582,0.7272727272727273,0.11538461538461542
"[[[0, 5], [1, 6], [5, 5], [6, 5]], [1, 2, 4, 1], [[1, 4], [1, 7], [5, 5], [7, 4]], [1, 0, 4, 1], [[2, 5], [2, 6], [5, 5], [9, 4]], [0, 2, 4, 3], [[3, 4], [2, 8], [5, 5], [8, 5]], [3, 4, 4, 0], [[2, 5], [2, 8], [5, 5], [8, 4]], [3, 4, 4, 4], [[1, 5], [2, 8], [5, 5], [8, 4]], [2, 4, 4, 4], [[0, 6], [2, 8], [5, 5], [8, 4]], [1, 1, 4, 4], [[1, 5], [3, 9], [5, 5], [8, 4]], [2, 0, 4, 4], [[1, 7], [3, 8], [5, 5], [8, 4]], [0, 4, 4, 4], [[1, 6], [3, 8], [5, 5], [8, 4]], [4, 1, 4, 4], [[1, 6], [4, 9], [5, 5], [8, 4]], [4, 0, 4, 4], [[1, 6], [4, 8], [5, 5], [8, 4]], [4, 4, 4, 4], [[1, 6], [4, 8], [5, 5], [8, 4]]]","[0.007, -0.0075, -0.014, 0.0, -0.0415, 0.026, 0.02625, -0.03675, -0.0035, 0.072, -0.039, 0.077, 0.07775, 0.248, 0.38825, 0.10825, 0.10275, 0.10275]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, None, 1], [1, None, 1, 1, 1], [3, 1, 1, 2, 1]], [None, None]], [[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, None, 1, 1], [1, 1, 1, 1, None]], [2, 5]], [[[None, None, None, None, None], [1, None, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, None, 1, 1]], [1, 5]], [[[None, None, None, None, 0], [1, 1, 1, None, 1], [1, 1, 2, 1, 1], [1, 1, 1, None, 1], [3, 1, 1, 2, 1]], [None, None]], [[[None, None, None, None, None], [3, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None]], [None, None]], 'region']",25.769356854259968,0.5454545454545454,0.6846153846153846,"[0.0002, -0.00045, -0.00271, -0.00078, -0.00209, 0.00015, -0.00109, -0.00089, -0.01357, -0.00276, -0.00093, -0.0001, 0.00405, 0.38403, 0.0, 0.10509, 0.09854, 0.09854]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, None, 1], [1, 1, 1, 1, 1], [None, 1, 1, 2, 1]], [3, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, 1, 2, 1, None], [1, None, 1, 1, 1], [1, 1, 1, 1, 2]], [0, 6]], [[[None, None, None, None, None], [None, 3, None, 1, 1], [None, None, None, 1, 1], [1, 1, 1, 1, 1], [None, 1, None, 1, None]], [None, None]], 'region']",227.2484229458496,0.7272727272727273,0.6282051282051282
