History,sample = 10,,time (sample = 10),action sparsity (sample = 10),mean predicate sparsity (sample = 10),sample = 100,,time (sample = 100),action sparsity (sample = 100),mean predicate sparsity (sample = 100),sample = 250,,time (sample = 250),action sparsity (sample = 250),mean predicate sparsity (sample = 250)
"[[[9, 4], [5, 4], [8, 1], [8, 4]], [0, 4, 4, 3], [[9, 3], [5, 4], [8, 1], [7, 5]], [3, 3, 4, 0], [[8, 2], [4, 3], [8, 1], [8, 4]], [3, 2, 4, 4], [[7, 1], [3, 4], [8, 1], [8, 4]], [4, 0, 2, 4], [[7, 1], [3, 2], [8, 3], [8, 4]], [4, 4, 1, 4], [[7, 1], [3, 2], [9, 3], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 2], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [9, 1], [8, 4]], [4, 4, 0, 4], [[7, 1], [3, 2], [8, 0], [8, 4]], [2, 4, 0, 4], [[7, 3], [3, 2], [8, 0], [8, 4]], [0, 4, 3, 4], [[7, 2], [3, 2], [7, 0], [8, 4]], [2, 4, 1, 4], [[8, 3], [3, 2], [9, 0], [8, 4]], [0, 4, 3, 4], [[8, 1], [3, 2], [8, 1], [8, 4]]]","[0.0, 0.0, 0.0, -0.0024, -0.0084, -0.03635, 0.0211, -0.0126, -0.04693, 0.15, -0.153, 0.225]","[[[[1, None, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 2, 1], [1, 1, 1, 1, 1]], [7, 3]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 3]], 'crash']",27.010255793109536,0.8181818181818181,0.5192307692307693,"[0.0, 0.0, 0.0, 0.0, -0.04693, 0.15, -0.153, 0.225]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",20.789299153722823,0.9090909090909091,0.7307692307692308,"[0.0, 0.0, 0.0, 0.0, -0.04693, 0.15, -0.153, 0.225]","[[[[1, 1, 1, 1, 1], [1, 1, 1, 1, 1], [1, 1, 2, 2, 1], [1, 1, 1, 1, 1], [None, None, None, None, None]], [8, 3]], 'crash']",16.2263303976506,0.9090909090909091,0.7692307692307692
"[[[7, 0], [8, 1], [6, 5], [6, 4]], [3, 2, 3, 1], [[6, 0], [9, 2], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 1], [8, 3], [5, 5], [8, 4]], [4, 1, 4, 4], [[7, 1], [9, 2], [5, 5], [8, 4]], [4, 0, 4, 4], [[7, 1], [9, 0], [5, 5], [8, 4]], [4, 3, 4, 4], [[7, 1], [8, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[6, 2], [8, 0], [5, 5], [8, 4]], [1, 3, 4, 4], [[7, 3], [7, 0], [5, 5], [8, 4]], [0, 2, 4, 4], [[7, 1], [6, 1], [5, 5], [8, 4]], [1, 4, 4, 4], [[8, 0], [6, 1], [5, 5], [8, 4]], [3, 0, 4, 4], [[7, 1], [6, 0], [5, 5], [8, 4]], [2, 0, 4, 4], [[7, 2], [6, 0], [5, 5], [8, 4]], [0, 0, 4, 4], [[7, 0], [7, 0], [5, 5], [8, 4]]]","[0.0, 0.0, 0.0, -0.0006, -0.14283, 0.10365, -0.07823, 0.06118, -0.05425, 0.12363, -0.00175, -0.0095]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, 2]], [6, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 0]], 'crash']",16.784017437137663,0.8181818181818181,0.11538461538461542,"[0.0, 0.0, 0.0, 0.0, -0.0014, -0.0042, 0.0117, 0.0173, -0.05425, 0.12363, -0.00175, -0.0095]","[[[[None, 1, 1, None, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], [[[0, 0, 1, None, 1], [None, None, 1, 1, 1], [None, None, 2, 1, None], [None, None, 1, 1, 1], [0, 0, None, None, None]], [8, None]], 'crash']",33.769441694021225,0.8181818181818181,0.6538461538461539,"[0.0, 0.0, 0.0, 0.0, -0.13823, 0.0378, -0.006, 0.04842, -0.05425, 0.12363, -0.00175, -0.0095]","[[[[None, 1, 1, None, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, 1, 1, 1, 1]], [7, 1]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, 1, 1, 1], [0, 0, 0, None, None]], [None, 0]], 'crash']",22.89703738410026,0.8181818181818181,0.5192307692307693
"[[[7, 2], [9, 4], [6, 6], [7, 1]], [4, 3, 3, 4], [[7, 2], [8, 5], [5, 7], [7, 1]], [2, 0, 0, 4], [[6, 3], [7, 4], [6, 6], [7, 1]], [2, 1, 3, 4], [[5, 4], [8, 3], [5, 7], [7, 1]], [4, 2, 0, 4], [[5, 4], [7, 4], [5, 5], [7, 1]], [3, 1, 2, 4], [[4, 4], [9, 4], [6, 6], [7, 1]], [1, 3, 4, 4], [[6, 4], [8, 5], [6, 6], [7, 1]], [0, 0, 3, 4], [[6, 2], [8, 4], [5, 5], [7, 1]], [2, 4, 4, 4], [[7, 3], [8, 4], [5, 5], [7, 1]], [3, 4, 4, 4], [[6, 4], [8, 4], [5, 5], [7, 1]], [0, 4, 2, 4], [[7, 3], [8, 4], [4, 6], [7, 1]], [3, 4, 1, 4], [[6, 4], [8, 4], [6, 6], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.0, 0.02408, -0.00075, 0.0036, 0.03375, 0.0221, 0.04738, 0.0611, 0.04838, -0.2278, -0.0465, -0.1416, -0.0745]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[1, 1, 1, 1, 1], [1, 1, None, 1, 1], [1, 1, 2, 1, 1], [1, 2, 1, 1, 1], [1, 1, 1, 1, 2]], [6, 2]], [[[None, None, None, None, None], [None, None, None, 2, None], [None, None, 2, None, None], [None, 1, None, 1, 1], [None, None, 2, 1, 3]], [None, 4]], 'crash']",33.21333114616573,0.7272727272727273,0.5641025641025642,"[0.0, 0.0, 0.0, 0.0, 0.02408, -0.00075, 0.0036, 0.03375, 0.0221, 0.04738, 0.0611, 0.04838, -0.2278, -0.0465, -0.1416, -0.0745]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[1, 1, 1, 1, 1], [1, 1, 3, 1, 1], [1, 1, 2, 1, 1], [1, 2, 1, 1, 1], [1, 1, 1, 1, 2]], [6, None]], [[[None, None, None, None, None], [None, None, None, 2, None], [None, None, 2, None, None], [None, 1, 1, None, 1], [None, 1, 2, 1, 3]], [6, None]], 'crash']",33.402028053067625,0.7272727272727273,0.6025641025641025,"[0.0, 0.0, 0.0, 0.0, -0.02535, 0.0088, 0.04373, 0.02262, 0.05845, 0.05023, 0.0731, 0.08555, -0.2278, -0.0465, -0.1416, -0.0745]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, 2, None, 2], [1, 1, 1, 1, 1], [1, 1, 1, 2, None]], [6, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, 2, None], [None, None, 1, None, None]], [None, None]], [[[None, 1, 1, 1, 1], [None, 1, 1, None, None], [None, None, 2, None, None], [1, 1, None, 1, 1], [None, 1, 2, None, None]], [6, 4]], 'crash']",32.19683104660362,0.7272727272727273,0.3717948717948718
"[[[4, 4], [7, 1], [6, 4], [6, 7]], [4, 4, 1, 0], [[4, 4], [7, 1], [7, 3], [6, 6]], [1, 4, 2, 4], [[6, 4], [7, 1], [8, 4], [6, 6]], [3, 4, 4, 3], [[5, 3], [7, 1], [8, 4], [5, 7]], [2, 4, 4, 0], [[5, 4], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 2], [[7, 4], [7, 1], [8, 4], [5, 6]], [0, 4, 4, 4], [[7, 2], [7, 1], [8, 4], [5, 6]], [2, 4, 4, 0], [[8, 3], [7, 1], [8, 4], [5, 5]], [1, 4, 4, 4], [[9, 4], [7, 1], [8, 4], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[8, 2], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[8, 3], [7, 1], [7, 5], [5, 5]], [2, 4, 0, 4], [[7, 4], [7, 1], [7, 4], [5, 5]]]","[0.071, 0.041, 0.0008, 0.01985, 0.00995, -0.016, 0.0301, 0.0275, 0.0092, -0.05995, -0.0036, 0.01383, -0.0969, -0.0118]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, 2], [None, None, None, None, 1], [None, 1, 2, 1, 3]], [None, None]], [[[None, None, None, None, 2], [1, None, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 2, 1, None], [1, 1, 1, None, 1]], [7, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 3]], 'crash']",30.214036194607615,0.7272727272727273,0.35897435897435903,"[0.071, 0.041, 0.0008, 0.01985, 0.00995, -0.016, 0.004, 0.0068, 0.0046, -0.0092, 0.0024, -0.0048, -0.0192, 0.00255, -0.0036, 0.01383, -0.0969, -0.0118]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, 2], [None, None, None, None, None], [1, None, 2, None, None]], [6, None]], [[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",44.21461501158774,0.6363636363636364,0.5096153846153846,"[0.071, 0.041, 0.0008, 0.01985, 0.00995, -0.016, 0.004, 0.0068, 0.0046, -0.0092, 0.0024, -0.0048, -0.0192, 0.00255, -0.0036, 0.01383, -0.0969, -0.0118]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, 2], [None, None, 1, None, None], [None, None, 2, 1, None]], [None, None]], [[[None, 1, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 2, 1, None], [1, 1, 1, 1, 1]], [7, 4]], [[[1, 1, 1, 1, 1], [1, 1, 2, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",41.59564745053649,0.6363636363636364,0.5192307692307692
"[[[5, 5], [8, 4], [7, 2], [7, 0]], [4, 4, 2, 1], [[5, 5], [8, 4], [7, 3], [8, 0]], [4, 4, 0, 3], [[5, 5], [8, 4], [7, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 3], [7, 1]], [4, 4, 1, 4], [[5, 5], [8, 4], [7, 4], [7, 1]], [4, 4, 0, 4], [[5, 5], [8, 4], [7, 3], [7, 1]], [4, 4, 3, 4], [[5, 5], [8, 4], [6, 2], [7, 1]], [4, 4, 2, 4], [[5, 5], [8, 4], [6, 4], [7, 1]], [2, 4, 0, 4], [[5, 7], [8, 4], [6, 2], [7, 1]], [0, 4, 2, 4], [[6, 6], [8, 4], [6, 4], [7, 1]], [3, 4, 3, 4], [[5, 5], [8, 4], [5, 5], [7, 1]]]","[0.0, 0.0, 0.0, 0.0, -0.1751, 0.02, -0.17473, 0.09095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",14.9703034395352,0.9090909090909091,0.15384615384615385,"[0.0, 0.0, 0.0, 0.0, -0.1751, 0.02, -0.17473, 0.09095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",33.21736568491906,0.9090909090909091,0.15384615384615385,"[0.0, 0.0, 0.0, 0.0, -0.1751, 0.02, -0.17473, 0.09095]","[[[[None, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [2, None, None, None, None]], [None, None]], 'crash']",32.89125303644687,0.9090909090909091,0.15384615384615385
"[[[3, 3], [3, 0], [5, 8], [2, 8]], [4, 2, 3, 4], [[3, 3], [2, 1], [4, 9], [2, 8]], [1, 1, 0, 4], [[4, 4], [3, 0], [5, 8], [2, 8]], [1, 2, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [5, 8], [2, 8]], [4, 4, 3, 4], [[5, 5], [3, 2], [4, 9], [2, 8]], [4, 4, 0, 4], [[5, 5], [3, 2], [4, 7], [2, 8]], [4, 4, 1, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[4, 4], [3, 2], [5, 6], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 6], [2, 8]], [0, 4, 4, 4], [[5, 3], [3, 2], [5, 6], [2, 8]], [2, 4, 0, 4], [[4, 4], [3, 2], [5, 5], [2, 8]], [1, 4, 4, 4], [[5, 5], [3, 2], [5, 5], [2, 8]]]","[0.0, 0.0, 0.0, -0.0009, -0.01072, -0.00465, -0.00075, -0.00465, -0.0438, -0.0052, 0.278, 0.0983]","[[[[None, None, None, None, None], [2, None, None, None, None], [None, None, 2, None, None], [None, None, 1, None, 2], [None, 1, None, 1, 1]], [None, None]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",30.55884844250977,0.8181818181818181,0.6153846153846154,"[0.0, 0.0, 0.0, -0.0009, -0.01072, -0.00465, -0.00075, -0.00465, -0.0438, -0.0052, 0.278, 0.0983]","[[[[None, None, None, None, None], [2, None, None, None, None], [None, None, None, None, None], [None, None, None, None, 2], [1, None, None, 1, 1]], [4, None]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",41.98102249763906,0.8181818181818181,0.5576923076923077,"[0.0, 0.0, 0.0, -0.0009, -0.01072, -0.00465, -0.00075, -0.00465, -0.0438, -0.0052, 0.278, 0.0983]","[[[[None, None, None, None, None], [2, None, None, None, None], [1, None, None, None, None], [None, None, None, None, 2], [None, None, None, 1, None]], [None, None]], [[[1, 2, 1, 1, None], [1, 1, 1, 1, 1], [1, None, 2, 1, 1], [1, 1, 1, 1, 1], [1, 1, 1, 1, 1]], [5, 3]], 'crash']",81.66800537891686,0.8181818181818181,0.5576923076923077
"[[[8, 1], [5, 6], [8, 5], [7, 4]], [4, 4, 0, 0], [[8, 1], [5, 6], [7, 4], [7, 3]], [4, 4, 1, 1], [[8, 1], [5, 6], [8, 5], [8, 2]], [4, 0, 0, 2], [[8, 1], [5, 4], [8, 4], [8, 3]], [4, 4, 4, 3], [[8, 1], [5, 4], [8, 4], [7, 3]], [4, 2, 4, 0], [[8, 1], [5, 6], [8, 4], [7, 1]], [2, 0, 4, 4], [[8, 3], [5, 4], [8, 4], [7, 1]], [1, 4, 4, 4], [[9, 2], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 1], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 4], [[9, 0], [5, 4], [8, 4], [7, 1]], [3, 4, 4, 4], [[8, 0], [5, 4], [8, 4], [7, 1]], [0, 4, 4, 2], [[8, 0], [5, 4], [8, 4], [7, 3]], [3, 2, 4, 0], [[7, 1], [6, 5], [8, 4], [7, 1]]]","[-0.0104, -0.0471, -0.0274, -0.0248, 0.12682, -0.15088, -0.01578, 0.0176, -0.0088, 0.0056, -0.0112, 0.0246]","[[[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, 1], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [8, 0]], 'crash']",22.316284989006817,0.8181818181818181,0.2692307692307693,"[0.0, -0.0315, -0.0385, -0.02248, 0.12682, -0.15088, -0.01578, 0.0176, -0.0088, 0.0056, -0.0112, 0.0246]","[[[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, 1], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [8, 0]], 'crash']",28.621642851270735,0.8181818181818181,0.3076923076923077,"[0.0, 0.0, 0.0, -0.0403, 0.18, -0.0558, -0.13598, -0.0732, -0.08555, -0.32245, -0.02855, -0.05365, -0.0088, 0.0056, -0.0112, 0.0246]","[[[[None, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, 1, 2, 1, 1], [None, 1, 1, 1, 1], [None, None, None, None, None]], [8, 1]], [[[None, None, None, 2, None], [None, None, None, 1, 1], [None, None, 2, 1, 1], [None, None, 0, None, None], [None, 0, None, 0, None]], [None, None]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [8, None]], 'crash']",42.72182060126215,0.7272727272727273,0.38461538461538464
"[[[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 3], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 3], [7, 1], [7, 2], [5, 5]], [2, 4, 2, 4], [[9, 5], [7, 1], [7, 4], [5, 5]], [0, 4, 0, 4], [[9, 4], [7, 1], [7, 3], [5, 5]], [4, 4, 2, 4], [[9, 4], [7, 1], [7, 5], [5, 5]], [0, 4, 0, 4], [[9, 2], [7, 1], [7, 4], [5, 5]], [2, 4, 1, 4], [[9, 4], [7, 1], [8, 5], [5, 5]], [0, 4, 3, 4], [[9, 3], [7, 1], [7, 5], [5, 5]], [3, 4, 0, 4], [[7, 3], [7, 1], [7, 3], [5, 5]]]","[0.0, -0.1871, 0.0, -0.1028, -0.0312, 0.06907, -0.0222, 0.0, -0.02998, -0.0089, 0.01125, 0.01383]","[[[[1, 1, 1, 2, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [None, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",23.20341089181602,0.8181818181818181,0.4807692307692308,"[0.0, -0.1871, 0.0, -0.1028, -0.0312, 0.06907, -0.0222, 0.0, -0.02998, -0.0089, 0.01125, 0.01383]","[[[[1, 1, 1, 2, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[2, None, None, None, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 3]], 'crash']",25.80861140973866,0.8181818181818181,0.5,"[0.0, 0.0546, 0.0, 0.108, 0.0024, 0.0, 0.0, 0.26643, -0.17585, 0.0228, -0.02523, -0.02998, -0.0089, 0.01125, 0.01383]","[[[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[1, 2, 1, 1, 1], [1, 1, 1, 1, None], [1, 1, 2, 1, 1], [None, None, None, None, None], [None, None, None, None, None]], [9, 4]], [[[None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [None, None, None, None, None], [0, None, None, None, 0]], [None, 3]], 'crash']",32.49695466272533,0.7272727272727273,0.3974358974358974
"[[[9, 2], [5, 6], [6, 0], [8, 4]], [3, 0, 1, 4], [[8, 3], [5, 5], [7, 0], [8, 4]], [0, 4, 2, 4], [[9, 2], [5, 5], [8, 1], [8, 4]], [0, 4, 3, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 0], [5, 5], [7, 1], [8, 4]], [3, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 1], [5, 5], [7, 1], [8, 4]], [2, 4, 4, 4], [[9, 2], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[9, 1], [5, 5], [7, 1], [8, 4]], [0, 4, 4, 4], [[8, 0], [5, 5], [7, 1], [8, 4]], [0, 4, 2, 4], [[8, 0], [5, 5], [7, 3], [8, 4]], [3, 4, 0, 4], [[7, 1], [5, 5], [7, 1], [8, 4]]]","[0.0, 0.0, 0.06725, 0.02223, -0.01545, -0.0385, -0.01545, -0.0385, 0.0397, -0.0385, -0.03882, 0.12682, -0.15088, 0.0176, 0.0066, -0.0088, -0.0112, 0.0246]","[[[[None, None, None, None, None], [None, 2, None, None, 2], [1, None, 2, 1, None], [None, 0, None, None, None], [None, 0, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [None, None, None, None, 0], [None, None, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [None, None, None, 0, None], [None, 0, None, None, None]], [None, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, 1], [None, None, 2, 1, 1], [None, None, 1, 1, None], [None, None, None, None, None]], [8, 0]], 'crash']",45.96772628463805,0.6363636363636364,0.28846153846153844,"[0.0, 0.0, 0.06725, 0.02223, -0.01545, -0.0385, -0.01545, -0.0385, 0.0397, -0.0385, -0.03882, 0.12682, -0.15088, 0.0176, 0.0066, -0.0088, -0.0112, 0.0246]","[[[[None, None, None, None, None], [None, 2, None, None, 2], [None, None, 2, None, None], [None, None, None, None, 0], [None, None, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, 1, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, 1], [None, None, None, 0, None], [None, None, None, None, None]], [None, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, 1], [None, None, 2, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [8, 0]], 'crash']",44.788233486935496,0.6363636363636364,0.27884615384615385,"[0.0, 0.0, 0.06725, 0.02223, -0.01545, -0.0385, -0.01545, -0.0385, 0.0397, -0.0385, -0.03882, 0.12682, -0.15088, 0.0176, 0.0066, -0.0088, -0.0112, 0.0246]","[[[[None, None, None, None, None], [None, 2, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, 1], [None, None, 0, None, None], [None, None, None, None, None]], [None, 2]], [[[None, 2, None, None, None], [None, None, None, None, 2], [None, None, 2, None, None], [0, None, None, None, None], [None, None, None, None, None]], [None, 2]], [[[None, None, 1, 1, 1], [None, None, 1, 1, 1], [None, None, None, 1, 1], [None, None, 1, 1, 1], [None, None, None, None, None]], [8, 0]], 'crash']",50.720415802672505,0.6363636363636364,0.2596153846153846
"[[[5, 8], [3, 8], [5, 3], [6, 2]], [0, 4, 2, 1], [[5, 7], [3, 8], [6, 4], [7, 3]], [0, 4, 3, 1], [[5, 5], [3, 8], [5, 4], [8, 4]], [2, 4, 1, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 4], [8, 4]], [3, 4, 3, 4], [[5, 6], [3, 8], [5, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 4], [8, 4]], [4, 4, 3, 4], [[5, 6], [3, 8], [4, 4], [8, 4]], [1, 4, 1, 4], [[6, 7], [3, 8], [5, 4], [8, 4]], [0, 4, 4, 4], [[5, 6], [3, 8], [5, 4], [8, 4]], [4, 4, 1, 4], [[5, 6], [3, 8], [6, 5], [8, 4]], [4, 4, 0, 4], [[5, 6], [3, 8], [6, 3], [8, 4]], [0, 4, 2, 4], [[6, 5], [3, 8], [6, 5], [8, 4]]]","[0.0, 0.0, -0.0024, 0.0, -0.1415, -0.27115, -0.09975, 0.00173]","[[[[1, None, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], 'crash']",18.26977090537548,0.9090909090909091,0.8846153846153846,"[0.0, 0.0, -0.0024, 0.0, -0.1415, -0.27115, -0.09975, 0.00173]","[[[[1, 3, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, 3], [1, 1, 1, 1, 1]], [5, None]], 'crash']",18.60746235307306,0.9090909090909091,1.0,"[0.0, 0.0, -0.0024, 0.0, -0.1415, -0.27115, -0.09975, 0.00173]","[[[[1, None, 1, 1, 2], [1, 1, 1, 1, 1], [1, 1, 2, 1, 1], [1, 1, 1, 1, None], [1, 1, 1, 1, 1]], [5, 6]], 'crash']",18.40579680353403,0.9090909090909091,0.8846153846153846
