History,delta = 0.7,,time (delta = 0.7),action sparsity (delta = 0.7),mean predicate sparsity (delta = 0.7),delta = 0.8,,time (delta = 0.8),action sparsity (delta = 0.8),mean predicate sparsity (delta = 0.8),delta = 1.0,,time (delta = 1.0),action sparsity (delta = 1.0),mean predicate sparsity (delta = 1.0)
"[(47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 46, 10, 10), 3, (39, 38, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[-0.16747, 0.17067, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, None, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",0.5986328170001798,0.7272727272727273,0.8333333333333334,"[0.08253, 0.03467, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 12, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",0.5575150350014155,0.7272727272727273,0.75,"[0.08253, 0.03467, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 12, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",0.5495216880008229,0.7272727272727273,0.75
"[(47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08693, 0.08693, 0.08693, 0.08693, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, None, 13, None), (None, None, None, 13, None), 'win']",0.40073519599900465,0.8181818181818181,1.0,"[0.08693, 0.08693, 0.08693, 0.08693, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, None, 13, None), (None, None, None, 13, None), 'win']",0.38775382500170963,0.8181818181818181,1.0,"[0.04347, 0.04347, 0.04347, 0.04347, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 13, None), (None, None, None, 13, None), 'win']",0.39598596599898883,0.8181818181818181,0.875
"[(23, 23, 19, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 46, 11, 10), 2, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.5709335100000317,0.7272727272727273,0.8333333333333334,"[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.6019215889973566,0.7272727272727273,0.8333333333333334,"[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.5705585219984641,0.7272727272727273,0.8333333333333334
"[(31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.49486364999756915,0.7272727272727273,0.6666666666666666,"[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.5165492279993487,0.7272727272727273,0.6666666666666666,"[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.5047080920012377,0.7272727272727273,0.6666666666666666
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08693, 0.08693, 0.10187, 0.08693, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, None, 13, None), (None, None, None, 13, None), 'win']",0.43761638199794106,0.8181818181818181,1.0,"[0.04213, 0.04213, 0.03787, 0.04213, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",0.3662844339996809,0.8181818181818181,0.875,"[0.04213, 0.04213, 0.03787, 0.04213, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",0.3511380950003513,0.8181818181818181,0.875
"[(39, 31, 29, 11, 10), 2, (31, 39, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 46, 11, 10), 2, (47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7234633869993559,0.7272727272727273,0.8333333333333334,"[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7337082209996879,0.7272727272727273,0.8333333333333334,"[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7392250820012123,0.7272727272727273,0.8333333333333334
"[(13, 12, 29, 6, 10), 2, (14, 13, 29, 7, 10), 2, (15, 14, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.8560769420000724,0.6363636363636364,0.8125,"[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.8562348350023967,0.6363636363636364,0.8125,"[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.8927520080032991,0.6363636363636364,0.8125
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.6085593839998182,0.7272727272727273,0.8333333333333334,"[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.6165909189985541,0.7272727272727273,0.8333333333333334,"[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.607791537000594,0.7272727272727273,0.8333333333333334
"[(47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08267, 0.13413, 0.13413, 0.13413, 0.08693, 0.08693, 0.08693, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, None, 13, None), (None, None, None, 13, None), (None, None, None, 13, None), 'win']",0.5730990939991898,0.7272727272727273,1.0,"[0.08267, 0.13413, 0.13413, 0.13413, 0.08693, 0.08693, 0.08693, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, None, 13, None), (None, None, None, 13, None), (None, None, None, 13, None), 'win']",0.576983986000414,0.7272727272727273,1.0,"[0.04133, 0.06707, 0.06707, 0.06707, 0.04347, 0.04347, 0.04347, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, 46, 13, None), (None, None, 46, 13, None), (None, None, None, 13, None), 'win']",0.5576455920017906,0.7272727272727273,0.8333333333333334
"[(47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[-0.13467, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, None, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7050240770004166,0.6363636363636364,0.875,"[-0.13467, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, None, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7072017940008664,0.6363636363636364,0.875,"[0.04213, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, 13, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.687513573000615,0.6363636363636364,0.8125
