History,delta = 0.7,,time (delta = 0.7),action sparsity (delta = 0.7),mean predicate sparsity (delta = 0.7),delta = 0.8,,time (delta = 0.8),action sparsity (delta = 0.8),mean predicate sparsity (delta = 0.8),delta = 1.0,,time (delta = 1.0),action sparsity (delta = 1.0),mean predicate sparsity (delta = 1.0)
"[(39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 35, 9, 10), 2, (45, 37, 52, 10, 10), 0, (44, 45, 42, 9, 10), 2, (52, 44, 52, 10, 10)]","[-0.0016, 0.0, -0.0384, 0.0, -0.34427, -0.09333, -0.22173, -0.07653]","[(None, 45, 42, None, None), 'holes']",0.656209052001941,0.9090909090909091,0.75,"[-0.0016, 0.0, -0.0384, 0.0, -0.34427, -0.09333, -0.22173, -0.07653]","[(None, 45, 42, None, None), 'holes']",0.6595608910029114,0.9090909090909091,0.75,"[-0.0016, 0.0, -0.0384, 0.0, -0.34427, -0.09333, -0.22173, -0.07653]","[(None, 45, 42, None, None), 'holes']",0.6515017480014649,0.9090909090909091,0.75
"[(2, 10, 42, 2, 10), 2, (10, 2, 42, 3, 10), 2, (11, 10, 19, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (21, 13, 29, 7, 10), 3, (20, 21, 29, 6, 10), 2, (21, 20, 29, 7, 10), 3, (20, 21, 19, 6, 10), 2, (21, 20, 29, 7, 10), 3, (13, 21, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[-0.0016, 0.0, -0.0168, 0.0, 0.09867, -0.324, 0.09867, -0.324, -0.34773, -0.328, -0.0132, -0.088]","[(20, None, None, None, None), (None, 21, None, None, None), 'holes']",1.7194979719970434,0.8181818181818181,1.0,"[-0.0016, 0.0, -0.0168, 0.0, 0.06373, 0.0, 0.06373, 0.0, -0.34773, -0.328, -0.0132, -0.088]","[(20, None, None, None, None), (None, 21, None, 6, None), 'holes']",1.658274645000347,0.8181818181818181,0.875,"[-0.0016, 0.0, -0.0168, 0.0, 0.06373, 0.0, 0.06373, 0.0, -0.34773, -0.328, -0.0132, -0.088]","[(20, None, None, None, None), (None, 21, None, 6, None), 'holes']",1.663955995998549,0.8181818181818181,0.875
"[(9, 10, 41, 2, 10), 3, (1, 9, 19, 1, 10), 2, (2, 1, 19, 2, 10), 2, (10, 2, 19, 3, 10), 3, (2, 10, 19, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 19, 4, 10), 3, (3, 11, 19, 3, 10), 2, (4, 3, 19, 4, 10), 2, (5, 4, 29, 5, 10), 2, (13, 5, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[0.03467, -0.01627, -0.036, -0.04133, 0.03227, -0.04133, -0.00133, 0.00013, 0.0128, 0.12987, -0.0608, 0.0016, -0.0016, -0.0132, -0.088]","[(10, None, None, None, None), (11, None, None, None, None), (None, None, None, 4, None), 'holes']",2.7406603380004526,0.7272727272727273,1.0,"[0.01733, -0.00813, -0.018, -0.04133, 0.03227, -0.04133, -0.00133, 0.00013, 0.0128, 0.12987, -0.0608, 0.0016, -0.0016, -0.0132, -0.088]","[(10, None, 19, None, None), (11, None, None, None, None), (None, None, None, 4, None), 'holes']",2.7587150969993672,0.7272727272727273,0.9166666666666666,"[0.01733, -0.00813, -0.018, -0.04133, 0.03227, -0.04133, -0.00133, 0.00033, 0.0064, 0.06493, -0.0304, 0.0016, -0.0016, -0.0132, -0.088]","[(10, None, 19, None, None), (11, None, None, None, None), (None, None, 19, 4, None), 'holes']",2.6899934629982454,0.7272727272727273,0.8333333333333334
"[(47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 29, 9, 10), 1, (45, 37, 46, 10, 10), 0, (53, 45, 54, 11, 10), 1, (61, 53, 59, 12, 10), 2, (61, 61, 52, 12, 10), 2, (53, 61, 52, 11, 10), 1, (54, 53, 54, 12, 10)]","[0.05733, -0.112, 0.00347, 0.00347, -0.00427, -0.00053, -0.00053, 0.0, 0.0192, 0.0, -0.0016, 0.01373, 0.0092, 0.0304, -0.16127, -0.113, -0.113, -0.16127]","[(None, 39, None, None, None), (37, None, None, None, None), (None, 45, 54, None, None), (None, None, 59, None, None), 'holes']",1.3251918370006024,0.6363636363636364,0.9375,"[-0.00107, -0.00053, -0.01067, 0.0, -0.0016, 0.0, 0.0136, 0.00747, -0.16127, -0.113, -0.113, -0.16127]","[(45, None, None, None, None), (None, 53, 59, None, None), 'holes']",0.6583364229991275,0.8181818181818181,0.875,"[-0.00053, -0.00027, -0.00533, 0.0, -0.0016, 0.0, 0.0136, 0.00747, -0.16127, -0.113, -0.113, -0.16127]","[(45, None, 46, None, None), (None, 53, 59, None, None), 'holes']",0.6325794020012836,0.8181818181818181,0.75
"[(39, 31, 46, 11, 10), 2, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (38, 39, 46, 10, 10), 3, (37, 38, 35, 9, 10), 2, (45, 37, 52, 10, 10), 0, (53, 45, 54, 11, 10), 1, (61, 53, 52, 12, 10), 1, (61, 61, 52, 12, 10), 2, (62, 61, 54, 13, 10), 2, (54, 62, 54, 12, 10)]","[-0.00053, 0.0, -0.0128, 0.0, -0.008, -0.016, 0.01333, -0.004, -0.16127, -0.1322, -0.113, -0.12913]","[(None, 45, 54, None, None), (None, 61, None, None, None), 'holes']",0.7427615440028603,0.8181818181818181,0.875,"[0.01507, 0.01507, -0.03187, 0.00187, -0.00027, -0.0004, 0.0, -0.0016, 0.0, 0.0136, 0.00747, -0.0032, -0.0032, -0.00213, 0.008, -0.16127, -0.1322, -0.113, -0.12913]","[(None, 39, 46, 11, None), (None, 37, 52, 10, None), (None, 53, 52, 12, None), (None, 61, None, 12, None), 'holes']",1.0072509780002292,0.6363636363636364,0.5625,"[0.01507, 0.01507, -0.03187, 0.00187, -0.00027, -0.0004, 0.0, -0.0016, 0.0, 0.0136, 0.00747, -0.0032, -0.0032, -0.00213, 0.008, -0.16127, -0.1322, -0.113, -0.12913]","[(None, 39, 46, 11, None), (None, 37, 52, 10, None), (None, 53, 52, 12, None), (None, 61, None, 12, None), 'holes']",0.9589404560028925,0.6363636363636364,0.5625
"[(15, 15, 19, 8, 10), 1, (23, 15, 19, 9, 10), 1, (23, 23, 19, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.0672, -0.056, -0.056, 0.0536, 0.06373, 0.05453, 0.04707, 0.032, 0.02293, 0.03787, 0.04213, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 23, None, 10, None), (None, None, 46, 12, None), (None, 47, None, 13, None), (None, 55, 54, 12, None), 'holes']",1.0973021460013115,0.6363636363636364,0.6875,"[-0.0672, -0.056, -0.056, 0.0536, 0.06373, 0.05453, 0.04707, 0.032, 0.02293, 0.03787, 0.04213, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 23, None, 10, None), (None, None, 46, 12, None), (None, 47, None, 13, None), (None, 55, 54, 12, None), 'holes']",1.070653383001627,0.6363636363636364,0.6875,"[-0.0672, -0.056, -0.056, 0.0536, 0.06373, 0.05453, 0.04707, 0.032, 0.02293, 0.03787, 0.04213, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 23, None, 10, None), (None, None, 46, 12, None), (None, 47, None, 13, None), (None, 55, 54, 12, None), 'holes']",1.096162057001493,0.6363636363636364,0.6875
"[(45, 44, 46, 10, 10), 0, (37, 45, 29, 9, 10), 1, (36, 37, 35, 8, 10), 2, (37, 36, 29, 9, 10), 1, (45, 37, 46, 10, 10), 0, (37, 45, 35, 9, 10), 1, (45, 37, 52, 10, 10), 0, (44, 45, 52, 9, 10), 2, (45, 44, 46, 10, 10), 0, (37, 45, 29, 9, 10), 1, (45, 37, 52, 10, 10), 0, (44, 45, 42, 9, 10), 2, (52, 44, 52, 10, 10)]","[0.0, 0.0192, 0.0, 0.0192, 0.0, 0.0192, 0.0, 0.01573, 0.0, 0.0472, 0.0, 0.0576, 0.0, -0.22173, -0.24587, -0.22173, -0.07653]","[(None, 45, 29, None, None), (None, 45, 35, None, None), (None, 45, 29, None, None), (None, 45, 42, None, None), 'holes']",1.003982766000263,0.6363636363636364,0.75,"[0.0, 0.0192, 0.0, 0.0192, 0.0, 0.0192, 0.0, 0.01573, 0.0, 0.0472, 0.0, 0.0576, 0.0, -0.22173, -0.24587, -0.22173, -0.07653]","[(None, 45, 29, None, None), (None, 45, 35, None, None), (None, 45, 29, None, None), (None, 45, 42, None, None), 'holes']",1.0119371930013585,0.6363636363636364,0.75,"[0.0, 0.0192, 0.0, 0.0192, 0.0, 0.0192, 0.0, 0.01573, 0.0, 0.0472, 0.0, 0.0576, 0.0, -0.22173, -0.24587, -0.22173, -0.07653]","[(None, 45, 29, None, None), (None, 45, 35, None, None), (None, 45, 29, None, None), (None, 45, 42, None, None), 'holes']",0.9938768130014068,0.6363636363636364,0.75
"[(7, 7, 29, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (30, 22, 29, 9, 10), 2, (31, 30, 29, 10, 10), 2, (31, 31, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.05653, -0.05653, -0.09333, -0.02107, 0.06507, 0.04267, 0.02773, 0.03387, 0.00213, 0.00747, 0.00747, -0.31493, -0.33387, -0.33387, -0.3256, -0.05333]","[(None, None, None, 9, None), (None, 39, None, 12, None), (None, 55, 54, 12, None), 'holes']",1.1659769809994032,0.7272727272727273,0.75,"[0.07253, 0.00427, -0.05227, -0.00213, 0.06507, 0.04267, 0.02773, 0.03387, 0.00213, 0.00747, 0.00747, -0.31493, -0.33387, -0.33387, -0.3256, -0.05333]","[(None, 22, None, 9, None), (None, 39, None, 12, None), (None, 55, 54, 12, None), 'holes']",1.1224611079996976,0.7272727272727273,0.6666666666666666,"[0.07253, 0.00427, -0.05227, -0.00213, 0.06507, 0.04267, 0.02773, 0.03387, 0.00213, 0.00747, 0.00747, -0.31493, -0.33387, -0.33387, -0.3256, -0.05333]","[(None, 22, None, 9, None), (None, 39, None, 12, None), (None, 55, 54, 12, None), 'holes']",1.151598552998621,0.7272727272727273,0.6666666666666666
"[(39, 31, 29, 11, 10), 2, (31, 39, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.03387, 0.02773, 0.03387, -0.02587, 0.02293, 0.03787, 0.04213, 0.04213, 0.064, 0.0448, 0.0448, 0.1104, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 39, None, 12, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, 55, 54, 12, None), 'holes']",1.0051151110019418,0.6363636363636364,0.6875,"[0.03387, 0.02773, 0.03387, -0.02587, 0.02293, 0.03787, 0.04213, 0.04213, 0.064, 0.0448, 0.0448, 0.1104, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 39, None, 12, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, 55, 54, 12, None), 'holes']",0.9024964089985588,0.6363636363636364,0.6875,"[0.03387, 0.02773, 0.03387, -0.02587, 0.02293, 0.03787, 0.04213, 0.04213, 0.064, 0.0448, 0.0448, 0.1104, -0.31493, -0.31493, -0.31493, -0.31493, -0.3256, -0.3256, -0.3256, -0.05333]","[(None, 39, None, 12, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, 55, 54, 12, None), 'holes']",0.9056331329993554,0.6363636363636364,0.6875
"[(15, 15, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 46, 11, 10), 2, (31, 39, 46, 10, 10), 1, (31, 31, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.088, -0.03733, -0.068, 0.01507, -0.00747, -0.00747, 0.01507, 0.01067, 0.00747, -0.31493, -0.31493, -0.33387, -0.3256, -0.3256, -0.05333]","[(None, 31, None, None, None), (None, 39, 29, 11, None), (None, 55, 54, 12, None), 'holes']",0.9557351820003532,0.7272727272727273,0.6666666666666666,"[0.088, -0.03733, -0.068, 0.01507, -0.00747, -0.00747, 0.01507, 0.01067, 0.00747, -0.31493, -0.31493, -0.33387, -0.3256, -0.3256, -0.05333]","[(None, 31, None, None, None), (None, 39, 29, 11, None), (None, 55, 54, 12, None), 'holes']",0.9382926969992695,0.7272727272727273,0.6666666666666666,"[0.088, -0.03733, -0.068, 0.01507, -0.00747, -0.00747, 0.01507, 0.01067, 0.00747, -0.31493, -0.31493, -0.33387, -0.3256, -0.3256, -0.05333]","[(None, 31, None, None, None), (None, 39, 29, 11, None), (None, 55, 54, 12, None), 'holes']",0.9541872340014379,0.7272727272727273,0.6666666666666666
