History,delta = 0.7,,time (delta = 0.7),action sparsity (delta = 0.7),mean predicate sparsity (delta = 0.7),delta = 0.8,,time (delta = 0.8),action sparsity (delta = 0.8),mean predicate sparsity (delta = 0.8),delta = 1.0,,time (delta = 1.0),action sparsity (delta = 1.0),mean predicate sparsity (delta = 1.0)
"[(3, 3, 19, 3, 10), 2, (3, 3, 35, 3, 10), 2, (4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10)]","[0.032, 0.032, -0.08667, -0.08667, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, None, None, None), (None, 7, None, None, None), 'specific_part']",0.7139842069991573,0.8181818181818181,1.0,"[0.032, 0.032, -0.08667, -0.08667, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, None, None, None), (None, 7, None, None, None), 'specific_part']",0.7297628320011427,0.8181818181818181,1.0,"[0.016, 0.016, -0.04333, -0.04333, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, 19, None, None), (None, 7, None, None, None), 'specific_part']",0.6569273970017093,0.8181818181818181,0.875
"[(3, 3, 35, 3, 10), 2, (4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10)]","[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05173, -0.0592, -0.032, -0.0592, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, None, None, 7, None), 'specific_part']",1.0191497870000603,0.7272727272727273,0.9166666666666666,"[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05227, -0.04853, -0.02773, -0.04853, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.9220045610018133,0.7272727272727273,0.8333333333333334,"[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05227, -0.04853, -0.02773, -0.04853, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.9453751140026725,0.7272727272727273,0.8333333333333334
"[(4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10)]","[-0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.0592, -0.032, -0.0592, -0.032, 0.14933, 0.12667, -0.06107, 0.09973]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, None, None, 7, None), 'specific_part']",0.9628842899983283,0.7272727272727273,0.9166666666666666,"[0.012, 0.012, -0.04093, -0.04093, -0.01227, -0.01547, -0.01227, -0.01547, 0.14933, 0.12667, -0.06107, 0.09973]","[(6, None, None, None, None), (None, 7, None, 7, None), 'specific_part']",0.6609783390013035,0.8181818181818181,0.875,"[0.012, 0.012, -0.04093, -0.04093, -0.01227, -0.01547, -0.01227, -0.01547, 0.14933, 0.12667, -0.06107, 0.09973]","[(6, None, None, None, None), (None, 7, None, 7, None), 'specific_part']",0.6683325900012278,0.8181818181818181,0.875
"[(4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10)]","[0.0752, -0.0256, -0.0256, -0.04373, -0.06093, -0.06093, -0.0558, -0.03187, -0.10773, -0.01947, -0.10773, -0.10773, 0.12667, -0.06107, 0.09973, -0.06107]","[(7, None, None, None, None), (None, None, None, 6, None), (None, None, None, 8, None), 'specific_part']",1.1647099089968833,0.7272727272727273,1.0,"[0.0752, -0.0256, -0.0256, -0.04373, -0.06093, -0.06093, -0.0558, -0.03187, -0.10773, -0.01947, -0.10773, -0.10773, 0.12667, -0.06107, 0.09973, -0.06107]","[(7, None, None, None, None), (None, None, None, 6, None), (None, None, None, 8, None), 'specific_part']",1.1793983120005578,0.7272727272727273,1.0,"[-0.04333, 0.01387, 0.01387, -0.01227, -0.01547, -0.0464, -0.0368, -0.0464, -0.0464, 0.12667, -0.06107, 0.09973, -0.06107]","[(5, None, 19, None, None), (None, 7, None, 6, None), (None, 7, None, 8, None), 'specific_part']",0.817128391998267,0.7272727272727273,0.75
"[(5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10)]","[0.01387, 0.01387, -0.01227, -0.01547, 0.072, -0.072, -0.072, -0.09333, -0.10773, -0.10773, -0.1068, -0.03813, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 7, None, 6, None), (None, 15, None, None, None), (None, None, None, 8, None), 'specific_part']",1.0815517650007678,0.7272727272727273,0.9166666666666666,"[0.01387, 0.01387, -0.01227, -0.01547, 0.072, -0.072, -0.072, -0.09333, -0.10773, -0.10773, -0.1068, -0.03813, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 7, None, 6, None), (None, 15, None, None, None), (None, None, None, 8, None), 'specific_part']",1.0628512000002956,0.7272727272727273,0.9166666666666666,"[-0.0152, -0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 5, None, 5, None), (7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.8513874130003387,0.7272727272727273,0.8333333333333334
"[(5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10)]","[0.01387, -0.01227, -0.01547, 0.072, -0.072, -0.072, -0.09333, -0.10773, -0.10773, -0.1068, -0.03813, 0.09973, -0.06107, -0.16347, -0.0912]","[(None, 7, None, 6, None), (None, 15, None, None, None), (None, None, None, 8, None), 'specific_part']",1.0352150559992879,0.7272727272727273,0.9166666666666666,"[0.01387, -0.01227, -0.01547, 0.072, -0.072, -0.072, -0.09333, -0.10773, -0.10773, -0.1068, -0.03813, 0.09973, -0.06107, -0.16347, -0.0912]","[(None, 7, None, 6, None), (None, 15, None, None, None), (None, None, None, 8, None), 'specific_part']",1.0262981340019905,0.7272727272727273,0.9166666666666666,"[-0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, 0.09973, -0.06107, -0.16347, -0.0912]","[(7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.6746259889987414,0.8181818181818181,0.875
"[(6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10)]","[-0.0592, -0.032, -0.0592, -0.032, 0.05653, -0.05653, -0.09333, -0.02107, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, None, None, 7, None), (None, None, None, 9, None), 'specific_part']",0.8589302910004335,0.8181818181818181,1.0,"[-0.0592, -0.032, -0.0592, -0.032, 0.05653, -0.05653, -0.09333, -0.02107, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, None, None, 7, None), (None, None, None, 9, None), 'specific_part']",0.8857586869999068,0.8181818181818181,1.0,"[-0.01227, -0.01547, -0.01227, -0.01547, 0.05653, -0.05653, -0.09333, -0.02107, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, 7, None, 7, None), (None, None, None, 9, None), 'specific_part']",0.7096819910002523,0.8181818181818181,0.875
"[(7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10)]","[-0.10773, -0.10773, -0.1068, -0.03813, -0.03733, 0.096, -0.03733, -0.068, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, None, None, 8, None), (None, 31, None, None, None), (None, 39, None, None, None), 'specific_part']",0.9793636209979013,0.7272727272727273,1.0,"[-0.10773, -0.10773, -0.1068, -0.03813, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, None, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.9675574979992234,0.7272727272727273,0.9166666666666666,"[-0.0064, -0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.8352960869997332,0.7272727272727273,0.8333333333333334
"[(7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10)]","[-0.10773, -0.1068, -0.03813, -0.03733, 0.096, -0.03733, -0.068, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, None, None, 8, None), (None, 31, None, None, None), (None, 39, None, None, None), 'specific_part']",0.9437861320002412,0.7272727272727273,1.0,"[-0.10773, -0.1068, -0.03813, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, None, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.9101489149979898,0.7272727272727273,0.9166666666666666,"[-0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.8025814289976552,0.7272727272727273,0.8333333333333334
"[(15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10)]","[-0.1068, -0.03813, -0.03733, 0.096, -0.03733, -0.068, 0.016, 0.08, -0.112, -0.112, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, None, None, 8, None), (None, 31, None, None, None), (None, 39, None, None, None), (38, None, None, None, None), 'specific_part']",1.1431077110028127,0.6363636363636364,1.0,"[-0.1068, -0.03813, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, None, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), (38, None, None, None, None), 'specific_part']",1.1057906039968657,0.6363636363636364,0.9375,"[-0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.9826324360001308,0.6363636363636364,0.8125
