History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[(47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 46, 10, 10), 3, (39, 38, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.1, 0.034, 0.01733, 0.01733, -0.012, -0.00133, -0.00067, 0.006, 0.10667, 0.07467, 0.07467, 0.07733, 0.07733, 0.07733]","[(None, None, 46, 12, None), (38, None, None, None, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",0.14028750599936757,0.6363636363636364,0.8125,"[0.07173, 0.03309, 0.07173, 0.07173, 0.02667, 0.01744, 0.02667, 0.08421, -0.00624, 0.08421, 0.08816, 0.08816, 0.02965, 0.02965, 0.14096, 0.14096, 0.14096]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",3.806625315999554,0.7272727272727273,0.8333333333333334
"[(47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.13867, 0.04267, 0.04267, 0.04267, 0.032, 0.152, 0.152, 0.184, 0.184, 0.184, 0.07733, 0.07733, 0.07733]","[(None, 47, None, 12, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, None, None, 13, None), 'win']",0.2353071630004706,0.6363636363636364,0.8125,"[0.04408, 0.04408, 0.04408, 0.04408, 0.08816, 0.08816, 0.10171, 0.10171, 0.10171, 0.14096, 0.14096, 0.14096, 0.14096, 0.14096]","[(None, None, 46, 13, None), (None, None, None, 13, None), 'win']",2.1692236630005937,0.8181818181818181,0.875
"[(23, 23, 19, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 46, 11, 10), 2, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.056, 0.104, 0.032, 0.05067, 0.05067, -0.0, 0.07467, 0.07467, 0.07467, 0.07733, 0.07733, 0.07733]","[(None, 39, None, 12, None), (None, 39, None, 12, None), (None, None, None, 13, None), 'win']",0.10363174699887168,0.7272727272727273,0.8333333333333334,"[0.05141, 0.04589, 0.04213, 0.07173, 0.08816, 0.08421, 0.08816, 0.08816, 0.08816, 0.02965, 0.02965, 0.14096, 0.14096, 0.14096]","[(None, None, 46, 12, None), (None, None, None, 13, None), 'win']",2.921930839000197,0.8181818181818181,0.875
"[(31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.044, 0.01067, 0.01067, 0.05067, 0.04267, 0.04267, 0.032, 0.032, 0.152, 0.02533, 0.02533, 0.02533, 0.07733, 0.14667, 0.07733]","[(None, 39, 29, 11, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (47, 55, 54, None, None), 'win']",0.10680406500068784,0.6363636363636364,0.625,"[0.04589, 0.04213, 0.04213, 0.02667, 0.02267, 0.02267, 0.02309, 0.036, 0.036, 0.00869, 0.01341, 0.01341, 0.01341, 0.01341, 0.14096, 0.14096, 0.14096, 0.19307, 0.14096]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",3.148851014000684,0.7272727272727273,0.6666666666666666
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.1, 0.1, 0.08533, 0.04267, 0.032, -0.01067, 0.184, 0.184, 0.184, 0.07733, -0.00267, 0.07733]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (None, None, None, 13, None), 'win']",0.09845179500007362,0.7272727272727273,0.8333333333333334,"[0.036, 0.036, 0.02309, 0.036, 0.08421, 0.08816, 0.10171, 0.0408, 0.10171, 0.14096, 0.14096, 0.14096, 0.02965, 0.14096]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",2.1894350679995114,0.8181818181818181,0.875
"[(39, 31, 29, 11, 10), 2, (31, 39, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 46, 11, 10), 2, (47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[-0.05867, 0.08, 0.05867, 0.05867, 0.088, 0.088, 0.13867, 0.1, 0.08533, 0.1, 0.07467, 0.07467, 0.07467, -0.00267, -0.00267, 0.07733]","[(31, None, 46, None, None), (None, None, 46, 12, None), (None, 47, None, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.18794745199920726,0.5454545454545454,0.8,"[0.04213, 0.04589, 0.04213, 0.04213, 0.04213, 0.04213, 0.07173, 0.07173, 0.02667, 0.08421, 0.08816, 0.08816, 0.08816, 0.08816, 0.02965, 0.02965, 0.02965, 0.02965, 0.14096]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",4.682137294999848,0.7272727272727273,0.8333333333333334
"[(13, 12, 29, 6, 10), 2, (14, 13, 29, 7, 10), 2, (15, 14, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.168, 0.056, -0.144, 0.084, 0.044, 0.01067, 0.02533, 0.02333, 0.02333, 0.07467, 0.10667, 0.07467, 0.01867, -0.00267, 0.07733]","[(None, 15, None, 9, None), (None, 39, 29, 11, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.16782875799981412,0.6363636363636364,0.75,"[0.01616, -0.09699, 0.05088, 0.03627, 0.00741, 0.01253, -0.01925, 0.08421, 0.08816, 0.08816, 0.08421, 0.08816, 0.02965, 0.02965, 0.06037, 0.02965, 0.14096]","[(None, None, None, 8, None), (None, 39, None, 12, None), (None, None, None, 13, None), 'win']",5.101157222999973,0.7272727272727273,0.9166666666666666
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.1, 0.1, 0.08533, 0.08533, 0.1, 0.034, 0.034, 0.002, 0.002, 0.02333, 0.10667, 0.07467, 0.07467, -0.00267, -0.00267, 0.07733]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.17447326900037297,0.5454545454545454,0.8,"[0.036, 0.036, 0.02309, 0.02309, 0.036, 0.05216, 0.06112, 0.06112, 0.05216, 0.08048, 0.10171, 0.08816, 0.08421, 0.08816, 0.08816, 0.02965, 0.06037, 0.02965, 0.02965, 0.14096]","[(None, 47, None, 13, None), (None, 55, None, 13, None), (None, None, None, 13, None), 'win']",3.232828067999435,0.7272727272727273,0.8333333333333334
"[(47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[-0.01067, 0.034, 0.034, 0.034, 0.03733, 0.03733, 0.03733, 0.07467, 0.184, 0.184, 0.07733, -0.00267, 0.07733]","[(None, 47, None, 13, None), (None, None, 46, 12, None), (None, None, 46, 13, None), (None, None, None, 13, None), 'win']",0.12349743400045554,0.6363636363636364,0.8125,"[0.0496, 0.08048, 0.10171, 0.10171, 0.08816, 0.08816, 0.08816, 0.14096, 0.14096, 0.14096, 0.02965, 0.14096]","[(None, 55, None, 13, None), (None, None, None, 13, None), 'win']",1.6432939839996834,0.8181818181818181,0.875
"[(47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.032, 0.152, 0.034, 0.034, -0.044, -0.10667, 0.13867, 0.13867, 0.07467, 0.07467, 0.07467, -0.00267, 0.07733, 0.07733]","[(None, 55, None, 13, None), (None, None, 46, 12, None), (None, 47, None, 12, None), (None, None, None, 13, None), 'win']",0.12103767799999332,0.6363636363636364,0.8125,"[0.07173, 0.03309, 0.03309, 0.03309, -0.02949, 0.08816, 0.08816, 0.08816, 0.08816, 0.08816, 0.02965, 0.02965, 0.02965, 0.14096, 0.14096]","[(None, None, 46, 12, None), (None, None, None, 13, None), 'win']",2.562698140000066,0.8181818181818181,0.875
