History,l = 3,,time (l = 3),action sparsity (l = 3),mean predicate sparsity (l = 3),l = 5,,time (l = 5),action sparsity (l = 5),mean predicate sparsity (l = 5)
"[(39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 35, 9, 10), 2, (45, 37, 52, 10, 10), 0, (44, 45, 42, 9, 10), 2, (52, 44, 52, 10, 10)]","[-0.00267, 0.0, -0.04533, -0.008, 0.0, 0.072, -0.07733, -0.26667, -0.05467]","[(None, 37, 52, 10, None), (None, 45, 42, None, None), 'holes']",0.14096831400092924,0.8181818181818181,0.625,"[-0.07637, -0.00555, 0.096, 0.096, -0.16853, -0.16853, -0.16853, 0.0012, -0.34475, -0.12197, -0.22081, -0.04507]","[(None, None, None, 11, None), (None, 47, None, None, None), 'holes']",8.081019254999774,0.8181818181818181,1.0
"[(2, 10, 42, 2, 10), 2, (10, 2, 42, 3, 10), 2, (11, 10, 19, 4, 10), 3, (12, 11, 19, 5, 10), 2, (13, 12, 29, 6, 10), 2, (21, 13, 29, 7, 10), 3, (20, 21, 29, 6, 10), 2, (21, 20, 29, 7, 10), 3, (20, 21, 19, 6, 10), 2, (21, 20, 29, 7, 10), 3, (13, 21, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[-0.01467, 0.0, -0.00133, -0.04733, 0.0, 0.04933, 0.01467, 0.0, 0.01467, -0.32533, -0.00667, -0.07467]","[(20, None, None, None, None), (21, None, 29, None, None), (None, 21, None, 6, None), 'holes']",0.31373602699932235,0.7272727272727273,0.8333333333333334,"[0.00571, 0.0, 0.00035, -0.00019, -0.01061, 0.00291, 0.0, 0.00291, 0.0, 0.00291, -0.32741, -0.34715, -0.32741, -0.01616, -0.09275]","[(21, None, 29, None, None), (None, 21, None, 6, None), 'holes']",10.653784214999177,0.8181818181818181,0.75
"[(9, 10, 41, 2, 10), 3, (1, 9, 19, 1, 10), 2, (2, 1, 19, 2, 10), 2, (10, 2, 19, 3, 10), 3, (2, 10, 19, 2, 10), 2, (3, 2, 19, 3, 10), 1, (11, 3, 19, 4, 10), 3, (3, 11, 19, 3, 10), 2, (4, 3, 19, 4, 10), 2, (5, 4, 29, 5, 10), 2, (13, 5, 29, 6, 10), 2, (21, 13, 19, 7, 10), 2, (29, 21, 29, 8, 10)]","[-0.01867, 0.012, -0.01867, -0.09333, -0.094, 0.004, 0.048, -0.02, 0.01, -0.25467, 0.164, -0.132, -0.00133, -0.00667, -0.07467]","[(10, None, 19, None, None), (2, None, None, None, None), (3, 11, 19, None, None), (None, None, None, 5, None), 'holes']",0.44663962199956586,0.6363636363636364,0.8125,"[-0.00747, -0.02373, -0.02312, 0.00837, -0.02312, -0.01467, -0.02272, -0.00435, -0.02272, 0.02493, 0.02397, -0.00736, 0.05387, 0.09093, -0.10603, 0.00072, 0.00176, -0.00296, -0.01616, -0.09275]","[(None, 2, 19, 3, None), (11, None, None, None, None), (None, None, None, 4, None), 'holes']",17.382518548000007,0.7272727272727273,0.8333333333333334
"[(47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (37, 38, 29, 9, 10), 1, (45, 37, 46, 10, 10), 0, (53, 45, 54, 11, 10), 1, (61, 53, 59, 12, 10), 2, (61, 61, 52, 12, 10), 2, (53, 61, 52, 11, 10), 1, (54, 53, 54, 12, 10)]","[0.05067, -0.0, 0.01733, 0.01733, -0.012, -0.00133, -0.00067, 0.00133, 0.028, 0.0, -0.03067, -0.09133, -0.09133, -0.19533]","[(None, 39, None, 12, None), (38, None, None, None, None), (37, None, 29, None, None), (None, 53, 59, None, None), 'holes']",0.18978988500020932,0.6363636363636364,0.8125,"[0.03003, -0.01925, -0.00069, 0.00059, 0.00059, -0.00069, -0.00031, -0.00032, 0.0, 0.01264, -0.00064, -0.00443, -0.22081, -0.17649, -0.12883, -0.12883, -0.17649]","[(None, 39, None, 12, None), (37, None, 29, None, None), (None, 53, 59, None, None), 'holes']",4.540562372998465,0.7272727272727273,0.75
"[(39, 31, 46, 11, 10), 2, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (38, 39, 46, 10, 10), 3, (37, 38, 35, 9, 10), 2, (45, 37, 52, 10, 10), 0, (53, 45, 54, 11, 10), 1, (61, 53, 52, 12, 10), 1, (61, 61, 52, 12, 10), 2, (62, 61, 54, 13, 10), 2, (54, 62, 54, 12, 10)]","[-0.00267, 0.0, -0.04533, -0.00267, 0.0, 0.024, -0.016, 0.03733, -0.048, -0.12067, -0.09133, -0.10333]","[(None, 37, 52, 10, None), (None, 45, 54, None, None), (None, 61, None, 12, None), 'holes']",0.1497189919991797,0.7272727272727273,0.6666666666666666,"[-0.00293, -0.00293, -0.09467, -0.00293, -0.09467, -0.00135, -0.00673, -0.00135, -0.00013, -0.02836, 0.00037, -5e-05, -0.00107, 0.0, 0.01453, -0.00128, -0.00064, 0.00896, 0.02048, 0.00203, -0.22081, -0.17649, -0.13433, -0.12883, -0.14125]","[(None, 39, None, None, None), (None, 37, 52, None, None), (None, 45, 54, None, None), (None, 61, None, 12, None), 'holes']",6.542275435998818,0.6363636363636364,0.8125
"[(15, 15, 19, 8, 10), 1, (23, 15, 19, 9, 10), 1, (23, 23, 19, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.056, -0.04667, 0.084, 0.044, 0.01067, 0.02933, 0.05067, 0.04267, 0.056, 0.032, 0.152, -0.308, -0.308, -0.308, -0.33067, -0.33067, -0.05733]","[(None, None, 19, 9, None), (None, 39, 29, 11, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, 55, 54, 12, None), 'holes']",0.21227419299975736,0.5454545454545454,0.65,"[-0.03661, 0.05141, 0.05141, 0.04589, 0.04213, 0.02667, 0.00869, -0.31992, -0.31992, -0.31992, -0.31992, -0.32195, -0.32195, -0.32195, -0.32195, -0.05053]","[(None, None, 19, 9, None), (None, None, 46, 12, None), (None, 55, 54, 12, None), 'holes']",5.578783853999994,0.7272727272727273,0.6666666666666666
"[(45, 44, 46, 10, 10), 0, (37, 45, 29, 9, 10), 1, (36, 37, 35, 8, 10), 2, (37, 36, 29, 9, 10), 1, (45, 37, 46, 10, 10), 0, (37, 45, 35, 9, 10), 1, (45, 37, 52, 10, 10), 0, (44, 45, 52, 9, 10), 2, (45, 44, 46, 10, 10), 0, (37, 45, 29, 9, 10), 1, (45, 37, 52, 10, 10), 0, (44, 45, 42, 9, 10), 2, (52, 44, 52, 10, 10)]","[0.0, 0.00467, 0.21333, 0.0, 0.192, 0.08267, 0.0, 0.06267, 0.072, 0.0, 0.072, -0.24267, -0.26667, -0.05467]","[(None, 37, 35, None, None), (None, 45, None, 9, None), (None, 44, 46, None, None), (None, 45, 42, None, None), 'holes']",0.17003730900069058,0.6363636363636364,0.75,"[0.0, 0.00716, 0.06101, 0.0, 0.05829, 0.0, 0.05829, -0.04507, -0.22081, -0.20059, -0.22081, -0.04507]","[(None, 37, 35, None, None), (None, 45, 52, None, None), 'holes']",4.311157447000369,0.8181818181818181,0.75
"[(7, 7, 29, 7, 10), 1, (15, 7, 29, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (30, 22, 29, 9, 10), 2, (31, 30, 29, 10, 10), 2, (31, 31, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.028, 0.00533, -0.024, 0.104, 0.03733, -0.072, 0.04, 0.104, 0.032, 0.00533, 0.00533, -0.308, -0.33467, -0.33067, -0.05733]","[(22, 23, 29, None, None), (None, 31, None, 10, None), (None, 39, None, 12, None), (None, 55, 54, 12, None), 'holes']",0.1954556290002074,0.6363636363636364,0.625,"[-0.01792, -0.01984, -0.01899, -0.03328, 0.02656, 0.07243, 0.13029, -0.00437, -0.04491, -0.01224, -0.33203, -0.33203, -0.32195, -0.05053]","[(None, 22, None, 9, None), (None, None, None, 11, None), 'holes']",11.446968905000176,0.8181818181818181,0.875
"[(39, 31, 29, 11, 10), 2, (31, 39, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[0.01067, 0.044, 0.01067, 0.05067, 0.04267, 0.04267, 0.032, 0.152, 0.152, -0.308, -0.308, -0.308, -0.33067, -0.33067, -0.05733]","[(None, 39, 29, 11, None), (None, 47, None, 13, None), (None, 55, None, 13, None), (None, 55, 54, 12, None), 'holes']",0.15190370500022254,0.6363636363636364,0.625,"[0.01253, 0.00741, 0.01253, -0.01925, 0.02624, 0.02267, 0.02309, 0.036, 0.036, -0.31992, -0.31992, -0.31992, -0.31992, -0.31992, -0.32195, -0.32195, -0.32195, -0.32195, -0.05053]","[(None, 39, None, 12, None), (None, 47, None, 13, None), (None, 55, 54, 12, None), 'holes']",4.699263352000344,0.7272727272727273,0.6666666666666666
"[(15, 15, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 46, 11, 10), 2, (31, 39, 46, 10, 10), 1, (31, 31, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (46, 47, 46, 11, 10)]","[-0.144, -0.03733, -0.068, -0.11733, 0.044, 0.044, 0.01067, 0.08, 0.05867, 0.08533, 0.00533, -0.308, -0.308, -0.33067, -0.33067, -0.05733]","[(None, 15, None, 9, None), (31, None, None, None, None), (None, 39, 29, 11, None), (None, None, 46, 12, None), (None, 55, 54, 12, None), 'holes']",0.2334313179999299,0.5454545454545454,0.7,"[0.0368, -0.02907, -0.09467, -0.01053, -0.00744, -0.01053, -0.01053, -0.00744, 0.0012, -0.33203, -0.32195, -0.32195, -0.05053]","[(None, 31, None, None, None), (None, 39, 29, 11, None), 'holes']",6.584427292998953,0.8181818181818181,0.75
