History,sample = 10,,time (sample = 10),action sparsity (sample = 10),mean predicate sparsity (sample = 10),sample = 100,,time (sample = 100),action sparsity (sample = 100),mean predicate sparsity (sample = 100),sample = 250,,time (sample = 250),action sparsity (sample = 250),mean predicate sparsity (sample = 250)
"[(47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 46, 10, 10), 3, (39, 38, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08253, 0.03467, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 12, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",0.5391126989998156,0.7272727272727273,0.75,"[0.08253, 0.03467, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 12, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",1.2399601999986771,0.7272727272727273,0.75,"[0.08253, 0.03467, 0.00173, 0.00173, -0.0012, -0.00027, -0.00853, 0.10187, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 12, None), (39, 38, 46, None, None), (None, None, None, 13, None), 'win']",2.050457801000448,0.7272727272727273,0.75
"[(47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.04347, 0.04347, 0.04347, 0.04347, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 13, None), (None, None, None, 13, None), 'win']",0.38502273999984027,0.8181818181818181,0.875,"[0.04347, 0.04347, 0.04347, 0.04347, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 13, None), (None, None, None, 13, None), 'win']",1.2066076520004572,0.8181818181818181,0.875,"[0.04347, 0.04347, 0.04347, 0.04347, 0.13413, 0.13413, 0.13413, 0.13413, 0.11413, 0.11413, 0.11413, 0.11413]","[(None, None, 46, 13, None), (None, None, None, 13, None), 'win']",2.025792898999498,0.8181818181818181,0.875
"[(23, 23, 19, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 46, 11, 10), 2, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.6526828270016267,0.7272727272727273,0.8333333333333334,"[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",1.246444270000211,0.7272727272727273,0.8333333333333334,"[0.0736, 0.02773, 0.03387, 0.016, 0.01187, 0.01947, 0.01947, 0.10187, 0.08693, 0.08693, 0.08693, 0.01227, 0.11413, 0.11413, 0.11413]","[(None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",2.120431067000027,0.7272727272727273,0.8333333333333334
"[(31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.5269028519996937,0.7272727272727273,0.6666666666666666,"[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.6332066810009565,0.7272727272727273,0.6666666666666666,"[0.06373, 0.05453, 0.05453, 0.04707, 0.02293, 0.03787, 0.04213, 0.04213, 0.0184, 0.0184, 0.0184, 0.0184, 0.11413, 0.11413, 0.17653, 0.11413]","[(None, None, 46, 12, None), (None, 47, None, 13, None), (47, 55, 54, None, None), 'win']",0.6148318060004385,0.7272727272727273,0.6666666666666666
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.04213, 0.04213, 0.03787, 0.04213, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",0.3649871710003936,0.8181818181818181,0.875,"[0.04213, 0.04213, 0.03787, 0.04213, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",1.0165628279992234,0.8181818181818181,0.875,"[0.04213, 0.04213, 0.03787, 0.04213, 0.13413, 0.08267, 0.13413, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, 47, None, 13, None), (None, None, None, 13, None), 'win']",1.9506788079997932,0.8181818181818181,0.875
"[(39, 31, 29, 11, 10), 2, (31, 39, 46, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 46, 11, 10), 2, (47, 39, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 46, 11, 10), 1, (47, 39, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7623785510004382,0.7272727272727273,0.8333333333333334,"[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",1.5415037610000581,0.7272727272727273,0.8333333333333334,"[0.05453, 0.06373, 0.05453, 0.05453, 0.05453, 0.08253, 0.08253, 0.04707, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",2.4406364540009235,0.7272727272727273,0.8333333333333334
"[(13, 12, 29, 6, 10), 2, (14, 13, 29, 7, 10), 2, (15, 14, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (31, 23, 29, 10, 10), 1, (39, 31, 29, 11, 10), 2, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (55, 47, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.8888732499999605,0.6363636363636364,0.8125,"[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",1.5687130820006132,0.6363636363636364,0.8125,"[0.0336, -0.0608, -0.056, 0.0736, 0.02773, 0.03387, -0.02587, 0.01187, 0.01613, 0.01947, 0.01947, 0.08693, 0.08693, 0.10187, 0.08693, 0.01227, 0.04, 0.01227, 0.11413]","[(None, 15, None, 9, None), (None, 39, None, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",2.575734403999377,0.6363636363636364,0.8125
"[(47, 47, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 46, 12, 10), 2, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (39, 47, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",0.633200157999454,0.7272727272727273,0.8333333333333334,"[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",1.3453853390001314,0.7272727272727273,0.8333333333333334,"[0.08253, 0.08253, 0.04707, 0.04707, 0.01947, 0.00427, 0.00427, 0.01947, 0.08693, 0.10187, 0.08693, 0.08693, 0.04, 0.01227, 0.01227, 0.11413]","[(None, None, 46, 12, None), (None, 47, 29, None, None), (None, None, None, 13, None), 'win']",2.217137654000908,0.7272727272727273,0.8333333333333334
"[(47, 55, 54, 12, 10), 1, (55, 47, 54, 13, 10), 2, (55, 55, 54, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (47, 55, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (63, 55, 54, 14, 10)]","[0.04133, 0.06707, 0.06707, 0.06707, 0.04347, 0.04347, 0.04347, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, 46, 13, None), (None, None, 46, 13, None), (None, None, None, 13, None), 'win']",0.5562758599990048,0.7272727272727273,0.8333333333333334,"[0.04133, 0.06707, 0.06707, 0.06707, 0.04347, 0.04347, 0.04347, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, 46, 13, None), (None, None, 46, 13, None), (None, None, None, 13, None), 'win']",1.3236184310007957,0.7272727272727273,0.8333333333333334,"[0.04133, 0.06707, 0.06707, 0.06707, 0.04347, 0.04347, 0.04347, 0.08693, 0.08693, 0.08693, 0.13413, 0.11413, 0.11413, 0.01227, 0.11413]","[(None, None, 46, 13, None), (None, None, 46, 13, None), (None, None, None, 13, None), 'win']",2.1609107309996034,0.7272727272727273,0.8333333333333334
"[(47, 47, 46, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (55, 55, 46, 13, 10), 2, (47, 55, 54, 12, 10), 1, (47, 47, 46, 12, 10), 2, (47, 47, 46, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (47, 47, 54, 12, 10), 2, (55, 47, 46, 13, 10), 2, (55, 55, 54, 13, 10), 2, (63, 55, 46, 14, 10)]","[0.04213, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, 13, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",0.7220448040006886,0.6363636363636364,0.8125,"[0.04213, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, 13, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",1.5117972620009823,0.6363636363636364,0.8125,"[0.04213, 0.03467, 0.03467, 0.03467, -0.03693, 0.03467, 0.03467, -0.03693, 0.08253, 0.08693, 0.08693, 0.08693, 0.08693, 0.01227, 0.01227, 0.11413, 0.11413]","[(None, 47, None, 13, None), (None, None, 46, 12, None), (None, None, 46, 12, None), (None, None, None, 13, None), 'win']",2.3566125060006016,0.6363636363636364,0.8125
