History,sample = 10,,time (sample = 10),action sparsity (sample = 10),mean predicate sparsity (sample = 10),sample = 100,,time (sample = 100),action sparsity (sample = 100),mean predicate sparsity (sample = 100),sample = 250,,time (sample = 250),action sparsity (sample = 250),mean predicate sparsity (sample = 250)
"[(3, 3, 19, 3, 10), 2, (3, 3, 35, 3, 10), 2, (4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10)]","[0.016, 0.016, -0.04333, -0.04333, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, 19, None, None), (None, 7, None, None, None), 'specific_part']",0.6294084130004194,0.8181818181818181,0.875,"[0.016, 0.016, -0.04333, -0.04333, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, 19, None, None), (None, 7, None, None, None), 'specific_part']",0.6390672670004278,0.8181818181818181,0.875,"[0.016, 0.016, -0.04333, -0.04333, 0.06933, 0.06933, -0.06133, -0.07733, 0.17173, 0.14933, 0.14933, 0.12667]","[(5, None, 19, None, None), (None, 7, None, None, None), 'specific_part']",0.6325060290000692,0.8181818181818181,0.875
"[(3, 3, 35, 3, 10), 2, (4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10)]","[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05227, -0.04853, -0.02773, -0.04853, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.8474682549986028,0.7272727272727273,0.8333333333333334,"[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05227, -0.04853, -0.02773, -0.04853, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.8902830889983306,0.7272727272727273,0.8333333333333334,"[-0.02107, -0.03573, 0.0752, -0.0256, -0.0256, -0.04373, -0.05227, -0.04853, -0.02773, -0.04853, 0.14933, 0.14933, 0.12667, -0.06107]","[(None, 4, None, 4, None), (7, None, None, None, None), (None, 6, None, 7, None), 'specific_part']",0.8815175290001207,0.7272727272727273,0.8333333333333334
"[(4, 3, 19, 4, 10), 2, (4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10)]","[0.012, 0.012, -0.04093, -0.04093, -0.01227, -0.01547, -0.01227, -0.01547, 0.14933, 0.12667, -0.06107, 0.09973]","[(6, None, None, None, None), (None, 7, None, 7, None), 'specific_part']",0.6806588680010464,0.8181818181818181,0.875,"[0.012, 0.012, -0.04093, -0.04093, -0.01227, -0.01547, -0.01227, -0.01547, 0.14933, 0.12667, -0.06107, 0.09973]","[(6, None, None, None, None), (None, 7, None, 7, None), 'specific_part']",0.6797971550004149,0.8181818181818181,0.875,"[0.012, 0.012, -0.04093, -0.04093, -0.01227, -0.01547, -0.01227, -0.01547, 0.14933, 0.12667, -0.06107, 0.09973]","[(6, None, None, None, None), (None, 7, None, 7, None), 'specific_part']",0.664400444000421,0.8181818181818181,0.875
"[(4, 4, 19, 4, 10), 2, (5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10)]","[-0.04333, 0.01387, 0.01387, -0.01227, -0.01547, -0.0464, -0.0368, -0.0464, -0.0464, 0.12667, -0.06107, 0.09973, -0.06107]","[(5, None, 19, None, None), (None, 7, None, 6, None), (None, 7, None, 8, None), 'specific_part']",0.7698603860008006,0.7272727272727273,0.75,"[-0.04333, 0.01387, 0.01387, -0.01227, -0.01547, -0.0464, -0.0368, -0.0464, -0.0464, 0.12667, -0.06107, 0.09973, -0.06107]","[(5, None, 19, None, None), (None, 7, None, 6, None), (None, 7, None, 8, None), 'specific_part']",0.7545397590001812,0.7272727272727273,0.75,"[-0.04333, 0.01387, 0.01387, -0.01227, -0.01547, -0.0464, -0.0368, -0.0464, -0.0464, 0.12667, -0.06107, 0.09973, -0.06107]","[(5, None, 19, None, None), (None, 7, None, 6, None), (None, 7, None, 8, None), 'specific_part']",0.749292806000085,0.7272727272727273,0.75
"[(5, 4, 19, 5, 10), 2, (5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10)]","[-0.0152, -0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 5, None, 5, None), (7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.7967900600015128,0.7272727272727273,0.8333333333333334,"[-0.0152, -0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 5, None, 5, None), (7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.8620722349987773,0.7272727272727273,0.8333333333333334,"[-0.0152, -0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, -0.06107, 0.09973, -0.06107, -0.16347]","[(None, 5, None, 5, None), (7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.8099164060004114,0.7272727272727273,0.8333333333333334
"[(5, 5, 19, 5, 10), 2, (6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10)]","[-0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, 0.09973, -0.06107, -0.16347, -0.0912]","[(7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.6374451739993674,0.8181818181818181,0.875,"[-0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, 0.09973, -0.06107, -0.16347, -0.0912]","[(7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.6268156730002374,0.8181818181818181,0.875,"[-0.0256, -0.04373, -0.0328, -0.04373, -0.0064, -0.0064, -0.0224, -0.01867, 0.09973, -0.06107, -0.16347, -0.0912]","[(7, None, None, None, None), (None, 23, None, 8, None), 'specific_part']",0.6542052219992911,0.8181818181818181,0.875
"[(6, 5, 19, 6, 10), 2, (7, 6, 19, 7, 10), 1, (6, 7, 29, 6, 10), 2, (7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10)]","[-0.0592, -0.032, -0.0592, -0.032, 0.05653, -0.05653, -0.09333, -0.02107, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, None, None, 7, None), (None, None, None, 9, None), 'specific_part']",0.8194888369998807,0.8181818181818181,1.0,"[-0.01227, -0.01547, -0.01227, -0.01547, -0.0032, -0.03867, -0.03627, -0.0196, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, 7, None, 7, None), (None, None, 19, 9, None), 'specific_part']",1.2704336150000017,0.8181818181818181,0.75,"[-0.01227, -0.01547, -0.01227, -0.01547, -0.0032, -0.03867, -0.03627, -0.0196, -0.06107, -0.16347, -0.0912, -0.2224]","[(None, 7, None, 7, None), (None, None, 19, 9, None), 'specific_part']",1.292666403000112,0.8181818181818181,0.75
"[(7, 6, 29, 7, 10), 1, (7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10)]","[-0.0064, -0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.795720137999524,0.7272727272727273,0.8333333333333334,"[-0.0064, -0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.8081107670004712,0.7272727272727273,0.8333333333333334,"[-0.0064, -0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, -0.2224, 0.06747, 0.06747]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.8059379850001278,0.7272727272727273,0.8333333333333334
"[(7, 7, 19, 7, 10), 1, (15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10)]","[-0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.7802441990006628,0.7272727272727273,0.8333333333333334,"[-0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.792118676001337,0.7272727272727273,0.8333333333333334,"[-0.0064, -0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.016, 0.08, -0.112, -0.112, -0.2224, 0.06747, 0.06747, -0.2224]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, None, None), 'specific_part']",0.7578647970003658,0.7272727272727273,0.8333333333333334
"[(15, 7, 19, 8, 10), 1, (23, 15, 29, 9, 10), 1, (22, 23, 29, 8, 10), 1, (23, 22, 19, 9, 10), 1, (31, 23, 46, 10, 10), 1, (39, 31, 46, 11, 10), 2, (39, 39, 29, 11, 10), 1, (39, 39, 29, 11, 10), 1, (47, 39, 54, 12, 10), 2, (47, 47, 46, 12, 10), 2, (39, 47, 46, 11, 10), 1, (38, 39, 29, 10, 10), 3, (30, 38, 29, 9, 10)]","[-0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.9146149970001716,0.6363636363636364,0.8125,"[-0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.9103522689983947,0.6363636363636364,0.8125,"[-0.0224, -0.01867, -0.0304, 0.0576, -0.0304, -0.0392, 0.02773, 0.03387, -0.02587, -0.02587, -0.006, 0.00773, 0.00773, -0.006, 0.06747, 0.06747, -0.2224, 0.35947]","[(None, 23, None, 8, None), (None, 31, None, 11, None), (None, 39, None, 12, None), (38, None, None, None, None), 'specific_part']",0.9266969960008282,0.6363636363636364,0.8125
